web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,content,date
"1570844026-1421","https://www.breitbart.com/politics/","SAF Asks SCOTUS to Intervene in Illinois’ Ban on Non-Resident Concealed Carry","https://www.breitbart.com/politics/2019/10/11/saf-asks-scotus-intervene-illinois-ban-non-resident-concealed-carry/","SAF Asks SCOTUS to Intervene in Illinois’ Ban on Non-Resident Concealed Carry","The Second Amendment Foundation (SAF) is asking the Supreme Court of the United States (SCOTUS) to intervene against Illinois’ ban on concealed carry law for non-residents.","","SAF’s pursuit of a SCOTUS review is joined by the Illinois State Rifle Association (ISRA), Illinois Carry, and nine private citizens.","11 Oct 2019"
"1570844050-1572","https://www.breitbart.com/politics/","Donald Trump Surprises Little League Champions with Ride Home on Air Force One","https://www.breitbart.com/politics/2019/10/11/donald-trump-surprises-little-league-champions-with-ride-home-on-air-force-one/","Donald Trump Surprises Little League Champions with Ride Home on Air Force One","President Donald Trump surprised the 2019 Little League World Champions on Friday by inviting them to fly home aboard Air Force One.","","","11 Oct 2019"
"1570844071-1718","https://www.breitbart.com/politics/","Trump: Nancy Pelosi ‘Hates the United States of America’","https://www.breitbart.com/politics/2019/10/11/trump-nancy-pelosi-hates-the-united-states-of-america/","Trump: Nancy Pelosi ‘Hates the United States of America’","President Donald Trump on Friday declared during his Lake Charles, Louisiana, re-election rally that House Speaker Nancy Pelosi (D-CA) “hates the United States of America.”","Joshua Caplan","","11 Oct 2019"
"1570844069-1713","https://www.breitbart.com/politics/","Report: Shepard Smith’s Exit Could Spark Fox News ‘Exodus’","https://www.breitbart.com/politics/2019/10/11/rreport-shepard-smiths-exit-could-spark-fox-news-exodus/","Report: Shepard Smith’s Exit Could Spark Fox News ‘Exodus’","Longtime Fox News Channel Shepard Smith’s unexpected departure could be the start of an “exodus” at the news network, according to one staffer.","","The president tweeted:","11 Oct 2019"
"1570844046-1544","https://www.breitbart.com/politics/","Fact Check: Pete Buttigieg Falsely Claims Trump Is Making Housing Harder for Homeless Transgenders","https://www.breitbart.com/2020-election/2019/10/11/fact-check-pete-buttigieg-falsely-claims-trump-is-making-housing-harder-for-homeless-transgenders/","Fact Check: Pete Buttigieg Falsely Claims Trump Is Making Housing Harder for Homeless Transgenders","Democrat presidential hopeful Pete Buttigieg falsely claimed during CNN’s equality town hall on Thursday that under President Donald Trump, Housing and Urban Development (HUD) is making it harder for transgender youth who are homeless to find shelter.","Penny Starr","","11 Oct 2019"
"1570844061-1652","https://www.breitbart.com/politics/","***Live Updates*** Trump Holds Louisiana Rally","https://www.breitbart.com/2020-election/2019/10/11/live-updates-trump-holds-louisiana-rally/","***Live Updates*** Trump Holds Louisiana Rally","President Donald Trump will hold a Friday evening rally in Lake Charles, Louisiana, a day before the state’s gubernatorial jungle primary. Governor John Bel Edwards (D) needs to get more than 50 percent of the vote against Republicans Rep. Ralph Abraham (D-LA) and Eddie Rispone to avoid a runoff.","","8:50 PM: Trump says they are battling the unholy alliance “of corrupt Democrat politicians, Deep State bureaucrats and the fake news media.” Trump says the TV ratings will tank when he is not president. He says the fake news media will endorse him for ratings and Trump asks if Americans want “the fake Pocahontas” as president of “Sleepy Joe,” whose son “knows nothing about energy.”","11 Oct 2019"
"1570844069-1717","https://www.breitbart.com/politics/","Report: Shepard Smith’s Exit Could Spark Fox News ‘Exodus’","https://www.breitbart.com/politics/2019/10/11/rreport-shepard-smiths-exit-could-spark-fox-news-exodus/","Report: Shepard Smith’s Exit Could Spark Fox News ‘Exodus’","Longtime Fox News Channel Shepard Smith’s unexpected departure could be the start of an “exodus” at the news network, according to one staffer.","","“I wish him well,” he added.","11 Oct 2019"
"1570844040-1500","https://www.breitbart.com/politics/","Illegal Alien, Freed into U.S., Gets Life Sentence for Murdering Jared Vargas","https://www.breitbart.com/politics/2019/10/11/illegal-alien-freed-into-u-s-gets-life-sentence-for-murdering-jared-vargas/","Illegal Alien, Freed into U.S., Gets Life Sentence for Murdering Jared Vargas","An illegal alien who was twice freed into the interior of the United States has been sentenced to life for brutally murdering 20-year-old Jared Vargas.","","On the Angel Family’s Facebook page, Justice for Jared Vargas, they celebrated the life sentence of the illegal alien who took their loved one’s life.","11 Oct 2019"
"1570844056-1608","https://www.breitbart.com/politics/","Report: Democrats Privately Urging Pelosi to Hold Impeachment Inquiry Vote","https://www.breitbart.com/politics/2019/10/11/report-democrats-privately-urging-pelosi-to-hold-impeachment-inquiry-vote/","Report: Democrats Privately Urging Pelosi to Hold Impeachment Inquiry Vote","Some House Democrats are privately calling on Speaker Nancy Pelosi (D-CA) to hold a vote to formalize the impeachment inquiry to undermine Republican criticism that the process is illegitimate, Politico reported this week.","","In a letter to Pelosi and the House chairmen pursuing the impeachment inquiry, the White House said the Democrats were conducting a “constitutionally invalid” and “illegitimate” impeachment probe that absolves lawmakers of “taking political accountability.”","11 Oct 2019"
"1570844016-1360","https://www.breitbart.com/politics/","Mexican President AMLO to Nancy Pelosi: Pass USMCA Already!","https://www.breitbart.com/economy/2019/10/11/mexican-president-amlo-to-nancy-pelosi-pass-usmca-already/","Mexican President AMLO to Nancy Pelosi: Pass USMCA Already!","Mexican President Andrés Manuel López Obrador told Speaker Nancy Pelosi (D-CA) on Friday to pass the U.S.-Mexico-Canada Agreement (USMCA), which awaits a vote in the Democrat-controlled House of Representatives.","Joel B. Pollak","","11 Oct 2019"
"1570844032-1455","https://www.breitbart.com/politics/","Greta Thunberg’s Cause Could Have Cost Her Peace Prize: No Science to Connect Climate Change to Conflict","https://www.breitbart.com/politics/2019/10/11/greta-thunbergs-cause-could-have-cost-her-peace-prize-no-science-connect-climate-change-conflict/","Greta Thunberg’s Cause Could Have Cost Her Peace Prize: No Science to Connect Climate Change to Conflict","Greta Thunberg, the 16-year-old Swedish girl who has become the international face of the youth climate change movement, has been passed up by the Peace Research Institute in Oslo for the 2019 Nobel Peace Prize.","","“The link between climate change and conflict is still ‘quite tenuous at this point,’ she said in the Post report. “Everyone sees flooding can cause conflict, migration and so on, but this is no way well established as a security policy issue yet.”","11 Oct 2019"
"1570844052-1578","https://www.breitbart.com/politics/","Pentagon Chief on Decision to Move Troops in Syria: ‘We Put the Safety of Our Soldiers First’","https://www.breitbart.com/politics/2019/10/11/pentagon-chief-on-decision-to-move-troops-in-syria-we-put-the-safety-of-our-soldiers-first/","Pentagon Chief on Decision to Move Troops in Syria: ‘We Put the Safety of Our Soldiers First’","Defense Secretary Mark Esper said Friday the Trump administration decided to pull back less than 50 U.S. troops from northern Syria in order to make sure they were not caught in a pending fight between Turkish and Syrian Kurdish forces.","","He said, “Rather than get pulled into this conflict, we put the safety of our soldiers first, while urging Turkey to forego its operations and working hard with us to address their concerns through the development of a security zone along the border.”","11 Oct 2019"
"1570844052-1583","https://www.breitbart.com/politics/","Pentagon Chief on Decision to Move Troops in Syria: ‘We Put the Safety of Our Soldiers First’","https://www.breitbart.com/politics/2019/10/11/pentagon-chief-on-decision-to-move-troops-in-syria-we-put-the-safety-of-our-soldiers-first/","Pentagon Chief on Decision to Move Troops in Syria: ‘We Put the Safety of Our Soldiers First’","Defense Secretary Mark Esper said Friday the Trump administration decided to pull back less than 50 U.S. troops from northern Syria in order to make sure they were not caught in a pending fight between Turkish and Syrian Kurdish forces.","","“We oppose and are greatly disappointed by Turkey’s decision to launch a unilateral, military incursion into northern Syria,” he said. “This operation puts our SDF partners in harm’s way, it risks the security of ISIS prison camps, and will further destabilize the region.”","11 Oct 2019"
"1570844014-1346","https://www.breitbart.com/politics/","Jane Fonda Takes Break from Acting, Moves to Washington to Become Climate Activist","https://www.breitbart.com/entertainment/2019/10/11/jane-fonda-takes-break-from-acting-moves-to-washington-to-become-climate-activist/","Jane Fonda Takes Break from Acting, Moves to Washington to Become Climate Activist","Actress-activist Jane Fonda said she is taking a break from her Netflix comedy series Grace and Frankie and is moving to Washington, D.C. in order to be at the center of the so-called climate change battle.","","The 81-year-old Jane Fonda was arrested Friday after she and a group of fellow sign-wielding agitators refused to move from the steps of the U.S. Capitol building where she was participating in her “Fire Drill Fridays” protest for the environment.","11 Oct 2019"
"1570844067-1693","https://www.breitbart.com/politics/","Trump to Replace Kevin McAleenan at Department of Homeland Security","https://www.breitbart.com/politics/2019/10/11/trump-to-replace-kevin-mcaleenan-at-department-of-homeland-security/","Trump to Replace Kevin McAleenan at Department of Homeland Security","Acting Department of Homeland Security (DHS) Secretary Kevin McAleenan will be leaving his position as the head of the agency, President Trump announced Friday evening.","","Trump wrote:","11 Oct 2019"
"1570844067-1703","https://www.breitbart.com/politics/","Trump to Replace Kevin McAleenan at Department of Homeland Security","https://www.breitbart.com/politics/2019/10/11/trump-to-replace-kevin-mcaleenan-at-department-of-homeland-security/","Trump to Replace Kevin McAleenan at Department of Homeland Security","Acting Department of Homeland Security (DHS) Secretary Kevin McAleenan will be leaving his position as the head of the agency, President Trump announced Friday evening.","","John Binder is a reporter for Breitbart News. Follow him on Twitter at @JxhnBinder.","11 Oct 2019"
