web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571534296-18787","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=4","Media Scramble to Protect Alexandria Ocasio-Cortez from Holocaust ...","https://www.breitbart.com/the-media/2019/06/19/nolte-media-scramble-to-protect-alexandria-ocasio-cortez-from-holocaust-lie/","Nolte: Media Scramble to Protect Alexandria Ocasio-Cortez from Holocaust Lie","Rep. Alexandria Ocasio-Cortez (D-NY) is lying about how she compared our migrant detention camps on the Southern border to the Holocaust, and to the surprise of no one, fake news outlets like CNN, MSNBC, and the Washington Post are covering for her with their own lies.","","19 Jun 2019",""
"1571534287-18700","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=4","Alexandria Ocasio-Cortez Faces Backlash for Crenshaw Comment","https://www.breitbart.com/politics/2019/04/12/alexandria-ocasio-cortez-faces-backlash-for-scoffing-that-veteran-dan-crenshaw-should-go-do-something-about-terrorism/","Alexandria Ocasio-Cortez Faces Backlash for Scoffing that Veteran Dan Crenshaw Should ‘Go Do Something’ About Terrorism","New York Congresswoman Alexandria Ocasio-Cortez is facing backlash for telling Rep. Dan Crenshaw, a wounded veteran, to “go do something” about terrorism. Crenshaw is a U.S. Army veteran of Afghanistan and lost an eye in battle, Fox reported.","","12 Apr 2019","“In 2018, right-wing extremists were behind almost ALL US domestic terrorist killings. Why don’t you go do something about that?”"
"1571534311-18900","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=3","Nolte: Alexandria Ocasio-Cortez Melts Down over Criticism of Fake ...","https://www.breitbart.com/politics/2019/04/06/alexandria-ocasio-cortez-melts-criticism-fake-accent/","Nolte: Alexandria Ocasio-Cortez Melts Down over Criticism of Fake Accent","Rep. Alexandria Ocasio-Cortez (D-NY) responded to criticism for her patronizing use of a fake accent in front of a black audience in the usual manner — crybabying.","","6 Apr 2019","Except she’s not from the Bronx. She’s from Westchester."
"1571534282-18681","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=5","Alexandria Ocasio-Cortez: We Progressives Are Going to 'Run Train ...","https://www.breitbart.com/politics/2019/01/16/alexandria-ocasio-cortez-we-progressives-are-going-to-run-train/","Alexandria Ocasio-Cortez: We Progressives Are Going to ‘Run Train’","Rep. Alexandria Ocasio-Cortez (D-NY) used a vulgar sexual term in an interview with the Washington Post published Wednesday, threatening conservatives that Democrats would “run train on the progressive agenda.”","","16 Jan 2019","4. to have sexual intercourse with a girl, with the help of one’s friends."
"1571534344-19032","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=2","Ocasio-Cortez: 'The World Is Going to End in 12 Years...Climate ...","https://www.breitbart.com/politics/2019/01/21/alexandria-ocasio-cortez-the-world-is-going-to-end-in-12-years-if-we-dont-address-climate-change/","Alexandria Ocasio-Cortez: ‘The World Is Going to End in 12 Years if We Don’t Address Climate Change’","Devout socialist Rep. Alexandria Ocasio-Cortez (D-NY) says that the world will stop spinning in a dozen years if “climate change” is left unchecked. Ocasio-Cortez is pushing a new plan in Congress she calls her “Green New Deal” to confront climate matters.","","21 Jan 2019",""
"1571534315-18918","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=3","Democratic Socialist Articles - Breitbart","https://www.breitbart.com/tag/democratic-socialist/","Democratic Socialist","null","Penny Starr","7 Jul 2019, 5:49 PM PDT",""
"1571534366-19163","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=1","Alexandria Ocasio-Cortez Learns to Love War: Blasts Trump's Syria ...","https://www.breitbart.com/national-security/2019/10/08/alexandria-ocasio-cortez-learns-to-love-war-blasts-trumps-syria-withdrawal/","Alexandria Ocasio-Cortez Learns to Love War: Blasts Trump’s Syria Withdrawal","Rep. Alexandria Ocasio-Cortez (D-NY) attacked President Donald Trump’s proposal to withdraw remaining U.S. troops from Syria, tweeting Tuesday that a pullout could have “catastrophic consequences.”","","8 Oct 2019","Since the invasion of Iraq in 2003, the United States has entangled itself in war and occupation throughout the Middle East and North Africa. As of 2018, we are currently involved in military action in Libya, Syria, Iraq, Afghanistan, Yemen, Pakistan, and Somalia. Hundreds of thousands of civilians in these countries have been killed either as collateral damage from American strikes or from the instability caused by U.S. interventions. Millions more have fled their broken countries, contributing to the global refugee crisis.

…"
"1571534268-18568","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=5","Alexandria Ocasio-Cortez Declares War on White, Moderate ...","https://www.breitbart.com/politics/2018/11/18/alexandria-ocasio-cortez-declares-war-on-white-moderate-democrats/","Alexandria Ocasio-Cortez Declares War on White, Moderate Democrats","Alexandria Ocasio-Cortez backed an effort Saturday by a group called the Justice Democrats, which opposes “Democratic incumbents who are demographically and ideologically out-of-touch with their districts.”","","18 Nov 2018","The #OurTime project is a grassroots candidate recruitment effort asking Democrats and progressives around the country to submit nominees for both potential candidates and districts where an Alexandria Ocasio-Cortez-style campaign might succeed. The organization will prioritize candidates who are women, represent the diversity of communities in their district, and support the major tenets of Justice Democrats platform: rejecting corporate PAC donations, Medicare For All, free college, dismantling mass incarceration and deportations, and a Green New Deal."
"1571534350-19064","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=2","Pollak: New Democrat Heroine Alexandria Ocasio-Cortez Is an Anti ...","https://www.breitbart.com/politics/2018/06/27/new-democrat-heroine-alexandria-ocasio-cortez-is-anti-israel-radical/","Pollak: New Democrat Heroine Alexandria Ocasio-Cortez Is an Anti-Israel Radical","Alexandria Ocasio-Cortez, the 28-year-old democratic socialist who became an instant Democratic Party heroine by unseating party caucus chair Rep. Joe Crowley (D-NY) in Tuesday’s New York primary, is an anti-Israel radical.","","27 Jun 2018","During her primary election, Ocasio-Cortez tweeted passionately about an alleged Israeli “massacre” of Palestinian “protesters” at the Gaza border, citing an Al Jazeera article."
"1571534315-18917","https://www.breitbart.com/search/?s=alexandria+ocasio-cortez#gsc.tab=0&gsc.q=alexandria%20ocasio-cortez&gsc.page=3","Democratic Socialist Articles - Breitbart","https://www.breitbart.com/tag/democratic-socialist/","Democratic Socialist","null","Penny Starr","7 Jul 2019, 5:49 PM PDT",""
