web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571532627-13496","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=4","Obama Crushes Conspiracy: No Evidence that Russia Tampered ...","https://www.breitbart.com/politics/2016/12/13/obama-crushes-conspiracy-no-evidence-russia-tampered-votes-election/","Obama Crushes Conspiracy: No Evidence that Russia Tampered with Votes in Election","President Barack Obama emphatically denounced the conspiracy theory saying Russians successfully tampered with the American voting process.","","13 Dec 2016","Obama dismissed the hack and the leaked emails as “not very interesting” and lacking “explosive” revelations. He puzzled as to why it was an “obsession” by the news media despite the knowledge that the Russians were responsible."
"1571532659-13658","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=2","Breitbart News Network","https://www.breitbart.com/","Breitbart","null","Joshua Caplan","null",""
"1571532648-13578","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=3","Fact Check: Barack Obama Installed Golf Simulator in White House","https://www.breitbart.com/the-media/2019/02/14/fact-check-barack-obama-installed-golf-simulator-in-white-house/","Fact Check: Barack Obama Installed Golf Simulator in White House","Barack Obama was the first U.S. president to install a golf simulator in the White House, according to a bombshell report in the far-left Washington Post.","John Nolte","14 Feb 2019",""
"1571532652-13595","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=2","Joe Biden Asks Audience to Imagine 'if, God Forbid, Barack Obama ...","https://www.breitbart.com/2020-election/2019/08/23/joe-biden-asks-audience-to-imagine-if-god-forbid-barack-obama-had-been-assassinated/","Joe Biden Asks Audience to Imagine ‘if, God Forbid, Barack Obama Had Been Assassinated’","Former vice president Joe Biden asked an audience at New Hampshire on Friday to imagine what would have happened “if, God forbid, Barack Obama had been assassinated” after winning the 2008 Democratic primary.","","23 Aug 2019","I think of where we are at the moment. You know, none of you men are old — women are old enough, but a couple of you guys are old enough to remember. I graduated in 1968. Everybody before me was, drop out, go to Haight-Ashbury, don’t trust anybody over 30, everybody not getting involved. I’m serious, I know no woman will shake their head and acknowledge it, but you guys know what I’m talking about. Right? But then what happened? Dr. Ki— I only have two political heroes. I have one hero who was my dad, but I have two political heroes were Martin Luther King and Bobby Kennedy. My senior semester they were both shot and killed. Imagine what would have happened if, God forbid, Barack Obama had been assassinated after becoming the de facto nominee. What would have happened in America?"
"1571532618-13451","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=4","Barack Obama Starts 'Unity Fund' for Eventual 2020 Democrat ...","https://www.breitbart.com/2020-election/2019/05/18/barack-obama-launches-unity-fund-support-eventual-2020-democrat-nominee/","Barack Obama Launches ‘Unity Fund’ for Eventual 2020 Democrat Nominee","Former President Barack Obama may not be ready to support any particular 2020 Democrat presidential candidate for the primaries, but he is already preparing for the eventual nominee by launching a “unity fund” to help in the general election.","","18 May 2019","On April 25, Biden spokesperson Kate Bedingfield insisted on MSNBC that the former veep requested that Obama not endorse him ahead of the 2020 primaries. “The vice president actually asked the president not to endorse. [Biden] wanted to make the case” directly to the voters, she claimed."
"1571532644-13556","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=3","Cory Booker Rips Joe Biden for Clinging to Barack Obama | Breitbart","https://www.breitbart.com/politics/2019/07/31/cory-booker-rips-joe-biden-for-clinging-to-barack-obamacory-booker-rips-joe-biden-for-clinging-to-barack-obama/","Cory Booker Rips Joe Biden for Clinging to Barack Obama","Sen. Cory Booker called out former Vice President Joe Biden for ducking a question about deportations and putting the responsibility on former President Barack Obama.","","31 Jul 2019","“Mr. Vice President, you can’t have it both ways, you invoke President Obama more than anybody in this campaign, you can’t do it when it’s convenient and then dodge it when it’s not,” he said."
"1571532593-13370","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=5","Barack Obama-Endorsed Jacky Rosen Targets Gun Rights.","https://www.breitbart.com/politics/2018/10/24/gun-control-groups-rally-barack-obama-endorsed-jacky-rosen-targets-gun-rights/","Gun Control Groups Rally as Barack Obama-Endorsed Jacky Rosen Targets Gun Rights","Gun control groups are rallying in Nevada as Barack Obama-endorsed Jacky Rosen (D) continues campaigning to restrict gun rights.","","24 Oct 2018","Rosen is trying to unseat Sen. Dean Heller (R-NV), who has an A rating from the NRA."
"1571532616-13446","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=4","Obama 'Proud' of Ex-Admin Staff Who Blasted Trump's 'Go Back ...","https://www.breitbart.com/politics/2019/07/27/obama-proud-of-former-admin-staff-who-blasted-trumps-go-back-remark/","Obama ‘Proud’ of Former Admin Staff Who Blasted Trump’s ‘Go Back’ Remark","Former President Barack Obama on Saturday praised staffers who served in his administration after roughly 150 African-Americans signed an opinion-editorial bashing President Donald Trump’s recent comments regarding the far-left Democrat “Squad.”","","27 Jul 2019","She has also met with Abbas Hamideh, a Hezbollah supporter who has described Israel as a “terrorist entity.” Ocasio-Cortez has come under fire for trivializing the Holocaust by comparing immigrant detention centers to concentration camps. Senior White House advisor Stephen Miller, who is Jewish, recently criticized the New York Democrat for likening the two, saying they minimized the “death of six million of my Jewish brothers and sisters.”"
"1571532661-13699","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=2","Nolte: Spastic Beto O'Rourke Is No Barack Obama | Breitbart","https://www.breitbart.com/politics/2019/03/14/nolte-spastic-beto-orourke-is-no-barack-obama/","Nolte: Spastic Beto O’Rourke Is No Barack Obama","Yes, Barack Obama stutters a lot. Yes, Barack Obama wears mom jeans. But the primary reason Barack Obama served two terms as president was his poise, his cool.","","14 Mar 2019",""
"1571532640-13538","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=3","Donald Trump Pivots Russia Questions to Barack Obama's Failures ...","https://www.breitbart.com/politics/2019/08/26/donald-trump-pivots-russia-questions-to-barack-obamas-failures/","Donald Trump Pivots Russia Questions to Barack Obama’s Failures","President Donald Trump repeatedly pivoted all reporters’ questions about Russia to highlight former President Barack Obama’s failure to contain Russian President Vladimir Putin’s aggressive actions.","","26 Aug 2019","During a press conference, one reporter criticized Trump for signaling his openness to welcoming Putin back to the G7 summit after Obama joined world leaders in 2014 by exiling him from the summit after he annexed Crimea."
"1571532636-13515","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=3","Barack Obama: Too Easy to 'Buy Machine Guns' in America","https://www.breitbart.com/politics/2019/05/31/barack-obama-too-easy-to-buy-machine-guns-in-america/","Barack Obama: Too Easy to ‘Buy Machine Guns’ in America","Barack Obama said U.S. gun laws “don’t make much sense” and specifically criticized the ability to “buy machine guns.”","","31 May 2019","The Daily Mail quoted Obama saying, “Gun laws in the United States don’t make much sense. Anybody can buy any weapon, anytime without, you know, without much if any regulation. They can buy over the Internet. They can buy machine guns.”"
"1571532661-13683","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=2","Nolte: Spastic Beto O'Rourke Is No Barack Obama | Breitbart","https://www.breitbart.com/politics/2019/03/14/nolte-spastic-beto-orourke-is-no-barack-obama/","Nolte: Spastic Beto O’Rourke Is No Barack Obama","Yes, Barack Obama stutters a lot. Yes, Barack Obama wears mom jeans. But the primary reason Barack Obama served two terms as president was his poise, his cool.","","14 Mar 2019","But Obama was cool, you see. In his remarks, he said nothing about McCain. Then he opened things up for questions knowing McCain’s madness would be the first question, and it was, and this is when Obama dropped the nuke: “I think it is going to be part of the president’s job to be able to deal with more than one thing at once.’’"
"1571532661-13698","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=2","Nolte: Spastic Beto O'Rourke Is No Barack Obama | Breitbart","https://www.breitbart.com/politics/2019/03/14/nolte-spastic-beto-orourke-is-no-barack-obama/","Nolte: Spastic Beto O’Rourke Is No Barack Obama","Yes, Barack Obama stutters a lot. Yes, Barack Obama wears mom jeans. But the primary reason Barack Obama served two terms as president was his poise, his cool.","","14 Mar 2019","Beto is a total spaz."
"1571532668-13742","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=2","2020 Democrat Candidates Rip Former President Barack Obama's ...","https://www.breitbart.com/politics/2019/07/31/2020-dem-candidates-rip-barack-obama-record/","2020 Democrat Candidates Rip Former President Barack Obama’s Record","Democrats challenged former Vice President Joe Biden during CNN’s Democrat presidential debate on Wednesday, but in the process, they criticized former President Obama.","","31 Jul 2019","“First of all, Mr. Vice President, it looks like one of us has learned the lessons of the past and one of us hasn’t,” he said to Biden."
"1571532642-13552","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=3","Trump: Democrats Attacked Barack Obama in Debate More than Me","https://www.breitbart.com/politics/2019/08/01/donald-trump-democrats-attacked-barack-obama-in-debate-more-than-me/","Donald Trump: Democrats Attacked Barack Obama in Debate More than Me","President Donald Trump mocked the radical Democrat 2020 candidates for president on Thursday, claiming they spent more time attacking former President Barack Obama in their last debate than they attacked him.","","1 Aug 2019","“I think Biden did OK, he came through, he came limping through, as I say about sleepy Joe, he limped right through it,” Trump said to reporters as he left the White House for his trip to Ohio."
"1571532634-13509","https://www.breitbart.com/search/?s=barrack+obama#gsc.tab=0&gsc.q=barrack%20obama&gsc.page=3","Barack Obama Silent About Ralph Northam Racist Yearbook Scandal","https://www.breitbart.com/politics/2019/02/04/barack-obama-silent-ralph-northam-racist-yearbook-scandal/","Barack Obama Silent About Ralph Northam Racist Yearbook Scandal","Former President Barack Obama remains silent about Virginia Gov. Ralph Northam’s racist yearbook scandal despite calls from the Democrat party for his resignation.","","4 Feb 2019","“I know what Ralph Northam believes. I know what Justin Fairfax believes,” the former president said during a rally in October 2017. “They’ve got plans and policies that will reflect your values and your priorities.”"
