web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571532110-13241","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=1","Bernie Sanders: 'Racist' Trump Is a 'Very Formidable Opponent'","https://www.breitbart.com/politics/2019/10/19/bernie-sanders-racist-and-sexist-trump-is-a-very-formidable-opponent/","Bernie Sanders: ‘Racist’ and ‘Sexist’ Trump Is a ‘Very Formidable Opponent’","Sen. Bernie Sanders (I-VT) declared on Friday that President Trump is a “racist, a sexist and a xenophobe” but said, despite that, he is a “very formidable opponent.”","Hannah Bleau","19 Oct 2019",""
"1571532083-13113","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=3","Bernie: 'I Fear' Biden Will Be Hillary 2.0—No 'Energy and Excitement ...","https://www.breitbart.com/politics/2019/06/03/bernie-i-fear-biden-will-be-hillary-2-0-no-energy-and-excitement/","Bernie: ‘I Fear’ Biden Will Be Hillary 2.0—No ‘Energy and Excitement’","Sen. Bernie Sanders (I-VT) over the weekend said he fears that if Democrats nominate former Vice President Joe Biden in 2020, President Donald Trump will defeat him like he did Hillary Clinton in 2016 because voters will not be excited about Biden and his candidacy.","","3 Jun 2019","“The first, most important plank in my climate proposal is, beat Trump. Beat Trump, beat Trump,” Biden said."
"1571532039-12927","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=5","Bernie Sanders: 'Extremely Unfair' to Compare My Socialism to ...","https://www.breitbart.com/2020-election/2019/09/12/bernie-sanders-extremely-unfair-to-compare-my-socialism-to-venezuelas/","Bernie Sanders: ‘Extremely Unfair’ to Compare My Socialism to Venezuela’s","Socialist Senator Bernie Sanders (I-VT) claimed it was “extremely unfair” to equate his radical leftist policies to those of Venezuelan dictator Nicolás Maduro during Thursday’s Democratic presidential primary debate.","","12 Sep 2019","In February, the same month Maduro arrested Jorge Ramos for asking about the status of political prisoners under his regime, Sanders told CNN that Venezuela still enjoyed “democratic operations,” refusing to call Maduro a dictator."
"1571532069-13060","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=3","Bernie Sanders Floats Global Population Control at Climate Town Hall","https://www.breitbart.com/politics/2019/09/04/bernie-yes-im-courageous-enough-to-talk-about-population-control/","Bernie Sanders Floats Global Population Control at CNN Climate Town Hall","Sen. Bernie Sanders (I-VT) told CNN’s climate change town hall attendees Wednesday night that he is willing to talk about population control, suggesting that abortion is key to addressing the climate crisis.","","4 Sep 2019","“I realize this is a poisonous topic for politicians but it’s crucial to face. Empowering women and educating everyone on the need to curb population growth seems a reasonable campaign to enact,” the attendee continued."
"1571532116-13281","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=1","Bernie Sanders Articles - Breitbart","https://www.breitbart.com/tag/bernie-sanders/","Bernie Sanders","null","Hannah Bleau","19 Oct 2019, 5:11 PM PDT",""
"1571532116-13287","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=1","Bernie Sanders Articles - Breitbart","https://www.breitbart.com/tag/bernie-sanders/","Bernie Sanders","null","Matthew Boyle","19 Oct 2019, 5:11 PM PDT",""
"1571532055-12989","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=4","Bernie Sanders Unveils Massive $16 Trillion Green New Deal Plan","https://www.breitbart.com/politics/2019/08/22/bernie-sanders-unveils-massive-16-trillion-green-new-deal-plan/","Bernie Sanders Unveils Massive $16 Trillion Green New Deal Plan","Sen. Bernie Sanders (I-VT) released his plans for a Green New Deal, accompanied by a monstrous $16 trillion price tag.","","22 Aug 2019","Sanders calls climate change the “single greatest challenge facing our country,” citing “extreme” weather phenomena like floods, droughts, wildfires, and hurricanes, despite the fact that those occurrences have existed since the beginning of time. Sanders even suggests that climate change has a racial element to it, arguing the effects of climate change affect “communities of color,” particularly."
"1571532039-12926","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=5","Bernie Sanders: 'Extremely Unfair' to Compare My Socialism to ...","https://www.breitbart.com/2020-election/2019/09/12/bernie-sanders-extremely-unfair-to-compare-my-socialism-to-venezuelas/","Bernie Sanders: ‘Extremely Unfair’ to Compare My Socialism to Venezuela’s","Socialist Senator Bernie Sanders (I-VT) claimed it was “extremely unfair” to equate his radical leftist policies to those of Venezuelan dictator Nicolás Maduro during Thursday’s Democratic presidential primary debate.","","12 Sep 2019","Maduro has repeatedly blocked humanitarian aid shipments from entering the country."
"1571532058-13012","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=4","Bernie Sanders Unveils Plan to 'Get Corporate Money Out of Politics'","https://www.breitbart.com/politics/2019/10/07/bernie-sanders-unveils-plan-get-corporate-money-out-politics-dnc/","Bernie Sanders Unveils Plan to Get ‘Corporate Money Out of Politics’ at the DNC","Sen. Bernie Sanders (I-VT) on Monday unveiled his plans to get “corporate money out of politics”– a plan which would affect the DNC, specifically.","","7 Oct 2019","Sanders uses CNN as an example:"
"1571532030-12879","https://www.breitbart.com/search/?s=bernie+sanders#gsc.tab=0&gsc.q=bernie%20sanders&gsc.page=5","Poll: Democrat Candidate Bernie Sanders Surging in New Hampshire","https://www.breitbart.com/politics/2019/08/13/poll-bernie-sanders-surging-in-new-hampshire/","Poll: Bernie Sanders Surging in New Hampshire","Sen. Bernie Sanders (I-VT) is surging in New Hampshire, according to a Gravis Marketing poll of Democrat primary voters released last week.","","13 Aug 2019","“However, it is unlikely that Sen. Sanders will have a repeat of his 2016 performance in the state due to the number of candidates in the race this time,” he added."
