web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571534150-18263","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=2","Local Control? States Grumble at Trump Education Department's ...","https://www.breitbart.com/politics/2017/07/19/local-control-states-grumble-trump-education-departments-criticism-education-plans/","Local Control? States Grumble at Trump Education Department’s Criticism of Education Plans","U.S. Education secretary Betsy DeVos has touted a move toward the end of federal control of education, but more states are finding the Trump education department – much like that of former President Barack Obama – is still attempting to control their decisions from Washington, D.C.","Dr. Susan Berry","19 Jul 2017",""
"1571534163-18426","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=1","Education Secretary Betsy DeVos Ends Obama Campus Sex ...","https://www.breitbart.com/politics/2017/09/22/education-secretary-betsy-devos-ends-obama-campus-sex-misconduct-policies/","Education Secretary Betsy DeVos Ends Obama Campus Sex Misconduct Policies","In interim guidance released Friday, U.S. Education Secretary Betsy DeVos ended the campus sexual misconduct policies put forward by former President Barack Obama, stating that, while colleges must continue to combat sexual misconduct on campus, the process must be “fair and impartial,” and inspiring “confidence in its outcomes.”","","22 Sep 2017","As Breitbart News reported, in a strong address on September 7, DeVos asserted the Obama administration’s heavy-handed policy – that forced colleges and universities to conduct “kangaroo courts” in dealing with accusations of sexual assault –  has “failed.”"
"1571534169-18504","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=1","Conservatives Erupt over Betsy DeVos Announcement: 'Common ...","https://www.breitbart.com/politics/2018/01/23/conservatives-erupt-betsy-devos-announcement-common-core-dead/","Conservatives Erupt over Betsy DeVos Announcement: ‘Common Core Is Dead’","U.S. Education Secretary Betsy DeVos continues to struggle with the conservative base of the GOP as she again declares, “Common Core is dead.”","","23 Jan 2018","DeVos’s pronouncements that Common Core is “dead” seem disconnected from reality to parents across the country."
"1571534085-17870","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=5","Politico: Betsy DeVos' Michigan Charter Schools Get 'Poor Grades ...","https://www.breitbart.com/politics/2016/12/09/politico-betsy-devos-michigan-charter-schools-get-poor-grades/","Politico: Betsy DeVos’ Michigan Charter Schools Get ‘Poor Grades’","President-elect Donald Trump’s education secretary nominee Betsy DeVos has contributed both her wealth and influence to the creation of more charter schools in her home state of Michigan, but national test scores show the state has not fared well as a result, says a report in Politico.","","9 Dec 2016","More concerning, the American Federation for Children, which DeVos chairs, has tended to favor more rules and regulations on choice than I would prefer. That could become a much bigger concern were rules and regs attached to national-level vouchers."
"1571534148-18258","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=2","Potential Trump Education Chief Pick Betsy DeVos is Pro-Common ...","https://www.breitbart.com/politics/2016/11/23/potential-trump-education-chief-pick-betsy-devos-pro-common-core-family-donated-clinton-foundation/","Potential Trump Education Chief Pick Betsy DeVos is Pro-Common Core, Family Donated to Clinton Foundation","Michigan Republican mega donor Betsy DeVos, whose husband’s family founded Amway, is reported to be on President-elect Donald Trump’s short list of candidates to head up the U.S. Department of Education.","","23 Nov 2016","Frank Cannon, president of American Principles Project, also released the following statement:"
"1571534161-18417","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=1","DeVos Signs onto Globalist U.N. Education Agenda, Grassroots ...","https://www.breitbart.com/politics/2018/09/18/devos-signs-onto-globalist-u-n-education-agenda-grassroots-parents-call-for-her-dismissal/","DeVos Signs onto Globalist U.N. Education Agenda, Grassroots Parents Call for Her Dismissal","U.S. Education Secretary Betsy DeVos has signed onto a declaration by education ministers of the G-20 countries that calls for putting education “at the center of the global agenda,” an action that has led a national grassroots organization of parents to call for her dismissal.","","18 Sep 2018","“We do not believe these actions are consistent with your ‘America First’ philosophy nor your campaign promises that generated so much enthusiasm,” the grassroots education group told Trump. “Given these concerns, we call for the immediate dismissal of Secretary DeVos and for the appointment of an American education leader who will prioritize the fulfillment of your campaign promises.”"
"1571534155-18354","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=2","Betsy DeVos Unveils Federalized School Choice Plan","https://www.breitbart.com/politics/2019/02/28/betsy-devos-unveils-federalized-school-choice-plan/","Betsy DeVos Unveils Federalized School Choice Plan","Education Secretary Betsy DeVos unveiled a plan Thursday that would provide $5 billion to federalize school choice by setting up a nationwide federal tax-credit scholarship program.","","28 Feb 2019","“School choice is about individualization and freedom, and almost certainly that is what DeVos, Cruz, and Byrne want,” McCluskey wrote. “But federal initiatives are a terrible way to deliver that. The reality is that what the feds fund, even indirectly, they inevitably want to control.”"
"1571534065-17723","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=5","Jeb Bush Praises Donald Trump's Choice of Betsy DeVos as ...","https://www.breitbart.com/politics/2016/11/23/bush-praises-trump-choice-betsy-devos-education-secretary/","Jeb Bush Praises Donald Trump’s Choice of Betsy DeVos as Education Secretary","Former Florida Gov. Jeb Bush is praising President-elect Donald Trump’s choice of Betsy DeVos to run the Department of Education.","","23 Nov 2016","Though DeVos minimizes her associations with pro-Common Core organizations, they are readily visible and most would assume if she gives considerable financial and time and talent support to a group of people, she probably believes what they believe."
"1571534176-18547","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=1","Betsy DeVos Articles - Breitbart","https://www.breitbart.com/tag/betsy-devos/","Betsy DeVos","null","Dr. Susan Berry","10 Oct 2019, 8:26 PM PDT",""
"1571534069-17760","https://www.breitbart.com/search/?s=betsy+devos#gsc.tab=0&gsc.q=betsy%20devos&gsc.page=5","Homeschool Advocates to Betsy DeVos: We 'Want to Be Left Alone ...","https://www.breitbart.com/politics/2017/05/17/homeschool-advocates-betsy-devos-want-left-alone-federal-government/","Homeschool Advocates to Betsy DeVos: We ‘Want to Be Left Alone by Federal Government’","Homeschool advocates say they informed U.S. Education Secretary Betsy DeVos that homeschooling should not be included in any school voucher programs since government regulation could be tied to acceptance of taxpayer funds.","","17 May 2017","HSLDA president Mike Smith, vice presidents Jim Mason and Chuck Hurst, and director of federal relations William Estrada met with DeVos, along with Tricia Powell, a homeschooling parent."
