web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574634376-11809","https://www.breitbart.com/tag/elizabeth-warren/page/1","Elizabeth Warren Calls for a ‘Full-Blown National Conversation About Reparations’","https://www.breitbart.com/politics/2019/11/22/elizabeth-warren-calls-full-blown-national-conversation-about-reparations/","Elizabeth Warren Calls for a ‘Full-Blown National Conversation About Reparations’","Sen. Elizabeth Warren (D-MA) on Thursday delivered a speech at Clark Atlanta University, and declared that it is time to adopt Rep. Sheila Jackson Lee’s (D-TX) legislation on reparations.","","22 Nov 2019","“I love the idea of this congressional commission, let’s bring people together and let’s open that conversation as Americans. Let’s see what ideas people want to put on the table and let’s talk them through,” she continued."
"1574634155-10260","https://www.breitbart.com/tag/elizabeth-warren/page/4","Pennsylvania Poll: ‘Scranton Joe’ Biden Expands Lead Over Democrat Rivals","https://www.breitbart.com/2020-election/2019/10/31/pennsylvania-poll-scranton-joe-biden-expands-lead-over-democrat-rivals/","Pennsylvania Poll: ‘Scranton Joe’ Biden Expands Lead Over Democrat Rivals","Former Vice President Joe Biden has expanded his lead over rival 2020 Democrats in Pennsylvania, a state he claims to be his home turf.","Haris Alic","31 Oct 2019",""
"1574634197-10529","https://www.breitbart.com/tag/elizabeth-warren/page/3","Video Emerges of Nancy Pelosi Backing Single-Payer Health Care in 1993","https://www.breitbart.com/politics/2019/11/04/video-emerges-of-nancy-pelosi-backing-single-payer-health-care-in-1993/","Video Emerges of Nancy Pelosi Backing Single-Payer Health Care in 1993","Video from 1993 has re-emerged showing Rep. Nancy Pelosi (D-CA) backing single-payer, government-run health care — though the current Speaker of the House claims to oppose that policy today.","","4 Nov 2019","The program was to have been administered by the states, with federal assistance. The bill declared:"
"1574634164-10322","https://www.breitbart.com/tag/elizabeth-warren/page/4","2020 Candidates Shred Warren’s Medicare for All Plan: ‘Simply Not Believable’","https://www.breitbart.com/politics/2019/11/01/2020-candidates-shred-warrens-medicare-all-plan-simply-not-believable/","2020 Candidates Shred Warren’s Medicare for All Plan: ‘Simply Not Believable’","Three presidential hopefuls – Joe Biden (D), John Delaney (D), and Sen. Michael Bennet (D-CO) – slammed Sen. Elizabeth Warren’s (D-MA) Medicare for All plan on Friday, saying her pitch is “simply not believable.”","","1 Nov 2019","There’s no two ways about it, we cannot defeat Donald Trump with double talk on health care — especially not about the impact and cost of a proposal to completely dismantle our health care system and eliminate employer-sponsored and all other private health insurance."
"1574634343-11469","https://www.breitbart.com/tag/elizabeth-warren/page/1","Poll: Pro-Mass Immigration 2020 Candidates Turn Off Majority of Voters","https://www.breitbart.com/politics/2019/11/20/poll-pro-mass-immigration-2020-candidates-turn-off-majority-of-voters/","Poll: Pro-Mass Immigration 2020 Candidates Turn Off Majority of Voters","Presidential candidates promising to bring more illegal and legal immigrants to the United States are much less popular than those vowing to reduce labor market competition by cutting immigration, a new poll finds.","John Binder","20 Nov 2019",""
"1574634260-10925","https://www.breitbart.com/tag/elizabeth-warren/page/2","Hillary Clinton, Establishment Democrats Signal Deepening Panic over Democrat Field","https://www.breitbart.com/politics/2019/11/08/hillary-clinton-establishment-democrats-signal-deepening-panic-over-democrat-field/","Hillary Clinton, Establishment Democrats Signal Deepening Panic over Democrat Field","The elite class and Hillary Clinton, specifically, are unsatisfied with the current Democrat primary field and have signaled their dissatisfaction in a variety of ways in recent weeks, from refusing to endorse former Vice President Joe Biden (D) to dismissing the ultra-far-left candidates’ radical agendas.","","8 Nov 2019","There is no shortage of candidates in the current Democrat primary field. Democrats have, on paper, everything they have claimed to want in terms of diversity in their lineup."
"1574634124-10057","https://www.breitbart.com/tag/elizabeth-warren/page/4","Chicago Mayor Lori Lightfoot: Teachers Union ‘Cannot Simply Take Yes for an Answer’","https://www.breitbart.com/politics/2019/10/28/chicago-mayor-lori-lightfoot-teachers-union-cannot-simply-take-yes-for-an-answer/","Chicago Mayor Lori Lightfoot: Teachers Union ‘Cannot Simply Take Yes for an Answer’","Chicago Mayor Lori Lightfoot said on Sunday the Chicago Teachers Union (CTU) “cannot simply take yes for an answer” as their strike moved into its eighth day with no end in sight.","","28 Oct 2019",""
"1574634097-9893","https://www.breitbart.com/tag/elizabeth-warren/page/5","Joe Biden Campaign Reverses Course on Super PACs amid Cash Crunch","https://www.breitbart.com/politics/2019/10/24/biden-campaign-reverses-course-super-pacs-cash-crunch/","Joe Biden Campaign Reverses Course on Super PACs amid Cash Crunch","Former Vice President Joe Biden’s campaign is reversing its position on accepting help from super PACs amid anemic fundraising.","","24 Oct 2019",""
"1574634224-10721","https://www.breitbart.com/tag/elizabeth-warren/page/3","Poll: Dem Voters Say Bernie Sanders Best on Issues but Question His Electability","https://www.breitbart.com/politics/2019/11/06/poll-voters-say-sanders-best-on-issues-question-his-ability-to-beat-trump/","Poll: Dem Voters Say Bernie Sanders Best on Issues but Question His Electability","Democratic voters believe Sen. Bernie Sanders (I-VT) has the best positions on health care, the economy, immigration, and the environment but question his ability to beat President Trump in a general election matchup, a Reuters/Ipsos Poll released this week shows.","","6 Nov 2019","When asked “Who is the best candidate” on health care, 24 percent chose Sanders, who has unabashedly touted his Medicare for All plan and admitted that middle class taxes will, in fact, go up."
"1574634374-11773","https://www.breitbart.com/tag/elizabeth-warren/page/1","Poll: Majority of Wisconsin Voters Oppose Impeachment","https://www.breitbart.com/politics/2019/11/21/poll-majority-of-wisconsin-voters-oppose-impeachment/","Poll: Majority of Wisconsin Voters Oppose Impeachment","A majority of registered voters in Wisconsin oppose the impeachment and removal from office of President Trump, according to a poll released by Marquette University Law School Poll on Wednesday.","","21 Nov 2019","Among likely voters in the April 7 Wisconsin Democrat primary voters, 30 percent say they would vote for Joe Biden. Bernie Sanders is in a distant second place with 17 percent, followed by Elizabeth Warren in third place with 15 percent and Pete Buttigieg in fourth place with 13 percent."
