web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574633069-3309","https://www.breitbart.com/tag/hillary-clinton/page/3","Tulsi Gabbard Rips Hillary Clinton: ‘Queen of Warmongers’","https://www.breitbart.com/politics/2019/10/18/tulsi-gabbard-rips-hillary-clinton-queen-of-warmongers/","Tulsi Gabbard Rips Hillary Clinton: ‘Queen of Warmongers’","Rep. Tulsi Gabbard (D-HI) called former Secretary of State Hillary Clinton the “queen of warmongers” on Friday, blaming Clinton for orchestrating recent smears against her in the mainstream media.","","18 Oct 2019","Last weekend, the New York Times made similar accusations against Gabbard, without any evidence, calling her “a potentially useful vector for Russian efforts to sow division within the Democratic Party.”"
"1574633049-3241","https://www.breitbart.com/tag/hillary-clinton/page/4","Tulsi Gabbard Would Outlaw Most Abortions in Third Trimester","https://www.breitbart.com/politics/2019/10/16/tulsi-gabbard-would-outlaw-most-abortions-in-third-trimester/","Tulsi Gabbard Would Outlaw Most Abortions in Third Trimester","Democrat presidential candidate Rep. Tulsi Gabbard (D-HI) broke from her radical colleagues during the Ohio debate Tuesday night by stating abortion should be “safe, legal, and rare,” and indicating she would, if elected president, work to restrict most abortions in the third trimester of pregnancy.","","16 Oct 2019","I agree with Hillary Clinton on one thing, disagree with her on many others, but when she said abortion should be safe, legal, and rare, I think she’s correct. We see how the consequences of laws that you’re referring to can often lead to a dangerous place, as we’ve seen them as they’re passed in other countries, where a woman who has a miscarriage past that six weeks could be imprisoned because abortion would be illegal at that point."
"1574633002-2885","https://www.breitbart.com/tag/hillary-clinton/page/4","Ann Coulter: You Ask a Lot of Questions for a President","https://www.breitbart.com/the-media/2019/10/04/ann-coulter-you-ask-a-lot-of-questions-for-a-president/","Ann Coulter: You Ask a Lot of Questions for a President","This column will explain the impeachment farce in two minutes. By the end, you will thank the media for demanding the release of Trump’s phone calls with the presidents of Ukraine and Australia.","","4 Oct 2019","The whole picture becomes clear when you have the timeline."
"1574633228-4342","https://www.breitbart.com/tag/hillary-clinton/page/1","Hillary Clinton Longs to Hug Meghan Markle, Comfort Her over Media Coverage","https://www.breitbart.com/politics/2019/11/13/hillary-clinton-longs-to-hug-meghan-markle-comfort-her-over-media-coverage/","Hillary Clinton Longs to Hug Meghan Markle, Comfort Her over Media Coverage","Failed 2016 presidential candidate Hillary Clinton would like nothing better than to hug Meghan Markle, the Duchess of Sussex and comfort her over the way the Royal has featured in the U.K. media.","","13 Nov 2019","“I never thought that this would be easy, but I thought it would be fair,” she told ITV News anchor Tom Bradby. “That’s the part that’s really hard to reconcile.”"
"1574632984-2769","https://www.breitbart.com/tag/hillary-clinton/page/5","Donald Trump Previews ‘Major Lawsuit’ After ‘Personal’ Investigation of Democrat Corruption in 2016","https://www.breitbart.com/politics/2019/10/02/donald-trump-previews-major-lawsuit-after-personal-investigation-of-democrat-corruption-in-2016/","Donald Trump Previews ‘Major Lawsuit’ After ‘Personal’ Investigation of Democrat Corruption in 2016","President Donald Trump confirmed that he was investigating the sources of the Russia collusion investigation, citing corruption in 2016.","","2 Oct 2019","He previewed a “major lawsuit” against his enemies who brought the Russia investigation forward."
"1574633217-4272","https://www.breitbart.com/tag/hillary-clinton/page/1","Gabbard’s Team Signals Legal Action, Demands Retraction of Hillary Clinton’s ‘Defamatory’ Remarks","https://www.breitbart.com/politics/2019/11/11/gabbards-team-signals-legal-action-demands-retraction-of-hillary-clintons-defamatory-remarks/","Gabbard’s Team Signals Legal Action, Demands Retraction of Hillary Clinton’s ‘Defamatory’ Remarks","Rep. Tulsi Gabbard’s (D-HI) team is signaling impending legal action, demanding a retraction from Hillary Clinton regarding the statements she made during an October 17 appearance on Campaign HQ With David Plouffe, in which she implied that Gabbard is a “favorite of the Russians” as well as a “Russian asset.”","","11 Nov 2019","Clinton did not explicitly mention Gabbard by name, but her spokesman Nick Merill confirmed that Clinton had the Hawaiian lawmaker in mind, telling NBC News, “If the nesting doll fits.”"
"1574633006-2949","https://www.breitbart.com/tag/hillary-clinton/page/4","FLASHBACK – Hillary Clinton: ‘China, If You’re Listening … Get Trump’s Tax Returns’","https://www.breitbart.com/politics/2019/10/04/flashback-hillary-clinton-china-if-youre-listening-get-trumps-tax-returns/","FLASHBACK – Hillary Clinton: ‘China, If You’re Listening … Get Trump’s Tax Returns’","Former Secretary of State Hillary Clinton publicly asked the People’s Republic of China in May to release President Donald Trump’s tax returns — exactly the same act that Democrats and the media claim warrants impeachment.","","4 Oct 2019","Imagine, Rachel, that you had one of the Democratic nominees for 2020 on your show, and that person said, you know, the only other adversary of ours who is anywhere near as good as the Russians is China. So, why should Russia have all the fun?  And since Russia is clearly backing Republicans, why don’t we ask China to back us."
"1574633042-3194","https://www.breitbart.com/tag/hillary-clinton/page/4","Leading 2020 Dems Unified to Turn Red States Blue with More Immigration","https://www.breitbart.com/politics/2019/10/14/2020-democrats-unified-for-more-immigration/","Leading 2020 Dems Unified to Turn Red States Blue with More Immigration","Despite efforts to draw distinctions between each other, the leading 2020 Democrat presidential primary candidates are unified to bring more immigration, and thus more labor market competition for American workers, to the United States if elected.","","14 Oct 2019","Though polling among all U.S. voters, and particularly with swing voters, finds campaigning for immigration, illegal and legal, is the most unpopular policy position, leading candidates like former Vice President Joe Biden, Sen. Elizabeth Warren (D-MA), and Sen. Bernie Sanders (I-VT) have gone above and beyond past Democrat candidates in their vows to drive a large migration to the country."
"1574633119-3690","https://www.breitbart.com/tag/hillary-clinton/page/3","Rand Paul: Is Quid Pro Quo the Status Quo?","https://www.breitbart.com/politics/2019/10/24/rand-paul-is-quid-pro-quo-the-status-quo/","Rand Paul: Is Quid Pro Quo the Status Quo?","Isn’t all foreign aid supposed to be quid pro quo?","","24 Oct 2019","Rand Paul is serving his second term in the U.S. Senate, representing the State of Kentucky."
"1574633089-3428","https://www.breitbart.com/tag/hillary-clinton/page/3","Nancy Kaufman: Tulsi Gabbard Rises Above Corporate Media Smears","https://www.breitbart.com/2020-election/2019/10/20/nancy-kaufman-tulsi-gabbard/","Nancy Kaufman: Tulsi Gabbard Rises Above Corporate Media Smears","Smears keep coming at the Democrats’ anti-war candidate, Representative Tulsi Gabbard (D-HI), who ripped into the corporate hosts of last Tuesday’s fourth presidential debate, the New York Times and CNN, from the stage.","","20 Oct 2019","Among other reasons, Gabbard argued that the polls the DNC chose for certifying the candidates for the November debate were not as accurate as many of the non-certified polls that could actually help her qualify. So far, the only candidates who have qualified for November are former Vice President Joe Biden, Sen. Elizabeth Warren (D-MA), Sen. Kamala Harris (D-CA), and South Bend Mayor Pete Buttigieg."
