web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574635458-18882","https://www.breitbart.com/tag/joe-biden/page/1","Joe Biden: Lindsey Graham Will ‘Regret’ Investigating Me ‘His Whole Life’","https://www.breitbart.com/2020-election/2019/11/22/joe-biden-lindsey-graham-will-regret-investigating-me-his-whole-life/","Joe Biden: Lindsey Graham Will ‘Regret’ Investigating Me ‘His Whole Life’","Former Vice President Joe Biden threatened Sen. Lindsey Graham (R-SC) for launching an investigation into his activities with Ukraine while in the Obama White House, stating the Republican will “regret” the move his “whole life.”","","22 Nov 2019","Graham is also seeking all documents and communications related to a meeting between Devon Archer, a business partner of Hunter Biden, and then-Secretary of State John Kerry on March 2, 2016."
"1574635264-17516","https://www.breitbart.com/tag/joe-biden/page/4","Poll: Bernie Sanders Plunges to Fourth In New Hampshire","https://www.breitbart.com/politics/2019/11/11/poll-bernie-sanders-plunges-to-fourth-in-new-hampshire/","Poll: Bernie Sanders Plunges to Fourth In New Hampshire","Sen. Bernie Sanders (I-VT) is struggling to maintain a top dog status in New Hampshire, plunging to fourth place in the Granite State, a Quinnipiac University poll released Monday revealed.","","11 Nov 2019","“New Hampshire has mountains. Iowa has plains. They couldn’t be more different except for the results of the last two Quinnipiac University polls, which both show 4 candidates in the top tier,” Quinnipiac University Polling Analyst Tim Malloy stated, warning that the state’s lineup is “far from rock solid.”"
"1574635444-18791","https://www.breitbart.com/tag/joe-biden/page/1","Poll: Majority of Wisconsin Voters Oppose Impeachment","https://www.breitbart.com/politics/2019/11/21/poll-majority-of-wisconsin-voters-oppose-impeachment/","Poll: Majority of Wisconsin Voters Oppose Impeachment","A majority of registered voters in Wisconsin oppose the impeachment and removal from office of President Trump, according to a poll released by Marquette University Law School Poll on Wednesday.","","21 Nov 2019","Only 32 percent of respondents said they “followed the news and testimony in the impeachment investigation by the House of Representatives” very closely."
"1574635282-17598","https://www.breitbart.com/tag/joe-biden/page/3","Impeachment Inquiry Damages Biden More than Trump Ahead of 2020","https://www.breitbart.com/2020-election/2019/11/12/impeachment-inquiry-damages-biden-more-than-trump-ahead-of-2020/","Impeachment Inquiry Damages Biden More than Trump Ahead of 2020","The Democrats impeachment inquiry into President Donald Trump may just be starting, but it’s already damaged the 2020 ambitions of one high profile political figure—Joe Biden.","","12 Nov 2019","A similar situation has played out in New Hampshire, where Biden once led by more than 15 percentage points, the former vice president has been eclipsed by neighboring state rival, Warren. In fact, Biden had not led Warren in the first primary state in any poll taken between mid-September and November.  That trend was only broken on Monday when a Quinnipiac Poll found the former vice president with a four percentage point advantage over Warren in New Hampshire. Although Biden’s campaign was quick to laud the poll as proof their campaign was rebounding, they failed to mention that the former vice president’s lead was exactly within the margin of error."
"1574635303-17767","https://www.breitbart.com/tag/joe-biden/page/3","BACKFIRE: Democrat Impeachment Hearing Accidentally Makes Case for Hunter Biden Investigation","https://www.breitbart.com/2020-election/2019/11/13/backfire-democrat-impeachment-hearing-accidentally-makes-case-for-hunter-biden-investigation/","BACKFIRE: Democrat Impeachment Hearing Accidentally Makes Case for Hunter Biden Investigation","The impeachment inquiry into President Donald Trump backfired on congressional Democrats Wednesday, when a star witness inadvertently made the case that Hunter Biden’s wheeling and dealing in Ukraine should be investigated.","","13 Nov 2019","At the center of controversy is how and why Hunter Biden secured the appointment, which at times paid more than $83,000 a month. As Peter Schweizer, senior contributor at Breitbart News, detailed in his book, Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends, Hunter Biden had no prior experience with either the energy industry or Ukraine before joining Burisma in April 2014."
"1574635164-16734","https://www.breitbart.com/tag/joe-biden/page/5","Donald Trump Supporters Debut ‘Read the Transcript’ Shirts at Kentucky MAGA Rally","https://www.breitbart.com/politics/2019/11/04/donald-trump-supporters-debut-read-the-transcript-shirts-at-kentucky-maga-rally/","Donald Trump Supporters Debut ‘Read the Transcript’ Shirts at Kentucky MAGA Rally","Supporters of President Donald Trump on Monday debuted new t-shirts at a campaign rally in Kentucky.","","4 Nov 2019","The president said that Democrats had only enraged an “angry majority” that would “vote the do-nothing Democrats the hell out of office soon.”"
"1574635150-16647","https://www.breitbart.com/tag/joe-biden/page/5","Poll: Top Democrats Trail President Trump in Texas","https://www.breitbart.com/politics/2019/11/04/poll-top-democrats-trail-president-trump-texas/","Poll: Top Democrats Trail President Trump in Texas","Top Democrat candidates are trailing President Trump in a general election matchup in Texas, a University of Texas/Texas Tribune Poll shows.","","4 Nov 2019","Trump: 46 percent

Castro: 33 percent"
"1574635474-19021","https://www.breitbart.com/tag/joe-biden/page/1","Michael Bloomberg: Younger than Bernie Sanders, Older than Joe Biden","https://www.breitbart.com/2020-election/2019/11/24/michael-bloomberg-younger-than-bernie-sanders-older-than-joe-biden/","Michael Bloomberg: Younger than Bernie Sanders, Older than Joe Biden","Former New York City Mayor Michael Bloomberg formally entered the 2020 presidential race on Sunday, becoming the second-oldest candidate in the race.","","24 Nov 2019","The stakes could not be higher. We must win this election. And we must begin rebuilding America."
"1574635383-18373","https://www.breitbart.com/tag/joe-biden/page/2","Court Docs: DNA Test Confirms Hunter Biden as Father of Arkansas Baby","https://www.breitbart.com/2020-election/2019/11/20/dna-test-confirms-hunter-biden-father-arkansas-baby-court-docs/","Court Docs: DNA Test Confirms Hunter Biden as Father of Arkansas Baby","A DNA test has established Hunter Biden, former Vice President Joe Biden’s youngest son, as the father of a baby born out of wedlock in Arkansas, according to a motion filed in the state by the child’s mother’s legal counsel.","","20 Nov 2019","Biden, son of former vice president Joe Biden, “is not expected to challenge the results of the DNA test or the testing process,” the filing states."
"1574635446-18804","https://www.breitbart.com/tag/joe-biden/page/1","Lindsey Graham Launches Senate Probe into Bidens’ Burisma Actions","https://www.breitbart.com/politics/2019/11/22/lindsey-graham-launches-senate-probe-into-bidens-burisma-actions/","Lindsey Graham Launches Senate Probe into Bidens’ Burisma Actions","(UPI) — Sen. Lindsey Graham on Thursday requested State Department documents related to former Vice President Joe Biden’s communications with former Ukrainian President Petro Poroshenko.","","22 Nov 2019","Graham, R-S.C., sent a letter to Secretary of State Mike Pompeo requesting the documents to assist in answering questions regarding allegations that Joe Biden was involved in the termination of Ukrainian Prosecutor General Viktor Shokin in order to end an investigation into natural gas company Burisma Holdings, where his son Hunter Biden served on the board."
