web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571533925-17499","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=2","Donald Trump and Sarah Palin Battle Ted Cruz in Wisconsin, as ...","https://www.breitbart.com/politics/2016/04/02/donald-trump-and-sarah-palin-battle-ted-cruz-in-wisconsin-as-paul-ryan-lurks/","Donald Trump and Sarah Palin Battle Ted Cruz in Wisconsin, as Paul Ryan Lurks","WISCONSIN — Donald Trump and Sarah Palin barnstormed Wisconsin Saturday in a last-minute push to cut Ted Cruz’s poll lead in the state.","","2 Apr 2016","Trump’s East Coast Style Does Not Adapt Easily Here"
"1571533902-17319","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=3","Sarah Palin Fires Warning Shot at Lisa Murkowski: 'I can see 2022 ...","https://www.breitbart.com/politics/2018/10/05/sarah-palin-fires-warning-shot-at-lisa-murkowski-i-can-see-2022-from-my-house/","Sarah Palin Fires Warning Shot at Lisa Murkowski: ‘I Can See 2022 from My House’","Former Republican Alaska Gov. Sarah Palin fired a warning shot at Sen. Lisa Murkowski (R-AK) after the senator voted against the cloture motion to end debate on Judge Brett Kavanaugh’s confirmation, hinting she may run to unseat the longtime lawmaker in 2022 or endorse a challenger.","","5 Oct 2018","After remaining undecided on whether Kavanaugh’s nomination should move forward, Murkowski rendered her decision Friday in dramatic fashion. As the clerk read the names in alphabetical order, all eyes were on Murkowski. Senators stood up in their chairs and voted, some of them loudly."
"1571533916-17423","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=3","Exclusive -- Sarah Palin: Media Hysteria over Trump's 'Immigration ...","https://www.breitbart.com/the-media/2017/01/29/exclusive-sarah-palin-media-hysteria-over-trumps-immigration-ban-is-fake-news-on-steroids/","Exclusive — Sarah Palin: Media Hysteria over Trump’s ‘Immigration Ban’ Is Fake News on Steroids","A blanket “immigration ban”? No, it is not. That is a fake news headline.","","29 Jan 2017","Trump is doing what the majority recognized was necessary to secure our borders. Voters asked for it, he promised it, and thus he was elected. Now he’s doing it."
"1571533886-17226","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=4","Breitbart News Network","https://www.breitbart.com/","Breitbart","null","Jerome Hudson","null",""
"1571533879-17145","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=4","9 Ways Sarah Palin Was a Trailblazer for Donald Trump | Breitbart","https://www.breitbart.com/politics/2017/07/15/9-ways-palin-trailblazer-for-donald-trump-rise/","9 Ways Sarah Palin Was a Trailblazer for Donald Trump","President Donald Trump may not be in the White House had former Alaska Governor Sarah Palin not blazed the trail for him.","","15 Jul 2017","No wonder working-class Americans who supported Palin– the most “box office” figure on the right before Trump–began to see the media as even more of a joke as purportedly “objective” hosts and anchors could not even pretend to hold back the disdain they had for Palin and her supporters."
"1571533907-17349","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=3","Exclusive– Sarah Palin on Syria: Why Should We 'Sacrifice Even ...","https://www.breitbart.com/radio/2018/04/11/exclusive-sarah-palin-on-syria-why-should-we-sacrifice-even-one-of-our-sons-or-daughters/","Exclusive– Sarah Palin on Syria: Why Should We ‘Sacrifice Even One of Our Sons or Daughters?’","“Why in the world we would be willing to sacrifice even one of our sons or daughters who will be sent over [to Syria]?” asked Former Alaska Governor Sarah Palin during a Tuesday interview with SiriusXM host Rebecca Mansour for Breitbart News Tonight.","","11 Apr 2018","LISTEN:"
"1571533946-17612","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=1","Sarah Palin, Loyal Running Mate, Excluded from John McCain's ...","https://www.breitbart.com/politics/2018/08/29/sarah-palin-loyal-running-mate-excluded-from-john-mccains-funeral/","Sarah Palin, Loyal Running Mate, Excluded from John McCain’s Funeral","Former Alaska Gov. Sarah Palin, who was Sen. John McCain’s (R-AZ) running mate in the 2008 presidential election, has been excluded from his funeral.","","29 Aug 2018","Breitbart News has independently confirmed an earlier report in People magazine, which reported that Palin was not sent an invitation and was told through intermediaries to stay away from the ceremony."
"1571533963-17696","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=1","Sarah Palin, Author at Breitbart","https://www.breitbart.com/author/sarah-palin/","Sarah Palin","null","","22 Aug 2019, 3:00 PM PDT",""
"1571533912-17390","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=3","EXCLUSIVE – Sarah Palin: Congressional GOP Are Abusers And ...","https://www.breitbart.com/politics/2015/12/19/exclusive-sarah-palin-congressional-gop-are-abusers-and-were-their-battered-wife/","EXCLUSIVE – Sarah Palin: Congressional GOP Are Abusers And We’re Their Battered Wife","They did it again. But like a battered wife, we keep going back because every four years they bring us flowers, beg our forgiveness, and swear they’ll never hit us again.","","19 Dec 2015","For the last seven years, grassroots conservatives rallied to action under the belief that change starts at the ballot box. As I’ve said many times: there is nothing wrong with this country that a good old-fashioned election can’t fix."
"1571533904-17334","https://www.breitbart.com/search/?s=sarah+palin#gsc.tab=0&gsc.q=sarah%20palin&gsc.page=3","Sarah Palin: Andrew Breitbart Helped Me Defend Myself When Fox ...","https://www.breitbart.com/radio/2018/02/18/sarah-palin-andrew-breitbart-helped-me-defend-myself-when-fox-news-wouldnt-let-me-on-air-after-the-giffords-shooting/","Sarah Palin: Andrew Breitbart Helped Me Defend Myself When Fox News Wouldn’t Let Me on Air After Giffords Shooting","The late Andrew Breitbart helped Sarah Palin defend herself when Fox News Channel’s former Chairman Roger Ailes denied her the opportunity to respond on air to the media’s false accusations framing her for inciting the attempted assassination of former Congresswoman Gabrielle “Gabby” Giffords (D-AZ) in the days immediately following the 2011 Tucson mass shooting incident.","","18 Feb 2018","“That whole Gabby Giffords thing,” said Mansour. “It was one of the worst moments, and we felt like we were besieged by people accusing us falsely, and your heart was just broken, too, because you’re a mom, and you’re watching the people suffering. I know this hits you really hard at home, because you have a big heart. What was interesting, when you look back, is that you have had instances like this again and again with the media, with a vicious media that just targets you and your family and just goes after you for these things.”"
