web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571539665-25293","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=12","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","https://www.foxnews.com/transcript/sean-hannity-invites-rep-alexandria-ocasio-cortez-onto-his-show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","","July 11","But here's the problem. At first, he told Bill Barr, it was never a consideration, the DOJ policy, our constitutional considerations of whether or not you could indict a sitting president. So, first, he said that, Barr and others, they all heard it. Then he had a nine on the half minute disaster -- and I don't even know he was reading somebody else's words."
"1571539377-23957","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=45","Republican and Jamaican immigrant Scherie Murray steps forward to challenge Rep. Alexandria Ocasio-Cortez in 2020","https://www.foxnews.com/transcript/republican-and-jamaican-immigrant-scherie-murray-steps-forward-to-challenge-rep-alexandria-ocasio-cortez-in-2020","Republican and Jamaican immigrant Scherie Murray steps forward to challenge Rep. Alexandria Ocasio-Cortez in 2020","Republican and Jamaican immigrant Scherie Murray steps forward to challenge Rep. Alexandria Ocasio-Cortez in 2020","","July 17","(BEGIN VIDEO CLIP)"
"1571539649-25172","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=14","Rep. Alexandria Ocasio-Cortez blasts conditions at migrant detention centers","https://www.foxnews.com/transcript/rep-alexandria-ocasio-cortez-blasts-conditions-at-migrant-detention-centers","Rep. Alexandria Ocasio-Cortez blasts conditions at migrant detention centers","Rep. Alexandria Ocasio-Cortez blasts conditions at migrant detention centers","","July 2","PERINO: You always want the fries."
"1571539696-25555","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=7","Nancy Pelosi, Alexandria Ocasio-Cortez meet to ease party infighting","https://www.foxnews.com/transcript/nancy-pelosi-alexandria-ocasio-cortez-meet-to-ease-party-infighting","Nancy Pelosi, Alexandria Ocasio-Cortez meet to ease party infighting","Nancy Pelosi, Alexandria Ocasio-Cortez meet to ease party infighting","","July 26","PELOSI: We're in a political arena. And so, and I'll call this -- we have our differences. Respect that. We have a good meeting, and the congresswoman is a very gracious member of Congress, so we had a very positive conversation."
"1571539665-25307","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=12","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","https://www.foxnews.com/transcript/sean-hannity-invites-rep-alexandria-ocasio-cortez-onto-his-show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","","July 11","HANNITY: And the fact that they used his dossier, and they were warned on numerous occasions, one time in August 2016 by Bruce Ohr, that Steele had an agenda, he hated Trump, Hillary paid for it, and it's not verified. And it's now we know because in an interrogatory in Great Britain, as we have told this audience, he said he didn't know if any of it was true."
"1571539392-24247","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=43","What does Alexandria Ocasio-Cortez and the 'Squad's' prominence mean for the Democrats?","https://www.foxnews.com/transcript/what-does-alexandria-ocasio-cortez-and-the-squads-prominence-mean-for-the-democrats","What does Alexandria Ocasio-Cortez and the 'Squad's' prominence mean for the Democrats?","What does Alexandria Ocasio-Cortez and the 'Squad's' prominence mean for the Democrats?","","July 18","Now, this is -- this BDS resolution that is now evidence of two things, one, Congresswoman Omar, frankly, the evidence is incontrovertible. She is bigoted. She is an anti-Semite, in my opinion. No surprise there."
"1571539665-25357","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=12","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","https://www.foxnews.com/transcript/sean-hannity-invites-rep-alexandria-ocasio-cortez-onto-his-show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","","July 11","UNIDENTIFIED FEMALE: To me, I really think it goes back to the optics. You have an older white woman frankly who is very powerful, who understands how her caucus runs, but they're going up against four women of color who are young who looked like a Democratic base."
"1571539627-24707","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=17","Alexandria Ocasio-Cortez compares border detention centers to concentration camps","https://www.foxnews.com/transcript/alexandria-ocasio-cortez-compares-border-detention-centers-to-concentration-camps","Alexandria Ocasio-Cortez compares border detention centers to concentration camps","Alexandria Ocasio-Cortez compares border detention centers to concentration camps","","June 18","GUTFELD: Really."
"1571539665-25489","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=12","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","https://www.foxnews.com/transcript/sean-hannity-invites-rep-alexandria-ocasio-cortez-onto-his-show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","","July 11","HANNITY: Well, the guy did bump the other guy. Oh, boy, in the end, no injuries, no charges. Man left with an egg and cheese bagel. All right. We hope he gets anger management counseling."
"1571539665-25385","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&start=12","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","https://www.foxnews.com/transcript/sean-hannity-invites-rep-alexandria-ocasio-cortez-onto-his-show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","Sean Hannity invites Rep. Alexandria Ocasio-Cortez onto his show","","July 11","GRAHAM: I'm going to let Horowitz do his job to tell us what happened with the FISA warrant process. Then I'm not going to get in Durham's way who's looking at putting people in jail."
