web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571537441-21173","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=4","Treatment by the press: Obama vs. Trump","https://www.foxnews.com/transcript/treatment-by-the-press-obama-vs-trump","Treatment by the press: Obama vs. Trump","Treatment by the press: Obama vs. Trump","","January 18, 2017","BOLLING: Please help us. Help us figure out what we're going to do with president-elect Donald Trump. When President Donald Trump is giving the briefing, they're freaking out. They are begging Obama to help figure out what the next four or eight years is going to look like. It's going to be -- the pendulum is going to swing exactly the other way, where you guys are going to be seen as the hostile press to President Donald Trump, much the same way that President Obama saw Fox News as hostile to him."
"1571537441-21131","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=4","Treatment by the press: Obama vs. Trump","https://www.foxnews.com/transcript/treatment-by-the-press-obama-vs-trump","Treatment by the press: Obama vs. Trump","Treatment by the press: Obama vs. Trump","","January 18, 2017","GUTFELD: Lisa, I want to play a sot, that sound on tape for America."
"1571537273-20883","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=27","Trump's Twitter typos: From 'covfefe' to 'unpresidented'","https://www.foxnews.com/politics/trumps-twitter-typos-from-covfefe-to-unpresidented","Trump's Twitter typos: From 'covfefe' to 'unpresidented'","Trump's Twitter typos: From 'covfefe' to 'unpresidented'","","January 8, 2018","“I am honered to serve you, the great American People, as your 45th President of the United States,” he said."
"1571537149-20260","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=44","Peter Morici: Trump’s immigration proposals would foster a more prosperous, less-divided America","https://www.foxnews.com/opinion/peter-morici-trumps-immigration-proposals-would-foster-a-more-prosperous-less-divided-america","Peter Morici: Trump’s immigration proposals would foster a more prosperous, less-divided America","Peter Morici: Trump’s immigration proposals would foster a more prosperous, less-divided America","","October 11, 2017","Ultimately, about 65 percent of immigrant visas are based on family ties and 15 percent on employment. The remainder is mostly through a lottery for underrepresented countries."
"1571537185-20737","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=38","El Paso, TX Customs and Border Patrol chief: We're seeing an unprecedented number of family-unit aliens","https://www.foxnews.com/transcript/el-paso-tx-customs-and-border-patrol-chief-were-seeing-an-unprecedented-number-of-family-unit-aliens","El Paso, TX Customs and Border Patrol chief: We're seeing an unprecedented number of family-unit aliens","El Paso, TX Customs and Border Patrol chief: We're seeing an unprecedented number of family-unit aliens","","April 25","CAVUTO: You have a pretty big job. I wish you well. Chief, thank you very, very much."
"1571537132-20233","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=47","President Trump's attorneys react to Mueller's testimony","https://www.foxnews.com/transcript/president-trumps-attorneys-react-to-muellers-testimony","President Trump's attorneys react to Mueller's testimony","President Trump's attorneys react to Mueller's testimony","","July 24","HANNITY: Only touching the surface. The President, Donald Trump, will join us for an exclusive interview, reacting to all of the events from today, the conspiracy theories, the lies, the propaganda, the misinformation. Media is dead. The mob exists. We'll never be a part of it. We are going to get to the truth. We are going to hold them accountable. Let not your heart be troubled. We'll have the President tomorrow night. Laura Ingraham is next."
"1571537177-20524","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=39","Mike Pence on Rep. Lewis' comments, US-Russia relation; Brennan on Russia dossier, global hotspots facing Trump","https://www.foxnews.com/transcript/mike-pence-on-rep-lewis-comments-us-russia-relation-brennan-on-russia-dossier-global-hotspots-facing-trump","Mike Pence on Rep. Lewis' comments, US-Russia relation; Brennan on Russia dossier, global hotspots facing Trump","Mike Pence on Rep. Lewis' comments, US-Russia relation; Brennan on Russia dossier, global hotspots facing Trump","","January 15, 2017","WALLACE:  Hillary Clinton's former campaign manager questioning whether FBI Director James Comey violated FBI regulations in being so public about the Clinton e-mail investigation. This after the Justice Department’s inspector general announced he’ll review Comey's actions."
"1571537132-20026","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=47","President Trump's attorneys react to Mueller's testimony","https://www.foxnews.com/transcript/president-trumps-attorneys-react-to-muellers-testimony","President Trump's attorneys react to Mueller's testimony","President Trump's attorneys react to Mueller's testimony","","July 24","REP. NANCY PELOSI, D-CALIF.: That information --"
"1571537273-20891","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=27","Trump's Twitter typos: From 'covfefe' to 'unpresidented'","https://www.foxnews.com/politics/trumps-twitter-typos-from-covfefe-to-unpresidented","Trump's Twitter typos: From 'covfefe' to 'unpresidented'","Trump's Twitter typos: From 'covfefe' to 'unpresidented'","","January 8, 2018","As the Washington Post’s Mike Madden pointed out, Trump twice struggled with the word “hereby” on March 3, 2017."
"1571537114-19822","https://www.foxnews.com/search-results/search?q=barrack%20obama&ss=fn&start=49","11-year-old says teacher shamed her for choosing Trump as her hero","https://www.foxnews.com/transcript/11-year-old-says-teacher-shamed-her-for-choosing-trump-as-her-hero","11-year-old says teacher shamed her for choosing Trump as her hero","11-year-old says teacher shamed her for choosing Trump as her hero","","April 9","PARSCALE: Yes. Look, I think we have a lot of candidate, we don't know what's going to be on the other side yet and what position the president will take. I think this president is one of the best marketers in American history. I think he understands the people, he understands how to communicate to people. And he's going to move in a way based off of the other candidates. Either way, though, I think he's going to stay strong. He's fighting for this country. He did this for no other but to save the country, and I don't think he's going to move away from that, and I hope he doesn't because it's still how he won the election, and it's going to be how he continues to win."
