web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571536581-19436","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=37","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","https://www.foxnews.com/entertainment/debra-messing-susan-sarandon-bernie-sanders-twitter-feud","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","","August 13","""STFU SUSAN,"" Messing tweeted. ""Oh yes, PLEASE let’s give Trump CREDIT. I mean how else are you able to walk out on the street."""
"1571536600-19449","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=35","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","https://www.foxnews.com/politics/bernie-sanders-supporter-labor-complaint-elizabeth-warren-campaign","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","","August 15","Jason Legg, a tenant-rights attorney -- he has not worked for Warrent's campaign -- filed the challenge on Tuesday."
"1571536763-19522","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=10","Bernie Sanders wants to ban advertising during presidential primary debates","https://www.foxnews.com/politics/bernie-sanders-wants-to-ban-advertising-during-presidential-primary-debates","Bernie Sanders wants to ban advertising during presidential primary debates","Bernie Sanders wants to ban advertising during presidential primary debates","","4 days ago","Tuesday's debate is co-hosted by The New York Times and CNN."
"1571536857-19579","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=0","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","https://www.foxnews.com/opinion/sen-bernie-sanders-we-need-an-economy-and-government-that-works-for-all-not-just-the-one-percent","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","","April 14","Today, while hundreds of thousands of bright young people cannot afford to go to college and millions are struggling with high levels of student debt, the top 1 percent owns more wealth than the bottom 92 percent."
"1571536600-19452","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=35","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","https://www.foxnews.com/politics/bernie-sanders-supporter-labor-complaint-elizabeth-warren-campaign","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","","August 15","“I hope people think about the substance of the charge rather than my interest,” he said."
"1571536493-19340","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=50","Gutfeld: Questions I'd ask Bernie Sanders","https://www.foxnews.com/opinion/gutfeld-questions-id-ask-bernie-sanders","Gutfeld: Questions I'd ask Bernie Sanders","Gutfeld: Questions I'd ask Bernie Sanders","","April 15","6.  It's been said that if you aren't a liberal when you're young you have no heart, but if you aren't a conservative when you're old you have no brain. What’s your excuse?"
"1571536857-19580","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=0","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","https://www.foxnews.com/opinion/sen-bernie-sanders-we-need-an-economy-and-government-that-works-for-all-not-just-the-one-percent","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","","April 14","Today, while CEOs of major corporations make over 300 times what their average workers earn, thousands of veterans sleep out on the street and 20 percent of senior citizens are trying to survive on a paltry $13,500 income or less."
"1571536514-19360","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=47","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","https://www.foxnews.com/politics/bernie-sanders-campaign-workers-complaining-fleeing-over-poverty-wages-report","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","","July 19","“Many field staffers are barely managing to survive financially,” the union letter says, “which is severely impacting our team’s productivity and morale. Some field organizers have already left the campaign as a result.”"
"1571536857-19587","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=0","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","https://www.foxnews.com/opinion/sen-bernie-sanders-we-need-an-economy-and-government-that-works-for-all-not-just-the-one-percent","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","Sen. Bernie Sanders: We need an economy and government that works for all, not just the 1 percent","","April 14","In my view, at a time when we spend almost twice as much per capita on health care as do the people of any other nation, we should not be throwing millions of Americans off of health care they have.  Quite the contrary!  We should join every other major country on earth and guarantee health care to all people as a right through a Medicare for All, single-payer program.  Medicare today is a popular and effective health insurance program for seniors.  Over a 4-year period it should be expanded and improved to cover every man, woman and child in the country.  And when we do that we significantly reduce the cost of health care for the average American family."
"1571536701-19500","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=20","Bernie Sanders’ Iowa political director has left campaign, reports say","https://www.foxnews.com/politics/bernie-sanders-iowa-political-director-has-left-campaign-reports-say","Bernie Sanders’ Iowa political director has left campaign, reports say","Bernie Sanders’ Iowa political director has left campaign, reports say","","September 18","Prior to joining the sanders campaign, Mazour was an organizer for the progressive group Iowa Citizens for Community Improvement. The Washington Post was first to report that she had left the campaign."
"1571536581-19439","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=37","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","https://www.foxnews.com/entertainment/debra-messing-susan-sarandon-bernie-sanders-twitter-feud","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","","August 13","DEBRA MESSING CALLS US ARMY 'DISGUSTING' AFTER BORDER WALL FUNDING"
"1571536770-19530","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=9","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","https://www.foxnews.com/politics/ocasio-cortez-omar-tlaib-reportedly-will-endorse-bernie-sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","","3 days ago","In addition, CNN reported that Rep. Rashida Tlaib, D-Mich., will endorse Sanders as well. It was not immediately clear if Omar and Tlaib will appear at Saturday's event."
"1571536546-19400","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=42","Marc Thiessen: Bernie Sanders runs into socialist reality","https://www.foxnews.com/opinion/marc-thiessen-bernie-sanders-runs-into-socialist-reality","Marc Thiessen: Bernie Sanders runs into socialist reality","Marc Thiessen: Bernie Sanders runs into socialist reality","","July 24","Sanders has promised to ""free generations of Americans from the outrageous burden of student loans by canceling all existing student debt."" Is he setting an example by providing all these benefits to workers on his campaign?"
"1571536506-19344","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=48","Michael Moore endorses Bernie Sanders: 'He isn't afraid to say capitalism is the problem'","https://www.foxnews.com/entertainment/michael-moore-endorses-bernie-sanders","Michael Moore endorses Bernie Sanders: 'He isn't afraid to say capitalism is the problem'","Michael Moore endorses Bernie Sanders: 'He isn't afraid to say capitalism is the problem'","Joseph A. Wulfsohn","1 day ago",""
"1571536514-19359","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=47","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","https://www.foxnews.com/politics/bernie-sanders-campaign-workers-complaining-fleeing-over-poverty-wages-report","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","","July 19","According to the Post, field organizers claim that their long hours working on behalf of Sanders drop their actual pay to about $13 per hour."
"1571536667-19481","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=26","Bernie Sanders tells crying baby to keep it down","https://www.foxnews.com/politics/sanders-crying-baby","Bernie Sanders tells crying baby to keep it down","Bernie Sanders tells crying baby to keep it down","","September 5","The Democratic presidential candidate was about to answer a health care question from an audience member when the little one broke out into a shrill cry."
"1571536770-19532","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=9","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","https://www.foxnews.com/politics/ocasio-cortez-omar-tlaib-reportedly-will-endorse-bernie-sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","","3 days ago","""I believe Bernie Sanders is the best candidate to take on Donald Trump in 2020,"" Omar added."
"1571536833-19560","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=3","Bernie Sanders slams Elizabeth Warren as ‘capitalist’","https://www.foxnews.com/politics/dividing-lines-bernie-sanders-slams-elizabeth-warren-as-capitalist","Bernie Sanders slams Elizabeth Warren as ‘capitalist’","Bernie Sanders slams Elizabeth Warren as ‘capitalist’","","5 days ago","Last year, when asked if she was a capitalist, Warren reportedly said, ""I am a capitalist to my bones."""
"1571536763-19518","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=10","Bernie Sanders wants to ban advertising during presidential primary debates","https://www.foxnews.com/politics/bernie-sanders-wants-to-ban-advertising-during-presidential-primary-debates","Bernie Sanders wants to ban advertising during presidential primary debates","Bernie Sanders wants to ban advertising during presidential primary debates","","4 days ago","Democratic presidential candidate Bernie Sanders says he wants to ban advertising during presidential primary debates."
"1571536622-19468","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=32","Bernie Sanders wants to ban police use of facial recognition","https://www.foxnews.com/tech/bernie-sanders-ban-police-facial-recognition","Bernie Sanders wants to ban police use of facial recognition","Bernie Sanders wants to ban police use of facial recognition","","August 19","Several American cities, including Oakland and San Francisco in California, along with Somverville, Mass., have voted to ban the municipal use of facial recognition technology. Berkeley, Calif. and Cambridge, Mass. are also considering bans on the controversial technology."
"1571536770-19527","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=9","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","https://www.foxnews.com/politics/ocasio-cortez-omar-tlaib-reportedly-will-endorse-bernie-sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","","3 days ago","Three members of the so-called “Squad” of far-left freshman members of Congress are lining up behind Sen. Bernie Sanders for president."
"1571536506-19348","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=48","Michael Moore endorses Bernie Sanders: 'He isn't afraid to say capitalism is the problem'","https://www.foxnews.com/entertainment/michael-moore-endorses-bernie-sanders","Michael Moore endorses Bernie Sanders: 'He isn't afraid to say capitalism is the problem'","Michael Moore endorses Bernie Sanders: 'He isn't afraid to say capitalism is the problem'","","1 day ago","MICHAEL MOORE WARNS DEMS 'PROFESSIONAL POLITICIAN' CAN'T BEAT TRUMP: 'I LOVE JOE BIDEN... BUT WE GOTTA WIN'"
"1571536581-19431","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=37","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","https://www.foxnews.com/entertainment/debra-messing-susan-sarandon-bernie-sanders-twitter-feud","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","Debra Messing slams Susan Sarandon (again!) over Bernie Sanders support","","August 13","DEBRA MESSING SAYS 'GOD IS CRYING' OVER ENVIRONMENTAL DAMAGE"
"1571536546-19397","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=42","Marc Thiessen: Bernie Sanders runs into socialist reality","https://www.foxnews.com/opinion/marc-thiessen-bernie-sanders-runs-into-socialist-reality","Marc Thiessen: Bernie Sanders runs into socialist reality","Marc Thiessen: Bernie Sanders runs into socialist reality","","July 24","Well, McDonald's offers wages competitive with other fast-food chains, but that has not been good enough for Sanders. He has marched with McDonald's workers, and attended Walmart shareholder meetings, to demand they be more generous with their workforces. How could he demand those companies provide pay and benefits that he was resisting giving his own employees?"
"1571536493-19339","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=50","Gutfeld: Questions I'd ask Bernie Sanders","https://www.foxnews.com/opinion/gutfeld-questions-id-ask-bernie-sanders","Gutfeld: Questions I'd ask Bernie Sanders","Gutfeld: Questions I'd ask Bernie Sanders","","April 15","5. Since you became a millionaire, you've trained your sights on billionaires. There are 585 of them in the U.S. If we took all their money, would our problems be solved?"
"1571536600-19455","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=35","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","https://www.foxnews.com/politics/bernie-sanders-supporter-labor-complaint-elizabeth-warren-campaign","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","Bernie Sanders supporter files labor complaint against Elizabeth Warren’s campaign","","August 15","Warren’s campaign did not return Fox News' request for comment."
"1571536546-19406","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&start=42","Marc Thiessen: Bernie Sanders runs into socialist reality","https://www.foxnews.com/opinion/marc-thiessen-bernie-sanders-runs-into-socialist-reality","Marc Thiessen: Bernie Sanders runs into socialist reality","Marc Thiessen: Bernie Sanders runs into socialist reality","","July 24","So, we should all be grateful to the UFCW Local 400 for pulling more Sanders campaign money off the airwaves and into the pockets of Sanders's field workers, while limiting the hours they can work to spread his socialist message. They've done the country a great service."
