web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571540689-28106","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=8","Democratic rivals pile on Elizabeth Warren at presidential debate","https://www.foxnews.com/transcript/democratic-rivals-pile-on-elizabeth-warren-at-presidential-debate","Democratic rivals pile on Elizabeth Warren at presidential debate","Democratic rivals pile on Elizabeth Warren at presidential debate","","3 days ago","GUTFELD: Who are you? You're my favorite weather person."
"1571540689-27968","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=8","Democratic rivals pile on Elizabeth Warren at presidential debate","https://www.foxnews.com/transcript/democratic-rivals-pile-on-elizabeth-warren-at-presidential-debate","Democratic rivals pile on Elizabeth Warren at presidential debate","Democratic rivals pile on Elizabeth Warren at presidential debate","","3 days ago","PERINO: Can you just do it later?"
"1571540689-28176","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=8","Democratic rivals pile on Elizabeth Warren at presidential debate","https://www.foxnews.com/transcript/democratic-rivals-pile-on-elizabeth-warren-at-presidential-debate","Democratic rivals pile on Elizabeth Warren at presidential debate","Democratic rivals pile on Elizabeth Warren at presidential debate","","3 days ago","PERINO: I don't like being scared. I would have punched him, too."
"1571540453-27705","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=39","Tucker Carlson: Elizabeth Warren has 'woke journalist' allies who don't want you to ask questions","https://www.foxnews.com/opinion/tucker-carlson-elizabeth-warren-frontrunner-journalists-taxes-healthcare","Tucker Carlson: Elizabeth Warren has 'woke journalist' allies who don't want you to ask questions","Tucker Carlson: Elizabeth Warren has 'woke journalist' allies who don't want you to ask questions","","2 days ago","Lacey: Mayor Buttigieg, you say Senator Warren has been ""evasive"" about how she is going to pay for ""Medicare-for-All."" What's your response?"
"1571540669-27858","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=11","Judge Jeanine reacts to Bernie calling Elizabeth Warren a capitalist","http://video.foxnews.com/v/6094789741001/","Judge Jeanine reacts to Bernie calling Elizabeth Warren a capitalist","Judge Jeanine reacts to Bernie calling Elizabeth Warren a capitalist","","null",""
"1571540689-28129","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=8","Democratic rivals pile on Elizabeth Warren at presidential debate","https://www.foxnews.com/transcript/democratic-rivals-pile-on-elizabeth-warren-at-presidential-debate","Democratic rivals pile on Elizabeth Warren at presidential debate","Democratic rivals pile on Elizabeth Warren at presidential debate","","3 days ago","GUTFELD: Maybe I'll run up 5k. I'll start out small. All right. Kamala Harris won't let go of her crusade to shut down Trump's Twitter. That's next."
"1571540689-28014","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=8","Democratic rivals pile on Elizabeth Warren at presidential debate","https://www.foxnews.com/transcript/democratic-rivals-pile-on-elizabeth-warren-at-presidential-debate","Democratic rivals pile on Elizabeth Warren at presidential debate","Democratic rivals pile on Elizabeth Warren at presidential debate","","3 days ago","PERINO: Except for now he is trying to figure out that diplomacy piece, which I think that you could agree. Let's get out. But maybe just trying to figure out a way to do it that is a little bit less bloodshed."
"1571540689-28080","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=8","Democratic rivals pile on Elizabeth Warren at presidential debate","https://www.foxnews.com/transcript/democratic-rivals-pile-on-elizabeth-warren-at-presidential-debate","Democratic rivals pile on Elizabeth Warren at presidential debate","Democratic rivals pile on Elizabeth Warren at presidential debate","","3 days ago","SEN. AMY KLOBUCHAR (D-MN) PRESIDENTIAL CANDIDATE: Pursue this impeachment."
"1571540453-27706","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=39","Tucker Carlson: Elizabeth Warren has 'woke journalist' allies who don't want you to ask questions","https://www.foxnews.com/opinion/tucker-carlson-elizabeth-warren-frontrunner-journalists-taxes-healthcare","Tucker Carlson: Elizabeth Warren has 'woke journalist' allies who don't want you to ask questions","Tucker Carlson: Elizabeth Warren has 'woke journalist' allies who don't want you to ask questions","","2 days ago","Buttigieg: Well, we heard it tonight. A yes or no question that didn't get a yes or no answer."
"1571540468-27788","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&start=37","Tucker Carlson: What Elizabeth Warren doesn't want you to know about her 'Medicare-for-all' plan","https://www.foxnews.com/opinion/tucker-carlson-elizabeth-warren-medicare-for-all","Tucker Carlson: What Elizabeth Warren doesn't want you to know about her 'Medicare-for-all' plan","Tucker Carlson: What Elizabeth Warren doesn't want you to know about her 'Medicare-for-all' plan","","1 day ago","Elizabeth Warren pretends that's irrelevant -- and to her, maybe it is irrelevant."
