web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571537933-21971","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=15","President Trump and Joe Biden battle amid impeachment push","https://www.foxnews.com/transcript/president-trump-and-joe-biden-battle-amid-impeachment-push","President Trump and Joe Biden battle amid impeachment push","President Trump and Joe Biden battle amid impeachment push","","October 10","JOE BIDEN, FORMER U.S. VICE PRESIDENT: He's afraid about just how badly I will beat him next November."
"1571537903-21936","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=19","Marc Thiessen: Joe Biden is a hypocrite on Ukraine","https://www.foxnews.com/opinion/marc-thiessen-joe-biden-hypocrite-ukraine","Marc Thiessen: Joe Biden is a hypocrite on Ukraine","Marc Thiessen: Joe Biden is a hypocrite on Ukraine","","October 9","Answer: a message of weakness."
"1571537843-21704","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=26","Joe Biden apologizes for segregationist remarks","https://www.foxnews.com/transcript/joe-biden-apologizes-for-segregationist-remarks","Joe Biden apologizes for segregationist remarks","Joe Biden apologizes for segregationist remarks","","July 8","PERINO: Here's the thing. We can be excited -- the United States won, we're winners, that's great. But they can complain about their behavior -- but you know what, they're being whoever they want to be, whatever. Colin Kaepernick could be who he wants to be. And he gets like all this press from last week, whatever."
"1571537933-22022","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=15","President Trump and Joe Biden battle amid impeachment push","https://www.foxnews.com/transcript/president-trump-and-joe-biden-battle-amid-impeachment-push","President Trump and Joe Biden battle amid impeachment push","President Trump and Joe Biden battle amid impeachment push","","October 10","UNIDENTIFIED MALE: We are now abandoning the Kurds."
"1571537849-21922","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=25","Joe Biden deflects Trump attacks on Ukraine controversy","http://video.foxnews.com/v/6089495820001/","Joe Biden deflects Trump attacks on Ukraine controversy","Joe Biden deflects Trump attacks on Ukraine controversy","","null",""
"1571538050-22336","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=0","Ari Fleischer: Joe Biden's candidacy is like a balloon leaking air","http://video.foxnews.com/v/6095346338001/","Ari Fleischer: Joe Biden's candidacy is like a balloon leaking air","Ari Fleischer: Joe Biden's candidacy is like a balloon leaking air","","null",""
"1571537933-22238","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=15","President Trump and Joe Biden battle amid impeachment push","https://www.foxnews.com/transcript/president-trump-and-joe-biden-battle-amid-impeachment-push","President Trump and Joe Biden battle amid impeachment push","President Trump and Joe Biden battle amid impeachment push","","October 10","PERINO: It's not autographed."
"1571537843-21887","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=26","Joe Biden apologizes for segregationist remarks","https://www.foxnews.com/transcript/joe-biden-apologizes-for-segregationist-remarks","Joe Biden apologizes for segregationist remarks","Joe Biden apologizes for segregationist remarks","","July 8","PERINO: Good luck with that."
"1571537903-21939","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=19","Marc Thiessen: Joe Biden is a hypocrite on Ukraine","https://www.foxnews.com/opinion/marc-thiessen-joe-biden-hypocrite-ukraine","Marc Thiessen: Joe Biden is a hypocrite on Ukraine","Marc Thiessen: Joe Biden is a hypocrite on Ukraine","","October 9","And since Biden raised the Russian threat, let’s recall that the Obama-Biden administration bears much responsibility for the annexation of Crimea that necessitated the delivery of lethal aid to Ukraine in the first place. Russia’s military intervention in Ukraine came in the aftermath of the Obama-Biden administration’s failure to enforce its red line against Bashar Assad’s use of chemical weapons by Syria. In March 2013, Biden declared, “Because we recognize the great danger Assad’s chemical and biological arsenals pose to Israel and the United States, to the whole world, we’ve set a clear red line against the use or the transfer of those weapons.”"
"1571537716-21510","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&start=41","Michael Knowles: Can Joe Biden actually win?","https://www.foxnews.com/opinion/michael-knowles-can-joe-biden-actually-win","Michael Knowles: Can Joe Biden actually win?","Michael Knowles: Can Joe Biden actually win?","","June 6","It might be better for Biden to remain absent and be thought a fool than to campaign and remove all doubt."
