web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571538287-22460","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","SMITH: All right. When we come back, our Sunday panel joins us to discuss the legacy of John McCain and we will take a look at some of his key appearances right here on ""Fox News Sunday"" next."
"1571538518-22891","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=12","John McCain dead at 81","https://www.foxnews.com/politics/john-mccain-dead-at-81","John McCain dead at 81","John McCain dead at 81","","August 25, 2018","McCain was diagnosed with brain cancer in July 2017. Doctors discovered the tumor during a medical procedure to remove a blood clot from above his left eye. He remained upbeat after the diagnosis, flying back to Washington days after surgery with a large scar visible above his eye to partake in the Senate’s health care debate."
"1571538287-22377","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","SEN. CHUCK SCHUMER, D-NEW YORK: The Senate, country, the world are lesser places tonight with the loss of John McCain."
"1571538287-22449","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","SMITH: How, specifically, Senator, did he want to inspire the next generation?"
"1571538287-22440","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","SMITH: You join us by phone, Senator."
"1571538464-22771","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=19","Sen. John McCain: Why I support school choice and charter schools (and you should, too)","https://www.foxnews.com/opinion/sen-john-mccain-why-i-support-school-choice-and-charter-schools-and-you-should-too","Sen. John McCain: Why I support school choice and charter schools (and you should, too)","Sen. John McCain: Why I support school choice and charter schools (and you should, too)","","January 27, 2016","Across the 42 states that now have charter-school laws, access to a quality education is no longer determined by the neighborhood in which a student lives. Families in these states have grown accustomed to competition and choice in the K-12 education marketplace. For nearly three million charter school students and their families, there is no going back."
"1571538287-22614","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","WILLIAMS: And when people start thinking like that, they are definitely going to have much resistance."
"1571538491-22880","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=16","President Trump takes heat for attacks on John McCain","https://www.foxnews.com/transcript/president-trump-takes-heat-for-attacks-on-john-mccain","President Trump takes heat for attacks on John McCain","President Trump takes heat for attacks on John McCain","","March 20","(COMMERCIAL BREAK)"
"1571538326-22679","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=34","Senate colleagues pay tribute to John McCain","http://video.foxnews.com/v/5827508821001/","Senate colleagues pay tribute to John McCain","Senate colleagues pay tribute to John McCain","","null",""
"1571538518-22905","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=12","John McCain dead at 81","https://www.foxnews.com/politics/john-mccain-dead-at-81","John McCain dead at 81","John McCain dead at 81","","August 25, 2018","In 1982, McCain was elected to the House of Representatives. Only a few years later, in 1986, he won the race to replace Arizona’s conservative Sen. Barry Goldwater."
"1571538287-22379","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","Plus --"
"1571538421-22711","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=23","John Oliver rips Meghan McCain: ‘I bet her husband is gonna get so mad at me’","https://www.foxnews.com/entertainment/john-oliver-meghan-mccain-seth-meyers","John Oliver rips Meghan McCain: ‘I bet her husband is gonna get so mad at me’","John Oliver rips Meghan McCain: ‘I bet her husband is gonna get so mad at me’","Brian Flood","May 20",""
"1571538421-22730","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=23","John Oliver rips Meghan McCain: ‘I bet her husband is gonna get so mad at me’","https://www.foxnews.com/entertainment/john-oliver-meghan-mccain-seth-meyers","John Oliver rips Meghan McCain: ‘I bet her husband is gonna get so mad at me’","John Oliver rips Meghan McCain: ‘I bet her husband is gonna get so mad at me’","","May 20","Domenech eventually apologized and deleted his tweets -- which Oliver seems to find hysterical."
"1571538287-22417","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","Joining me now from Manchester, former U.S. Senator Kelly Ayotte who was dubbed one of the three amigos on Capitol Hill, along with Senators McCain and Graham for their joint pushes on foreign policy."
"1571538550-22944","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=9","Meghan McCain marks one-year anniversary of father John McCain's death","https://www.foxnews.com/entertainment/meghan-mccain-john-mccain-death-anniversary","Meghan McCain marks one-year anniversary of father John McCain's death","Meghan McCain marks one-year anniversary of father John McCain's death","","August 25","In April, Meghan revealed she hadn't been home to Arizona since her father's death, captioning an Instagram video, “241 days. I made you teach Ben how to grill your dry ribs because I knew at some point you wouldn’t be able to. I miss you every. single. day. I still can’t go back home to Arizona.”"
"1571538287-22421","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","AYOTTE: I remember him -- first of all, what a tremendous loss for his family, but for the entire nation. I remember John for his courage, his tenacity and his wonderful sense of humor. I mean, he was tough as nails, incredibly bright and also just always cracking a joke, always a smile, believed so strongly in America and really a patriot, but always never took himself too seriously. What an amazing man and I feel so grateful to have known him."
"1571538287-22657","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","OK, it was really fun to have you guys as our panel this morning. Thank you very much, all of you."
"1571538287-22562","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","GONZALES: Well, you'll have to -- we'll have to ask the president. I don't -- I can't -- I can't get into his mind."
"1571538287-22634","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","SMITH: Do Republicans have a point, Marie? This investigation's been going on 16 months and counting."
"1571538287-22573","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&start=40","'Fox News Sunday' remembers Senator John McCain","https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain","'Fox News Sunday' remembers Senator John McCain","'Fox News Sunday' remembers Senator John McCain","","August 26, 2018","Corey, welcome back to ""Fox News Sunday."" Good to have you on the program."
