web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571540997-28458","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=35","Sarah Palin: Billy Graham understood God is the only answer","https://www.foxnews.com/transcript/sarah-palin-billy-graham-understood-god-is-the-only-answer","Sarah Palin: Billy Graham understood God is the only answer","Sarah Palin: Billy Graham understood God is the only answer","","February 21, 2018","MACCALLUM: Here now, Guy Benson, political editor at townhall.com and a Fox News contributor. Guy, I mean, you can't make this up. This poor woman -- she's like, I went to a Trump rally with everybody I knew, with all my friends, and he's interrogating her as if she was, you know, some complicit spy."
"1571540955-28289","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=41","Appeals court gives new life to Sarah Palin's defamation lawsuit against New York Times","https://www.foxnews.com/politics/appeals-court-gives-new-life-to-sarah-palins-defamation-lawsuit-against-ny-times","Appeals court gives new life to Sarah Palin's defamation lawsuit against New York Times","Appeals court gives new life to Sarah Palin's defamation lawsuit against New York Times","","August 6","CLICK HERE TO GET THE FOX NEWS APP"
"1571540997-28376","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=35","Sarah Palin: Billy Graham understood God is the only answer","https://www.foxnews.com/transcript/sarah-palin-billy-graham-understood-god-is-the-only-answer","Sarah Palin: Billy Graham understood God is the only answer","Sarah Palin: Billy Graham understood God is the only answer","","February 21, 2018","KATIE PAVLICH, FOX NEWS CONTRIBUTOR AND NEWS EDITOR FOR TOWNHALL.COM: Yes. Martha, we have been hearing for a long time that we all need to sit down have a 'real' conversation about these issues, and I think that's exactly what happened today. And whether you agree or disagree with some of the things that were said, I certainly agree with some of the things that were said, I agree with the president when he's arming teachers -- and there's a number of school districts around the country that already doing. I disagree with some of the things that were said, but the stability of the conversation and being able to listen to someone thoroughly make their point without their motives being impugned, without the noise of Twitter, and 140 characters or 240, whatever it is now, without the media aspect of it filtering through some of these opinions. I think it really got us to that point of listening to the ideas, and they won't all be implemented, they won't all pan out in terms of facts and what can actually be done to change things in the future. But hearing from everybody in a calm, respectful, and civil manner, from people who really are the closest to this issue, who are hurting in a way that you can't even imagine. I thought it was really important for the country to see."
"1571541010-28498","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=33","Sarah Palin slams controversial Down syndrome policy","https://www.foxnews.com/transcript/sarah-palin-slams-controversial-down-syndrome-policy","Sarah Palin slams controversial Down syndrome policy","Sarah Palin slams controversial Down syndrome policy","","August 15, 2017","JAMIE METZL, SENIOR FELLOW AT THE ATLANTIC COUNCIL AND AUTHOR: It's not that different. Basically, the United States lost this exchange with North Korea over the last week. Just think about it, where were we one week ago? We already had five rounds of sanctions by the United States against -- and the U.N. against North Korea. Now, we have a sixth. It's very much a continuation of the policy. North Korea was never going to attack Guam. 
 And so, we've had this whole exchange where the president of the United States comes down, for the first time ever, comes down to the rhetorical level of the leader of North Korea, and we're hurling insults back and forth."
"1571541065-28695","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=25","Sarah Palin opens up about running for vice president","https://www.foxnews.com/transcript/sarah-palin-opens-up-about-running-for-vice-president","Sarah Palin opens up about running for vice president","Sarah Palin opens up about running for vice president","","April 8, 2018","I think they just take it for granted that we are going to sit there and swallow it and say, ""Okay, you guys know best."" But no, there are enough people paying attention and again, that was all made manifest in the last Presidential election."
"1571540977-28303","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=38","Bristol and Sarah Palin get candid in first 'Teen Mom OG' teaser","https://www.foxnews.com/entertainment/bristol-and-sarah-palin-get-candid-in-first-teen-mom-og-teaser","Bristol and Sarah Palin get candid in first 'Teen Mom OG' teaser","Bristol and Sarah Palin get candid in first 'Teen Mom OG' teaser","","August 21, 2018","""I look forward to sharing my experiences and hope that I can help others on their journey,"" she continued."
"1571540997-28343","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=35","Sarah Palin: Billy Graham understood God is the only answer","https://www.foxnews.com/transcript/sarah-palin-billy-graham-understood-god-is-the-only-answer","Sarah Palin: Billy Graham understood God is the only answer","Sarah Palin: Billy Graham understood God is the only answer","","February 21, 2018","Jesus did not have white skin like mine, nor did he have black skin like some of you. Jesus belongs to all the people."
"1571541108-28801","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=18","Alexandria Ocasio-Cortez compares Sarah Palin to 'grandpa emails' in Twitter feud","https://www.foxnews.com/politics/ocasio-cortez-targets-sarah-palin-in-tweet-after-former-alaska-gov-mocked-her","Alexandria Ocasio-Cortez compares Sarah Palin to 'grandpa emails' in Twitter feud","Alexandria Ocasio-Cortez compares Sarah Palin to 'grandpa emails' in Twitter feud","","November 20","Newly elected Rep. Alexandria Ocasio-Cortez and former Alaska Gov. Sarah Palin are trading barbs on Twitter."
"1571541121-28815","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=16","Sarah Palin explains thought process for possible 2016 bid","http://video.foxnews.com/v/4016382832001/","Sarah Palin explains thought process for possible 2016 bid","Sarah Palin explains thought process for possible 2016 bid","","null",""
"1571541065-28674","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&start=25","Sarah Palin opens up about running for vice president","https://www.foxnews.com/transcript/sarah-palin-opens-up-about-running-for-vice-president","Sarah Palin opens up about running for vice president","Sarah Palin opens up about running for vice president","","April 8, 2018","So, I knew how to do things right. It's always been there, it's just the voice of the people had been ignored for so long. Both parties, I call it a uni-party, both parties had ignored the common man for so long and just taken us for granted."
