web-scraper-order,web-scraper-start-url,pages,pages-href,articles,articles-href,title,subtitle,author,date,content
"1571523531-1388","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","'I Am back,' Bernie Sanders Tells Supporters At NYC Rally","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAxnRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-welcome-back-queens-heart-attack_n_5dab74e2e4b0422422c5e936/RK=2/RS=2BrwHR2VGB2yhDPDfmhX63PRijo-","‘I Am back,’ Bernie Sanders Tells Supporters At NYC Rally","The event marked Sanders’ formal return to the campaign trail less than three weeks after he suffered a heart attack.","","10/19/2019 04:45 pm ET","Almost all the speakers during Saturday’s event, which spanned several hours on a sunny, crisp fall afternoon, played down the health concerns."
"1571523555-1446","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","Rep. Alexandria Ocasio-Cortez To Endorse Bernie Sanders","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAvnRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2faoc-endorses-bernie-sanders-2020-presidential-candidate_n_5da68590e4b062bdcb1a8742/RK=2/RS=o7kHr6WCoQHhm2y1mo.cyR0Q9jY-","Rep. Alexandria Ocasio-Cortez To Endorse Bernie Sanders","The New York congresswoman’s endorsement provides a jolt of energy to a presidential campaign seeking to regain momentum.","","10/15/2019 11:01 pm ET","Sanders remains a front-runner in the Democratic race, and his campaign reported more than $25 million in campaign donations in the third quarter of 2019."
"1571523561-1471","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","Bernie Sanders To Hold Comeback Rally Across From Nation's Largest Public Housing Complex","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAvHRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-comeback-rally-queens-queensbridge-houses-2020-democratic-presidential-primary_n_5daa140ae4b0f34e3a75619b/RK=2/RS=dJdX9zzrelNc62NKvjX51sap9xY-","Bernie Sanders To Hold Comeback Rally Across From Nation’s Largest Public Housing Complex","The location, in the shadow of New York’s dirtiest power plant, is a deliberate choice by the senator and his campaign.","","10/18/2019 05:31 pm ET","Saturday’s choice of neighborhood is more than just symbolic for Sanders, though. If he hopes to compete in New York’s primary in April, he will need to maximize turnout in areas like Northwest Queens and neighborhoods in Brooklyn where voters broke for him in the greatest numbers in 2016. The rally is a way of reminding his base that he cares about them and needs their support, according to Salazar, who represents the liberal Brooklyn strongholds of Greenpoint, Williamsburg and Bushwick."
"1571523561-1450","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","Bernie Sanders To Hold Comeback Rally Across From Nation's Largest Public Housing Complex","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAvHRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-comeback-rally-queens-queensbridge-houses-2020-democratic-presidential-primary_n_5daa140ae4b0f34e3a75619b/RK=2/RS=dJdX9zzrelNc62NKvjX51sap9xY-","Bernie Sanders To Hold Comeback Rally Across From Nation’s Largest Public Housing Complex","The location, in the shadow of New York’s dirtiest power plant, is a deliberate choice by the senator and his campaign.","","10/18/2019 05:31 pm ET","On Saturday, Sen. Bernie Sanders (I-Vt.) is due to hold his first rally since his heart attack earlier this month ― and he’s planning to make it a big one."
"1571523519-1352","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","Alexandria Ocasio-Cortez ‘Enthusiastically’ Endorses Sen. Ed Markey’s Reelection","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAynRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falexandria-ocasio-cortez-endorses-ed-markey-massachusetts-senate_n_5d7c0a9ce4b077dcbd5e2a79/RK=2/RS=Wg2yg3KO1z0goTvVpomZIiu8PHc-","Alexandria Ocasio-Cortez ‘Enthusiastically’ Endorses Sen. Ed Markey’s Reelection","The Democratic senator from Massachusetts, who partnered with the New York congresswoman on the Green New Deal, faces a potentially tough primary.","","09/13/2019 06:30 pm ET","Ocasio-Cortez is the second House member to endorse Markey. Rep. Ro Khanna, a California Democrat and ally of Ocasio-Cortez’s, announced his support for Markey on Monday."
"1571523561-1456","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","Bernie Sanders To Hold Comeback Rally Across From Nation's Largest Public Housing Complex","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAvHRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-comeback-rally-queens-queensbridge-houses-2020-democratic-presidential-primary_n_5daa140ae4b0f34e3a75619b/RK=2/RS=dJdX9zzrelNc62NKvjX51sap9xY-","Bernie Sanders To Hold Comeback Rally Across From Nation’s Largest Public Housing Complex","The location, in the shadow of New York’s dirtiest power plant, is a deliberate choice by the senator and his campaign.","","10/18/2019 05:31 pm ET","Sanders is also attempting to distinguish himself from Warren through the selection of an industrial and working-class Queens locale. Warren held a rally focused on taking on Big Tech this past March in Long Island City, but in mid-September she chose the more scenic Washington Square Park, in the heart of Manhattan’s upscale Greenwich Village, as the site of her largest campaign rally to date."
"1571523531-1383","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","'I Am back,' Bernie Sanders Tells Supporters At NYC Rally","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAxnRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-welcome-back-queens-heart-attack_n_5dab74e2e4b0422422c5e936/RK=2/RS=2BrwHR2VGB2yhDPDfmhX63PRijo-","‘I Am back,’ Bernie Sanders Tells Supporters At NYC Rally","The event marked Sanders’ formal return to the campaign trail less than three weeks after he suffered a heart attack.","","10/19/2019 04:45 pm ET","“Those are two people who I think have immense power to mobilize young people, and I promise you you’ll be seeing them in Iowa, but not only in Iowa, but around the country, trying to get people engaged around the issues,” Shakir said."
"1571523519-1347","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","Alexandria Ocasio-Cortez ‘Enthusiastically’ Endorses Sen. Ed Markey’s Reelection","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAynRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falexandria-ocasio-cortez-endorses-ed-markey-massachusetts-senate_n_5d7c0a9ce4b077dcbd5e2a79/RK=2/RS=Wg2yg3KO1z0goTvVpomZIiu8PHc-","Alexandria Ocasio-Cortez ‘Enthusiastically’ Endorses Sen. Ed Markey’s Reelection","The Democratic senator from Massachusetts, who partnered with the New York congresswoman on the Green New Deal, faces a potentially tough primary.","","09/13/2019 06:30 pm ET","Boston labor lawyer Shannon Liss-Riordan and businessman Steve Pemberton have already launched Democratic bids challenging Markey."
"1571523555-1436","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","Rep. Alexandria Ocasio-Cortez To Endorse Bernie Sanders","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAvnRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2faoc-endorses-bernie-sanders-2020-presidential-candidate_n_5da68590e4b062bdcb1a8742/RK=2/RS=o7kHr6WCoQHhm2y1mo.cyR0Q9jY-","Rep. Alexandria Ocasio-Cortez To Endorse Bernie Sanders","The New York congresswoman’s endorsement provides a jolt of energy to a presidential campaign seeking to regain momentum.","","10/15/2019 11:01 pm ET","The endorsement from Ocasio-Cortez, who got her start in politics volunteering for Sanders in the 2016 primary, is a major political win for Sanders, and one of the most coveted of the 2020 cycle. It provides a welcome jolt to Sanders’ campaign as he tries to arrest his flagging position in the polls and reassure voters nervous about his health."
"1571523526-1372","https://search.huffpost.com/search;_ylt=Awr9DtBFi6tdvRkAqRNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzc0MllRNFJvUjRlYlk0WnN5aFZqekEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUyMzUwNQ--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","","","Ocasio-Cortez: Democrats' Refusal To Impeach Trump Is A 'National Scandal'","https://search.huffpost.com/click/_ylt=Awr9DWe5i6tdHHkAyHRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552313/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falexandria-ocasio-cortez-trump-impeachment_n_5d8758c4e4b0849d472a95f5/RK=2/RS=NYwhNJgPLigiFYDZaKIXJeGWx1I-","Alexandria Ocasio-Cortez: Democrats’ Refusal To Impeach Trump Is A ‘National Scandal’","House Speaker Nancy Pelosi has repeatedly pushed back on her fellow Democrats’ calls to impeach the president.","","09/22/2019 09:09 am ET","“I’m not making that judgment now,” he said. “The House should investigate.”"
