web-scraper-order,web-scraper-start-url,pages,pages-href,articles,articles-href,title,subtitle,author,date,content
"1571523429-1234","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Betsy DeVos Sued For Weakening Sexual Assault Reporting Protections For Students","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwABy1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-lawsuit-sex-assault-student-protections_n_5a6bf2a4e4b06e253267baca/RK=2/RS=00taHjDwiDVBZVUv6LFLnoz_8x8-","Betsy DeVos Sued For Weakening Sexual Assault Reporting Protections For Students","The suit says DeVos and an assistant education secretary are convinced women are lying or are misunderstanding or regretting consensual sex.","","01/27/2018 01:15 am ET","Deadspin pointed out that DeVos ditched the Obama policies two days after meeting with the head of Michigan State University. Larry Nassar, a doctor for USA Gymnastics and Michigan State’s athletic department, was sentenced this week to up to 175 years in prison after more than 100 women confronted him in court for sexually assaulting them. He was fired by Michigan State in 2016."
"1571523452-1308","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Betsy DeVos' Proposed Education Cuts Go Way Deeper Than The Special Olympics","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwA_yxsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-special-education_n_5c9cf2c2e4b0523d87119bf5/RK=2/RS=avjiMi2DyqM2j0Tn2Vc8r7jk_0Y-","Betsy DeVos’ Proposed Education Cuts Go Way Deeper Than The Special Olympics","Advocates say a proposed end to federal funding for the Special Olympics was merely a small part of an anti-disability budget.","","03/28/2019 06:33 pm ET","Other areas have avoided proposed cuts. Grants that directly fund special education services are not being targeted. The administration is proposing that those funding levels remain flat."
"1571523445-1291","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","She Took On Betsy DeVos. Now She Wants To Unseat 44-Year GOP Rep. Don Young.","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwAAS1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falyse-galvin-unseat-don-young_n_5b58baf5e4b0b15aba949171/RK=2/RS=g88URRnUPbciz8RAhQ1VlNDIxgU-","She Took On Betsy DeVos. Now She Wants To Unseat GOP Rep. Don Young.","It’s a long shot, but Alaska independent Alyse Galvin is raising lots of money and just might catch the Democratic wave.","","08/02/2018 03:17 pm ET","Still, it’s hard to simply write off Galvin’s campaign in the context of what’s happening at the national level. Democrats are expected to sweep in November, and first-time female candidates are popping up in races all over the country ― and often winning ― as part of a backlash to Donald Trump’s presidency."
"1571523458-1331","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Betsy DeVos To Promote School That Bans Transgender Students And Staff","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwA_SxsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-transgender-students_n_5d826487e4b0849d472247ff/RK=2/RS=2EpLqeLOxF7JtBPLxEfrkYxFCs8-","Betsy DeVos To Promote School That Bans Transgender Students And Staff","The education secretary is set to visit a Catholic elementary school in Pennsylvania that has an explicit anti-trans policy.","","09/18/2019 02:22 pm ET","DeVos has championed programs that help funnel public dollars to private schools in the form of vouchers or tax-credits. She has been dogged by questions about whether taxpayer funds should be going to schools that actively discriminate against LGBTQ students."
"1571523458-1336","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Betsy DeVos To Promote School That Bans Transgender Students And Staff","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwA_SxsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-transgender-students_n_5d826487e4b0849d472247ff/RK=2/RS=2EpLqeLOxF7JtBPLxEfrkYxFCs8-","Betsy DeVos To Promote School That Bans Transgender Students And Staff","The education secretary is set to visit a Catholic elementary school in Pennsylvania that has an explicit anti-trans policy.","","09/18/2019 02:22 pm ET","DeVos’ Thursday roundtable is billed as a discussion of the program. She is to be joined by the speaker of the Pennsylvania House of Representatives and Harrisburg diocese officials."
"1571523452-1321","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Betsy DeVos' Proposed Education Cuts Go Way Deeper Than The Special Olympics","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwA_yxsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-special-education_n_5c9cf2c2e4b0523d87119bf5/RK=2/RS=avjiMi2DyqM2j0Tn2Vc8r7jk_0Y-","Betsy DeVos’ Proposed Education Cuts Go Way Deeper Than The Special Olympics","Advocates say a proposed end to federal funding for the Special Olympics was merely a small part of an anti-disability budget.","","03/28/2019 06:33 pm ET","Advocates see the proposed federal defunding of the Special Olympics as symbolic of the administration’s larger disdain for people with disabilities, even if it accounts for a relatively small share of the program’s budget."
"1571523440-1250","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Here's The Most Alarming Part Of Betsy DeVos’ Proposed Sexual Misconduct Guidelines","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwAAy1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-sexual-misconduct-title-ix_n_5b8834a4e4b0511db3d60df4/RK=2/RS=ITtZtJI8Ef7AE4M5Dl8lSvmsufI-","Here’s The Most Alarming Part Of Betsy DeVos’ Proposed Sexual Misconduct Guidelines","The education secretary’s potential new Title IX regulations could be disastrous for sexual assault survivors.","","08/30/2018 06:48 pm ET","DeVos is preparing new Title IX policies that would “bolster the rights of students accused of assault, harassment or rape, reduce liability for institutions of higher education and encourage schools to provide more support for victims,” according to an explosive New York Times report published Wednesday."
"1571523422-1220","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Betsy DeVos Loses Lawsuit Over Obama-Era Student Loan Rules","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwACS1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-loses-student-loan-lawsuit_n_5b99dee7e4b05092ceed040f/RK=2/RS=thV8RAuUQLEcGcNeByDFn1tKRLg-","Betsy DeVos Loses Lawsuit Over Obama-Era Student Loan Rules","A judge ruled the secretary of education’s attempts to delay the Obama administration’s regulations “unlawful.”","","09/13/2018 06:33 am ET","The for-profit education chain, which ran Heald College, Everest College and WyoTech, shut down in 2016 amid allegations of deceptive marketing and lying about grades and attendance records. Other for-profit colleges, including ITT Tech, shuttered after facing similar fraud accusations."
"1571523458-1339","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Betsy DeVos To Promote School That Bans Transgender Students And Staff","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwA_SxsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-transgender-students_n_5d826487e4b0849d472247ff/RK=2/RS=2EpLqeLOxF7JtBPLxEfrkYxFCs8-","Betsy DeVos To Promote School That Bans Transgender Students And Staff","The education secretary is set to visit a Catholic elementary school in Pennsylvania that has an explicit anti-trans policy.","","09/18/2019 02:22 pm ET","Hill did not respond to a question about the Harrisburg diocese policy regarding LGBTQ students and staff."
"1571523440-1249","https://search.huffpost.com/search;_ylt=Awr9BNaxiqtdXwkAS6JsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0w5OE9DcFJGU1plU0M0OXhmb0NGVUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMQRxdWVyeQNiZXRzeSUyMGRldm9zBHRfc3RtcAMxNTcxNTIzMzk2?p=betsy+devos&fr2=sb-top&fr=huffpost","","","Here's The Most Alarming Part Of Betsy DeVos’ Proposed Sexual Misconduct Guidelines","https://search.huffpost.com/click/_ylt=Awr9DspMi6tdlpwAAy1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571552204/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbetsy-devos-sexual-misconduct-title-ix_n_5b8834a4e4b0511db3d60df4/RK=2/RS=ITtZtJI8Ef7AE4M5Dl8lSvmsufI-","Here’s The Most Alarming Part Of Betsy DeVos’ Proposed Sexual Misconduct Guidelines","The education secretary’s potential new Title IX regulations could be disastrous for sexual assault survivors.","","08/30/2018 06:48 pm ET","Secretary of Education Betsy DeVos is expected to propose a controversial set of sexual misconduct rules for schools across the country ― and survivors’ advocates are not happy."
