web-scraper-order,web-scraper-start-url,pages,pages-href,articles,articles-href,title,subtitle,author,date,content
"1571523145-939","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Hillary Clinton Taunts ‘Obsessed’ Trump: ‘Obviously, I Can Beat Him Again’","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20A0hNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fhillary-clinton-taunts-donald-trump-obsessed_n_5d9d8ab8e4b02c9da0410f57/RK=2/RS=SGuqZ1OPNn.T3YiQNLs4IZuvDXM-","Hillary Clinton Taunts ‘Obsessed’ Donald Trump: ‘Obviously, I Can Beat Him Again’","“Maybe there does need to be a rematch.”","","10/09/2019 03:48 am ET","Check out the interview below. (Clinton’s comments are around the 38:45 mark.)"
"1571523164-958","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Tulsi Gabbard Rips Hillary Clinton In Twitter Tirade As A 'Rot' Sickening Democratic Party","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20AzBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftulsi-gabbard-hillary-clinton-russian-asset_n_5daa2193e4b08cfcc31b4a5e/RK=2/RS=1hesvJ6.yg0kxBy2TEE4kt.jUZA-","Tulsi Gabbard Rips Hillary Clinton In Twitter Tirade As A ‘Rot’ Sickening Democratic Party","She hit back at Clinton’s suggestion that the Hawaii congresswoman is a Russian asset.","Amy Russo","10/18/2019 05:51 pm ET",""
"1571523164-965","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Tulsi Gabbard Rips Hillary Clinton In Twitter Tirade As A 'Rot' Sickening Democratic Party","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20AzBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftulsi-gabbard-hillary-clinton-russian-asset_n_5daa2193e4b08cfcc31b4a5e/RK=2/RS=1hesvJ6.yg0kxBy2TEE4kt.jUZA-","Tulsi Gabbard Rips Hillary Clinton In Twitter Tirade As A ‘Rot’ Sickening Democratic Party","She hit back at Clinton’s suggestion that the Hawaii congresswoman is a Russian asset.","","10/18/2019 05:51 pm ET","In a response of her own, Gabbard unleashed a torrent of criticism against Clinton, describing her as “the queen of warmongers” and the “embodiment of corruption,” two attacks that have also been launched by President Donald Trump."
"1571523145-933","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Hillary Clinton Taunts ‘Obsessed’ Trump: ‘Obviously, I Can Beat Him Again’","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20A0hNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fhillary-clinton-taunts-donald-trump-obsessed_n_5d9d8ab8e4b02c9da0410f57/RK=2/RS=SGuqZ1OPNn.T3YiQNLs4IZuvDXM-","Hillary Clinton Taunts ‘Obsessed’ Donald Trump: ‘Obviously, I Can Beat Him Again’","“Maybe there does need to be a rematch.”","","10/09/2019 03:48 am ET","Hillary Clinton on Tuesday joked about running against Donald Trump again during an interview with “PBS NewsHour” host Judy Woodruff, and dinged the president for losing the popular vote to her in the 2016 election."
"1571523164-968","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Tulsi Gabbard Rips Hillary Clinton In Twitter Tirade As A 'Rot' Sickening Democratic Party","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20AzBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftulsi-gabbard-hillary-clinton-russian-asset_n_5daa2193e4b08cfcc31b4a5e/RK=2/RS=1hesvJ6.yg0kxBy2TEE4kt.jUZA-","Tulsi Gabbard Rips Hillary Clinton In Twitter Tirade As A ‘Rot’ Sickening Democratic Party","She hit back at Clinton’s suggestion that the Hawaii congresswoman is a Russian asset.","","10/18/2019 05:51 pm ET","Clinton has yet to publicly respond to those remarks."
"1571523139-930","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Hillary Clinton Tells Trump Not To 'Tempt' Her To Run For Office Again: 'Do Your Job'","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20A1BNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fhillary-clinton-donald-trump-2020_n_5d9cde3ce4b06ddfc50f9955/RK=2/RS=L.rz7Zy73tJxcO5h0Ddn9HDoi3U-","Hillary Clinton Tells Trump Not To ‘Tempt’ Her To Run For Office Again: ‘Do Your Job’","The president taunted the former first lady on Tuesday, imploring her to enter the 2020 race and “steal it away from Uber Left Elizabeth Warren.”","","10/08/2019 03:56 pm ET","It’s rare that Clinton responds to Trump’s tweets about her these days. During the 2016 campaign, she tagged Trump many times and addressed him by name in her tweets, but in the last few years she’s usually refrained from doing either."
"1571523170-983","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Hillary Clinton Drops Out Of Women's Summit Featuring Kirstjen Nielsen","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20AyhNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fhillary-clinton-fortune-kirstjen-nielsen_n_5daa607ae4b0f34e3a75b784/RK=2/RS=nJtFsleWOcDRi6RuoaL8oN.UzZ4-","Hillary Clinton Drops Out Of Women’s Summit Featuring Kirstjen Nielsen","Clinton is the second person to back out of the event amid activist anger that Trump’s former homeland security secretary will be speaking.","","10/18/2019 09:42 pm ET","Activists have also been following Nielsen since she resigned from the Trump administration in April, trying to ensure that her actions as homeland security secretary aren’t forgotten."
"1571523177-995","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Justin Amash Claims 'Hillary Clinton Is A Donald Trump Asset'","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20AyBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjustin-amash-hillary-clinton-attack-on-tulsi-gabbard-russia-donald-trump_n_5dab0efbe4b0422422c5805a/RK=2/RS=d2d54DqVGr4Dg45ESubwV8SGizo-","Justin Amash Claims ‘Hillary Clinton Is A Donald Trump Asset’","The Michigan congressman rebuked Clinton’s suggestion that Tulsi Gabbard is a Russian asset, warning it helps Trump.","","10/19/2019 10:48 am ET","“It’s a shame HRC is peddling conspiracy theories to justify her failure instead of reflecting on real reasons Dems lost in 2016,” Stein tweeted Friday."
"1571523139-928","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Hillary Clinton Tells Trump Not To 'Tempt' Her To Run For Office Again: 'Do Your Job'","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20A1BNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fhillary-clinton-donald-trump-2020_n_5d9cde3ce4b06ddfc50f9955/RK=2/RS=L.rz7Zy73tJxcO5h0Ddn9HDoi3U-","Hillary Clinton Tells Trump Not To ‘Tempt’ Her To Run For Office Again: ‘Do Your Job’","The president taunted the former first lady on Tuesday, imploring her to enter the 2020 race and “steal it away from Uber Left Elizabeth Warren.”","","10/08/2019 03:56 pm ET","After the president taunted Clinton unprovoked and called her “crooked” yet again, she fired back a tweet that simply said: “Don’t tempt me. Do your job.”"
"1571523177-991","https://search.huffpost.com/search;_ylt=Awr9DulBiatdTp4A7RJsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0htMlJYUEVZUUhHRkdXZ3hWSXZ6WUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUyMzEyMA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","","","Justin Amash Claims 'Hillary Clinton Is A Donald Trump Asset'","https://search.huffpost.com/click/_ylt=Awr9Du06iqtdY20AyBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551930/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjustin-amash-hillary-clinton-attack-on-tulsi-gabbard-russia-donald-trump_n_5dab0efbe4b0422422c5805a/RK=2/RS=d2d54DqVGr4Dg45ESubwV8SGizo-","Justin Amash Claims ‘Hillary Clinton Is A Donald Trump Asset’","The Michigan congressman rebuked Clinton’s suggestion that Tulsi Gabbard is a Russian asset, warning it helps Trump.","","10/19/2019 10:48 am ET","While Clinton did not name Gabbard, the candidate complained on the Ohio debate stage earlier this week about a New York Times article reporting that Russian state media has focused significant attention on her White House bid. Gabbard also appeared to lash out against CNN analyst Bakari Sellers, who recently claimed ― again, without evidence ― that she “is a puppet for the Russian government.”"
