web-scraper-order,web-scraper-start-url,pages,pages-href,title,articles,articles-href,subtitle,author,date,content
"1571529539-8074","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAe5JsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","How Immigration Prosecutions Helped ICE Pad Obama’s Criminal Deportee Statistics","How Immigration Prosecutions Helped ICE Pad Obama's Criminal Deportee Statistics","https://search.huffpost.com/click/_ylt=Awr9DtY0o6tdceIA1Y1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558324/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fice-obama-criminal-deportation-statistics_n_5d52b1aee4b05fa9df04c9e5/RK=2/RS=beZiJRGpAj71.7xi6X7lnrGurPI-","Under Obama, Immigration and Customs Enforcement highlighted stats that those arrested at the border were criminals. Most had broken only immigration laws.","","08/15/2019 01:11 pm ET","“There is very little difference between Trump calling these people ‘bad hombres’ and Obama calling these people ‘felons, not families,’” Kolken said. “Both were attempting to dehumanize this population. Obama was allowed to get away with it. Thankfully, Trump can’t.”"
"1571529582-8258","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAeZJsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Trump Administration To Revoke Obama-Era Water Protection Rule","Trump Administration To Revoke Obama-Era Water Protection Rule","https://search.huffpost.com/click/_ylt=Awr9BNxmo6tdNZYAuXBsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558375/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-administration-to-revoke-obama-era-water-protection-rule_n_5d7a644ae4b06028fd38855c/RK=2/RS=058KacWNkRvBDyvmI54PhgL6HwA-","Environmentalists say the move would leave millions of Americans with less safe drinking water and damage wetlands that prevent flooding.","","09/12/2019 11:36 am ET","“The Clean Water Rule represented solid science and smart public policy,” it said in a statement. “Where it has been enforced, it has protected important waterways and wetlands, providing certainty to all stakeholders.”"
"1571529592-8308","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAeZJsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Trump’s Cabinet Has Had More Ex-Lobbyists Than Obama Or Bush","Trump's Cabinet Has Had More Ex-Lobbyists Than Obama Or Bush","https://search.huffpost.com/click/_ylt=Awr9BNxmo6tdNZYAs3BsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558375/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrumps-cabinet-has-had-more-ex-lobbyists-than-obama-or-bush_n_5d811fb0e4b077dcbd6567de/RK=2/RS=VM_1CF2C4AhZxB4H0MUJ1U.3ihQ-","Former lobbyists run the Defense and Interior departments, Environmental Protection Agency and office of the U.S. Trade Representative.","","09/17/2019 02:12 pm ET","A seventh ex-lobbyist, Dan Coats, resigned as Trump’s intelligence chief in August."
"1571529587-8271","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAeZJsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","‘Uncle Joe’ Biden Courts The Youth Vote","'Uncle Joe' Biden Courts The Youth Vote","https://search.huffpost.com/click/_ylt=Awr9BNxmo6tdNZYAt3BsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558375/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjoe-biden-2020-young-voters_n_5d80f02ce4b00d69059f3c76/RK=2/RS=7LdoC49AHWgHZlv7TXLLUgDxoo4-","“Everybody wants another Obama and he’s the closest thing we can get,” said one student at Texas Southern University, a historically Black college in Houston.","","09/17/2019 04:17 pm ET","“I think if there’s a Democrat that has a chance of winning, it’s definitely Biden. Everybody wants another Obama and he’s the closest thing we can get,” said Chynna Barcass, a junior at TSU who is studying political science."
"1571529530-8012","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAe5JsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Brit Ambassador Charged That Trump Killed Iran Deal Because It Was Obama’s: Report","Brit Ambassador Charged That Trump Killed Iran Deal Because It Was Obama's: Report","https://search.huffpost.com/click/_ylt=Awr9DtY0o6tdceIA241sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558324/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fkim-darroch-trump-diplomatic-vandalism-barack-obama_n_5d2aabafe4b02a5a5d5c0e05/RK=2/RS=miwKu.eJas8R1Mt0pPXMIaLpnag-","Sir Kim Darroch called Trump’s actions “diplomatic vandalism,” according to new cables obtained by the Daily Mail.","","07/14/2019 02:34 am ET","There was no immediate word about the new cable revelations from the White House."
"1571529542-8086","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAe5JsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","One Of Trump’s First Actions Reversed An Obama Rule On Guns And Mental Impairment","One Of Trump's First Actions Reversed An Obama Rule On Guns And Mental Impairment","https://search.huffpost.com/click/_ylt=Awr9DtY0o6tdceIA041sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558324/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-obama-gun-rule_n_5d4b05dfe4b0066eb70b7a7d/RK=2/RS=sD5TM.cTrY7QP9JOljXLfbvPOtg-","Now the president wants to know what he can do through executive action.","","08/07/2019 02:19 pm ET","Last year, the Trump administration used its executive authority to ban bump stocks that allow semi-automatic rifles to fire as rapidly as illegal machine guns. Bump stocks helped a gunman massacre 58 people in Las Vegas in 2017."
"1571529569-8199","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAepJsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Former President Barack Obama Remembers Toni Morrison","Former President Barack Obama Remembers Toni Morrison","https://search.huffpost.com/click/_ylt=Awr9GjBOo6tdDDYA0mlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558350/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbarack-obama-toni-morrison_n_5d4992c3e4b01ae816c8fac8/RK=2/RS=CZ2aoP2qJ8l4lxONrbIQRqhKtC8-","Obama awarded the trailblazing author of “Beloved,” “Song of Solomon” and “The Bluest Eye” with the Presidential Medal of Freedom in 2012.","","08/06/2019 11:52 am ET","“Toni Morrison’s prose brings us that kind of moral and emotional intensity that few writers ever attempt.  From ‘Song of Solomon’ to ‘Beloved,’ Toni reaches us deeply, using a tone that is lyrical, precise, distinct, and inclusive,” he continued. “She believes that language ‘arcs toward the place where meaning might lie.’ The rest of us are lucky to be following along for the ride.”"
"1571529552-8123","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAe5JsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Debate Backlash: Many Democrats Say Criticizing Obama’s Legacy Isn’t A Good Idea","Debate Blowback: Many Democrats Say Criticizing Obama's Legacy Isn't A Good Idea","https://search.huffpost.com/click/_ylt=Awr9DtY0o6tdceIAy41sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558324/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbiden-obama-2020_n_5d4326a6e4b0ca604e2edddd/RK=2/RS=QRe3FyQ5dDfzWlMcTiANgi7vboM-","“He did an extraordinary job, and he should be given that recognition by those” running for president, Sen. Dick Durbin said.","","08/01/2019 03:39 pm ET","In one of the debate’s hottest exchanges, Sen. Cory Booker of New Jersey called out the former vice president ― the frontrunner in the Democratic nomination race ― for repeatedly using Obama’s name to shield himself from criticism directed his way on issues like criminal justice and immigration."
"1571529599-8386","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAeZJsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Obama Takes Rare Swipe At Trump By Naming 2 Things A President Shouldn’t Do","Obama Takes Rare Swipe At Trump By Naming 2 Things A President Shouldn't Do","https://search.huffpost.com/click/_ylt=Awr9BNxmo6tdNZYArXBsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558375/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbarack-obama-donald-trump-social-media_n_5d82ddc8e4b0957256b0f015/RK=2/RS=B8iq5ng9hoMSENVkUhLATwlP2bU-","And Trump does both. A lot.","Ed Mazza","09/19/2019 02:45 am ET",""
"1571529539-8051","https://search.huffpost.com/search;_ylt=Awr9IMlInatdKGMAA01sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA3pDOXU2QklRUjN5WF9xaUtkTGhyUkEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMwRxdWVyeQNiYXJyYWNrJTIwb2JhbWEEdF9zdG1wAzE1NzE1Mjk0Mzg-?p=barrack+obama&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9IlEbo6tdEXQAe5JsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=barrack+obama&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","How Immigration Prosecutions Helped ICE Pad Obama’s Criminal Deportee Statistics","How Immigration Prosecutions Helped ICE Pad Obama's Criminal Deportee Statistics","https://search.huffpost.com/click/_ylt=Awr9DtY0o6tdceIA1Y1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558324/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fice-obama-criminal-deportation-statistics_n_5d52b1aee4b05fa9df04c9e5/RK=2/RS=beZiJRGpAj71.7xi6X7lnrGurPI-","Under Obama, Immigration and Customs Enforcement highlighted stats that those arrested at the border were criminals. Most had broken only immigration laws.","","08/15/2019 01:11 pm ET","In the United States, deportation is handled under civil laws by immigration authorities such as the Border Patrol and ICE. But crossing the border without authorization is also a federal crime, punishable by up to six months in prison. Re-offenders can face felony charges."
