web-scraper-order,web-scraper-start-url,pages,pages-href,title,articles,articles-href,subtitle,author,date,content
"1571528406-7227","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAdi1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Bernie Sanders Unveils Sweeping Criminal Justice Reform Plan","Bernie Sanders Unveils Sweeping Criminal Justice Reform Plan","https://search.huffpost.com/click/_ylt=Awr9K57QnqtdDB8A0.dsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557200/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-criminal-justice_n_5d59688ce4b0d8840ff4c011/RK=2/RS=am9u4If2xEunRD854g9flSU8X3o-","The proposal aims to cut the nation’s prison population in half and end mandatory minimum sentencing.","","08/18/2019 11:07 am ET","Sanders was promoting the plan during a weekend of campaigning in South Carolina, where the majority of the Democratic electorate is African American. The Vermont senator, who won the support of some younger black Democrats during the 2016 primary, has stepped up his references to racial disparities, particularly during stops in the South and urban areas."
"1571528414-7282","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAdi1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","What ‘Medicare For All’ Would Really Mean For The Middle Class","What 'Medicare For All' Would Really Mean For The Middle Class","https://search.huffpost.com/click/_ylt=Awr9K57QnqtdDB8Ay.dsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557200/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fmedicare-for-all-middle-class_n_5da67eeae4b062bdcb1a7926/RK=2/RS=I79EOnisThPVApg.79ChvAlXZrI-","The answer is more complicated than the Democratic debates might suggest.","","10/16/2019 08:20 pm ET","But you can get a sense of how Medicare for All might look in practice by looking closely at a structurally similar state-level proposal in New York that progressives have been promoting and that was the subject of a thorough analysis last year."
"1571528406-7229","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAdi1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Bernie Sanders Unveils Sweeping Criminal Justice Reform Plan","Bernie Sanders Unveils Sweeping Criminal Justice Reform Plan","https://search.huffpost.com/click/_ylt=Awr9K57QnqtdDB8A0.dsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557200/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-criminal-justice_n_5d59688ce4b0d8840ff4c011/RK=2/RS=am9u4If2xEunRD854g9flSU8X3o-","The proposal aims to cut the nation’s prison population in half and end mandatory minimum sentencing.","","08/18/2019 11:07 am ET","“A very significant number of people who are behind bars today are dealing with one form or another of illness,” Sanders said. “These should be treated as health issues, not from a criminal perspective.”"
"1571528444-7583","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAdS1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Bernie World Is Starting To Go After Elizabeth Warren","Bernie World Is Starting To Go After Elizabeth Warren","https://search.huffpost.com/click/_ylt=Awr9ImDmnqtd0J8AO65sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557222/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-campaign-elizabeth-warren-progressive_n_5d8bcfdce4b0019647a279bb/RK=2/RS=SHOc9eI7n4XeZ29TAX8teplqMXs-","Bernie Sanders supporters are questioning Warren’s progressive bona fides — and for the first time, the campaign is going along with it.","","09/26/2019 05:45 am ET","The argument is twofold: First, they point to Warren’s style on the stump and lower rates of support among Democrats without a college degree as evidence that she would have difficulty in a general election."
"1571528419-7347","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAdi1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Bernie Sanders Hails Volunteer Army As Advantage Over Rivals","Bernie Sanders Hails Volunteer Army As Advantage Over Rivals","https://search.huffpost.com/click/_ylt=Awr9K57QnqtdDB8Ax.dsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557200/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-volunteer-army-distributed-organizing-2020-democratic-presidential-primary_n_5d65fbd5e4b01fcc690b9a90/RK=2/RS=VFvjthcbW9tL50D8xX.w53dUP8s-","The progressive presidential contender’s staff and volunteers have led 11,000 events, according to his campaign.","","08/28/2019 12:43 am ET","“We will win this election ― we will win the Democratic nomination, we will defeat Trump ― because we are going to bring out people who, in many cases, have not participated in politics before,” Sanders said Tuesday evening. “And I’m talking about a generation of young people who in my view are the most progressive generation in the history of our country ― anti-racist, anti-sexist, anti-homophobia, anti-religious bigotry.”"
"1571528475-7727","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAcy1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Bernie Sanders Suffered Heart Attack, Doctors Confirm","Bernie Sanders Suffered Heart Attack, Doctors Confirm","https://search.huffpost.com/click/_ylt=Awr9BNsTn6td_V8AIIpsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557267/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-released-from-hopsital_n_5d97c255e4b0fc935eda16fd/RK=2/RS=iO_EwCxM8ytWRmu2LoP8VO_1MlA-","The presidential candidate was released from a Vegas hospital where doctors confirmed he was diagnosed with a myocardial infarction, known as a heart attack.","","10/04/2019 06:46 pm ET","“I’m feeling so much better,” he said from Las Vegas."
"1571528482-7795","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAcy1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Bernie Sanders Says Campaign Acted Appropriately With Heart Attack News","Bernie Sanders Says Campaign Acted Appropriately With Heart Attack News","https://search.huffpost.com/click/_ylt=Awr9BNsTn6td_V8AGopsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557267/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-defends-campaign-heart-attack_n_5d9e5394e4b06ddfc5131a83/RK=2/RS=wv7Mw_x4ni2Jfx8M1.a9XRjbNt8-","Critics say the Sanders campaign wasn’t being transparent when they didn’t disclose his heart attack after he was hospitalized last week.","","10/09/2019 07:07 pm ET","“We’re going to get back into the groove of a very vigorous campaign,” Sanders said Tuesday. “I love doing rallies, and I love doing town meetings.”"
"1571528473-7713","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAcy1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Bernie Sanders Raised More Than $25 Million This Quarter, Campaign Says","Bernie Sanders Raised More Than $25 Million This Quarter, Campaign Says","https://search.huffpost.com/click/_ylt=Awr9BNsTn6td_V8AIopsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557267/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-raised-more-than-25-million_n_5d92dfdfe4b0019647adbdc3/RK=2/RS=CTtpzwU2KlymtjYui1MzdScxfts-","That figure came from 1.4 million donations, an average of $18.07 apiece.","","10/01/2019 06:00 am ET","“Bernie is proud to be the only candidate running to defeat Donald Trump who is 100 percent funded by grassroots donations – both in the primary and in the general,” Faiz Shakir, Sanders’ campaign manager, said in a statement. “Media elites and professional pundits have tried repeatedly to dismiss this campaign, and yet working-class Americans keep saying loudly and clearly that they want a political revolution.”"
"1571528460-7662","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAdC1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Elizabeth Warren Raises $24.6 Million In 3rd Quarter, Trailing Only Sanders","Warren Raises $24.6 Million In 3rd Quarter, Trailing Only Sanders","https://search.huffpost.com/click/_ylt=Awr9CKr9nqtdqhQAWQNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557245/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2felizabeth-warren-raises-24-6-million-in-third-quarter-trailing-only-sanders_n_5d9746cfe4b0da7f662578df/RK=2/RS=g0SeAFh1Kw6l2IGR82Uq6RL_Y3c-","The Massachusetts senator’s presidential campaign now has $25.7 million on hand.","Kevin Robillard","10/04/2019 10:52 am ET",""
"1571528484-7810","https://search.huffpost.com/search;_ylt=Awr9Dsv0natdEK0AyHtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzZqUUxTSTE2VFV1RFM3d0ZzVkZ2U0EEbl9yc2x0AzAEbl9zdWdnAzkEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2Jlcm5pZSUyMHNhbmRlcnMEdF9zdG1wAzE1NzE1MjgxODQ-?p=bernie+sanders&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9CKzOnqtdfyEAcy1sBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=bernie+sanders&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Trump Impeachment Crisis Tees Democratic Candidates Up For Chaotic Fall","Trump Impeachment Crisis Tees Democratic Candidates Up For Chaotic Fall","https://search.huffpost.com/click/_ylt=Awr9BNsTn6td_V8AGIpsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571557267/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdemocratic-candidates-impeachment-trump-chaotic-fall_n_5da1c6b8e4b02c9da04b114d/RK=2/RS=srtD0OQbmT4MoF1y1A0znzamm0A-","The Democratic presidential race had largely been static through the summer.","","10/12/2019 08:47 am ET","Jeff Weaver, Sanders’ chief strategist, dismissed any long-term concerns, noting that the 2020 contest includes several older candidates, including the 73-year-old Trump."
