web-scraper-order,web-scraper-start-url,pages,pages-href,title,articles,articles-href,subtitle,author,date,content
"1571530914-10471","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANTFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Hillary Clinton Rips Trump For Asking A Foreign Power To Help Him Win In 2020","Hillary Clinton Rips Trump For Asking A Foreign Power To Help Him Win In 2020","https://search.huffpost.com/click/_ylt=AwrgDdyLqKtdi5UAG5psBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559691/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fhillary-clinton-foreign-power-interference-again-tweet-trump-ukraine_n_5d8549fce4b070d468ccb87c/RK=2/RS=tqBP_2F7nosPSjaF6nT8je6Cy_I-","Beto O’Rourke, Cory Booker, Julian Castro and Elizabeth Warren have all called for Trump to be impeached if he asked for Ukraine’s help.","","09/20/2019 08:02 pm ET","Rep. Joe Kennedy (D-Mass.) said Trump should be impeached if he is blocking the whistleblower complaint from being released to congressional investigators."
"1571530878-10301","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANjFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Beyond Jeffrey Epstein: Trump Has Promoted Many Conspiracy Theories Over The Years","Beyond Jeffrey Epstein: Trump Has Promoted Many Conspiracy Theories Over The Years","https://search.huffpost.com/click/_ylt=AwrgDdxyqKtdLwcAWrpsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559666/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-jeffrey-epstein-conspiracy-theories_n_5d544700e4b0cfeed1a77eb2/RK=2/RS=PLl741qRcUvpuR930Wj4mhtToNE-","Birtherism, wind turbines and more from President Donald Trump.","","08/14/2019 02:03 pm ET","The president added: “This was done by the Democrats in order to make me look as bad as possible when I was successfully raising Billions of Dollars to help rebuild Puerto Rico. If a person died for any reason, like old age, just add them onto the list. Bad politics. I love Puerto Rico"
"1571530927-10518","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANDFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Trump Administration Reportedly Reviving Investigation Into Hillary Clinton’s Emails","Trump Administration Reviving Investigation Into Hillary Clinton's Emails: Reports","https://search.huffpost.com/click/_ylt=Awr9IMyjqKtdRJcAHItsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559715/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-administration-hillary-clinton-emails-investigation_n_5d908eb3e4b0019647a9f37e/RK=2/RS=.eHKer4bd3fgdg4PWLVRt6m_5Jc-","Dozens of current and former State Department officials have been contacted in recent weeks about emails they sent years ago to Clinton’s private account.","","09/29/2019 07:36 pm ET","Then-FBI Director James Comey said Clinton and her aides had been “extremely careless” in their handling of classified information but ultimately recommended the case be closed with no charges."
"1571530935-10548","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANDFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Trump Brings Up Hillary Clinton’s Emails While Defending Ukraine Call","Trump Brings Up Hillary Clinton's Emails While Defending Ukraine Call","https://search.huffpost.com/click/_ylt=Awr9IMyjqKtdRJcAFotsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559715/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdonald-trump-defends-asking-ukraine-for-dirt-on-biden-by-blaming-everyone-else_n_5d8bb419e4b0ac3cdda24255/RK=2/RS=IqKNsEx_PwkFC_SBAEJ.oBDAxN0-","The president defended his request for a foreign leader to investigate his political rival and instead focused on attacking Hillary Clinton, the Bidens and Nancy Pelosi.","","09/25/2019 03:13 pm ET","Trump was referring to a Ukrainian investigation into Hunter Biden’s business dealings while he was serving on the board of a Ukrainian gas company. The Ukrainian prosecutor in the case found no evidence of wrongdoing."
"1571530893-10380","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANjFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Trump Retweets Baseless Conspiracy Theory Implicating Clintons In Epstein’s Death","Trump Retweets Baseless Conspiracy Theory Implicating Clintons In Epstein's Death","https://search.huffpost.com/click/_ylt=AwrgDdxyqKtdLwcATrpsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559666/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-retweets-conspiracy-theories-clinton-epstein-death_n_5d4f42d9e4b0fd2733f1400b/RK=2/RS=gRCHWX86uy1EjnM_uSo_HS5oJnU-","The president retweeted multiple unfounded claims hours after convicted sex offender Jeffrey Epstein’s apparent suicide.","","08/10/2019 08:16 pm ET","The court documents, unsealed this week, include flight logs that show Clinton flew on the financier’s private jet a number of times, but the documents do not indicate that Clinton traveled to a “pedophilia island,” nor do they contain the words “pedophilia island.”"
"1571530883-10338","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANjFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Pamela Anderson Rips Julian Assange’s Critics As Spiteful Hillary Clinton Supporters","Pamela Anderson Rips Julian Assange's Critics As Spiteful Hillary Clinton Supporters","https://search.huffpost.com/click/_ylt=AwrgDdxyqKtdLwcAVrpsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559666/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fpamela-anderson-defends-julian-assange_n_5cf12bfae4b0e8085e38a379/RK=2/RS=LxHz1ZmEAguSDR4XSnGgGs24SZI-","The “Baywatch” actress claimed the WikiLeaks founder’s opponents were simply angry over the 2016 presidential election.","","05/31/2019 11:54 am ET","“So now you can sulk and whine all you want, but please don’t blame Julian for your own defeat,” she added. “If you and your lot have lost the trust of your people because they’ve learned the truth about you, well then perhaps you should stop in your tracks and think.”"
"1571530855-10162","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANzFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Elizabeth Warren Has A Plan — And A Story","Elizabeth Warren Has A Plan — And A Story","https://search.huffpost.com/click/_ylt=AwrTLYhbqKtdMB4A6RxsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559643/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2felizabeth-warren-plans_n_5cfad50fe4b02ee347770b45/RK=2/RS=OJO6priVsor2Hv8gOS3V4EHMQxg-","Campaigning on policy doesn’t work for every Democrat. Here’s why it seems to be working for her.","","06/09/2019 08:00 am ET","Much of this necessarily goes beyond what even most politically engaged voters grasp. That may not matter. At the Detroit rally, a working mother named Hallie Bard, from the suburb of Farmington, talked about how much Warren’s child care plan meant to her, even though she didn’t know much about how the plan would actually work."
"1571530855-10154","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANzFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Elizabeth Warren Has A Plan — And A Story","Elizabeth Warren Has A Plan — And A Story","https://search.huffpost.com/click/_ylt=AwrTLYhbqKtdMB4A6RxsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559643/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2felizabeth-warren-plans_n_5cfad50fe4b02ee347770b45/RK=2/RS=OJO6priVsor2Hv8gOS3V4EHMQxg-","Campaigning on policy doesn’t work for every Democrat. Here’s why it seems to be working for her.","","06/09/2019 08:00 am ET","These recollections, so well known to reporters and followers but still new to most Americans, do more than establish a connection with potential voters. They give Warren a natural platform for talking about policy, because she can attest personally to the importance of things like a high minimum wage (which is what her mom got when she was supporting the family), strong unions (which is how her brother got his pension), and cheap community colleges (which is how she eventually got her degree)."
"1571530897-10396","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANTFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Meghan McCain Regrets Calling Hillary Clinton ‘Crooked’","Meghan McCain Regrets Calling Hillary Clinton 'Crooked'","https://search.huffpost.com/click/_ylt=AwrgDdyLqKtdi5UAKZpsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559691/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fmeghan-mccain-regrets-crooked-hillary-elle-interview_n_5d39c7c2e4b020cd994fe8c3/RK=2/RS=EvUjiwyVVwbVJaOC8_OTbGZvI5Q-","“The View” co-host tells Elle magazine she regrets insulting Donald Trump’s 2016 opponent. “She was friends with my dad.”","","07/25/2019 12:26 pm ET","These days, she’s focused on another politician: Joe Biden, an old family friend who might be the first Democrat she votes for ― ever."
"1571530857-10202","https://search.huffpost.com/search;_ylt=Awr9Dsrrpqtd_lQAWKFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0VKbm1ydnhNUjUudHFRZy5fejF0akEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxNQRxdWVyeQNoaWxsYXJ5JTIwY2xpbnRvbgR0X3N0bXADMTU3MTUzMDgzNA--?p=hillary+clinton&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9Jm9ZqKtdvowANzFsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=hillary+clinton&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Biden Would Have Been The First Democratic Nominee To Support The Hyde Amendment Since Carter","Biden Would Have Been The First Democratic Nominee To Support The Hyde Amendment Since Carter","https://search.huffpost.com/click/_ylt=AwrTLYhbqKtdMB4A5xxsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559643/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjoe-biden-hyde-amendment_n_5cfad085e4b02ee3477703e4/RK=2/RS=EkfGjnD4m_0ACvWB0uArJFzgVAk-","Now, he’s just discarding his position in exactly the same way Al Gore did.","","06/09/2019 05:45 am ET","Hillary Clinton, the first woman nominated for president by a major party, was a longtime supporter of abortion rights and made sure the party endorsed them openly. The 2016 Democratic Party platform was the first to ever explicitly call for the end of the Hyde Amendment. The Democratic convention also featured speakers openly discussing their abortions."
