web-scraper-order,web-scraper-start-url,pages,pages-href,title,articles,articles-href,subtitle,author,date,content
"1571529775-8752","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAt.hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Facebook Refuses To Pull Trump Campaign Ad That Falsely Accuses Biden Of Corruption","Facebook Refuses To Pull Trump Campaign Ad That Falsely Accuses Biden Of Corruption","https://search.huffpost.com/click/_ylt=AwrS_AgipKtdORUAdhFsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558563/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ffacebook-trump-campaign-biden-ad_n_5d9d7f76e4b02c9da040f73b/RK=2/RS=8s8tML48Kvopkw47t.ofmeaAbzU-","Joe Biden has slammed Facebook for allowing the spread of an “objectively false” ad. The clip has already been viewed on Facebook millions of times.","Dominique Mosbergen","10/09/2019 05:29 am ET",""
"1571529789-8856","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAt.hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Ted Cruz: ‘Of Course Not’ Appropriate For Trump To Ask China To Investigate Biden","Ted Cruz: 'Of Course Not' Appropriate For Trump To Ask China To Investigate Biden","https://search.huffpost.com/click/_ylt=AwrS_AgipKtdORUAbBFsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558563/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fted-cruz-denounces-trump-china-biden_n_5da364aee4b06ddfc51bf005/RK=2/RS=mR5ykUmb9119kiI6oN7CXIklCrM-","“Foreign countries should stay out of American elections,” the Republican senator said.","","10/13/2019 02:53 pm ET","He added that it would “make a lot of sense” for Giuliani to testify."
"1571529806-8933","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAtuhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","After Taking Presidential Corruption To New Heights, Trump Calls Everyone Else Corrupt","Trump Takes Presidential Corruption To New Heights, Calls Everyone Else Corrupt","https://search.huffpost.com/click/_ylt=Awr9IlU7pKtdem0AftNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558588/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-corruption-projection_n_5da8bae5e4b034f1d69f56ac/RK=2/RS=1yKSDZwdfPE4bp2jLAbONbWYCsk-","Trump has called Democratic leaders, the news media, former President Barack Obama and the entire 2016 election “corrupt.”","","10/17/2019 04:42 pm ET","Bandy Lee, among a group of mental health professionals who have been warning of Trump’s state of mind for years, said Trump is exhibiting typical behavior for a “paranoid, delusional” leader. “He accuses others exactly of what he is responsible for,” said Lee, a Yale Medical School professor of psychiatry. “It is a psychological defense called ‘projection.’”"
"1571529775-8758","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAt.hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Facebook Refuses To Pull Trump Campaign Ad That Falsely Accuses Biden Of Corruption","Facebook Refuses To Pull Trump Campaign Ad That Falsely Accuses Biden Of Corruption","https://search.huffpost.com/click/_ylt=AwrS_AgipKtdORUAdhFsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558563/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ffacebook-trump-campaign-biden-ad_n_5d9d7f76e4b02c9da040f73b/RK=2/RS=8s8tML48Kvopkw47t.ofmeaAbzU-","Joe Biden has slammed Facebook for allowing the spread of an “objectively false” ad. The clip has already been viewed on Facebook millions of times.","","10/09/2019 05:29 am ET","The Biden campaign slammed Facebook’s decision as “unacceptable.”"
"1571529729-8481","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAuehsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","CNN Refuses To Air 2 Trump Campaign Ads Over ‘Demonstrably False’ Claims","CNN Refuses To Air 2 Trump Campaign Ads Over 'Demonstrably False' Claims","https://search.huffpost.com/click/_ylt=Awr47a_so6tdaBQAObZsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558509/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fcnn-rejects-trump-campaign-ads-false-claims_n_5d976269e4b0da7f66261885/RK=2/RS=iyiHRE4PmW3ssUCJD5Qls_ONVWQ-","The ads decried impeachment as a “coup” and bashed the network’s anchors as “media lapdogs.”","","10/04/2019 02:58 pm ET","“Specifically, in addition to disparaging CNN and its journalists, the ad makes assertions that have been proven demonstrably false by various news outlets, including CNN,” the spokesperson said."
"1571529757-8648","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAuOhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Habitually Dishonest Trump Pushes His Biggest Lie Yet About The Democrat He Fears Most","Habitually Dishonest Trump Pushes His Biggest Lie Yet About The Democrat He Fears Most","https://search.huffpost.com/click/_ylt=Awr9CKkIpKtdNQYAd4FsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558536/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-biden-big-lie_n_5d9cf04ee4b06ddfc50fdff9/RK=2/RS=Ozq2a77z7LEJOnaNIbTNWhwx6AI-","Trump’s accusations against Joe Biden turn reality on its head. Biden’s Ukraine efforts were more likely to hurt his son’s company, not help it.","","10/08/2019 06:48 pm ET","Public Citizen’s Weissman said that Trump’s Orwellian insistence that Americans believe him, rather than the evidence of their own eyes, is even more corrosive to democracy. “There’s a deeper problem in the corruption of our language, and the corruption of our notion of reality, and the corruption of our idea of truth,” he said."
"1571529809-9138","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAtuhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Read Live Updates From The 4th Democratic Presidential Debate","Read Live Updates From The 4th Democratic Presidential Debate","https://search.huffpost.com/click/_ylt=Awr9IlU7pKtdem0AfNNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558588/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdemocratic-debate-cnn-new-york-times_n_5da60d95e4b062bdcb19cd92/RK=2/RS=wfRMa3.Chv541yR7C0Y88FeAgsM-","Twelve candidates face off in the largest presidential primary debate in American history.","","10/15/2019 07:06 pm ET","― Nina Golgowski"
"1571529800-8907","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAtuhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Joe Biden Recalls ‘Gay, Gay Bathhouses,’ 24/7 Sex, And People Are So Confused","Joe Biden Recalls 'Gay, Gay Bathhouses,' 24/7 Sex, And People Are So Confused","https://search.huffpost.com/click/_ylt=Awr9IlU7pKtdem0AhNNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558588/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjoe-biden-lgbtq-town-hall-gay-bathhouses_n_5d9fca2ce4b02c9da0479a2b/RK=2/RS=lSf.PoOXbvDdPyKvRQ8RbPQcKxI-","The former vice president reminisced about “gay bathhouses” and “round-the-clock sex” at the LGBTQ town hall on CNN.","","10/10/2019 11:35 pm ET","On a more serious note, Biden also discussed curtailing foreign assistance to countries who discriminate against LGBTQ citizens, the importance of passing the Equality Act in order to reduce hate crimes and protecting transgender people’s right to join the military."
"1571529809-8975","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAtuhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Read Live Updates From The 4th Democratic Presidential Debate","Read Live Updates From The 4th Democratic Presidential Debate","https://search.huffpost.com/click/_ylt=Awr9IlU7pKtdem0AfNNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558588/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdemocratic-debate-cnn-new-york-times_n_5da60d95e4b062bdcb19cd92/RK=2/RS=wfRMa3.Chv541yR7C0Y88FeAgsM-","Twelve candidates face off in the largest presidential primary debate in American history.","","10/15/2019 07:06 pm ET","― Sarah Ruiz-Grossman"
"1571529732-8498","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAuehsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Biden Raised More Than $15 Million In Third Quarter, Campaign Says","Biden Raised More Than $15 Million In Third Quarter, Campaign Says","https://search.huffpost.com/click/_ylt=Awr47a_so6tdaBQAN7ZsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558509/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjoe-biden-raises-15-million-q3_n_5d96736be4b0da7f6623e344/RK=2/RS=vF0L06aXevMMHgMAXxYB9k.79nQ-","The former VP’s team said the numbers indicate Biden’s staying power, but the Q3 figures fell short of Bernie Sanders’ and Pete Buttigieg’s totals.","","10/03/2019 07:26 pm ET","“Don’t compare me to the Almighty, compare me to the alternative,” Biden said, according to a pool report, before he went on to cite polls from Ohio and Michigan that put him above Trump. “I thought those polls are wrong until Trump decided to go after me ― so now I know they’re right.”"
"1571529775-8766","https://search.huffpost.com/search;_ylt=AwrgEancoqtdjRYAqKdsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA1JzYjdyeEVTU2pLZktfM3liVGt0MUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1Mjk3MDE-?p=joe+biden&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9Il_qo6tdjHgAt.hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Facebook Refuses To Pull Trump Campaign Ad That Falsely Accuses Biden Of Corruption","Facebook Refuses To Pull Trump Campaign Ad That Falsely Accuses Biden Of Corruption","https://search.huffpost.com/click/_ylt=AwrS_AgipKtdORUAdhFsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571558563/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ffacebook-trump-campaign-biden-ad_n_5d9d7f76e4b02c9da040f73b/RK=2/RS=8s8tML48Kvopkw47t.ofmeaAbzU-","Joe Biden has slammed Facebook for allowing the spread of an “objectively false” ad. The clip has already been viewed on Facebook millions of times.","","10/09/2019 05:29 am ET","Facebook has come under fire from the Democratic National Committee, as well as other 2020 presidential hopefuls, for their refusal to block false statements or ads from political candidates."
