web-scraper-order,web-scraper-start-url,pages,pages-href,articles,articles-href,title,subtitle,author,date,content
"1571522731-752","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","5 Takeaways From Tuesday's Democratic Debate: The Elizabeth Warren Pile-On","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8ARBlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdemocratic-debate-2020-takeaways_n_5da6726be4b02253a2fa255f/RK=2/RS=C.NjgznyaB2yOeO6FXirHXVAu20-","5 Takeaways From Tuesday’s Democratic Debate: The Elizabeth Warren Pile-On","The other presidential candidates welcomed Warren as the new front-runner by criticizing her rhetoric and proposals.","","10/16/2019 12:18 am ET","“I don’t need lessons from you on courage ― political or personal,” Buttigieg, a military veteran, told O’Rourke in one sharp exchange."
"1571522731-749","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","5 Takeaways From Tuesday's Democratic Debate: The Elizabeth Warren Pile-On","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8ARBlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdemocratic-debate-2020-takeaways_n_5da6726be4b02253a2fa255f/RK=2/RS=C.NjgznyaB2yOeO6FXirHXVAu20-","5 Takeaways From Tuesday’s Democratic Debate: The Elizabeth Warren Pile-On","The other presidential candidates welcomed Warren as the new front-runner by criticizing her rhetoric and proposals.","","10/16/2019 12:18 am ET","During a conversation on foreign policy and Trump’s recent decision to withdraw troops in Syria, Buttigieg drew applause after he called for the U.S. to stand by its allies."
"1571522709-669","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","12 Democratic Front-Runners Brace For Ohio Debate","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8AShlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2f12-democratic-front-runners-brace-for-ohio-debate_n_5da63606e4b002e33e767328/RK=2/RS=ltSI2BKJVt9ejFSdtJ_4S9p8c0Q-","12 Democratic Front-Runners Brace For Ohio Debate","The debate marks the first time the candidates meet since the House moved forward with the Trump impeachment inquiry.","","10/15/2019 05:15 pm ET","The debate marks the first time the candidates meet since the House moved forward with the Trump impeachment inquiry. While they are united on that issue, the debate again exposes a political party that’s yet to coalesce around a unifying message or messenger."
"1571522695-652","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9DuyGiKtdfx8AVhlsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=joe+biden&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","","","","","","",""
"1571522703-660","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","Biden Dodges Question About Son’s Ukraine Work, Talks About Trump And George Washington","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8ATBlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjoe-biden-debate-hunter-biden-ukraine_n_5da66ef2e4b002e33e76bfd4/RK=2/RS=yrpRikZW64KfSzwJFoKrDf3MICU-","Biden Dodges Question About Son’s Ukraine Work, Talks About Trump And George Washington","The former vice president responded during the Democratic debate that he was “proud” of his son Hunter’s judgment.","","10/15/2019 09:30 pm ET","But Biden ignored the question. “Look, my son did nothing wrong. I did nothing wrong,” he started, even though Cooper had already said there was no evidence of wrongdoing."
"1571522731-742","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","5 Takeaways From Tuesday's Democratic Debate: The Elizabeth Warren Pile-On","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8ARBlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdemocratic-debate-2020-takeaways_n_5da6726be4b02253a2fa255f/RK=2/RS=C.NjgznyaB2yOeO6FXirHXVAu20-","5 Takeaways From Tuesday’s Democratic Debate: The Elizabeth Warren Pile-On","The other presidential candidates welcomed Warren as the new front-runner by criticizing her rhetoric and proposals.","","10/16/2019 12:18 am ET","Biden didn’t directly answer if it was wrong that during his tenure as vice president, his son Hunter served as a board member for the Ukrainian company Burisma Holdings ― which spurred Trump’s controversial phone call to Ukraine’s president, which in turn could lead to Trump’s impeachment."
"1571522736-773","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","Sanders, Warren Blast Joe Biden In First Major Clash Of Front-Runners","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8AQhlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-elizabeth-warren-joe-biden-clash-ohio-debate-2020-democratic-presidential-primary_n_5da68b0de4b002e33e76ee03/RK=2/RS=kEu0gF9wqhe_sBmpld.8i6FcDjc-","Sanders, Warren Blast Joe Biden In First Major Clash Of Front-Runners","The two progressive candidates tried to poke holes in the former vice president’s self-styled image as a pragmatist at the Democratic presidential debate.","","10/15/2019 11:43 pm ET","“I know what we can do by executive authority, and I will use it,” she said. “In Congress, on the first day, I will pass my anti-corruption bill, which will beat back the influence of money and repeal the filibuster.”"
"1571522723-713","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","Democrats Dismiss GOP Attacks On Hunter Biden","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8ARhlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fhunter-biden-trump-2020-democrats_n_5da64438e4b02253a2f9ecec/RK=2/RS=c_rqd2kHFPYEhhb_MMhcToir5g8-","Democrats Dismiss GOP Attacks On Hunter Biden","Sen. Debbie Stabenow of Michigan called Republican hand-wringing about the former vice president’s son’s work overseas “the height of hypocrisy.”","Igor Bobic","10/15/2019 07:28 pm ET",""
"1571522715-699","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","Rich And Famous Kids Of Rich And Famous Politicians Are Appalled By Hunter Biden","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8ASBlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ffamous-kids-politicians-hunter-biden_n_5da61504e4b002e33e76306f/RK=2/RS=eUqVoCnhyiOKZE.xXTUm.h5GDQk-","Rich And Famous Kids Of Rich And Famous Politicians Are Appalled By Hunter Biden","Nepotism! Well, I never.","","10/15/2019 04:22 pm ET","But some of the people criticizing Hunter Biden and acting shocked about what happened have benefited from the same system."
"1571522715-697","https://search.huffpost.com/search;_ylt=Awr9KRG2h6tdNjAAdqtsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA0ZVUmZtdExlUU42LlNlRmp2MjFncEEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzkEcXVlcnkDam9lJTIwYmlkZW4EdF9zdG1wAzE1NzE1MjI2ODY-?p=joe+biden&fr2=sb-top&fr=huffpost","","","Rich And Famous Kids Of Rich And Famous Politicians Are Appalled By Hunter Biden","https://search.huffpost.com/click/_ylt=Awr9DuyGiKtdfx8ASBlsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551494/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ffamous-kids-politicians-hunter-biden_n_5da61504e4b002e33e76306f/RK=2/RS=eUqVoCnhyiOKZE.xXTUm.h5GDQk-","Rich And Famous Kids Of Rich And Famous Politicians Are Appalled By Hunter Biden","Nepotism! Well, I never.","","10/15/2019 04:22 pm ET","While Trump’s allegations about the Bidens are entirely baseless, Hunter Biden did seem to be taking advantage of his famous name to score lucrative positions with foreign companies. (There’s no indication he had any expertise in the Ukrainian energy industry otherwise.)"
