web-scraper-order,web-scraper-start-url,pages,pages-href,articles,articles-href,title,subtitle,author,date,content
"1571522537-614","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Veterans To Give Out USS John McCain Shirts At Trump's July 4 Event","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMAqBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fveterans-john-mccain-donald-trump-july-4_n_5d1a43ace4b07f6ca581c21e/RK=2/RS=Hi2bqJ1BLvv1R7L9oblL3tBSulk-","Vets To Give Out Thousands Of USS John McCain Shirts At Trump’s July 4 Event","“It’s really a way to honor a family that ... has shown that the country is bigger than any one individual,” said Peter Kauffmann of VoteVets.","","07/01/2019 03:08 pm ET","“Today, we learned the news that Donald Trump is turning the national 4th of July celebration into a 2020 campaign event, complete with a ticketed VIP section for friends and supporters,” reads a Sunday email from VoteVets. “That’s not what America is about.”"
"1571522556-650","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Cindy McCain Says John McCain Would Be 'Disappointed' With Today's Politics","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMAohNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjohn-mccain-cindy-mccain-wife-anniversary-death_n_5d62a050e4b0dfcbd48f0840/RK=2/RS=MZjDmHOZGIgjJhQhWDjafybaErs-","Cindy McCain Says John McCain Would Be ‘Disappointed’ With Today’s Politics","“He was very frustrated with what was going on then and I think now he’d be even more frustrated,” she said.","","08/25/2019 01:21 pm ET","In her late husband’s memory, Cindy McCain asked that Americans perform “acts of civility” and share them on social media."
"1571522512-570","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","John McCain Will Not Continue Treatment For Brain Cancer, Family Says","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMAsBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjohn-mccain-brain-cancer-treatment_n_5b801e68e4b0348586000d7c/RK=2/RS=_8VXBKoKl.l1xtuTBNQGLnuKDzY-","John McCain Will Not Continue Treatment For Brain Cancer, Family Says","The senator has already “surpassed expectations for his survival.”","","08/24/2018 11:20 am ET","“In the year since, John has surpassed expectations for his survival,” the statement said. “But the progress of disease and the inexorable advance of age render their verdict. With his usual strength of will, he has now chosen to discontinue medical treatment.”"
"1571522543-621","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Opinion: Republicans Can Honor John McCain By Putting America Before Trump","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMAphNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fopinion-john-mccain-republicans-trump_n_5b82df26e4b0348586018d2c/RK=2/RS=IqPI3iPWFDckFEEofcsls32clq0-","Republicans Can Honor John McCain By Putting America Before Trump","null","","08/26/2018 03:23 pm ET","The death of Senator John McCain throws into relief a new and even more alarming phase of the crisis facing American democracy. McCain was one of the few Republican senators willing to publicly warn Donald Trump of the bright lines that he must not cross."
"1571522549-641","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Secret Service Uses John McCain’s Old Code Name 1 Last Time In Touching Tribute","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMApBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjohn-mccain-secret-service-tibute_n_5b84d21ae4b0162f471bd7ae/RK=2/RS=XQYoI68f0VaaH1Wj6uC.3tzm.ro-","Secret Service Uses John McCain’s Old Code Name 1 Last Time In Touching Tribute","The late senator was honored by the agency that protected him during his 2008 presidential bid.","","08/28/2018 03:44 am ET","The department tweeted a message that included McCain’s old code name from when he was the 2008 Republican presidential nominee:"
"1571522543-634","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Opinion: Republicans Can Honor John McCain By Putting America Before Trump","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMAphNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fopinion-john-mccain-republicans-trump_n_5b82df26e4b0348586018d2c/RK=2/RS=IqPI3iPWFDckFEEofcsls32clq0-","Republicans Can Honor John McCain By Putting America Before Trump","null","","08/26/2018 03:23 pm ET","For now, Republicans seem to be proceeding less on the basis of what is needed to prevent a deeper slide into corrupt tyranny and more on the basis of Benjamin Franklin’s famous warning to the signers of the Declaration of Independence: “We must all hang together or surely we will all hang separately.”"
"1571522549-639","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Secret Service Uses John McCain’s Old Code Name 1 Last Time In Touching Tribute","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMApBNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjohn-mccain-secret-service-tibute_n_5b84d21ae4b0162f471bd7ae/RK=2/RS=XQYoI68f0VaaH1Wj6uC.3tzm.ro-","Secret Service Uses John McCain’s Old Code Name 1 Last Time In Touching Tribute","The late senator was honored by the agency that protected him during his 2008 presidential bid.","Ed Mazza","08/28/2018 03:44 am ET",""
"1571522543-623","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Opinion: Republicans Can Honor John McCain By Putting America Before Trump","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMAphNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fopinion-john-mccain-republicans-trump_n_5b82df26e4b0348586018d2c/RK=2/RS=IqPI3iPWFDckFEEofcsls32clq0-","Republicans Can Honor John McCain By Putting America Before Trump","null","","08/26/2018 03:23 pm ET","But few such declarations were forthcoming. On the contrary, Sen. Chuck Grassley actually walked back a previous red line warning."
"1571522533-606","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Trump Reportedly Mocked Joe Biden, John McCain During SOTU Preview Lunch","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMAqhNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-mocks-mccain-biden_n_5c5a315be4b0871047588d47/RK=2/RS=xV_3iV6jSpUZg8LuiEkXCDkGS.8-","Trump Reportedly Mocked Joe Biden, John McCain During State Of The Union Lunch","Meghan McCain, the late senator’s daughter, slammed the president’s comments as “pathetic.”","","02/05/2019 09:04 pm ET","“He wrote a book and the book bombed,” the president said of McCain, whose vote against an Obamacare repeal appears to remain a sore spot for Trump even six months after the Arizona Republican’s death, The New York Times reported."
"1571522519-589","https://search.huffpost.com/search;_ylt=Awr9IlIdh6tdX2EARVFsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2p4STAwUmY2UUpDWWRWRmlYaENEeUEEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A0pvaG4lMjBNY2NhaW4EdF9zdG1wAzE1NzE1MjI0NjM-?p=John+Mccain&fr2=sb-top&fr=huffpost","","","Here's Who Will Serve As Pallbearers At John McCain's Washington Memorial","https://search.huffpost.com/click/_ylt=Awr9IlrCh6tdXeMArhNsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571551298/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fmccain-pallbearers-washington-memorial_n_5b869d67e4b0cf7b0030de36/RK=2/RS=Suu2Zjh9coZA_DKW.fleITvWG7k-","Here’s Who Will Serve As Pallbearers At John McCain’s Washington Memorial","These 15 individuals will carry the Vietnam War veteran’s coffin at Washington National Cathedral.","","08/29/2018 05:54 pm ET","Fifteen individuals will carry the Vietnam War veteran’s coffin at the Washington National Cathedral memorial service before he is laid to rest at the U.S. Naval Academy in Annapolis, Maryland, on Sunday."
