web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571007140-1354","https://www.nytimes.com/search?query=Donald+Trump","The Real Donald Trump Is a Character on TVUnderstand that, and you’ll understand what he’s doing in the White House.By James PoniewozikPRINT EDITIONSeptember 8, 2019, Page SR4","https://www.nytimes.com/2019/09/06/opinion/sunday/trump-reality-tv.html?searchResultPosition=10","The Real Donald Trump Is a Character on TV","Understand that, and you’ll understand what he’s doing in the White House.","","null","This conveniently echoes the mantra he learned from his early mentor, Roy Cohn: Always attack and never apologize. He serves up one “most shocking episode ever” after another, mining uglier pieces of his core each time: progressing from profanity about Haiti and Africa in private to publicly telling four minority American congresswomen, only one of whom was born outside the United States, to “go back” to the countries they came from."
"1571007134-1256","https://www.nytimes.com/search?query=Donald+Trump","Is the Threat of Impeachment Emboldening Trump?And should Democrats pack the Supreme Court?","https://www.nytimes.com/2019/10/10/opinion/the-argument-trump-impeachment-syria.html?searchResultPosition=12","Meet the Hosts","null","","null","Apple Podcasts | Spotify | Google Play | RadioPublic | Stitcher"
"1571007126-1214","https://www.nytimes.com/search?query=Donald+Trump","Trump’s Abrupt Shifts in Middle East Unnerve U.S. AlliesPresident Trump’s acquiescence to a Turkish raid on the Kurds in northern Syria alarmed allies for its unpredictability as much as its betrayal.By David D. Kirkpatrick, Ben Hubbard and David M. HalbfingerPRINT EDITIONPolicy Zigzags By Trump Put Mideast in Fog|October 13, 2019, Page A1","https://www.nytimes.com/2019/10/12/world/middleeast/trumps-abandonment-of-the-kurds-in-syria-has-other-allies-worried.html?searchResultPosition=15","Trump’s Abrupt Shifts in Middle East Unnerve U.S. Allies","null","","Oct. 12, 2019","He later ordered airstrikes against Syria to punish its government for using chemical weapons against rebel groups but he failed to respond after Washington confirmed another use of chemical weapons earlier this year."
"1571007092-915","https://www.nytimes.com/search?query=Donald+Trump","Trump’s Achilles’ Mouth Keeps Him in Trouble, Colbert Says“It’s all detailed in the epic poem ‘The Idiod,’” Stephen Colbert joked on Wednesday.By Trish BendixPRINT EDITIONOctober 11, 2019","https://www.nytimes.com/2019/10/10/arts/television/late-night-stephen-colbert-trump-impeachment.html?searchResultPosition=28","Trump’s Achilles’ Mouth Keeps Him in Trouble, Colbert Says","null","","Oct. 10, 2019","On Tuesday, a White House official who listened to President Trump’s call with Ukraine’s president referred to the conversation as “crazy” and “frightening,” which Jimmy Fallon pointed out got “the same review as ‘Zombieland 2.’”"
"1571007126-1182","https://www.nytimes.com/search?query=Donald+Trump","Trump’s Abrupt Shifts in Middle East Unnerve U.S. AlliesPresident Trump’s acquiescence to a Turkish raid on the Kurds in northern Syria alarmed allies for its unpredictability as much as its betrayal.By David D. Kirkpatrick, Ben Hubbard and David M. HalbfingerPRINT EDITIONPolicy Zigzags By Trump Put Mideast in Fog|October 13, 2019, Page A1","https://www.nytimes.com/2019/10/12/world/middleeast/trumps-abandonment-of-the-kurds-in-syria-has-other-allies-worried.html?searchResultPosition=15","Trump’s Abrupt Shifts in Middle East Unnerve U.S. Allies","null","","Oct. 12, 2019","“I was elected on getting out of these ridiculous endless wars, where our great Military functions as a policing operation to the benefit of people who don’t even like the USA,” he wrote on Twitter on Monday."
"1571007148-1426","https://www.nytimes.com/search?query=Donald+Trump","If Donald Trump Does It, It’s Not a CrimeTrump sees the Ukraine call as a “nothing” because he has spent his entire adult life skirting, mocking, ignoring or breaking the law.By Timothy EganPRINT EDITIONThe Smoking Gun Is Trump Himself|September 28, 2019, Page A23","https://www.nytimes.com/2019/09/27/opinion/trump-ukraine-call.html?searchResultPosition=7","If Donald Trump Does It, It’s Not a Crime","Trump sees the Ukraine call as a “nothing” because he has spent his entire adult life skirting, mocking, ignoring or breaking the law.","","null","The Democrats were left with no choice. Even if it costs them the presidency, they can no longer be blind to their constitutional responsibility. This could be one of those cases where the right thing to do by the country is not the best thing to do politically."
"1571007103-995","https://www.nytimes.com/search?query=Donald+Trump","Impeach Trump, RepeatedlyA president should not be able to stonewall and run out the clock.By Charles M. BlowPRINT EDITIONOctober 7, 2019, Page A27","https://www.nytimes.com/2019/10/06/opinion/trump-impeachment.html?searchResultPosition=24","Impeach Trump, Repeatedly","A president should not be able to stonewall and run out the clock.","","null","Barring a massive shift in public opinion, efforts to convict and remove Trump are destined to fail in the Republican-controlled Senate. Majority Leader Mitch McConnell said last week on CNBC that the Senate would have no choice but to have a trial if the House passes articles of impeachment."
"1571007140-1348","https://www.nytimes.com/search?query=Donald+Trump","The Real Donald Trump Is a Character on TVUnderstand that, and you’ll understand what he’s doing in the White House.By James PoniewozikPRINT EDITIONSeptember 8, 2019, Page SR4","https://www.nytimes.com/2019/09/06/opinion/sunday/trump-reality-tv.html?searchResultPosition=10","The Real Donald Trump Is a Character on TV","Understand that, and you’ll understand what he’s doing in the White House.","","null","Now, Mr. Trump re-creates the boardroom’s helter-skelter atmosphere every time he opens his mouth or his Twitter app. In place of the essentially dead White House press briefing, he walks out to the lawn in the morning and reporters gaggle around him like “Apprentice” contestants awaiting the day’s task. He rails and complains and establishes the plot points for that day’s episode: Greenland! Jews! “I am the chosen one!”"
"1571007088-851","https://www.nytimes.com/search?query=Donald+Trump","Trump Reaches ‘Phase 1’ Deal With China and Delays Planned TariffsPresident Trump said he had reached an agreement with China to walk back tensions in the trade war as he met with a top Chinese envoy FridayBy Ana SwansonPRINT EDITION‘Phase 1’ Accord To Freeze Tariffs Against Chinese|October 12, 2019, Page A1","https://www.nytimes.com/2019/10/11/business/economy/us-china-trade-deal.html?searchResultPosition=30","Trump Reaches ‘Phase 1’ Deal With China and Delays Planned Tariffs","null","","Oct. 11, 2019","Despite the announcement, the deal has not been completed, and Steven Mnuchin, the Treasury secretary, said that more work remained, including on the agreements related to currency and access for American financial companies."
"1571007140-1331","https://www.nytimes.com/search?query=Donald+Trump","The Real Donald Trump Is a Character on TVUnderstand that, and you’ll understand what he’s doing in the White House.By James PoniewozikPRINT EDITIONSeptember 8, 2019, Page SR4","https://www.nytimes.com/2019/09/06/opinion/sunday/trump-reality-tv.html?searchResultPosition=10","The Real Donald Trump Is a Character on TV","Understand that, and you’ll understand what he’s doing in the White House.","","null","From Richard Hatch, we got a steady stream of Real Housewives, Kardashians, nasty judges, dating-show contestants who “didn’t come here to make friends” and, of course, Donald Trump."
