web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571026179-2996","https://www.nytimes.com/search?query=joe+biden","What Hunter Biden Did Was Legal — And That’s the ProblemWe need a Washington Corrupt Practices Act to stop political families from self-dealing.By Peter Schweizer","https://www.nytimes.com/2019/10/09/opinion/what-hunter-biden-did-was-legal-and-thats-the-problem.html?searchResultPosition=14","What Hunter Biden Did Was Legal — And That’s the Problem","We need a Washington Corrupt Practices Act to stop political families from self-dealing.","","null","The problem more broadly is that we rely on a hodgepodge of laws that lack the clarity and bright ethical lines found in the Foreign Corrupt Practices Act. That needs to change. International bribery laws clearly state that if a person or entity pays a politician’s family member and gets favors in return, it’s an act of bribery; it’s no different from the politician taking the money himself."
"1571026219-3287","https://www.nytimes.com/search?query=joe+biden","Joe Biden: Banning Assault Weapons WorksThat’s why, as president, I will push to ban them again.By Joe BidenPRINT EDITIONBanning Assault Weapons Works|August 12, 2019, Page A23","https://www.nytimes.com/2019/08/11/opinion/joe-biden-ban-assault-weapons.html?searchResultPosition=1","Joe Biden: Banning Assault Weapons Works","That’s why, as president, I will push to ban them again.","","null","I know, because with Senator Dianne Feinstein I led the effort to enact the 1994 law that banned assault weapons and high-capacity magazines for 10 years. Those gun safety reforms made our nation demonstrably more secure."
"1571026203-3169","https://www.nytimes.com/search?query=joe+biden","Joe Biden’s Digital Ads Are Disappearing. Not a Good Sign, Strategists Say.In a race where many voters are following politics online, Mr. Biden’s pullback is a striking and potentially worrisome sign about his appeal among the digitally active.By Shane GoldmacherPRINT EDITIONBiden Seems to Cede Digital Battleground|October 1, 2019, Page A15","https://www.nytimes.com/2019/09/30/us/politics/joe-biden-ads.html?searchResultPosition=7","Joe Biden’s Digital Ads Are Disappearing. Not a Good Sign, Strategists Say.","In a race where many voters are following politics online, Mr. Biden’s pullback is a striking and potentially worrisome sign about his appeal among the digitally active.","","null","“You are spending at least a third to half your life on your mobile phone, and they’re deciding they don’t need to have a message for you there,” Mr. Moffatt said."
"1571026159-2741","https://www.nytimes.com/search?query=joe+biden","Facebook’s Hands-Off Approach to Political Speech Gets Impeachment TestThe company’s handling of a Trump campaign ad with unsubstantiated accusations about Joseph Biden foreshadows a continuing fight over misinformation.By Cecilia KangPRINT EDITIONFacebook  Won’t Pull  Ads That Lie|October 9, 2019, Page B1","https://www.nytimes.com/2019/10/08/technology/facebook-trump-biden-ad.html?searchResultPosition=22","Facebook’s Hands-Off Approach to Political Speech Gets Impeachment Test","null","","null","Saying it made false accusations, CNN immediately refused to air the advertisement."
"1571026149-2668","https://www.nytimes.com/search?query=joe+biden","Biden Faced His Biggest Challenge, and Struggled to Form a ResponseAs Trump made unfounded allegations about Biden and his son, the former vice president was torn over what to do. He now looks more vulnerable than at any point in the campaign.By Jonathan Martin, Alexander Burns and Katie GlueckPRINT EDITIONUnder Attack,  Biden Wrestles  With Response|October 6, 2019, Page A1","https://www.nytimes.com/2019/10/05/us/politics/biden-trump-ukraine.html?searchResultPosition=25","Biden Faced His Biggest Challenge, and Struggled to Form a Response","As Trump made unfounded allegations about Biden and his son, the former vice president was torn over what to do. He now looks more vulnerable than at any point in the campaign.","","null","“It’s time to really respond so everybody hears it,” said Representative Cedric Richmond of Louisiana, a campaign co-chairman. “If someone says something enough, people will start to believe it, and this president gets in his zone of telling a lie over and over again. You have to make sure people don’t believe in it.”"
"1571026156-2726","https://www.nytimes.com/search?query=joe+biden","Joe Biden Pokes Fun at His Own ‘Gaffes’ With Stephen ColbertThe former vice president made his late-night comedy debut as a 2020 candidate.By Katie Glueck and Matt StevensPRINT EDITIONSeptember 5, 2019","https://www.nytimes.com/2019/09/04/us/politics/stephen-colbert-told-joe-biden-to-run-in-2016-what-will-he-say-tonight.html?searchResultPosition=23","Joe Biden Pokes Fun at His Own ‘Gaffes’ With Stephen Colbert","The former vice president made his late-night comedy debut as a 2020 candidate.","","null","In that interview, Mr. Biden suggested that he wasn’t emotionally ready to pursue a run after the death that year of his son, Beau, from brain cancer. It was an emotional and memorable interview about grappling with grief and loss — a theme that, four years later, is a defining element of how Mr. Biden connects on the campaign trail as a presidential candidate."
"1571026190-3052","https://www.nytimes.com/search?query=joe+biden","Joe Biden Believes in the Good Will of Republicans. Is That Naïve?As he runs for president, Joseph R. Biden Jr. has trumpeted his ability to work with Republicans, including Mitch McConnell. Others in his party view that as antiquated and unrealistic.By Glenn ThrushPRINT EDITIONBiden Has Faith in McConnell. Some Democratic Rivals Wonder Why.|September 19, 2019, Page A17","https://www.nytimes.com/2019/09/18/us/politics/joe-biden-mitch-mcconnell.html?searchResultPosition=11","Joe Biden Believes in the Good Will of Republicans. Is That Naïve?","null","","null","Mr. Biden and his defenders say he is being attacked for refusing to accept what they consider a false premise: that progress is possible only through the use of uncompromising political force."
"1571026179-2989","https://www.nytimes.com/search?query=joe+biden","What Hunter Biden Did Was Legal — And That’s the ProblemWe need a Washington Corrupt Practices Act to stop political families from self-dealing.By Peter Schweizer","https://www.nytimes.com/2019/10/09/opinion/what-hunter-biden-did-was-legal-and-thats-the-problem.html?searchResultPosition=14","What Hunter Biden Did Was Legal — And That’s the Problem","We need a Washington Corrupt Practices Act to stop political families from self-dealing.","","null","Why would someone with so little experience be able to command such enormous payments? Joe Biden recently claimed, “I have never spoken to my son about his overseas business dealings.” But Hunter Biden admitted to The New Yorker that on one occasion, they had in fact discussed his work for Burisma: “Dad said, ‘I hope you know what you are doing,’ and I said, ‘I do.’” Moreover, a representative for BHR Partners has said that Hunter Biden introduced his father to one of the company’s founders during their December 2013 China trip."
"1571026161-2771","https://www.nytimes.com/search?query=joe+biden","Top Biden Donors Gather Amid Storm Clouds Over CampaignNow fourth in the Democratic money chase and under fire from President Trump, Joseph R. Biden Jr. is increasingly dependent on his top donors, many of whom met in Philadelphia.By Shane GoldmacherPRINT EDITIONWith Biden Under Attack, Big-Money Donors Gather to Plot Fortifications|October 7, 2019, Page A20","https://www.nytimes.com/2019/10/05/us/politics/biden-donors.html?searchResultPosition=21","Top Biden Donors Gather Amid Storm Clouds Over Campaign","Now fourth in the Democratic money chase and under fire from President Trump, Joseph R. Biden Jr. is increasingly dependent on his top donors, many of whom met in Philadelphia.","","null","Denise Bauer, a former ambassador to Belgium, said there was an urgency in the air. “We need him to get the nomination because he’s the one who can win,” she said, adding “We are all going to try to raise every single dollar we can.”"
"1571026141-2591","https://www.nytimes.com/search?query=joe+biden","At Minneapolis Rally, an Angry Trump Reserves Sharpest Attack for BidenAt a fiery campaign rally Thursday night in Minnesota, President Trump said former Vice President Joseph R. Biden Jr. did nothing but “kiss Barack Obama’s ass.”By Annie Karni and Peter BakerPRINT EDITIONAngry Trump Goes on the Offensive in Minnesota|October 11, 2019, Page A21","https://www.nytimes.com/2019/10/10/us/politics/trump-rally-minneapolis.html?searchResultPosition=28","At Minneapolis Rally, an Angry Trump Reserves Sharpest Attack for Biden","null","","null","He noted that Hunter Biden had been out of the public spotlight in the past couple of weeks as the president and his supporters have sought to make him a political liability for the former vice president."
