web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571026459-3454","https://www.nytimes.com/search?query=John+Mccain","John McCainA video clip from ""In  the Silent Echo Chamber.""Sylvia Rupani-Smith","https://www.nytimes.com/video/multimedia/1194836856281/john-mccain.html?searchResultPosition=16","null","null","Hong Kong Protests","null",""
"1571026487-3673","https://www.nytimes.com/search?query=John+Mccain","What You Need to Know About the U.S.S. John S. McCainThe disclosure of a White House request to hide the Navy destroyer during President Trump’s state visit to Japan has turned the ship into a political symbol.By Alan BlinderPRINT EDITIONAbout the U.S.S. John S. McCain|May 31, 2019, Page A19","https://www.nytimes.com/2019/05/30/us/uss-mccain-navy-ship.html?searchResultPosition=7","What You Need to Know About the U.S.S. John S. McCain","null","","May 30, 2019","The ship launched Tomahawk missiles as a part of the United States’ invasion of Iraq in 2003, but it has spent most of its time in the waters around East Asia and participated in relief efforts after an earthquake struck Japan in 2011."
"1571026480-3604","https://www.nytimes.com/search?query=John+Mccain","Let’s Not Upset the President: The White House Tells the Navy to Hide the U.S.S. McCainThe request was an effort to keep Mr. McCain’s name out of photographs while Mr. Trump was at a naval base in Japan.By Mark Landler and Eileen SullivanPRINT EDITIONHiding Ship but Exposing Goal: Let’s Not Provoke the President|May 31, 2019, Page A1","https://www.nytimes.com/2019/05/30/us/politics/trump-mccain-ship.html?searchResultPosition=9","Let’s Not Upset the President: The White House Tells the Navy to Hide the U.S.S. McCain","null","","May 30, 2019","Sailors from the McCain were not invited to Mr. Trump’s speech on another ship, the Wasp, at the Yokosuka Naval Base, although crew members from most other American ships at the base were, a Navy service member based at Yokosuka said."
"1571026423-3336","https://www.nytimes.com/search?query=John+Mccain","John McCain on ImmigrationLess than 24 hours after a bill he had co-authored on immigration reform stalled in the Senate, Senator John McCain was on the stump discussing the issue.","https://www.nytimes.com/video/us/politics/1194817120381/john-mccain-on-immigration.html?searchResultPosition=30","null","null","Site Feedback","null",""
"1571026505-3749","https://www.nytimes.com/search?query=John+Mccain","Inside America’s Dysfunctional Trillion-Dollar Fighter-Jet ProgramThe F-35 was once the Pentagon’s high-profile problem child. Has it finally moved past its reputation of being an overhyped and underperforming warplane?By Valerie InsinnaPRINT EDITIONAugust 22, 2019","https://www.nytimes.com/2019/08/21/magazine/f35-joint-strike-fighter-program.html?searchResultPosition=2","Inside America’s Dysfunctional Trillion-Dollar Fighter-Jet Program","null","","null","The F-35 initiative is the Defense Department’s most expensive weapons program ever, expected to cost taxpayers more than $1 trillion over its 60-year lifespan. It’s also the United States military’s most ambitious international partnership, with eight other nations investing in the aircraft’s development. Its advocates promised that the jet would be a game-changing force in the future of war — so much was riding on its success that a program cancellation was not an option. And yet for years it seemed as if the F-35 might never make it beyond its development phase."
"1571026480-3635","https://www.nytimes.com/search?query=John+Mccain","Let’s Not Upset the President: The White House Tells the Navy to Hide the U.S.S. McCainThe request was an effort to keep Mr. McCain’s name out of photographs while Mr. Trump was at a naval base in Japan.By Mark Landler and Eileen SullivanPRINT EDITIONHiding Ship but Exposing Goal: Let’s Not Provoke the President|May 31, 2019, Page A1","https://www.nytimes.com/2019/05/30/us/politics/trump-mccain-ship.html?searchResultPosition=9","Let’s Not Upset the President: The White House Tells the Navy to Hide the U.S.S. McCain","null","","May 30, 2019","“John McCain was a war hero, should be treated as a war hero — anything less than that is beneath anyone who doesn’t treat him that way,” Mr. Biden said to reporters in Delaware."
"1571026509-3797","https://www.nytimes.com/search?query=John+Mccain","Democrats, Try Speaking to the Whole of AmericaPresidential candidates should follow the example of my boss, John McCain, in avoiding divisive politics.By Truman AndersonPRINT EDITIONWant to Win in 2020? Fight Fair|August 21, 2019, Page A25","https://www.nytimes.com/2019/08/20/opinion/john-mccain-trump.html?searchResultPosition=1","Democrats, Try Speaking to the Whole of America","Presidential candidates should follow the example of my boss, John McCain, in avoiding divisive politics.","","null","A few months ago, against the background of the past two years, and despite the equivocal impact of the Mueller investigation, Democrats could be forgiven for assuming that the outcome of the coming presidential election would indeed be different. The Trump administration is uniquely disorderly and unethical. Moreover, the president is so bombastic, and so incorrigible when he is wrong, that he is utterly unable to persuade and to lead when he is right. But he has sharpened his game as the ideological turmoil within Democratic ranks has become more apparent."
"1571026505-3763","https://www.nytimes.com/search?query=John+Mccain","Inside America’s Dysfunctional Trillion-Dollar Fighter-Jet ProgramThe F-35 was once the Pentagon’s high-profile problem child. Has it finally moved past its reputation of being an overhyped and underperforming warplane?By Valerie InsinnaPRINT EDITIONAugust 22, 2019","https://www.nytimes.com/2019/08/21/magazine/f35-joint-strike-fighter-program.html?searchResultPosition=2","Inside America’s Dysfunctional Trillion-Dollar Fighter-Jet Program","null","","null","Later, serious problems resulted from starting production while the aircraft was still under development, a process the Pentagon calls concurrency. The strategy was meant to allow the services to begin flying their F-35s sooner. Instead, F-35s started rolling off the production line with unresolved technical problems, forcing the Pentagon to continually retrofit even newly built jets."
"1571026435-3410","https://www.nytimes.com/search?query=John+Mccain","The Greening of John McCainPRINT EDITIONMay 24, 2004, Page A00022","https://www.nytimes.com/2004/05/24/opinion/the-greening-of-john-mccain.html?searchResultPosition=25","The Greening of John McCain","null","","null","But the McCains of this world are increasingly rare birds, and therein lies the strongest reason why he should resist the siren call of presidential politics and remain where he is and who he is. The gradual disappearance of moderates from the Republican landscape has helped neither the party nor the country. Mr. McCain's voice is more than a voice of bipartisan good sense. In time, it could lead the Republican Party back to where it once was and where it ought to be now."
"1571026509-3803","https://www.nytimes.com/search?query=John+Mccain","Democrats, Try Speaking to the Whole of AmericaPresidential candidates should follow the example of my boss, John McCain, in avoiding divisive politics.By Truman AndersonPRINT EDITIONWant to Win in 2020? Fight Fair|August 21, 2019, Page A25","https://www.nytimes.com/2019/08/20/opinion/john-mccain-trump.html?searchResultPosition=1","Democrats, Try Speaking to the Whole of America","Presidential candidates should follow the example of my boss, John McCain, in avoiding divisive politics.","","null","Senator McCain understood that campaigns themselves shape the electorate. A merely reactive politics that plays to existing prejudices is poison. In that sense, especially, his example is relevant to this moment. We truly do need a maverick, for business as usual is tearing the country apart. Mr. Trump has an instinct for divisive campaigning, but it is a widely practiced art, and his departure from the White House — when it comes — will not in itself repair the damage. We must demand leadership in place of gamesmanship from all of our candidates."
