web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
1571004804-570,https://www.nytimes.com/search?query=bernie+sanders,"Bernie Sanders Calls for Eliminating Americans’ Medical DebtOn top of his “Medicare for all” proposal, Mr. Sanders’s new plan would wipe out an estimated $81 billion in existing medical debt and ignore such debt in credit scores.By Margot Sanger-Katz and Sydney EmberPRINT EDITIONSanders Proposal Calls for the Elimination of Medical Debt|September 22, 2019, Page A19",https://www.nytimes.com/2019/09/21/us/politics/bernie-medical-debt-healthcare.html?searchResultPosition=12,Bernie Sanders Calls for Eliminating Americans’ Medical Debt,"On top of his “Medicare for all” proposal, Mr. Sanders’s new plan would wipe out an estimated $81 billion in existing medical debt and ignore such debt in credit scores.",,"Sept. 21, 2019","“I have always believed that health care is a human right, and it has always disturbed me immensely that so many of our people are uninsured or underinsured and can’t go to the doctor,” Mr. Sanders said. “But I have learned in this campaign something else, which I didn’t talk about previously, and that is the financial pain that this dysfunctional health care system is causing people.”"
1571004818-723,https://www.nytimes.com/search?query=bernie+sanders,"Bernie Sanders Says He Knew of Heart Attack Three Days Before Disclosing It“I think we did it appropriately and did it as quickly as we could,” Mr. Sanders said. “No apologies.”By Maggie Astor and Sydney EmberPRINT EDITIONSanders Defends Delay  In Sharing Health News|October 10, 2019, Page A15",https://www.nytimes.com/2019/10/09/us/politics/bernie-sanders-heart-attack.html?searchResultPosition=6,Bernie Sanders Says He Knew of Heart Attack Three Days Before Disclosing It,"“I think we did it appropriately and did it as quickly as we could,” Mr. Sanders said. “No apologies.”",,null,"Mr. Sanders, 78, rejected the idea that his campaign had showed a lack of transparency in not disclosing the information more quickly."
1571004809-592,https://www.nytimes.com/search?query=bernie+sanders,"What Jane Sanders Is Telling Bernie Sanders About His 2020 BidJane Sanders, long an influential force in her husband’s political life, has recently been instrumental in shaping decisions about his health issues, his campaign and the flow of information to the public.By Sydney Ember and Jonathan MartinPRINT EDITION‘She Is His Engine’: What Jane Sanders Is Telling Her Husband About 2020|October 11, 2019, Page A17",https://www.nytimes.com/2019/10/10/us/politics/bernie-sanders-wife-jane.html?searchResultPosition=10,What Jane Sanders Is Telling Bernie Sanders About His 2020 Bid,"Jane Sanders, long an influential force in her husband’s political life, has recently been instrumental in shaping decisions about his health issues, his campaign and the flow of information to the public.",Jonathan Martin,"Oct. 10, 2019",
1571004801-526,https://www.nytimes.com/search?query=bernie+sanders,"Bernie Sanders Proposes a Wealth Tax: ‘I Don’t Think That Billionaires Should Exist’Mr. Sanders is embracing an idea at the center of Elizabeth Warren’s presidential campaign. His proposal goes further in who would be taxed and how much money would be raised.By Thomas KaplanPRINT EDITIONA Candidate Opposed to Billionaires Unveils His Tax Proposal|September 25, 2019, Page A13",https://www.nytimes.com/2019/09/24/us/politics/bernie-sanders-wealth-tax.html?searchResultPosition=13,Bernie Sanders Proposes a Wealth Tax: ‘I Don’t Think That Billionaires Should Exist’,Mr. Sanders is embracing an idea at the center of Elizabeth Warren’s presidential campaign. His proposal goes further in who would be taxed and how much money would be raised.,,"Sept. 24, 2019","Mr. Sanders’s plan to tax accumulated wealth, not just income, is particularly aggressive in how it would erode the fortunes of billionaires. His tax would cut in half the wealth of the typical billionaire after 15 years, according to two economists who worked with the Sanders campaign on the plan. Mr. Sanders would use the money generated by his wealth tax to fund the housing plan he released last week and a forthcoming plan for universal child care, as well as to help pay for “Medicare for all.”"
1571004785-300,https://www.nytimes.com/search?query=bernie+sanders,"Sanders Says After Heart Attack: ‘I Should Have Listened to Those Symptoms’Senator Bernie Sanders spoke to reporters about the state of his health in Burlington, Vt., on Tuesday.By The Associated Press",https://www.nytimes.com/video/us/politics/100000006759147/bernie-sanders-health.html?searchResultPosition=20,null,null,Most-Viewed,null,
1571004816-714,https://www.nytimes.com/search?query=bernie+sanders,"Bernie Sanders Will Participate in Next Debate, His Campaign SaysThe Vermont senator’s wife said he is in good spirits and should be able to return home by the end of this coming weekend.By Sydney EmberPRINT EDITIONSanders’s Campaign Says He Will Be Ready for Democrats’ Next Debate|October 4, 2019, Page A17",https://www.nytimes.com/2019/10/03/us/politics/bernie-sanders-debate-heart.html?searchResultPosition=7,"Bernie Sanders Will Participate in Next Debate, His Campaign Says",The Vermont senator’s wife said he is in good spirits and should be able to return home by the end of this coming weekend.,,"Oct. 3, 2019","Since Wednesday, campaign aides have been trying to put the episode in a positive light, with some tweeting and retweeting well-wishes and encouragement. Surrogates and supporters have also expressed their solidarity. Some supporters have leveraged the episode into a rallying cry for fund-raising."
1571004773-203,https://www.nytimes.com/search?query=bernie+sanders,"Biden on Impeachment, L.G.B.T.Q. Forum: This Week in the 2020 RaceHere are seven things that happened on the presidential campaign trail this week.By Maggie Astor and Matt StevensPRINT EDITIONOctober 13, 2019",https://www.nytimes.com/2019/10/12/us/politics/joe-biden-impeachment-bernie-sanders.html?searchResultPosition=26,"Biden on Impeachment, L.G.B.T.Q. Forum: This Week in the 2020 Race",Here are seven things that happened on the presidential campaign trail this week.,,"Oct. 12, 2019","Here’s our rundown of what happened in the Democratic primary this week, as the candidates gear up for Tuesday’s debate in Ohio."
1571004812-652,https://www.nytimes.com/search?query=bernie+sanders,"Bernie Sanders Says He Will Slow His Campaign Pace After Heart AttackThe Vermont senator said he would “change the nature” of his campaign. He also acknowledged that voters would take his health into account when deciding whether to support him.By Sydney Ember and Jonathan MartinPRINT EDITIONAfter Heart Attack, Sanders Will Slow Pace of His Campaign|October 9, 2019, Page A19",https://www.nytimes.com/2019/10/08/us/politics/bernie-sanders-heart-attack.html?searchResultPosition=9,Bernie Sanders Says He Will Slow His Campaign Pace After Heart Attack,The Vermont senator said he would “change the nature” of his campaign. He also acknowledged that voters would take his health into account when deciding whether to support him.,,"Oct. 8, 2019","Another adviser, who spoke on the condition of anonymity to discuss a sensitive topic, said Mr. Sanders had been thinking about changing the pace of his campaign schedule for some time, and aides discussed this with him when he was in the hospital."
1571004814-668,https://www.nytimes.com/search?query=bernie+sanders,"Bernie Sanders Is Hospitalized, Raising Questions About His CandidacyThe Vermont senator had two stents inserted in an artery after experiencing chest discomfort at an event. His campaign canceled his events and said he would be resting for several days.By Sydney Ember and Jonathan MartinPRINT EDITIONHeart Trouble Pulls Sanders From the Trail|October 3, 2019, Page A1",https://www.nytimes.com/2019/10/02/us/politics/bernie-sanders-health.html?searchResultPosition=8,"Bernie Sanders Is Hospitalized, Raising Questions About His Candidacy",The Vermont senator had two stents inserted in an artery after experiencing chest discomfort at an event. His campaign canceled his events and said he would be resting for several days.,,"Published Oct. 2, 2019","Mr. Sanders, Mr. Biden and Senator Elizabeth Warren, who is 70, have all said they would release their records before the first voting starts in February."
1571004777-248,https://www.nytimes.com/search?query=bernie+sanders,This Is the Strongest Argument Against Medicare for AllA deep-blue state’s failure to enact a single-payer system shows why a national version is unlikely to succeed.By Peter Suderman,https://www.nytimes.com/2019/10/09/opinion/bernie-sanders-single-payer.html?searchResultPosition=24,This Is the Strongest Argument Against Medicare for All,A deep-blue state’s failure to enact a single-payer system shows why a national version is unlikely to succeed.,,null,"A Sanders presidency would have to overcome a deep trust deficit born of both lingering frustrations with Obamacare and the generalized cynicism and ineptitude of the Trump administration and the current Congress. And unlike Mr. Shumlin, Mr. Sanders would be faced with both a public and a legislature that is not nearly as friendly as in left-leaning Vermont. Even if Democrats somehow took both chambers of Congress, influential Democrats in the Senate, where legislative details would be hashed out, are still wary of pursuing a full-fledged single-payer system."
1571004794-443,https://www.nytimes.com/search?query=bernie+sanders,"‘E for Effort’: Can Bernie Sanders Pass the South Carolina Test in 2020?The state, where black voters dominate the Democratic electorate, delivered a huge setback to Mr. Sanders in early 2016. He knows things need to be different this time.By Sydney Ember and Shane GoldmacherPRINT EDITION‘E for Effort’ as Sanders Looks to Pass the South Carolina Test in 2020|September 19, 2019, Page A18",https://www.nytimes.com/2019/09/18/us/politics/bernie-sanders-south-carolina.html?searchResultPosition=16,‘E for Effort’: Can Bernie Sanders Pass the South Carolina Test in 2020?,"The state, where black voters dominate the Democratic electorate, delivered a huge setback to Mr. Sanders in early 2016. He knows things need to be different this time.",,"Sept. 18, 2019","An early snapshot of the state suggests that Mr. Sanders still faces an uphill climb. In a selfie line after a shrimp-and-grits breakfast event in Georgetown, S.C., last month, nearly all of the people waiting for photographs with the senator were white. And in conversations with black leaders and voters, including some at Mr. Sanders’s own events, there was still uncertainty about Mr. Sanders and his policies. Several people mentioned his “Medicare for All” proposal for a government-run health insurance system."
1571004829-834,https://www.nytimes.com/search?query=bernie+sanders,"Bernie Sanders Has a Heart Attack: This Week in the 2020 RaceHere are seven things that happened in the presidential campaign this week.By Matt Stevens and Maggie AstorPRINT EDITIONOctober 6, 2019",https://www.nytimes.com/2019/10/05/us/politics/bernie-sanders-heart-attack-q3-fundraising.html?searchResultPosition=1,Bernie Sanders Has a Heart Attack: This Week in the 2020 Race,Here are seven things that happened in the presidential campaign this week.,,null,"Nine of the 2020 candidates appeared at a gun policy forum in Las Vegas on Wednesday, two years and one day after a gunman massacred 58 concertgoers there, and expressed their collective support for sweeping new gun restrictions."
