web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571098768-5258","https://www.nytimes.com/search?query=Sarah+Palin","Sarah Palin Saves FeminismShe’s helped recast outmoded assumptions, and now a woman can stumble and babble without taking down the whole gender.By Maureen DowdPRINT EDITIONJanuary 24, 2016, Page SR13","https://www.nytimes.com/2016/01/24/opinion/sunday/sarah-palin-saves-feminism.html?searchResultPosition=28","Sarah Palin Saves Feminism","null","","Jan. 23, 2016","Yes, Sarah Palin, I’m giving you a shout-out."
"1571098803-5381","https://www.nytimes.com/search?query=Sarah+Palin","‘News for Sarah Palin’By Alan Lee","https://laughlines.blogs.nytimes.com/2009/02/19/news-for-sarah-palin/?searchResultPosition=15","null","null","The New York Times Company","null",""
"1571098797-5377","https://www.nytimes.com/search?query=Sarah+Palin","Sarah Palin’s MustacheWhen unwanted facial hair brings unfair scrutiny.By Julia BairdPRINT EDITIONFebruary 26, 2016, Page A29","https://www.nytimes.com/2016/02/26/opinion/campaign-stops/sarah-palins-mustache.html?searchResultPosition=17","Sarah Palin’s Mustache","null","","Feb. 26, 2016","Why do we consider a mere hint of the hirsute such a disgrace for women when men can mooch about our cities with goatees, mutton-chop whiskers, navel-skimming beards and even “man buns” with little comment? We think of ourselves as liberated, yet it is still considered embarrassing and shameful for a woman’s upper lip to be imperfectly depilated."
"1571098832-5491","https://www.nytimes.com/search?query=Sarah+Palin","Sarah Palin’s Defamation Suit Against New York Times Is ReinstatedThe lawsuit stems from a 2017 editorial that the former vice presidential candidate contends tried to link her to a 2011 mass shooting in Arizona.By Marc TracyPRINT EDITIONPalin’s Lawsuit Against Times Is Reinstated|August 7, 2019, Page B4","https://www.nytimes.com/2019/08/06/business/sarah-palin-lawsuit-new-york-times.html?searchResultPosition=1","Sarah Palin’s Defamation Suit Against New York Times Is Reinstated","null","","Aug. 6, 2019","Sarah Palin’s defamation lawsuit against The New York Times Company was reinstated by a federal appellate court on Tuesday, with a three-judge panel ruling that a District Court judge was wrong to dismiss it two years ago."
"1571098832-5492","https://www.nytimes.com/search?query=Sarah+Palin","Sarah Palin’s Defamation Suit Against New York Times Is ReinstatedThe lawsuit stems from a 2017 editorial that the former vice presidential candidate contends tried to link her to a 2011 mass shooting in Arizona.By Marc TracyPRINT EDITIONPalin’s Lawsuit Against Times Is Reinstated|August 7, 2019, Page B4","https://www.nytimes.com/2019/08/06/business/sarah-palin-lawsuit-new-york-times.html?searchResultPosition=1","Sarah Palin’s Defamation Suit Against New York Times Is Reinstated","null","","Aug. 6, 2019","The case involves an editorial The New York Times published in June 2017. Ms. Palin, the former vice presidential candidate, argued in her lawsuit that the editorial had incorrectly linked her to a 2011 mass shooting in which Gabrielle Giffords, then a congresswoman from Arizona, was severely wounded. Ms. Palin’s political action committee had previously circulated a map of electoral districts, some with cross hairs on them, and she said The Times had connected the map to the shooting despite knowing that tie to be false."
"1571098832-5494","https://www.nytimes.com/search?query=Sarah+Palin","Sarah Palin’s Defamation Suit Against New York Times Is ReinstatedThe lawsuit stems from a 2017 editorial that the former vice presidential candidate contends tried to link her to a 2011 mass shooting in Arizona.By Marc TracyPRINT EDITIONPalin’s Lawsuit Against Times Is Reinstated|August 7, 2019, Page B4","https://www.nytimes.com/2019/08/06/business/sarah-palin-lawsuit-new-york-times.html?searchResultPosition=1","Sarah Palin’s Defamation Suit Against New York Times Is Reinstated","null","","Aug. 6, 2019","In August, Judge Jed S. Rakoff of Federal District Court in Manhattan dismissed the suit after an unusual evidentiary hearing in which James Bennet, the editor of the Times editorial page, testified. He said he had not intended to blame Ms. Palin for the shooting of Ms. Giffords, but rather to make a broader statement about the country’s heated political environment. Mr. Bennet inserted the statements that Ms. Palin said were defamatory during the editing process."
"1571098818-5485","https://www.nytimes.com/search?query=Sarah+Palin","Chasing Sarah PalinWill she run, or won’t she. She just doesn’t know, you know?By Andrew Rosenthal","https://takingnote.blogs.nytimes.com/2011/12/20/chasing-sarah-palin/?searchResultPosition=7","null","null","The New York Times Company","null",""
"1571098814-5466","https://www.nytimes.com/search?query=Sarah+Palin","Sarah Palin on the ConventionJeff Zeleny spoke with Sarah Palin about the Republican convention.None None","https://www.nytimes.com/video/multimedia/100000001355369/sarah-palin-on-the-convention.html?searchResultPosition=9","null","null","Diary of a Song","null",""
"1571098809-5442","https://www.nytimes.com/search?query=Sarah+Palin","Sarah Palin’s SpeechFormer Gov. Sarah Palin of Alaska told the gathering, ""It is so humbling to get to be here with you today, patriots. You who are motivated and engaged ... and knowing never to retreat.""None None","https://www.nytimes.com/video/us/politics/1248068934992/sarah-palin-s-speech.html?searchResultPosition=12","null","null","Ad Choice","null",""
"1571098807-5413","https://www.nytimes.com/search?query=Sarah+Palin","Sarah Palin's SpeechIn her acceptance speech before a roaring crowd in Dayton, Ohio, Gov. Sarah Palin, a 44-year-old mother of five, said she was honored to be chosen.","https://www.nytimes.com/video/multimedia/1194817104817/sarah-palin-s-speech.html?searchResultPosition=13","null","null","RSS","null",""
