web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571099340-6293","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","Donald Trump Wishes He Were Running Against Alexandria Ocasio-CortezHis racist tweet is central to his 2020 re-election strategy.By Frank BruniPRINT EDITIONTrump Wishes His Opponent Were A.O.C.|July 17, 2019, Page A31","https://www.nytimes.com/2019/07/16/opinion/trump-tweet-alexandria-ocasio-cortez-squad.html?searchResultPosition=20","Donald Trump Wishes He Were Running Against Alexandria Ocasio-Cortez","His racist tweet is central to his 2020 re-election strategy.","","null","It’s no accident that around the same time that Trump fired off his racist tweet, Democratic strategists were, according to a report in Axios, circulating a private poll of potential swing voters — white people with two years of college or less — that showed that 74 percent of them recognized Ocasio-Cortez’s name but only 22 percent had a favorable view of her, while 53 percent recognized Omar but only 9 percent saw her favorably. If Democrats have numbers like that, Republicans almost certainly do, too. And Republicans know how to pick — and pick apart — their enemies."
"1571099324-6193","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","‘The Squad’ Is the Future of the Democratic PartyYou can credit social movements for that.By Barbara RansbyPRINT EDITION‘The Squad’ Is the Future|August 9, 2019, Page A23","https://www.nytimes.com/2019/08/08/opinion/the-squad-democrats.html?searchResultPosition=25","‘The Squad’ Is the Future of the Democratic Party","You can credit social movements for that.","","null","From the start, Alexandria Ocasio-Cortez was urged to stay in her place when she insisted upon committee appointments deemed out of reach for a freshman representative. It was those committees that would have the most impact on the values she was elected to advance, and so she persisted, violating protocol in the process."
"1571099360-6449","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","When Should a President Be Impeached?Only two presidents have ever been put on trial. Democrats may make Trump the third.By Spencer Bokat-Lindell","https://www.nytimes.com/2019/09/24/opinion/president-trump-impeachment.html?searchResultPosition=14","When Should a President Be Impeached?","Only two presidents have ever been put on trial. Democrats may make Trump the third.","","null","Victor, a surgeon from New Hampshire, commented that the airline pilot profession has a mandatory retirement age. “You can’t tell me that it’s less taxing to be president than to be a pilot or surgeon,” he wrote."
"1571099324-6209","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","‘The Squad’ Is the Future of the Democratic PartyYou can credit social movements for that.By Barbara RansbyPRINT EDITION‘The Squad’ Is the Future|August 9, 2019, Page A23","https://www.nytimes.com/2019/08/08/opinion/the-squad-democrats.html?searchResultPosition=25","‘The Squad’ Is the Future of the Democratic Party","You can credit social movements for that.","","null","These women — Justice Sotomayor and the squad — have all insisted upon bringing their whole selves into these insider spaces where women and people of color have been historically told to either “go back” to where they came from, or “listen and learn” in terms of how things are done if they want to succeed. The former message comes from the right, the latter from liberal insiders."
"1571099318-6167","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","‘The Squad’ Rankles, but Pelosi and Ocasio-Cortez Make Peace for NowUnder attack from President Trump, the House Democratic quartet self-named “the squad” is being embraced by its party. But beneath the bonhomie, tensions remain.By Sheryl Gay StolbergPRINT EDITION‘Squad’ Rankles, but Pelosi and Ocasio-Cortez Make Peace for Now|July 27, 2019, Page A13","https://www.nytimes.com/2019/07/26/us/politics/aoc-squad-pelosi.html?searchResultPosition=27","‘The Squad’ Rankles, but Pelosi and Ocasio-Cortez Make Peace for Now","null","","July 26, 2019","The foursome’s one unquestionable good for the party is fund-raising; Ms. Ocasio-Cortez, for instance, has already raised $2 million this cycle. But with Mr. Trump determined to make the women the face of the party, some Democrats say they need to tone it down — or at least be more careful with their words."
"1571099308-6065","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","2 Officers Fired Over Facebook Post Saying Ocasio-Cortez ‘Needs a Round’One police officer from Gretna, La., referred to the congresswoman as a “vile idiot” and suggested she should be shot. Another officer liked the post.By Jacey FortinPRINT EDITIONFacebook Post Leads to Firing Of Two Officers|July 23, 2019, Page A11","https://www.nytimes.com/2019/07/22/us/gretna-police-charlie-rispoli-aoc.html?searchResultPosition=30","2 Officers Fired Over Facebook Post Saying Ocasio-Cortez ‘Needs a Round’","One police officer from Gretna, La., referred to the congresswoman as a “vile idiot” and suggested she should be shot. Another officer liked the post.","","null","Neither Mr. Rispoli nor Mr. Varisco could be reached for comment on Monday evening."
"1571099362-6471","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","‘When They Speak, Everybody Listens.’ How Freshmen Are Shaping the Impeachment Push.The drive to open an impeachment inquiry into President Trump began with pressure from the left, and ended with a tide of statements from moderates concerned about national security.By Emily Cochrane and Sheryl Gay StolbergPRINT EDITIONFreshmen Democrats On Left and in Middle, Lead Push for Inquiry|September 26, 2019, Page A16","https://www.nytimes.com/2019/09/25/us/politics/freshman-democrats-impeachment.html?searchResultPosition=13","‘When They Speak, Everybody Listens.’ How Freshmen Are Shaping the Impeachment Push.","The drive to open an impeachment inquiry into President Trump began with pressure from the left, and ended with a tide of statements from moderates concerned about national security.","","null","Others, like Ms. Slotkin, are urging Ms. Pelosi to narrow the impeachment inquiry to Ukraine, and focus it tightly on national security — a message that would presumably go over well in their Trump-friendly districts. Were she to do so, the speaker might anger powerful committee chairmen who are investigating other aspects of the Trump administration."
"1571099371-6553","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","New York Democrats Balance Impeachment Issue With Local ConcernsIn three distinct enclaves of New York, lawmakers found that voters were curious about impeachment, but far more preoccupied with regional issues.By Emily CochranePRINT EDITIONOctober 7, 2019, Page A16","https://www.nytimes.com/2019/10/06/us/politics/new-york-democrats-impeachment.html?searchResultPosition=10","New York Democrats Balance Impeachment Issue With Local Concerns","null","","null","“Antonio, I can’t quite say you represent me,” declared Mr. Plavchan, who wore a red “Make America Great Again” hat and an American flag earring, from the front row of Mr. Delgado’s town hall-style meeting."
"1571099385-6643","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","Alexandria Ocasio-Cortez to Back First 2020 Challenger to Sitting DemocratThe progressive congresswoman’s endorsement of Marie Newman, who is seeking to oust the conservative-leaning Representative Daniel Lipinski, reflects a careful political calculus.By Catie EdmondsonPRINT EDITIONOcasio-Cortez Backs Insurgent’s Challenge to Conservative Illinois Democrat|September 18, 2019, Page A13","https://www.nytimes.com/2019/09/17/us/politics/aoc-endorsement-marie-newman.html?searchResultPosition=5","Alexandria Ocasio-Cortez to Back First 2020 Challenger to Sitting Democrat","null","Catie Edmondson","null",""
"1571099389-6662","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","How Alexandria Ocasio-Cortez Learned to Play by Washington’s RulesAfter nearly nine months in office, the progressive firebrand has swapped the combative brand of politics that swept her into Washington for a more careful political calculus.By Catie EdmondsonPRINT EDITIONNearly 9 Months on the Job, a Firebrand Adapts to Washington’s Rules|September 19, 2019, Page A19","https://www.nytimes.com/2019/09/18/us/politics/alexandria-ocasio-cortez-washington.html?searchResultPosition=4","How Alexandria Ocasio-Cortez Learned to Play by Washington’s Rules","null","Catie Edmondson","null",""
"1571099371-6554","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","New York Democrats Balance Impeachment Issue With Local ConcernsIn three distinct enclaves of New York, lawmakers found that voters were curious about impeachment, but far more preoccupied with regional issues.By Emily CochranePRINT EDITIONOctober 7, 2019, Page A16","https://www.nytimes.com/2019/10/06/us/politics/new-york-democrats-impeachment.html?searchResultPosition=10","New York Democrats Balance Impeachment Issue With Local Concerns","null","","null","More than 100 miles south on Staten Island, Representative Max Rose, another Democrat representing a conservative-leaning district, used a gathering last week with his constituents at a Jewish community center to declare his support for the impeachment inquiry. He was greeted with a hearty round of applause as he surrendered his status as one of his party’s last holdouts."
"1571099347-6338","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","Yes, There Is a Trade-Off Between Inflation and UnemploymentWith unemployment and inflation now low, it might seem that their relationship no longer matters. Not so fast, says the economist N. Gregory Mankiw.By N. Gregory MankiwPRINT EDITIONTies That Bind Inflation and Unemployment|August 11, 2019, Page BU5","https://www.nytimes.com/2019/08/09/business/trade-inflation-unemployment-phillips.html?searchResultPosition=18","Yes, There Is a Trade-Off Between Inflation and Unemployment","null","","Aug. 9, 2019","“Absolutely,” Mr. Powell replied. The sustainable unemployment rate now appears to be “substantially lower than we thought.”"
"1571099343-6315","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","Twitter Unlocks Mitch McConnell’s Campaign Account After PressureThe campaign posted a video of people making violent threats against the majority leader. Twitter said the video violated its policy, but restored the tweet after a review.By Matt StevensPRINT EDITIONAugust 9, 2019","https://www.nytimes.com/2019/08/08/us/politics/twitter-mitch-mcconnell.html?searchResultPosition=19","Twitter Unlocks Mitch McConnell’s Campaign Account After Pressure","null","","Aug. 8, 2019","Ms. McGrath, a Democrat and retired Marine, is challenging Mr. McConnell for his Senate seat. She criticized him for posting the photo soon after the shooting in El Paso on Saturday, and said she found it “troubling that our politics have become so nasty and personal that the Senate majority leader thinks it’s appropriate to use imagery of the death of a political opponent (me) as messaging.”"
"1571099380-6623","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","Stunt Aimed at Ocasio-Cortez Over Climate Change: ‘Start Eating Babies’The congresswoman was criticized by President Trump and other Republicans for her measured response to a woman’s suggestion to “eat the children.”By Azi PaybarahPRINT EDITIONOcasio-Cortez Eventgoer Offers a Modest Proposal|October 5, 2019, Page A21","https://www.nytimes.com/2019/10/04/nyregion/aoc-babies.html?searchResultPosition=7","Stunt Aimed at Ocasio-Cortez Over Climate Change: ‘Start Eating Babies’","The congresswoman was criticized by President Trump and other Republicans for her measured response to a woman’s suggestion to “eat the children.”","","null","LaRouche supporters do not believe climate science, and are backers of Mr. Trump’s skeptical approach on the topic."
"1571099324-6201","https://www.nytimes.com/search?query=Alexandria+Ocasio-Cortez","‘The Squad’ Is the Future of the Democratic PartyYou can credit social movements for that.By Barbara RansbyPRINT EDITION‘The Squad’ Is the Future|August 9, 2019, Page A23","https://www.nytimes.com/2019/08/08/opinion/the-squad-democrats.html?searchResultPosition=25","‘The Squad’ Is the Future of the Democratic Party","You can credit social movements for that.","","null","A similar dynamic is playing out in politics around the country, as the noted political strategist Jessica Byrd told me. Her electoral firm, Three Point Strategies, has been helping black activists win elections over the last five years. “Without fail, these women are discounted until the voices of the people they represent become too loud to ignore,” she said. “These elections are an incredible symbol that movement can win and is winning. They are a symbol that accountability is possible.”"
