web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571099186-6035","https://www.nytimes.com/search?query=Betsy+Devos","U.S. Orders Duke and U.N.C. to Recast Tone in Mideast StudiesThe Education Department is investigating a Middle East studies program run by Duke and the University of North Carolina, citing, among other issues, how Judaism is discussed.By Erica L. GreenPRINT EDITIONU.S. Demands Colleges Recast Mideast Focus|September 20, 2019, Page A1","https://www.nytimes.com/2019/09/19/us/politics/anti-israel-bias-higher-education.html?searchResultPosition=2","U.S. Orders Duke and U.N.C. to Recast Tone in Mideast Studies","null","","null","But some groups came to the defense of the Middle East studies consortium. Tallie Ben Daniel, the research and education manager at Jewish Voice for Peace, a liberal group that advocates Palestinian rights, said the investigation was the latest attempt by the Trump administration “to enforce a neoconservative agenda onto spaces of academic inquiry and exploration.” She called the consortium’s curriculum “rich and diverse.”"
"1571099114-5588","https://www.nytimes.com/search?query=Betsy+Devos","Betsy DeVos’s Power Over Black CollegesHer comments about H.B.C.U.s were troubling, but it’s her approach to the budget that will determine whether she’s a friend or foe.By Ivory A. Toldson","https://www.nytimes.com/2017/03/02/opinion/betsy-devoss-power-over-black-colleges.html?searchResultPosition=25","Betsy DeVos’s Power Over Black Colleges","null","","March 2, 2017","This arrangement leaves Ms. DeVos with significant power. H.B.C.U. advocates and defenders like me should focus less on dissecting her talking points and misstatements and more on seeking answers to specific questions about her attitudes toward the funding of historically black colleges in the present day."
"1571099133-5664","https://www.nytimes.com/search?query=Betsy+Devos","Whose Side Is Betsy DeVos On?At a time when student loan borrowers are suffering, they may lose federal protections.By The Editorial BoardPRINT EDITIONApril 13, 2017, Page A22","https://www.nytimes.com/2017/04/13/opinion/whose-side-is-betsy-devos-on.html?searchResultPosition=18","Whose Side Is Betsy DeVos On?","null","","April 13, 2017","The department is doing the loan industry’s bidding at a time when student debt has crippled a generation financially and the country’s largest loan servicing company, Navient, is facing several lawsuits accusing it of putting its own interest before that of the borrowers it is supposed to help."
"1571099158-5823","https://www.nytimes.com/search?query=Betsy+Devos","She Left the Education Dept. for Groups It Curbed. Now She’s Back, With Plans.As the architect of higher education policy, Diane Auer Jones is pushing to overhaul accreditation, and, to critics, revive the fortunes of “bottom feeder” for-profit colleges.By Erica L. GreenPRINT EDITIONAn Ally of For-Profit Schools Returns to the Education Dept., With Plans|June 10, 2019, Page A16","https://www.nytimes.com/2019/06/09/us/politics/diane-auer-jones-betsy-devos.html?searchResultPosition=10","She Left the Education Dept. for Groups It Curbed. Now She’s Back, With Plans.","null","","June 9, 2019","The program was intended for students with behavioral and other challenges. That was not her profile, but it was the only program that kept Ms. Jones in high school. Her mother needed help paying the bills, and Ms. Jones was looking for a way to earn money."
"1571099182-5983","https://www.nytimes.com/search?query=Betsy+Devos","Education Department Hits Michigan State With Record Fine Over Nassar ScandalThe Education Department announced a $4.5 million fine for Michigan State University over the Larry Nassar scandal and ordered an overhaul of its handling of sexual assault.By Erica L. GreenPRINT EDITIONRecord Fine for Michigan St. in Nassar Case|September 6, 2019, Page A13","https://www.nytimes.com/2019/09/05/us/politics/michigan-state-larry-nassar.html?searchResultPosition=3","Education Department Hits Michigan State With Record Fine Over Nassar Scandal","null","","null","The fine was part of a settlement with the department, which initiated two investigations into the university’s handling of abuse by Mr. Nassar and the complicity of William Strampel, a former dean of the university’s College of Osteopathic Medicine. Mr. Nassar, a former doctor for the American women’s gymnastics team, was also an associate professor at the school."
"1571099121-5597","https://www.nytimes.com/search?query=Betsy+Devos","Betsy DeVos Needs to Listen to SurvivorsLGBTQ survivors of campus sexual assault often face discrimination. The wrong action by the secretary of education could make the problem worse.By Emily Waters","https://www.nytimes.com/2017/07/14/opinion/betsy-devos-needs-to-listen-to-survivors.html?searchResultPosition=22","Betsy DeVos Needs to Listen to Survivors","null","Emily Waters","July 14, 2017",""
"1571099139-5698","https://www.nytimes.com/search?query=Betsy+Devos","Fashion’s Betsy DeVos ConnectionPamella Roland, the evening-wear line designed by Ms. DeVos’s sister-in-law, tries to keep politics off the runway.By Katherine RosmanPRINT EDITIONFebruary 16, 2017, Page D9","https://www.nytimes.com/2017/02/12/fashion/betsy-devos-pamella-roland-new-york-fashion-week.html?searchResultPosition=16","Fashion’s Betsy DeVos Connection","null","","Feb. 12, 2017","While models were primping and Ms. DeVos was giving interviews, the designer’s husband glad-handed in the front of the house, greeting family friends as they joined fashion buyers and editors in the large space, darkened by the drawn floor-to-ceiling shades."
"1571099104-5537","https://www.nytimes.com/search?query=Betsy+Devos","Betsy DeVos’s Nomination for Education Secretary Clears CommitteeDespite protests from Democrats, Ms. DeVos’s nomination will advance to the Senate floor after two rounds of voting that were split along party lines.By Yamiche AlcindorPRINT EDITIONFebruary 1, 2017","https://www.nytimes.com/2017/01/31/us/politics/betsy-devos-education-secretary-nomination.html?searchResultPosition=28","Betsy DeVos’s Nomination for Education Secretary Clears Committee","null","","Jan. 31, 2017","“She wants to reverse the trend of a national school board and stop telling teachers and school boards how to run their schools,” Mr. Alexander said. “One would think the committee would be delighted with that. I respect my colleagues. I don’t question their motives. I don’t question their votes. But I believe their concerns are misplaced.”"
"1571099182-6012","https://www.nytimes.com/search?query=Betsy+Devos","Education Department Hits Michigan State With Record Fine Over Nassar ScandalThe Education Department announced a $4.5 million fine for Michigan State University over the Larry Nassar scandal and ordered an overhaul of its handling of sexual assault.By Erica L. GreenPRINT EDITIONRecord Fine for Michigan St. in Nassar Case|September 6, 2019, Page A13","https://www.nytimes.com/2019/09/05/us/politics/michigan-state-larry-nassar.html?searchResultPosition=3","Education Department Hits Michigan State With Record Fine Over Nassar Scandal","null","","null","“While this agreement applies directly to only one specific university, we expect that this message should be heard loudly and clearly at all universities so that the tragedy at M.S.U. is not repeated elsewhere,” said Kenneth L. Marcus, assistant secretary for civil rights at the Education Department."
"1571099163-5846","https://www.nytimes.com/search?query=Betsy+Devos","DeVos Repeals Obama-Era Rule Cracking Down on For-Profit CollegesEducation Secretary Betsy DeVos formally repealed an Obama-era regulation that would have forced for-profit colleges to prove their debt-laden graduates could find gainful employment.By Erica L. GreenPRINT EDITIONRules on For-Profit Schools Are Repealed|June 29, 2019, Page A15","https://www.nytimes.com/2019/06/28/us/politics/betsy-devos-for-profit-colleges.html?searchResultPosition=9","DeVos Repeals Obama-Era Rule Cracking Down on For-Profit Colleges","null","","June 28, 2019","For-profit leaders have said that although the Obama rule was never fully enforced, its intent already shut down the worst-performing schools in their sector. Since 2010, when the Obama administration began deliberating the rules, more than 2,000 for-profit and career programs — nearly half — have closed, and the industry’s student population has dropped by more than 1.6 million."
