web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571543653-33618","https://www.usatoday.com/search/?q=bernie%20sanders","","","'I'm feeling great': Bernie Sanders reassured voters of his health following heart attack","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-bernie-sanders-reassured-voters-his-health/3993614002/","'I'm feeling great': Bernie Sanders reassured voters of his health following heart attack","null","","Published 10:39 p.m. ET Oct. 15, 2019","Sanders said he’s reassuring Americans about his fitness by “mounting a vigorous campaign” across the country and he plugged a rally in Queens he is planning on Saturday. The Vermont senator also drew cheers after he thanked his supporters and those who sent prayers and well wishes for his recovery."
"1571543619-33537","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders: Billionaires shouldn't exist. Mark Zuckerberg doesn't disagree","https://www.usatoday.com/story/money/2019/10/04/mark-zuckerberg-weighs-bernie-sanders-attack-billionaires/3869852002/","Bernie Sanders: Billionaires shouldn't exist. Mark Zuckerberg doesn't disagree","When Facebook went public several years ago, CEO and founder Mark Zuckerberg instantly became one of the richest people on the planet.  Like an increasing number of the hyper-rich, he's promising to do something useful with all that wealth?
    USA TODAY","","Published 8:02 p.m. ET Oct. 4, 2019 | Updated 9:52 a.m. ET Oct. 7, 2019","""If Facebook finds my scrutiny uncomfortable, here's what Mark Zuckerberg and his team could work on,"" Warren tweeted, listing protecting consumers' privacy, ensuring Facebook ""isn’t undermining our election security"" and ending ""his company's illegal anticompetitive practices."""
"1571543619-33521","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders: Billionaires shouldn't exist. Mark Zuckerberg doesn't disagree","https://www.usatoday.com/story/money/2019/10/04/mark-zuckerberg-weighs-bernie-sanders-attack-billionaires/3869852002/","Bernie Sanders: Billionaires shouldn't exist. Mark Zuckerberg doesn't disagree","When Facebook went public several years ago, CEO and founder Mark Zuckerberg instantly became one of the richest people on the planet.  Like an increasing number of the hyper-rich, he's promising to do something useful with all that wealth?
    USA TODAY","","Published 8:02 p.m. ET Oct. 4, 2019 | Updated 9:52 a.m. ET Oct. 7, 2019","Facebook CEO and co-founder Zuckerberg also chuckled after a moment's pause. Those in attendance at Thursday's live-streamed town hall-style internal meeting began supportively to applaud."
"1571543638-33585","https://www.usatoday.com/search/?q=bernie%20sanders","","","Alexandria Ocasio-Cortez told Bernie Sanders about her endorsement while he was still in the hospital","https://www.usatoday.com/story/news/politics/elections/2019/10/16/aoc-ilhan-omar-told-bernie-sanders-endorsements-after-heart-attack/4003249002/","Alexandria Ocasio-Cortez told Bernie Sanders about her endorsement while he was still in the hospital","Aamer Madhani discusses how Bernie Sanders' health scare brings questions about age to the forefront, not just for Bernie.
    USA TODAY","","Published 7:10 p.m. ET Oct. 16, 2019","Sanders is currently trailing former Vice President Joe Biden, 76, and Massachusetts Sen. Elizabeth Warren, 70, according to a rolling average of national polls by RealClearPolitics. The three frontrunners are the oldest Democrats in the race. President Donald Trump is 73 years old."
"1571543641-33588","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders' daughter-in-law dies at 46 after cancer diagnosis","https://www.usatoday.com/story/news/politics/elections/2019/10/09/bernie-sanders-daughter-law-raine-riggs-dies/3917146002/","Bernie Sanders' daughter-in-law dies at 46 after cancer diagnosis","Aamer Madhani discusses how Bernie Sanders' health scare brings questions about age to the forefront, not just for Bernie.
    USA TODAY","","Published 9:32 a.m. ET Oct. 9, 2019 | Updated 10:48 a.m. ET Oct. 9, 2019","The daughter-in-law of Democratic presidential candidate Bernie Sanders has died, shortly after being diagnosed with cancer. Rainè Riggs was 46."
"1571543649-33595","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","https://www.usatoday.com/story/opinion/2019/10/16/alexandria-ocasio-cortez-bernie-sanders-democratic-debate-column/3990254002/","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","Debate winners and losers, Warren on the defensive, and what we're watching for before the next Democratic debate.
    Hannah Gaber, USA TODAY","","Published 7:10 a.m. ET Oct. 16, 2019 | Updated 4:36 p.m. ET Oct. 16, 2019","Sen. Elizabeth Warren of Massachusetts stayed feisty and focused in her new role as front-runner."
"1571543619-33527","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders: Billionaires shouldn't exist. Mark Zuckerberg doesn't disagree","https://www.usatoday.com/story/money/2019/10/04/mark-zuckerberg-weighs-bernie-sanders-attack-billionaires/3869852002/","Bernie Sanders: Billionaires shouldn't exist. Mark Zuckerberg doesn't disagree","When Facebook went public several years ago, CEO and founder Mark Zuckerberg instantly became one of the richest people on the planet.  Like an increasing number of the hyper-rich, he's promising to do something useful with all that wealth?
    USA TODAY","","Published 8:02 p.m. ET Oct. 4, 2019 | Updated 9:52 a.m. ET Oct. 7, 2019","Forbes 400: Jeff Bezos, Bill Gates and Warren Buffett remain the richest people in the US"
"1571543649-33601","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","https://www.usatoday.com/story/opinion/2019/10/16/alexandria-ocasio-cortez-bernie-sanders-democratic-debate-column/3990254002/","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","Debate winners and losers, Warren on the defensive, and what we're watching for before the next Democratic debate.
    Hannah Gaber, USA TODAY","","Published 7:10 a.m. ET Oct. 16, 2019 | Updated 4:36 p.m. ET Oct. 16, 2019","A conservative's take: Winners and losers in the Democratic debate from columnist Glenn Harlan Reynolds"
"1571543630-33568","https://www.usatoday.com/search/?q=bernie%20sanders","","","Sanders: It's 'nonsense' to suggest his campaign was hiding his heart attack","https://www.usatoday.com/story/news/politics/elections/2019/10/09/bernie-sanders-its-nonsense-he-hid-heart-attack/3923551002/","Sanders: It's 'nonsense' to suggest his campaign was hiding his heart attack","Democratic presidential candidate Bernie Sanders took to Twitter to thank well-wishers after he was released from a Las Vegas hospital Friday. His campaign confirmed that Sanders had a heart attack. (Oct. 4)
    AP, AP","","Published 5:13 p.m. ET Oct. 9, 2019","Sanders at 78 years old is the oldest person running for president in 2020. Former Vice President Joe Biden is 76 and President Donald Trump is 73. Sen. Elizabeth Warren is 71."
"1571543596-33481","https://www.usatoday.com/search/?q=bernie%20sanders","","","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","https://www.usatoday.com/story/news/politics/elections/2019/10/02/bernie-sanders-hospitalized-after-suffering-chest-pains/3840418002/","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","Democratic presidential hopeful Bernie Sanders was hospitalized after experiencing chest pains during a campaign rally in Las Vegas.
    USA TODAY","","Published 11:04 a.m. ET Oct. 2, 2019 | Updated 5:02 p.m. ET Oct. 2, 2019","Forty-six percent of voters planning to attend Iowa’s Democratic caucuses said it would be a disadvantage for a candidate to be older than 70, and 50% said it would make no difference, according to a Des Moines Register/CNN/Mediacom poll published in June. Three percent said they were unsure, and 1% said it would be an advantage."
"1571543589-33449","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders will not participate in LGBTQ town hall after heart attack","https://www.usatoday.com/story/news/politics/elections/2019/10/07/bernie-sanders-wont-attend-cnn-lgbtq-town-hall-after-heart-attack/3903074002/","Bernie Sanders will not participate in LGBTQ town hall after heart attack","Aamer Madhani discusses how Bernie Sanders' health scare brings questions about age to the forefront, not just for Bernie.
    USA TODAY","","Published 6:10 p.m. ET Oct. 7, 2019 | Updated 4:17 p.m. ET Oct. 8, 2019","WASHINGTON — After suffering a heart attack last week, Vermont senator and 2020 Democratic hopeful Bernie Sanders will no longer be participating in a televised LGBTQ town hall on Thursday, according to CNN."
"1571543638-33579","https://www.usatoday.com/search/?q=bernie%20sanders","","","Alexandria Ocasio-Cortez told Bernie Sanders about her endorsement while he was still in the hospital","https://www.usatoday.com/story/news/politics/elections/2019/10/16/aoc-ilhan-omar-told-bernie-sanders-endorsements-after-heart-attack/4003249002/","Alexandria Ocasio-Cortez told Bernie Sanders about her endorsement while he was still in the hospital","Aamer Madhani discusses how Bernie Sanders' health scare brings questions about age to the forefront, not just for Bernie.
    USA TODAY","","Published 7:10 p.m. ET Oct. 16, 2019","Minnesota's Ilhan Omar, another freshman Democrat in Congress who announced her support of Sanders Tuesday night, also told the senator about her decision after his heart attack, according to Politico."
"1571543626-33541","https://www.usatoday.com/search/?q=bernie%20sanders","","","Following heart attack, Bernie Sanders plans return to 'very vigorous campaign,' but no Iowa plans yet","https://www.usatoday.com/story/news/politics/elections/2019/10/10/bernie-sanders-iowa-campaign-continues-heart-attack-health-scare/3928574002/","Following heart attack, Bernie Sanders plans return to 'very vigorous campaign,' but no Iowa plans yet","""Brothers and sisters, will you stand with me,'"" Sanders, a Vermont senator, asks the crowd from the Register's Political Soapbox on Sunday, Aug. 11, 2019.
    Des Moines Register","","Published 12:07 p.m. ET Oct. 10, 2019","DES MOINES — Sen. Bernie Sanders canceled several planned Iowa events to recover from a heart attack, but his Iowa campaign staff are moving forward with or without him on the stump."
"1571543596-33480","https://www.usatoday.com/search/?q=bernie%20sanders","","","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","https://www.usatoday.com/story/news/politics/elections/2019/10/02/bernie-sanders-hospitalized-after-suffering-chest-pains/3840418002/","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","Democratic presidential hopeful Bernie Sanders was hospitalized after experiencing chest pains during a campaign rally in Las Vegas.
    USA TODAY","","Published 11:04 a.m. ET Oct. 2, 2019 | Updated 5:02 p.m. ET Oct. 2, 2019","The age of the contenders has been mostly a backburner issue in the campaign."
"1571543613-33515","https://www.usatoday.com/search/?q=bernie%20sanders","","","Trump pokes fun at Sanders' baseball video after heart attack: Not 'a lot of bat head speed'","https://www.usatoday.com/story/news/politics/elections/2019/10/11/trump-sanders-heart-attack/3949636002/","Save up to $1,800","Aamer Madhani discusses how Bernie Sanders' health scare brings questions about age to the forefront, not just for Bernie.
    USA TODAY","","Published 9:57 p.m. ET Oct. 11, 2019 | Updated 7:09 a.m. ET Oct. 12, 2019","Sanders, at 78 years-old, is the oldest person running for president in 2020. Former Vice President Joe Biden is 76 and President Donald Trump is 73. Sen. Elizabeth Warren is 70."
"1571543626-33555","https://www.usatoday.com/search/?q=bernie%20sanders","","","Following heart attack, Bernie Sanders plans return to 'very vigorous campaign,' but no Iowa plans yet","https://www.usatoday.com/story/news/politics/elections/2019/10/10/bernie-sanders-iowa-campaign-continues-heart-attack-health-scare/3928574002/","Following heart attack, Bernie Sanders plans return to 'very vigorous campaign,' but no Iowa plans yet","""Brothers and sisters, will you stand with me,'"" Sanders, a Vermont senator, asks the crowd from the Register's Political Soapbox on Sunday, Aug. 11, 2019.
    Des Moines Register","","Published 12:07 p.m. ET Oct. 10, 2019","But Sanders' health scare has not dissuaded his most fervent supporters."
"1571543626-33554","https://www.usatoday.com/search/?q=bernie%20sanders","","","Following heart attack, Bernie Sanders plans return to 'very vigorous campaign,' but no Iowa plans yet","https://www.usatoday.com/story/news/politics/elections/2019/10/10/bernie-sanders-iowa-campaign-continues-heart-attack-health-scare/3928574002/","Following heart attack, Bernie Sanders plans return to 'very vigorous campaign,' but no Iowa plans yet","""Brothers and sisters, will you stand with me,'"" Sanders, a Vermont senator, asks the crowd from the Register's Political Soapbox on Sunday, Aug. 11, 2019.
    Des Moines Register","","Published 12:07 p.m. ET Oct. 10, 2019","""It's up in the air,"" Roecker said. ""We're still at that point where people haven't made up their mind on who they're going to caucus for."""
"1571543630-33573","https://www.usatoday.com/search/?q=bernie%20sanders","","","Sanders: It's 'nonsense' to suggest his campaign was hiding his heart attack","https://www.usatoday.com/story/news/politics/elections/2019/10/09/bernie-sanders-its-nonsense-he-hid-heart-attack/3923551002/","Sanders: It's 'nonsense' to suggest his campaign was hiding his heart attack","Democratic presidential candidate Bernie Sanders took to Twitter to thank well-wishers after he was released from a Las Vegas hospital Friday. His campaign confirmed that Sanders had a heart attack. (Oct. 4)
    AP, AP","","Published 5:13 p.m. ET Oct. 9, 2019","Contributing: Savannah Behrmann"
"1571543613-33513","https://www.usatoday.com/search/?q=bernie%20sanders","","","Trump pokes fun at Sanders' baseball video after heart attack: Not 'a lot of bat head speed'","https://www.usatoday.com/story/news/politics/elections/2019/10/11/trump-sanders-heart-attack/3949636002/","Save up to $1,800","Aamer Madhani discusses how Bernie Sanders' health scare brings questions about age to the forefront, not just for Bernie.
    USA TODAY","","Published 9:57 p.m. ET Oct. 11, 2019 | Updated 7:09 a.m. ET Oct. 12, 2019","Sanders was released from the hospital last week after doctors said he had a heart attack, and his campaign announced that doctors inserted two stents after he felt chest discomfort during a campaign event in Las Vegas."
"1571543619-33528","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders: Billionaires shouldn't exist. Mark Zuckerberg doesn't disagree","https://www.usatoday.com/story/money/2019/10/04/mark-zuckerberg-weighs-bernie-sanders-attack-billionaires/3869852002/","Bernie Sanders: Billionaires shouldn't exist. Mark Zuckerberg doesn't disagree","When Facebook went public several years ago, CEO and founder Mark Zuckerberg instantly became one of the richest people on the planet.  Like an increasing number of the hyper-rich, he's promising to do something useful with all that wealth?
    USA TODAY","","Published 8:02 p.m. ET Oct. 4, 2019 | Updated 9:52 a.m. ET Oct. 7, 2019","Facebook encryption: Here's why the government doesn't want Facebook to encrypt your messages"
"1571543601-33496","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders will attend October debate after heart procedure","https://www.usatoday.com/story/news/politics/elections/2019/10/03/democratic-debate-bernie-sanders-attend-october-debate-after-heart-procedure/3854262002/","Bernie Sanders will attend October debate after heart procedure","Democratic presidential hopeful Bernie Sanders was hospitalized after experiencing chest pains during a campaign rally in Las Vegas.
    USA TODAY","","Published 2:32 p.m. ET Oct. 3, 2019 | Updated 3:09 p.m. ET Oct. 3, 2019","Sanders, who ran for president in 2016, has been consistently among the top three Democratic contenders. He currently stands in third place in national polling, according to a Real Clear Politics' averaging of major polls."
"1571543596-33482","https://www.usatoday.com/search/?q=bernie%20sanders","","","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","https://www.usatoday.com/story/news/politics/elections/2019/10/02/bernie-sanders-hospitalized-after-suffering-chest-pains/3840418002/","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","Democratic presidential hopeful Bernie Sanders was hospitalized after experiencing chest pains during a campaign rally in Las Vegas.
    USA TODAY","","Published 11:04 a.m. ET Oct. 2, 2019 | Updated 5:02 p.m. ET Oct. 2, 2019","The stent procedure comes at a moment when Sanders – despite maintaining a strong fundraising haul – had found his candidacy in a “slow-moving decline” as fellow progressive candidate Warren has moved up in the polls, said Daniel Schlozman, a political scientist at Johns Hopkins University."
"1571543596-33476","https://www.usatoday.com/search/?q=bernie%20sanders","","","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","https://www.usatoday.com/story/news/politics/elections/2019/10/02/bernie-sanders-hospitalized-after-suffering-chest-pains/3840418002/","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","Democratic presidential hopeful Bernie Sanders was hospitalized after experiencing chest pains during a campaign rally in Las Vegas.
    USA TODAY","","Published 11:04 a.m. ET Oct. 2, 2019 | Updated 5:02 p.m. ET Oct. 2, 2019","""Thinking of @BernieSanders today and wishing him a speedy recovery,"" Sen. Kamala Harris, another 2020 Democratic contender, tweeted. ""If there's one thing I know about him, he's a fighter and I look forward to seeing him on the campaign trail soon."""
"1571543601-33495","https://www.usatoday.com/search/?q=bernie%20sanders","","","Bernie Sanders will attend October debate after heart procedure","https://www.usatoday.com/story/news/politics/elections/2019/10/03/democratic-debate-bernie-sanders-attend-october-debate-after-heart-procedure/3854262002/","Bernie Sanders will attend October debate after heart procedure","Democratic presidential hopeful Bernie Sanders was hospitalized after experiencing chest pains during a campaign rally in Las Vegas.
    USA TODAY","","Published 2:32 p.m. ET Oct. 3, 2019 | Updated 3:09 p.m. ET Oct. 3, 2019","The senator will likely be discharged before the end of the weekend and will be heading back to Burlington where he will take a few days to rest, the statement said. Jane Sanders said her husband is ""ready to get back out there and is looking forward to the October debate.”"
"1571543664-33645","https://www.usatoday.com/search/?q=bernie%20sanders","","","AOC to endorse Bernie Sanders in 2020 Democratic presidential primary","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-primary-aoc-endorse-bernie-sanders-president/3994047002/","AOC to endorse Bernie Sanders in 2020 Democratic presidential primary","Democratic socialist Alexandria Ocasio-Cortez is the newest political figure everyone loves or loves to hate. From her ‘Green New Deal’ proposal to combat climate change to her clapbacks against Trump and her critics, here’s how AOC danced her way into the spotlight.
    USA TODAY","","Published 11:11 p.m. ET Oct. 15, 2019 | Updated 11:52 a.m. ET Oct. 16, 2019","Later in the evening, Rep. Ilhan Omar, another member of the group of progressive House freshmen colloquially known as ""the Squad"" announced her endorsement of Sanders."
"1571543596-33468","https://www.usatoday.com/search/?q=bernie%20sanders","","","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","https://www.usatoday.com/story/news/politics/elections/2019/10/02/bernie-sanders-hospitalized-after-suffering-chest-pains/3840418002/","2020 White House hopeful Bernie Sanders hospitalized after suffering chest pains","Democratic presidential hopeful Bernie Sanders was hospitalized after experiencing chest pains during a campaign rally in Las Vegas.
    USA TODAY","","Published 11:04 a.m. ET Oct. 2, 2019 | Updated 5:02 p.m. ET Oct. 2, 2019","Sanders has kept a breakneck campaign schedule since entering the race in February and has been a prolific fundraiser. He announced this week that he had collected $25.3 million from small donors – the largest quarter for any Democratic candidate this year."
"1571543658-33622","https://www.usatoday.com/search/?q=bernie%20sanders","","","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","https://www.usatoday.com/story/news/politics/2019/10/19/aoc-bernie-sanders-endorsement/4038312002/","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","Trump and impeachment: Can President Trump block witnesses and subpoenas, and what can Congress do about it? Lawyer and author David Stewart explains.
    Hannah Gaber, USA TODAY","Nicholas Wu","Published 5:12 p.m. ET Oct. 19, 2019",""
"1571543658-33634","https://www.usatoday.com/search/?q=bernie%20sanders","","","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","https://www.usatoday.com/story/news/politics/2019/10/19/aoc-bernie-sanders-endorsement/4038312002/","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","Trump and impeachment: Can President Trump block witnesses and subpoenas, and what can Congress do about it? Lawyer and author David Stewart explains.
    Hannah Gaber, USA TODAY","","Published 5:12 p.m. ET Oct. 19, 2019","President Donald Trump has frequently criticized her, and retweeted a post from the Republican Party Twitter this afternoon that criticized Ocasio-Cortez and Rep. Ilhan Omar, D-Minn., as ""far-left Democrats"" who wanted to ""spend taxpayer dollars & have the government take control over every aspect of American life."""
"1571543630-33572","https://www.usatoday.com/search/?q=bernie%20sanders","","","Sanders: It's 'nonsense' to suggest his campaign was hiding his heart attack","https://www.usatoday.com/story/news/politics/elections/2019/10/09/bernie-sanders-its-nonsense-he-hid-heart-attack/3923551002/","Sanders: It's 'nonsense' to suggest his campaign was hiding his heart attack","Democratic presidential candidate Bernie Sanders took to Twitter to thank well-wishers after he was released from a Las Vegas hospital Friday. His campaign confirmed that Sanders had a heart attack. (Oct. 4)
    AP, AP","","Published 5:13 p.m. ET Oct. 9, 2019","""I misspoke the other day, I said a word I should not have said and media drives me a little bit nuts to make a big deal about it,"" Sanders said. ""We're going to get back into the groove of a very vigorous campaign, I love doing rallies and I love doing town meetings.”"
