web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571542819-31124","https://www.usatoday.com/search/?q=betsy%20devos","","","A charter school faces ugly segregation history of racist school choice in the Deep South","https://www.usatoday.com/story/news/education/2019/09/20/racist-charter-school-choice-segregation-mississippi-clarksdale-collegiate/2383034001/","A charter school faces ugly segregation history of racist school choice in the Deep South","null","","Published 6:00 a.m. ET Sept. 20, 2019","“It’s great, but it can be exceptional,” the mom said."
"1571542816-30890","https://www.usatoday.com/search/?q=betsy%20devos","","","Democratic debate featured frontrunners who battled each other, attacked Trump","https://www.usatoday.com/story/news/politics/elections/2019/09/12/democratic-debate-stage-features-front-runners-joe-biden-bernie-sanders-elizabeth-warren/2291858001/","Democratic debate featured frontrunners who battled each other, attacked Trump","Health care was the dominant issue, and front runner Joe Biden was the main target for the other nine candidates on the stage.
    USA TODAY","","Published 6:42 p.m. ET Sept. 12, 2019 | Updated 3:03 p.m. ET Sept. 13, 2019","Sanders and Warren continued their push for a Medicare-for-All health care system while others, such as Biden, Pete Buttigieg and Klobuchar, questioned the cost."
"1571542873-31399","https://www.usatoday.com/search/?q=betsy%20devos","","","College student loans: Debt hits a new high in 2018, though growth slows, as free tuition plans spread","https://www.usatoday.com/story/news/education/2019/09/19/college-student-loan-average-debt-forgiveness-free-tuition-crisis/2368805001/","College student loans: Debt hits a new high in 2018, though growth slows, as free tuition plans spread","Caitlin Boston paid off $222,817.26 in student loan debt over the course of 10 years.
    USA TODAY","","Published 12:01 a.m. ET Sept. 19, 2019 | Updated 4:21 p.m. ET Sept. 19, 2019","Monthly payments can be rather affordable, too, depending on the repayment option each borrower chooses. A typical borrower earning $35,000 and paying back a $29,200 federal loan could pay  $136 to $310 a month over 10 to 16 years, according to the federal government repayment calculator."
"1571542884-31492","https://www.usatoday.com/search/?q=betsy%20devos","","","A worthless degree? Betsy DeVos wants to change rules for which colleges stay open, close","https://www.usatoday.com/story/news/education/2019/06/21/college-closing-accreditation-betsy-devos-u-s-department-education/1505318001/","A worthless degree? Betsy DeVos wants to change rules for which colleges stay open, close","Trump's education secretary's plans for reforming U.S. education revolve around charter schools and vouchers.
Video provided by Newsy
    Newslook","","Published 11:54 a.m. ET June 21, 2019 | Updated 3:50 p.m. ET June 26, 2019","Critics have said the measure may allow bad colleges to do more damage, but Kent called that description “disingenuous,” saying different programs will have different needs. A nine-month certificate program, he said, will need less time to fix a problem compared with a 6-year-doctoral program."
"1571542854-31319","https://www.usatoday.com/search/?q=betsy%20devos","","","Betsy DeVos used personal email for work in 'limited' cases, according to internal investigation","https://www.usatoday.com/story/news/nation/2019/05/20/betsy-devos-emails-investigation-limited-personal-accounts/3748270002/","Betsy DeVos used personal email for work in 'limited' cases, according to internal investigation","U.S. Education Secretary Betsy DeVos said the Federal Commission on School Safety —established in response to the deadly Parkland shooting — won’t look into the role of guns in school shootings
    Time","","Published 9:12 p.m. ET May 20, 2019","Betsy DeVos: It's not about me, it's about students"
"1571542819-31132","https://www.usatoday.com/search/?q=betsy%20devos","","","A charter school faces ugly segregation history of racist school choice in the Deep South","https://www.usatoday.com/story/news/education/2019/09/20/racist-charter-school-choice-segregation-mississippi-clarksdale-collegiate/2383034001/","A charter school faces ugly segregation history of racist school choice in the Deep South","null","","Published 6:00 a.m. ET Sept. 20, 2019","Still, Scheider seemed ground-down. Standardized examinations were something to be endured, not celebrated like across the street. “Education is not what I want it to be anymore,” she said — too much testing, not enough focus on kids’ social development, to their detriment. She no longer visits students’ homes: “I’m afraid to now,” she said."
"1571542819-31144","https://www.usatoday.com/search/?q=betsy%20devos","","","A charter school faces ugly segregation history of racist school choice in the Deep South","https://www.usatoday.com/story/news/education/2019/09/20/racist-charter-school-choice-segregation-mississippi-clarksdale-collegiate/2383034001/","A charter school faces ugly segregation history of racist school choice in the Deep South","null","","Published 6:00 a.m. ET Sept. 20, 2019","Clarksdale Collegiate had lived up to his hopes. The night before, he vroomed around the Dears’ circular driveway on the bike he’d learned to ride without training wheels in three days. He paused briefly to gush about first grade. “My favorite thing to do in school is to play on the playground. We finally have one! Finally finally finally,” he said. He also loved science class, though “it’s not like real ones. I want to make potions and stuff. That’s what a real scientist does.”"
"1571542816-31047","https://www.usatoday.com/search/?q=betsy%20devos","","","Democratic debate featured frontrunners who battled each other, attacked Trump","https://www.usatoday.com/story/news/politics/elections/2019/09/12/democratic-debate-stage-features-front-runners-joe-biden-bernie-sanders-elizabeth-warren/2291858001/","Democratic debate featured frontrunners who battled each other, attacked Trump","Health care was the dominant issue, and front runner Joe Biden was the main target for the other nine candidates on the stage.
    USA TODAY","","Published 6:42 p.m. ET Sept. 12, 2019 | Updated 3:03 p.m. ET Sept. 13, 2019","The candidates have been warned. Or maybe begged."
"1571542816-31077","https://www.usatoday.com/search/?q=betsy%20devos","","","Democratic debate featured frontrunners who battled each other, attacked Trump","https://www.usatoday.com/story/news/politics/elections/2019/09/12/democratic-debate-stage-features-front-runners-joe-biden-bernie-sanders-elizabeth-warren/2291858001/","Democratic debate featured frontrunners who battled each other, attacked Trump","Health care was the dominant issue, and front runner Joe Biden was the main target for the other nine candidates on the stage.
    USA TODAY","","Published 6:42 p.m. ET Sept. 12, 2019 | Updated 3:03 p.m. ET Sept. 13, 2019","The search engine also looked at the top questions people had about the candidates this week. Googlers wanted to know if Beto O’Rourke, Julian Castro and Amy Klobuchar are still running. Searchers were curious about whether Cory Booker is dating or married."
"1571542816-31053","https://www.usatoday.com/search/?q=betsy%20devos","","","Democratic debate featured frontrunners who battled each other, attacked Trump","https://www.usatoday.com/story/news/politics/elections/2019/09/12/democratic-debate-stage-features-front-runners-joe-biden-bernie-sanders-elizabeth-warren/2291858001/","Democratic debate featured frontrunners who battled each other, attacked Trump","Health care was the dominant issue, and front runner Joe Biden was the main target for the other nine candidates on the stage.
    USA TODAY","","Published 6:42 p.m. ET Sept. 12, 2019 | Updated 3:03 p.m. ET Sept. 13, 2019","New Jersey Sen. Cory Booker used the S-word during the last debates. But he was repeating President Donald Trump’s reported description of countries from which he did not want to accept immigrants."
"1571542877-31407","https://www.usatoday.com/search/?q=betsy%20devos","","","Six-figure parent loans: When college dreams for students mean nightmarish debt for family","https://www.usatoday.com/story/news/education/2019/10/10/student-loans-financial-aid-debt-parent-plus-loan-college-hbcu/3916173002/","Six-figure parent loans: When college dreams for students mean nightmarish debt for family","Bernie Sanders and Elizabeth Warren are already vowing to do something about student loan debt. This is why the $1.6 trillion issue could play a big part in the 2020 election.
    Just the FAQs, USA TODAY","","Published 6:00 a.m. ET Oct. 10, 2019 | Updated 1:27 p.m. ET Oct. 10, 2019","Though it may sound like a lifeline, the Parent PLUS Loan program can cause economic complications for families."
"1571542839-31250","https://www.usatoday.com/search/?q=betsy%20devos","","","Trump signs executive order to eliminate federal student loan debt for disabled vets","https://www.usatoday.com/story/news/2019/08/21/trump-signs-order-eliminate-student-loan-debt-disabled-vets/2078416001/","Trump signs executive order to eliminate federal student loan debt for disabled vets","Many older veterans didn't get the welcome home they deserved. This group is showing them that we care.
    Militarykind, USA TODAY","","Published 6:26 p.m. ET Aug. 21, 2019 | Updated 6:34 p.m. ET Aug. 21, 2019","Trump addressed a large crowd of veterans at the event, saying, ""You fought courageously for your country, and now we’re fighting courageously for you."""
