web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571543049-31774","https://www.usatoday.com/search/?q=donald%20trump","","","Blue Texas? Donald Trump visits Lone Star State as Democrats seek inroads","https://www.usatoday.com/story/news/politics/2019/10/17/election-2020-donald-trump-texas-democrats-make-waves/3970045002/","Blue Texas? Donald Trump visits Lone Star State as Democrats seek inroads","President Donald Trump was defiant in the face of an impeachment probe Thursday as he sought to convert the threat to his presidency into a weapon on the campaign trail. He held a rally in Minneapolis on Thursday night. (Oct 11)
    AP, AP","","Published 5:00 a.m. ET Oct. 17, 2019 | Updated 10:08 a.m. ET Oct. 18, 2019","Texas Republicans say they don't see a Democratic state anytime soon. Some called 2018 an anomaly, in part because Cruz was relatively unpopular among other Republicans. GOP members noted that the incumbent governor, Greg Abbott, won his reelection easily."
"1571543004-31543","https://www.usatoday.com/search/?q=donald%20trump","","","How would Warren pay for 'Medicare for All'? Enough evasion, it's past time for answers.","https://www.usatoday.com/story/opinion/2019/10/18/warren-tell-2020-voters-truth-about-taxes-medicare-for-all-column/3997249002/","How would Warren pay for 'Medicare for All'? Enough evasion, it's past time for answers.","null","","Published 5:00 a.m. ET Oct. 18, 2019","On average, would people be better off with lower taxes and more disposable income to buy a home, invest, or raise a family when they were younger and then absorb higher health care costs when they are older? Or would they be better off forgoing that income and avoiding those health care costs later? I don’t know, and neither does Sen. Warren. But this is exactly the kind of thing we need to have an open and honest debate about."
"1571543002-31534","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=3","","","","","","",""
"1571543053-31801","https://www.usatoday.com/search/?q=donald%20trump","","","Donald Trump pulls his Doral property from consideration for G-7 after bipartisan blowback","https://www.usatoday.com/story/news/politics/2019/10/19/donald-trump-doral-out-g-7-following-criticism-lawmakers/4014702002/","Donald Trump pulls his Doral property from consideration for G-7 after bipartisan blowback","President Trump said Syria has ""got a lot of sand"" while talking about Turkey's invasion of the country.
    USA TODAY","John Fritze and","Published 10:18 p.m. ET Oct. 19, 2019 | Updated 10:46 p.m. ET Oct. 19, 2019",""
"1571543056-31853","https://www.usatoday.com/search/?q=donald%20trump","","","'Don't kid yourself:' Donald Trump tells Dallas rally the fate of democracy is at stake in 2020","https://www.usatoday.com/story/news/politics/elections/2019/10/17/donald-trump-dallas-rally-fate-democracy-stake-2020/4007362002/","'Don't kid yourself:' Donald Trump tells Dallas rally the fate of democracy is at stake in 2020","President Donald Trump is crediting his threat of sanctions on Turkey as ""tough love"" that led the country to agree to a five-day cease-fire with Kurds in northern Syria. Touting the agreement, Trump said it's ""a great day for civilization."" (Oct. 17)
    AP, AP","","Published 10:51 p.m. ET Oct. 17, 2019 | Updated 8:22 a.m. ET Oct. 18, 2019","While Trump is a strong favorite to carry Texas again in 2020, Democrats are making a big push in the Lone Star State by appealing to growing Hispanic and urban populations."
"1571543015-31576","https://www.usatoday.com/search/?q=donald%20trump","","","7 of our top opinion columns this week: ICYMI","https://www.usatoday.com/story/opinion/2019/10/18/elizabeth-warren-debate-donald-trump-impeachment-columbus-day-top-columns/4011213002/","7 of our top opinion columns this week: ICYMI","null","","Published 7:00 a.m. ET Oct. 18, 2019 | Updated 12:49 p.m. ET Oct. 18, 2019","By Kevin Gover"
"1571543046-31721","https://www.usatoday.com/search/?q=donald%20trump","","","Trump presidential campaign threatens to sue CNN, news network calls it a 'PR stunt'","https://www.usatoday.com/story/news/politics/2019/10/18/donald-trump-2020-campaign-threatens-sue-cnn-letter/4022715002/","Trump presidential campaign threatens to sue CNN, news network calls it a 'PR stunt'","President Trump said Syria has ""got a lot of sand"" while talking about Turkey's invasion of the country.
    USA TODAY","","Published 3:13 p.m. ET Oct. 18, 2019","In a statement, CNN said that ""this is nothing more than a desperate PR stunt and doesn't merit a response.”"
"1571543018-31590","https://www.usatoday.com/search/?q=donald%20trump","","","Democrats’ impeachment inquiry is ‘baseless, unconstitutional’","https://www.usatoday.com/story/opinion/2019/10/13/donald-trump-impeachment-inquiry-baseless-unconstitutional-editorials-debates/3971336002/","Democrats’ impeachment inquiry is ‘baseless, unconstitutional’","Impeaching a U.S. president might not be the be-all-end-all for their career. We explain why this is the case.
    Just the FAQs, USA TODAY","","Published 6:52 p.m. ET Oct. 13, 2019 | Updated 11:36 a.m. ET Oct. 15, 2019","Samantha Vinograd,  CNN: ""As the House prepares to meet with a mix of current and former administration officials this week — including Fiona Hill, a former top Russia and Ukraine official at the White House, U.S. Ambassador to the European Union Gordon Sondland, Deputy Assistant Secretary of European and Eurasian affairs George Kent, and senior adviser to the secretary of State Ulrich Brechbuhl — the world is watching to see just what these staffers have to say about where and when Trump's personal insecurities trumped our national security. ... The House has said that more depositions will be scheduled — and this may be the tip of the iceberg when it comes to officials wanting to share their experiences with Congress. The White House and the State Department may try to block officials from speaking up, but that may only motivate them further."""
"1571543046-31733","https://www.usatoday.com/search/?q=donald%20trump","","","Trump presidential campaign threatens to sue CNN, news network calls it a 'PR stunt'","https://www.usatoday.com/story/news/politics/2019/10/18/donald-trump-2020-campaign-threatens-sue-cnn-letter/4022715002/","Trump presidential campaign threatens to sue CNN, news network calls it a 'PR stunt'","President Trump said Syria has ""got a lot of sand"" while talking about Turkey's invasion of the country.
    USA TODAY","","Published 3:13 p.m. ET Oct. 18, 2019","""Trump suing CNN isn't about winning in court,"" Moss said. ""The case will go nowhere. It's about appealing to his base with a PR stunt."""
"1571543046-31720","https://www.usatoday.com/search/?q=donald%20trump","","","Trump presidential campaign threatens to sue CNN, news network calls it a 'PR stunt'","https://www.usatoday.com/story/news/politics/2019/10/18/donald-trump-2020-campaign-threatens-sue-cnn-letter/4022715002/","Trump presidential campaign threatens to sue CNN, news network calls it a 'PR stunt'","President Trump said Syria has ""got a lot of sand"" while talking about Turkey's invasion of the country.
    USA TODAY","","Published 3:13 p.m. ET Oct. 18, 2019","""Never in the history of this country has a President been the subject of such a sustained barrage of unfair, unfounded, unethical and unlawful attacks by so-called 'mainstream' news, as the current situation,"" said a letter to CNN from attorney Charles Harder, representing Trump and his campaign."
