web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571542323-29827","https://www.usatoday.com/search/?q=hillary%20clinton","","","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","https://www.usatoday.com/story/news/politics/elections/2019/10/19/tulsi-gabbard-hillary-clinton-russia-claims-iowa-city-tailgate-election-2020/4037543002/","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","Democrat Tulsi Gabbard, a U.S. representative from Hawaii, spoke Friday, Aug. 9, 2019, at the Des Moines Register Political Soapbox at the Iowa State Fair.
    Des Moines Register","","Published 3:35 p.m. ET Oct. 19, 2019","Maria Frazer, a 21-year-old University of Iowa student, is still deciding who she wants to support in the Iowa caucus. She's heard allegations about Gabbard's ties with Russia, but while she doesn't ""necessarily buy into it,"" Frazer said Americans should be wary of foreign governments' influence in the presidential election."
"1571542253-29589","https://www.usatoday.com/search/?q=hillary%20clinton","","","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","https://www.usatoday.com/story/news/politics/2019/08/20/hillary-clinton-responds-trump-tweet-google-vote-manipulation/2059138001/","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","President Trump questioned the financial side of the New York Times and said the paper will endorse him in 2020 just to keep their business going.
    Buzz60, Buzz60","Nicholas Wu","Published 6:55 a.m. ET Aug. 20, 2019 | Updated 8:45 a.m. ET Aug. 20, 2019",""
"1571542260-29619","https://www.usatoday.com/search/?q=hillary%20clinton","","","Senate report calls for action against foreign election interference amid Trump-Ukraine controversy","https://www.usatoday.com/story/news/politics/2019/10/08/senate-russia-helped-trump-against-clinton-2016/3909680002/","Senate report calls for action against foreign election interference amid Trump-Ukraine controversy","Russia interfered in the 2016 presidential elections and helped Donald Trump win. We look back at history and ask: Will they do it again?
    Just the FAQs, USA TODAY","","Published 2:40 p.m. ET Oct. 8, 2019 | Updated 5:07 p.m. ET Oct. 8, 2019","As part of an effort to fight back against future interference, the Senate Intelligence Committee says ""the Executive Branch should, in the run up to the 2020 election, reinforce with the public the danger of attempted foreign interference in the 2020 election."""
"1571542306-29776","https://www.usatoday.com/search/?q=hillary%20clinton","","","Parents may not let you miss class, but Hillary Clinton will. 'Please excuse Grace'","https://www.usatoday.com/story/life/parenting/2019/10/03/hillary-clinton-writes-note-excusing-student-class-the-view/3851281002/","Parents may not let you miss class, but Hillary Clinton will. 'Please excuse Grace'","null","","Published 12:09 p.m. ET Oct. 3, 2019","Clinton added that publicly and politically, her presidential run took the most courage. ""And keep going. Just get up every day and keep going.”"
"1571542260-29616","https://www.usatoday.com/search/?q=hillary%20clinton","","","Senate report calls for action against foreign election interference amid Trump-Ukraine controversy","https://www.usatoday.com/story/news/politics/2019/10/08/senate-russia-helped-trump-against-clinton-2016/3909680002/","Senate report calls for action against foreign election interference amid Trump-Ukraine controversy","Russia interfered in the 2016 presidential elections and helped Donald Trump win. We look back at history and ask: Will they do it again?
    Just the FAQs, USA TODAY","","Published 2:40 p.m. ET Oct. 8, 2019 | Updated 5:07 p.m. ET Oct. 8, 2019","The IRA actually increased its efforts after the conclusion of the 2016 election, in what Senate Intelligence Committee Chair Richard Burr described as a ""broader"" goal ""to sow societal discord and erode public confidence in the machinery of government,"" said Burr, warning of other election interference efforts by countries like China, North Korea, and Iran."""
"1571542274-29659","https://www.usatoday.com/search/?q=hillary%20clinton","","","Could Chelsea Clinton run for a New York House seat?","https://www.usatoday.com/story/news/politics/2019/10/11/chelsea-clinton-make-run-nita-loweys-house-seat-2020/3946455002/","Could Chelsea Clinton run for a New York House seat?","Chelsea Clinton reveals the inspiration behind her new book, 'Start Now!' and tells why she responds to bullying on Twitter. (Oct. 4)
    AP","","Published 3:58 p.m. ET Oct. 11, 2019","The mother-daughter duo have also been hitting the talk show circuit and making public appearances to promote their new book, ""The Book of Gutsy Women: Favorite Stories of Courage and Resilience."""
"1571542320-29815","https://www.usatoday.com/search/?q=hillary%20clinton","","","Tulsi Gabbard fires back at Hillary Clinton suggestion that she's Russia's pawn","https://www.usatoday.com/story/news/politics/elections/2019/10/18/tulsi-gabbard-fires-back-hillary-clinton-suggestion-shes-russia-pawn/4027196002/","Tulsi Gabbard fires back at Hillary Clinton suggestion that she's Russia's pawn","The congresswoman from Hawaii is joining a growing pool of Democrats ready to take on President Trump. Here are 5 things to know about Rep. Tulsi Gabbard.
    USA TODAY","","Published 6:52 p.m. ET Oct. 18, 2019 | Updated 10:05 a.m. ET Oct. 19, 2019","Stein, who ran against Trump and Clinton as a Green Party candidate, received about 1% of the vote in the 2016 election, but some Democrats said her candidacy syphoned votes away from Clinton and helped Trump win, particularly in states like Wisconsin. The Senate Intelligence Committee asked Stein for documents as part of its probe into Russian interference in the election because she attended a 2015 dinner in Moscow sponsored by Russian television network RT with Putin. Stein has said she attended ""with a message of Middle East peace, diplomacy and cooperation."""
"1571542323-29829","https://www.usatoday.com/search/?q=hillary%20clinton","","","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","https://www.usatoday.com/story/news/politics/elections/2019/10/19/tulsi-gabbard-hillary-clinton-russia-claims-iowa-city-tailgate-election-2020/4037543002/","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","Democrat Tulsi Gabbard, a U.S. representative from Hawaii, spoke Friday, Aug. 9, 2019, at the Des Moines Register Political Soapbox at the Iowa State Fair.
    Des Moines Register","","Published 3:35 p.m. ET Oct. 19, 2019","Chris Forbes, a 52-year-old man in Iowa City, gave Gabbard a Twinkie as they talked politics. He already committed to caucus for U.S. Sen. Kamala Harris, but said it's important for foreign policy to take a bigger role in the presidential election — something Gabbard brings."
"1571542278-29668","https://www.usatoday.com/search/?q=hillary%20clinton","","","Chelsea Clinton says she won't run for Nita Lowey's New York House seat in 2020","https://www.usatoday.com/story/news/politics/elections/2019/10/16/chelsea-clinton-congress-nita-lowey-us-house-of-representatives/3998039002/","Chelsea Clinton says she won't run for Nita Lowey's New York House seat in 2020","Amid speculation that she may run for congress, Chelsea Clinton criticized leadership while receiving the Eleanor Roosevelt Val-Kill Medal.
    Seth Harrison/lohud, The Journal News/lohud","","Published 12:32 p.m. ET Oct. 16, 2019 | Updated 1:57 p.m. ET Oct. 16, 2019","Clinton, 39, emerged as a possible candidate immediately following 30-year Rep. Nita Lowey's announcement on Thursday she wouldn't seek reelection in 2020."
"1571542297-29747","https://www.usatoday.com/search/?q=hillary%20clinton","","","Hillary Clinton says ‘gutsiest' personal thing she ever did was stay in her marriage","https://www.usatoday.com/story/news/politics/2019/10/01/hillary-clinton-gutsiet-thing-ive-ever-done-stay-my-marriage/3835228002/","Save up to $1,800","Hillary Clinton on Thursday said President Donald Trump, the man who beat her in the 2016 election, posed a ""clear and present danger"" to the future of the country. Clinton was speaking at an event in Washington, DC. (Sept. 27)
    AP, AP","","Published 6:18 p.m. ET Oct. 1, 2019 | Updated 10:19 p.m. ET Oct. 1, 2019","“Ah, boy, I think the gutsiest thing I've ever done — well, personally, make the decision to stay in my marriage,” Clinton answered. “Publicly, politically, run for president. And keep going. Just get up every day and keep going.”"
