web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571543337-32451","https://www.usatoday.com/search/?q=joe%20biden","","","China rejects Trump's request to investigate Joe Biden, hoping to steer clear of U.S. politics","https://www.usatoday.com/story/news/politics/2019/10/08/donald-trump-china-declines-presidents-request-probe-joe-biden/3908397002/","China rejects Trump's request to investigate Joe Biden, hoping to steer clear of U.S. politics","President Donald Trump is acknowledging Democrats in the House ""have the votes"" to begin a formal impeachment inquiry, but he says he's confident it will backfire politically and they won't have the votes to convict in the GOP-controlled Senate. (Oct. 4)
    AP, AP","David Jackson","Published 12:36 p.m. ET Oct. 8, 2019",""
"1571543356-32757","https://www.usatoday.com/search/?q=joe%20biden","","","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","Medicare for All is one of the most hotly debated topics in the 2020 election. But what is it? And how will it work? We explain.
    Just the FAQs, USA TODAY","","Published 5:50 p.m. ET Oct. 15, 2019 | Updated 11:28 p.m. ET Oct. 15, 2019","A half dozen Democrats still in the race didn't make tonight's cut, including Montana Gov. Steve Bullock, the only remaining governor running, and self-help author Marianne Williamson."
"1571543327-32421","https://www.usatoday.com/search/?q=joe%20biden","","","Hunter Biden will resign from board of Chinese firm, says he won't serve on foreign boards if Joe Biden elected president","https://www.usatoday.com/story/news/politics/2019/10/13/hunter-biden-resign-board-chinese-firm-bhr/3968481002/","Hunter Biden will resign from board of Chinese firm, says he won't serve on foreign boards if Joe Biden elected president","Trump and impeachment: Can President Trump block witnesses and subpoenas, and what can Congress do about it? Lawyer and author David Stewart explains.
    Hannah Gaber, USA TODAY","","Published 10:42 a.m. ET Oct. 13, 2019 | Updated 1:42 p.m. ET Oct. 13, 2019","More: Trump's conspiracy theories thrive in Ukraine, where a young democracy battles corruption and distrust"
"1571543356-32524","https://www.usatoday.com/search/?q=joe%20biden","","","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","Medicare for All is one of the most hotly debated topics in the 2020 election. But what is it? And how will it work? We explain.
    Just the FAQs, USA TODAY","","Published 5:50 p.m. ET Oct. 15, 2019 | Updated 11:28 p.m. ET Oct. 15, 2019","“I would want those thousand troops to be protected by air cover, those thousand troops that are being – having to withdraw under fire, make it clear that they're not going anywhere, and have them protected, and work my way back toward what, in fact, needs to be done, protecting those Kurds,” Biden said."
"1571543356-32722","https://www.usatoday.com/search/?q=joe%20biden","","","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","Medicare for All is one of the most hotly debated topics in the 2020 election. But what is it? And how will it work? We explain.
    Just the FAQs, USA TODAY","","Published 5:50 p.m. ET Oct. 15, 2019 | Updated 11:28 p.m. ET Oct. 15, 2019","“Rarely are the candidates asked, and more rarely still do they talk about, how they would go about achieving their goals,” said Bloomberg, who is known for overseeing a technocratic administration that came on the heels of another former New York leader who’s been in the news a lot lately: Rudy Giuliani."
"1571543350-32496","https://www.usatoday.com/search/?q=joe%20biden","","","Joe Biden, for the first time, calls for Trump's impeachment","https://www.usatoday.com/story/news/politics/elections/2019/10/09/joe-biden-calls-trumps-impeachment-first-time/3920985002/","Joe Biden, for the first time, calls for Trump's impeachment","Impeaching a U.S. president might not be the be-all-end-all for their career. We explain why this is the case.
    Just the FAQs, USA TODAY","","Published 2:17 p.m. ET Oct. 9, 2019 | Updated 3:16 p.m. ET Oct. 9, 2019","Shortly after Biden made his remarks, Trump tweeted in response and posted a campaign ad about Bide."
"1571543308-32354","https://www.usatoday.com/search/?q=joe%20biden","","","Hunter Biden: Who is former Vice President Joe Biden's son mentioned in Ukraine-Trump call?","https://www.usatoday.com/story/news/politics/2019/09/26/who-hunter-biden-joe-biden-son-ukraine-call/3773527002/","Hunter Biden: Who is former Vice President Joe Biden's son mentioned in Ukraine-Trump call?","Joe Biden's full remarks at the Hotel Du Pont in Wilmington, amid calls for the impeachment of Donald Trump on Tuesday, Sept. 24.
    Delaware News Journal","","Published 11:18 a.m. ET Sept. 26, 2019 | Updated 2:29 p.m. ET Sept. 26, 2019","As President Donald Trump criticized the Bidens, the former vice president swung back, appearing in Wilmington on Tuesday to state that he supports the impeachment of Trump if the White House does not comply with Congress' requests for details about a call he made to Ukraine's president in which they discussed the former vice president."
"1571543356-32556","https://www.usatoday.com/search/?q=joe%20biden","","","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","Medicare for All is one of the most hotly debated topics in the 2020 election. But what is it? And how will it work? We explain.
    Just the FAQs, USA TODAY","","Published 5:50 p.m. ET Oct. 15, 2019 | Updated 11:28 p.m. ET Oct. 15, 2019","– Ledyard King"
"1571543373-32828","https://www.usatoday.com/search/?q=joe%20biden","","","'Trump sold them out': Joe Biden hits the president over Syria troop withdrawal","https://www.usatoday.com/story/news/politics/elections/2019/10/16/syria-joe-biden-criticizes-donald-trumps-troop-withdrawal-abandoning-kurds/4002870002/","'Trump sold them out': Joe Biden hits the president over Syria troop withdrawal","President Donald Trump denied giving Turkey a green light to invade Syria, insisting what he gave ""was just the opposite of a green light."" He also took on South Carolina Sen. Lindsey Graham after he criticized Trump's handling of the situation. (Oct. 16)
    AP, AP","","Published 5:52 p.m. ET Oct. 16, 2019","Biden also used the speech to highlight the Obama administration's efforts against ISIS."
"1571543362-32786","https://www.usatoday.com/search/?q=joe%20biden","","","Joe Biden: 'No one in my family will have an office in the White House' or be 'a cabinet member' if I'm president","https://www.usatoday.com/story/news/politics/2019/10/13/joe-biden-family-wont-serve-white-house-if-hes-president/3971338002/","Joe Biden: 'No one in my family will have an office in the White House' or be 'a cabinet member' if I'm president","Democratic presidential candidate Joe Biden said Wednesday for the first time that President Donald Trump must be impeached for alleged abuses of the powers of his office to help his own reelection. (Oct. 9)
    AP, AP","","Published 7:00 p.m. ET Oct. 13, 2019","Biden suggested growing public opinion on impeachment will sway more Republicans in Congress to support it. Several public polls in recent days have found that public support for an impeachment inquiry tops 50%."
