web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571543150-31957","https://www.usatoday.com/search/?q=john%20mccain","","","Cindy McCain says there is no 'voice of reason' in GOP, nearly a year after John McCain's death","https://www.usatoday.com/story/news/politics/2019/08/21/cindy-mccain-says-there-no-voice-reason-republican-party/2079486001/","Cindy McCain says there is no 'voice of reason' in GOP, nearly a year after John McCain's death","Former Vice President Joe Biden spoke about the patriotism of his long-term friend John McCain and their unexpected friendship.
    USA TODAY","","Published 11:24 p.m. ET Aug. 21, 2019","Contributing: Yvonne Wingett Sanchez, Arizona Republic"
"1571543150-31951","https://www.usatoday.com/search/?q=john%20mccain","","","Cindy McCain says there is no 'voice of reason' in GOP, nearly a year after John McCain's death","https://www.usatoday.com/story/news/politics/2019/08/21/cindy-mccain-says-there-no-voice-reason-republican-party/2079486001/","Cindy McCain says there is no 'voice of reason' in GOP, nearly a year after John McCain's death","Former Vice President Joe Biden spoke about the patriotism of his long-term friend John McCain and their unexpected friendship.
    USA TODAY","","Published 11:24 p.m. ET Aug. 21, 2019","""When Congress returns from its August recess, I hope its veteran members, many of whom my husband was proud to call his friends, and its newest ones will energetically contest the issues of the day. I hope they will fight for their beliefs and enjoy the contest. But I hope, too, as John would, that they do it with minds open to the possibility of compromise for the country's sake, and hearts open to the possibility and joys of unexpected friendships,"" McCain also wrote."
"1571543142-31899","https://www.usatoday.com/search/?q=john%20mccain","","","John Legend opposes Felicity Huffman's sentence: 'We don't need to lock people up for' this","https://www.usatoday.com/story/entertainment/celebrities/2019/09/16/felicity-huffman-prison-sentence-john-legend-opposes-lock-up/2339221001/","John Legend opposes Felicity Huffman's sentence: 'We don't need to lock people up for' this","John Legend opposes Felicity Huffman's 14-day prison sentence for her role in the college admissions scandal. Legend shared his thoughts on Twitter.
    USA TODAY","","Published 8:01 a.m. ET Sept. 16, 2019 | Updated 11:37 a.m. ET Sept. 16, 2019","In a Boston courtroom, the ""Desperate Housewives"" alum was sentenced to 14 days in prison, a $30,000 fine, supervised release for one year and 250 hours of community service for paying $15,000 to have someone correct answers on the SAT exam of her and William H. Macy's oldest daughter, Sophia."
"1571543154-31959","https://www.usatoday.com/search/?q=john%20mccain","","","Beto O'Rourke takes on Meghan McCain over gun rights amid gun control debate after mass shootings","https://www.usatoday.com/story/news/politics/elections/2019/09/05/beto-orourke-takes-meghan-mccain-over-gun-rights-gun-control/2227409001/","Beto O'Rourke takes on Meghan McCain over gun rights amid gun control debate after mass shootings","""The View"" co-host Meghan McCain says she is ""not living without guns."" She added there will be ""a lot of violence"" if assault weapons are banned.
    USA TODAY","","Published 9:53 p.m. ET Sept. 5, 2019","WASHINGTON -- Former Texas Rep. and Democratic presidential candidate Beto O’Rourke is pushing back against Meghan McCain's recent assertion that implementing a mandatory buyback policy for assault weapons -- which O'Rourke has proposed -- would lead to violence."
"1571543164-32053","https://www.usatoday.com/search/?q=john%20mccain","","","'A trailblazing figure': Barack Obama, Katie Couric mourn veteran journalist Cokie Roberts","https://www.usatoday.com/story/entertainment/celebrities/2019/09/17/cokie-roberts-dead-jake-tapper-kellyanne-conway-mourn-journalist/2350957001/","'A trailblazing figure': Barack Obama, Katie Couric mourn veteran journalist Cokie Roberts","Roberts' Emmy-winning career earned her top-tier journalism awards, including the Edward R. Murrow Award and the Walter Cronkite Award for Excellence in Journalism.
    USA TODAY","","Published 11:15 a.m. ET Sept. 17, 2019 | Updated 3:30 p.m. ET Sept. 17, 2019","""Mourning the passing of legendary @ABC correspondent Cokie Roberts, who passed away at the age of 75,"" tweeted Fox News Chief White House Correspondent John Roberts. ""She was a true pioneer of the business, and a revered colleague."""
"1571543150-31946","https://www.usatoday.com/search/?q=john%20mccain","","","Cindy McCain says there is no 'voice of reason' in GOP, nearly a year after John McCain's death","https://www.usatoday.com/story/news/politics/2019/08/21/cindy-mccain-says-there-no-voice-reason-republican-party/2079486001/","Cindy McCain says there is no 'voice of reason' in GOP, nearly a year after John McCain's death","Former Vice President Joe Biden spoke about the patriotism of his long-term friend John McCain and their unexpected friendship.
    USA TODAY","","Published 11:24 p.m. ET Aug. 21, 2019","More: Cindy McCain's first year without John McCain: 'Trying to put our family back together'"
"1571543180-32168","https://www.usatoday.com/search/?q=john%20mccain","","","A year after John McCain's death, Cindy McCain says 'Our country is not well right now'","https://www.usatoday.com/story/news/politics/2019/08/25/john-mccain-year-later-cindy-mccain-says-our-country-not-well/2115445001/","A year after John McCain's death, Cindy McCain says 'Our country is not well right now'","null","","Published 2:21 p.m. ET Aug. 25, 2019","Asked about the lack of civility that McCain has cited, Graham said: ""It's a rough-and-tumble America, but America's always been pretty rough-and-tumble."""
"1571543204-32252","https://www.usatoday.com/search/?q=john%20mccain","","","John McCain would convict Donald Trump in an impeachment trial. He said as much in 1999.","https://www.usatoday.com/story/opinion/2019/10/10/john-mccain-would-vote-impeach-donald-trump-trial-column/3931855002/","John McCain would convict Donald Trump in an impeachment trial. He said as much in 1999.","Impeaching a U.S. president might not be the be-all-end-all for their career. We explain why this is the case.
    Just the FAQs, USA TODAY","","Published 1:50 p.m. ET Oct. 10, 2019 | Updated 3:34 p.m. ET Oct. 10, 2019","He said, “This, too, is an appealing rationalization for acquittal. But it is just that, a rationalization. Nowhere in the Constitution or in the expressed views of our founders are crimes intended to conceal the President's character flaws distinguished from crimes intended to subvert democracy."
"1571543161-32014","https://www.usatoday.com/search/?q=john%20mccain","","","Meghan McCain challenges Bernie Sanders to name Republicans he'll work with if elected president","https://www.usatoday.com/story/news/politics/2019/09/04/view-meghan-mccain-challenges-bernie-sanders-bipartisanship/2210622001/","Meghan McCain challenges Bernie Sanders to name Republicans he'll work with if elected president","""The View"" co-host Meghan McCain says she is ""not living without guns."" She added there will be ""a lot of violence"" if assault weapons are banned.
    USA TODAY","","Published 4:50 p.m. ET Sept. 4, 2019","Isakson's announcement that he will step down at the end of this year came in the middle of his term. He was diagnosed with Parkinson's Disease, a degenerative nervous system disorder, in 2013."
"1571543150-31954","https://www.usatoday.com/search/?q=john%20mccain","","","Cindy McCain says there is no 'voice of reason' in GOP, nearly a year after John McCain's death","https://www.usatoday.com/story/news/politics/2019/08/21/cindy-mccain-says-there-no-voice-reason-republican-party/2079486001/","Cindy McCain says there is no 'voice of reason' in GOP, nearly a year after John McCain's death","Former Vice President Joe Biden spoke about the patriotism of his long-term friend John McCain and their unexpected friendship.
    USA TODAY","","Published 11:24 p.m. ET Aug. 21, 2019","Speaking to the Arizona Republic, Cindy McCain shared some of her family's struggles in coping with the senator's death.  ""My job is to make sure they’re OK  — that’s my job,"" Cindy McCain said of her children. ""I have gotten calls in the middle of the night. I’ve gotten calls from ones I didn’t ever think that they would call me … Each situation is different."""
