web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571542687-30686","https://www.usatoday.com/search/?q=sarah%20palin","","","'Gut punch': Sarah Palin embarrassed she wasn't invited to John McCain's funeral","https://www.usatoday.com/story/news/politics/2019/04/03/sarah-palin-getting-disinvited-sen-john-mccain-funeral-gut-punch-good-morning-britain/3350531002/","'Gut punch': Sarah Palin embarrassed she wasn't invited to John McCain's funeral","Sarah Palin says being publicly uninvited to her former 2008 running mate, John McCain's funeral was a ""gut punch."" Veuer's Justin Kircher has more.
    Buzz60, Buzz60","","Published 8:29 a.m. ET April 3, 2019 | Updated 12:54 p.m. ET April 3, 2019","But in the same book, McCain defended Palin."
"1571542678-30632","https://www.usatoday.com/search/?q=sarah%20palin","","","Lindsey Graham on criticism of Trump: 'I don't remember John McCain having to go through this crap'","https://www.usatoday.com/story/news/politics/2019/07/18/lindsey-graham-john-mccain-trump-contrast/1768382001/","Lindsey Graham on criticism of Trump: 'I don't remember John McCain having to go through this crap'","""Send her back"" chants erupted at a Trump rally as the president criticized Rep. Ilhan Omar for her ""contempt"" for the ""hard-working Americans.""
    Storyful","","Published 3:55 p.m. ET July 18, 2019 | Updated 5:44 p.m. ET July 18, 2019","""I want to be president of the United States and obviously I do not want Sen. Obama to be,"" McCain responded. ""But I have to tell you, he is a decent person and a person that you do not have to be scared as president of the United States."""
"1571542673-30613","https://www.usatoday.com/search/?q=sarah%20palin","","","Stephanie Grisham's unlikely path from Arizona politics to Trump's White House","https://www.usatoday.com/story/news/politics/2019/06/29/stephanie-grisham-path-new-white-house-press-secretary/1604930001/","Stephanie Grisham's unlikely path from Arizona politics to Trump's White House","Stephanie Grisham, who also serves as the first lady's deputy chief of staff, will become President Trump's third press secretary in three years.
    USA TODAY","","Published 9:12 a.m. ET June 29, 2019","Grisham pleaded guilty to misdemeanor DUI in July 2016, days before her attendance at the Republican National Convention in Cleveland, where Trump officially became the GOP nominee."
"1571542673-30614","https://www.usatoday.com/search/?q=sarah%20palin","","","Stephanie Grisham's unlikely path from Arizona politics to Trump's White House","https://www.usatoday.com/story/news/politics/2019/06/29/stephanie-grisham-path-new-white-house-press-secretary/1604930001/","Stephanie Grisham's unlikely path from Arizona politics to Trump's White House","Stephanie Grisham, who also serves as the first lady's deputy chief of staff, will become President Trump's third press secretary in three years.
    USA TODAY","","Published 9:12 a.m. ET June 29, 2019","As part of that case, she had to pay nearly $1,600 in fines and fees, records show."
"1571542667-30548","https://www.usatoday.com/search/?q=sarah%20palin","","","Kid Rock talks golfing with President Trump, calls him 'down-to-earth and cool'","https://www.usatoday.com/story/life/music/2019/06/26/kid-rock-golfed-trump-calls-him-down-earth-and-cool/1568754001/","Kid Rock talks golfing with President Trump, calls him 'down-to-earth and cool'","Kid Rock takes the course at Detroit Golf Club on Tuesday ahead of the 313 Area Celebrity Challenge during the week of Rocket Mortgage Classic week.
    Brian McCollum, Detroit Free Press Pop Music Critic","","Published 7:57 a.m. ET June 26, 2019","""I'm just going to play the jams and entertain,"" he said of the upcoming DTE dates."
"1571542690-30705","https://www.usatoday.com/search/?q=sarah%20palin","","","Indian troops lock down its only Muslim-majority state, Pakistan warns of war","https://www.usatoday.com/story/news/world/2019/08/06/indian-troops-invade-kashmir-pakistan-warned-war/1939894001/","Indian troops lock down its only Muslim-majority state, Pakistan warns of war","null","","Published 10:20 p.m. ET Aug. 6, 2019","Back from the dead: Sarah Palin's defamation lawsuit against New York Times"
"1571542694-30725","https://www.usatoday.com/search/?q=sarah%20palin","","","'Headline was flawed': New York Times changed headline about Trump speech after backlash","https://www.usatoday.com/story/news/nation/2019/08/05/new-york-times-criticism-donald-trump-speech-headline/1929546001/","'Headline was flawed': New York Times changed headline about Trump speech after backlash","President Donald Trump said our nation must condemn racism, bigotry and white supremacy following two mass shootings in Dayton and El Paso.
    USA TODAY","","Published 12:10 a.m. ET Aug. 6, 2019 | Updated 1:31 p.m. ET Aug. 6, 2019","Start the day smarter: Get USA TODAY's Daily Briefing in your inbox"
"1571542667-30527","https://www.usatoday.com/search/?q=sarah%20palin","","","Kid Rock talks golfing with President Trump, calls him 'down-to-earth and cool'","https://www.usatoday.com/story/life/music/2019/06/26/kid-rock-golfed-trump-calls-him-down-earth-and-cool/1568754001/","Kid Rock talks golfing with President Trump, calls him 'down-to-earth and cool'","Kid Rock takes the course at Detroit Golf Club on Tuesday ahead of the 313 Area Celebrity Challenge during the week of Rocket Mortgage Classic week.
    Brian McCollum, Detroit Free Press Pop Music Critic","Brian McCollum","Published 7:57 a.m. ET June 26, 2019",""
"1571542703-30794","https://www.usatoday.com/search/?q=sarah%20palin","","","Pregnant celebrities 2019: Who's due, baby bump pics and gender reveals","https://www.usatoday.com/story/life/parenting/2019/09/02/pregnant-expecting-celebrities-whos-due-baby-bump-pics-gender-reveals/2162199001/","Pregnant celebrities 2019: Who's due, baby bump pics and gender reveals","null","","Published 7:00 a.m. ET Sept. 2, 2019","The ""19 Kids and Counting"" stars shared the news on Instagram that they are expecting their first child."
"1571542690-30701","https://www.usatoday.com/search/?q=sarah%20palin","","","Indian troops lock down its only Muslim-majority state, Pakistan warns of war","https://www.usatoday.com/story/news/world/2019/08/06/indian-troops-invade-kashmir-pakistan-warned-war/1939894001/","Indian troops lock down its only Muslim-majority state, Pakistan warns of war","null","","Published 10:20 p.m. ET Aug. 6, 2019","Jammu and Kashmir Director General of Police Dilbagh Singh said Srinagar was “totally peaceful,” the Press Trust of India news agency reported."
"1571542661-30509","https://www.usatoday.com/search/?q=sarah%20palin","","","'Teach your sons:' Kourtney Kardashian talks Menstrual Hygiene Day in bikini pic","https://www.usatoday.com/story/life/allthemoms/2019/05/28/kourtney-kardashian-menstrual-hygiene-day-not-embarrassing-teach-sons-instagram-bikini-pic/1259997001/","'Teach your sons:' Kourtney Kardashian talks Menstrual Hygiene Day in bikini pic","null","","Published 3:29 p.m. ET May 28, 2019 | Updated 3:34 p.m. ET May 28, 2019","The reality star took to Instagram posting a snapshot of herself and girlfriend Stephanie Shepherd lying on their stomachs on the beach in booty-revealing swimsuits."
"1571542690-30712","https://www.usatoday.com/search/?q=sarah%20palin","","","Indian troops lock down its only Muslim-majority state, Pakistan warns of war","https://www.usatoday.com/story/news/world/2019/08/06/indian-troops-invade-kashmir-pakistan-warned-war/1939894001/","Indian troops lock down its only Muslim-majority state, Pakistan warns of war","null","","Published 10:20 p.m. ET Aug. 6, 2019","It was unclear when the security measures would be eased in Kashmir, but an outpouring of condemnation by Kashmiris living outside the region or who were able to access the internet despite the government blocks suggest the population will resist the New Delhi government’s actions."
"1571542721-30863","https://www.usatoday.com/search/?q=sarah%20palin","","","It’s ""he said, Trump said"" in today’s news","https://www.usatoday.com/story/news/2019/09/10/trump-bolton-apple-iphone-11-sarah-palin-aoc-tuesdays-news/2274958001/","It’s ""he said, Trump said"" in today’s news","null","","Published 4:45 p.m. ET Sept. 10, 2019 | Updated 9:39 p.m. ET Sept. 10, 2019","One Short List reader got a close-up look at the overturned vessel with her dog, Samuel. ""I was out playing ball, and you can see the cargo ship in the background,"" Denise Rocawich, who lives in Brunswick, Georgia, said. ""Glad to hear that all the crew has gotten out safely."""
"1571542678-30644","https://www.usatoday.com/search/?q=sarah%20palin","","","Lindsey Graham on criticism of Trump: 'I don't remember John McCain having to go through this crap'","https://www.usatoday.com/story/news/politics/2019/07/18/lindsey-graham-john-mccain-trump-contrast/1768382001/","Lindsey Graham on criticism of Trump: 'I don't remember John McCain having to go through this crap'","""Send her back"" chants erupted at a Trump rally as the president criticized Rep. Ilhan Omar for her ""contempt"" for the ""hard-working Americans.""
    Storyful","","Published 3:55 p.m. ET July 18, 2019 | Updated 5:44 p.m. ET July 18, 2019","When Trump went after Omar – who was born in Somalia – the crowd began to chant, ""send her back. Though Trump did not object to the chanting at the time, on Thursday he told reporters, ""I wasn't happy with that message."""
"1571542680-30658","https://www.usatoday.com/search/?q=sarah%20palin","","","Democratic debates don't match the moment. Time to get serious about beating Donald Trump.","https://www.usatoday.com/story/opinion/2019/08/01/donald-trump-president-democratic-debates-must-get-better-column/1868147001/","Democratic debates don't match the moment. Time to get serious about beating Donald Trump.","On the second night of the second Democratic primary debate, Joe Biden was center stage, and took the brunt of challenger attacks. Biden was prepped.
    USA TODAY","","Published 12:25 a.m. ET Aug. 1, 2019 | Updated 5:57 p.m. ET Aug. 1, 2019","Biden recognized that Harris almost delivered a TKO to his campaign in the first debate and decided to greet the senator from California on Wednesday with, “Take it easy on me, kid.” It functioned as a variation on Sarah Palin’s “Can I call you Joe?” move that opened the 2008 vice presidential debate. Though it might have come off as smarmy and belittling to some, especially women, it set a tone that Biden would come out swinging, with “P-A-L-OF-O-B-A-M-A” tattooed on his knuckles."
"1571542680-30667","https://www.usatoday.com/search/?q=sarah%20palin","","","Democratic debates don't match the moment. Time to get serious about beating Donald Trump.","https://www.usatoday.com/story/opinion/2019/08/01/donald-trump-president-democratic-debates-must-get-better-column/1868147001/","Democratic debates don't match the moment. Time to get serious about beating Donald Trump.","On the second night of the second Democratic primary debate, Joe Biden was center stage, and took the brunt of challenger attacks. Biden was prepped.
    USA TODAY","","Published 12:25 a.m. ET Aug. 1, 2019 | Updated 5:57 p.m. ET Aug. 1, 2019","This is the most consequential primary of our lifetime for too many reasons — the foremost being that Donald Trump is the president of the United States. He has an attorney general who has all but declared that if a Republican president does it, it’s legal. He wants to appoint a man to run our intelligence community who seems to think investigating attacks on our democracy is a bigger threat than the attacks themselves."
