web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,content,date
"1570864610-4383","https://www.foxnews.com/politics","US military officials express concern as Turkey expands military operations against Kurds","https://video.foxnews.com/v/6093852948001/","US military officials express concern as Turkey expands military operations against Kurds","US military officials express concern as Turkey expands military operations against Kurds","","","null"
"1570864877-4775","https://www.foxnews.com/politics","Bullock, long-shot 2020 Dem, insists nomination ‘won’t be decided by the debates’","https://www.foxnews.com/politics/lower-tier-2020-dems-argue-nomination-wont-be-decided-by-the-debates","Bullock, long-shot 2020 Dem, insists nomination ‘won’t be decided by the debates’","Bullock, long-shot 2020 Dem, insists nomination ‘won’t be decided by the debates’","","“I am seriously considering boycotting October 15 debate to bring attention to DNC/corporate media’s effort to rig 2020 primary,” she tweeted.","14 hours ago"
"1570864547-4284","https://www.foxnews.com/politics","Giuliani associates arrested while trying to board international flight with one-way tickets, prosecutors say","https://www.foxnews.com/politics/prosecutors-giuliani-associates-arrested-while-trying-to-board-international-flight-with-one-way-tickets","Giuliani associates arrested while trying to board international flight with one-way tickets, prosecutors say","Giuliani associates arrested while trying to board international flight with one-way tickets, prosecutors say","Andrew O'Reilly","","1 day ago"
"1570864630-4394","https://www.foxnews.com/politics","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","https://www.foxnews.com/politics/liz-cheney-others-in-gop-spearhead-bid-to-sanction-turkey-for-syria-invasion","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","","Cheney’s office indicated that the legislation aligns with what President Trump has said about Turkey in the past. “Turkey has been planning to attack the Kurds for a long time,” Trump tweeted Thursday. “I say hit Turkey very hard financially & with sanctions if they don’t play by the rules!”","1 day ago"
"1570864934-4826","https://www.foxnews.com/politics","Ex-Ukraine ambassador speaks of ouster after ‘false claims,’ denies being ‘disloyal’ to Trump","https://www.foxnews.com/politics/ex-ukraine-ambassador-unfounded-and-false-claims","Ex-Ukraine ambassador speaks of ouster after ‘false claims,’ denies being ‘disloyal’ to Trump","Ex-Ukraine ambassador speaks of ouster after ‘false claims,’ denies being ‘disloyal’ to Trump","","Yovanovitch, who was recalled in May, spoke as part of House Democrats’ impeachment inquiry into Trump’s July 25 phone call between Trump and Ukrainian President Volodymyr Zelensky -- in which Trump asked the premier to “look into” the allegations about former Vice President Joe Biden’s conduct in the country.","13 hours ago"
"1570864630-4399","https://www.foxnews.com/politics","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","https://www.foxnews.com/politics/liz-cheney-others-in-gop-spearhead-bid-to-sanction-turkey-for-syria-invasion","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","","Critics have decried the decision by Trump, which they say undermines progress against ISIS in the region and leaves a U.S. ally in the fight against the Islamic State vulnerable.","1 day ago"
"1570864752-4568","https://www.foxnews.com/politics","Biden's full-throated attack on Trump seen as double-edged sword","https://www.foxnews.com/politics/biden-trump-impeachment-attack-double-edged-sword","Biden's full-throated attack on Trump seen as double-edged sword","Biden's full-throated attack on Trump seen as double-edged sword","","Veteran Democratic consultant and communications strategist Lynda Tran noted that such swagger would resonate with voters. She also said the Ukraine controversy put the spotlight on foreign relations, a wheelhouse for the former vice president.","20 hours ago"
"1570864787-4666","https://www.foxnews.com/politics","Beto threatens tax-exempt status of churches if they don't support gay marriage","https://www.foxnews.com/politics/beto-church-of-tax-exempt-status-gay-marriage","Beto threatens tax-exempt status of churches if they don't support gay marriage","Beto threatens tax-exempt status of churches if they don't support gay marriage","","The crowd erupted in applause before O'Rourke further explained.","18 hours ago"
"1570865004-4956","https://www.foxnews.com/politics","California governor signs measure requiring universities to provide abortion meds","https://www.foxnews.com/politics/california-governor-signs-measure-requiring-universities-to-provide-abortion-meds","California governor signs measure requiring universities to provide abortion meds","California governor signs measure requiring universities to provide abortion meds","","APPEALS COURT BLOCKS OHIO BAN ON DOWN SYNDROME ABORTIONS","9 hours ago"
"1570864780-4634","https://www.foxnews.com/politics","Trump called former Ukraine diplomat 'bad news' ... and now she's set to testify","https://www.foxnews.com/politics/drama-swirls-ahead-of-dems-planned-interview-with-ukraine-diplomat","Trump called former Ukraine diplomat 'bad news' ... and now she's set to testify","Trump called former Ukraine diplomat 'bad news' ... and now she's set to testify","","The Soviet-born defendants, Lev Parnas and Igor Fruman, are U.S. citizens who helped Giuliani's efforts to pursue an investigation of Joe Biden's dealings in Ukraine.","1 day ago"
"1570864721-4522","https://www.foxnews.com/politics","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","https://www.foxnews.com/politics/trump-minneapolis-minnesota-rally-impeachment-push-security-costs-ilhan-omar","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","","Frey said the police force must be nonpartisan and non-ideological.","1 day ago"
"1570864517-4247","https://www.foxnews.com/politics","Providing health insurance to illegal immigrants could cost up to $23 billion a year, study finds","https://www.foxnews.com/politics/providing-health-insurance-to-illegal-immigrants","Providing health insurance to illegal immigrants could cost up to $23 billion a year, study finds","Providing health insurance to illegal immigrants could cost up to $23 billion a year, study finds","","ILLEGAL IMMIGRANTS SHOULD GET HEALTH CARE, SAY DEMS IN NIGHT 2 DEBATE","1 day ago"
"1570865029-4979","https://www.foxnews.com/politics","Nancy Pelosi says Trump's rally comments about Biden 'beyond the pale,' rips Senate Republicans' 'cowardice' on impeachment inquiry","https://www.foxnews.com/politics/nancy-pelosi-says-trump-rally-comments-about-biden-beyond-the-pale-rips-senate-republicans-cowardice-on-impeachment-inquiry","Nancy Pelosi says Trump's rally comments about Biden 'beyond the pale,' rips Senate Republicans' 'cowardice' on impeachment inquiry","Nancy Pelosi says Trump's rally comments about Biden 'beyond the pale,' rips Senate Republicans' 'cowardice' on impeachment inquiry","","TRUMP BELITTLES BIDENS WITH GRAPHIC LANGUAGE AT MINNEAPOLIS RALLY","8 hours ago"
"1570864787-4670","https://www.foxnews.com/politics","Beto threatens tax-exempt status of churches if they don't support gay marriage","https://www.foxnews.com/politics/beto-church-of-tax-exempt-status-gay-marriage","Beto threatens tax-exempt status of churches if they don't support gay marriage","Beto threatens tax-exempt status of churches if they don't support gay marriage","","He adds, ""Freedom of religion is a fundamental right, but it should not be used to discriminate.""","18 hours ago"
"1570864950-4854","https://www.foxnews.com/politics","Judge blocks ‘public charge’ rule that would restrict green cards for immigrants on welfare","https://www.foxnews.com/politics/federal-judge-blocks-public-charge-rule-limiting-green-cards-to-immigrants-on-welfare","Judge blocks ‘public charge’ rule that would restrict green cards for immigrants on welfare","Judge blocks ‘public charge’ rule that would restrict green cards for immigrants on welfare","","“The principle driving it is an old American value, and that’s self-sufficiency,” USCIS Acting Director Ken Cuccinelli told Fox News in an interview in August. “It’s a core principle -- the American Dream itself -- and it’s one of the things that distinguishes us, and it's central to the legal history in the U.S. back into the 1800s.”","11 hours ago"
"1570864721-4518","https://www.foxnews.com/politics","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","https://www.foxnews.com/politics/trump-minneapolis-minnesota-rally-impeachment-push-security-costs-ilhan-omar","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","","Later Tuesday, the Trump campaign said in a statement that the operators of Target Center had backed off canceling the contract, with no agreement by the campaign to pay additional money.","1 day ago"
"1570864780-4635","https://www.foxnews.com/politics","Trump called former Ukraine diplomat 'bad news' ... and now she's set to testify","https://www.foxnews.com/politics/drama-swirls-ahead-of-dems-planned-interview-with-ukraine-diplomat","Trump called former Ukraine diplomat 'bad news' ... and now she's set to testify","Trump called former Ukraine diplomat 'bad news' ... and now she's set to testify","","Meanwhile, Ukraine's president insisted Thursday that he faced ""no blackmail"" from Trump in the July 25 phone call between the two men that led to an impeachment inquiry.","1 day ago"
"1570864721-4505","https://www.foxnews.com/politics","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","https://www.foxnews.com/politics/trump-minneapolis-minnesota-rally-impeachment-push-security-costs-ilhan-omar","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","","""Hunter, you know nothing about energy, you know nothing about China, you know nothing about anything, frankly. Hunter, you're a loser,"" Trump said, his voice rising. ""Your father was never considered smart, he was never considered a good senator -- he was only a good vice president because he understood how to kiss Barack Obama's a--.""","1 day ago"
"1570864787-4668","https://www.foxnews.com/politics","Beto threatens tax-exempt status of churches if they don't support gay marriage","https://www.foxnews.com/politics/beto-church-of-tax-exempt-status-gay-marriage","Beto threatens tax-exempt status of churches if they don't support gay marriage","Beto threatens tax-exempt status of churches if they don't support gay marriage","","BOOKER QUOTES THIS OLD TESTAMENT BIBLE VERSE TO DEFEND LGBTQ RIGHTS","18 hours ago"
"1570864587-4356","https://www.foxnews.com/politics","Fox News Poll: Biden and Warren gain ground in Democratic race","https://www.foxnews.com/politics/fox-news-poll-biden-and-warren-gain-ground-in-democratic-race","Fox News Poll: Biden and Warren gain ground in Democratic race","Fox News Poll: Biden and Warren gain ground in Democratic race","","While Biden’s support has stayed between 29-35 percent since March, his current 10-point advantage is about half of his 19-point lead in June.","1 day ago"
"1570865088-5085","https://www.foxnews.com/politics","Federal judge pauses opioid lawsuits against Purdue Pharma, Sackler family","https://www.foxnews.com/politics/federal-judge-pauses-opioid-lawsuits-against-purdue-pharma-sacker-family","Federal judge pauses opioid lawsuits against Purdue Pharma, Sackler family","Federal judge pauses opioid lawsuits against Purdue Pharma, Sackler family","","Fox News' Morgan Phillips Frank Miles and The Associated Press contributed to this report.","5 hours ago"
"1570864568-4316","https://www.foxnews.com/politics","GOP House Intel panel member tells Pelosi to release Volker transcript, slams 'secret hearings'","https://www.foxnews.com/politics/gop-congressman-to-pelosi-volker-leaks-contradict-testimony-and-its-time-to-end-secret-proceedings","GOP House Intel panel member tells Pelosi to release Volker transcript, slams 'secret hearings'","GOP House Intel panel member tells Pelosi to release Volker transcript, slams 'secret hearings'","Morgan Phillips","","1 day ago"
"1570864966-4901","https://www.foxnews.com/politics","Appeals court blocks Ohio ban on Down syndrome abortions","https://www.foxnews.com/politics/ohio-down-syndrome-abortion-ban-federal-appeals-court","Appeals court blocks Ohio ban on Down syndrome abortions","Appeals court blocks Ohio ban on Down syndrome abortions","","Batchelder, quoting a May opinion from Supreme Court Justice Clarence Thomas, added that states have a “compelling interest in preventing abortion from becoming a tool of modern-day eugenics.”","11 hours ago"
"1570864977-4920","https://www.foxnews.com/politics","Notre Dame, University of Michigan, Belmont University to host 2020 presidential debates","https://www.foxnews.com/politics/2020-presidential-debate-schedule-vice-presidential-debate-schedule","Notre Dame, University of Michigan, Belmont University to host 2020 presidential debates","Notre Dame, University of Michigan, Belmont University to host 2020 presidential debates","","According to pre-determined criteria, ""candidates must appear on a sufficient number of state ballots to have a mathematical chance of winning a majority vote in the Electoral College,"" and also have at least 15 percent of the national electorate based on polling averages from ""five selected national public opinion polling organizations"" that are selected based on ""the quality of the methodology employed, the reputation of the polling organizations and the frequency of the polling conducted.""","11 hours ago"
"1570864496-4224","https://www.foxnews.com/politics","Newly declassified court documents reveal FBI FISA violations in targeting Americans","https://www.foxnews.com/politics/newly-declassified-court-documents-reveal-fbi-fisa-violations-in-targeting-americans","Newly declassified court documents reveal FBI FISA violations in targeting Americans","Newly declassified court documents reveal FBI FISA violations in targeting Americans","","CLICK HERE TO GET THE FOX NEWS APP","1 day ago"
"1570864966-4891","https://www.foxnews.com/politics","Appeals court blocks Ohio ban on Down syndrome abortions","https://www.foxnews.com/politics/ohio-down-syndrome-abortion-ban-federal-appeals-court","Appeals court blocks Ohio ban on Down syndrome abortions","Appeals court blocks Ohio ban on Down syndrome abortions","","A divided federal appeals court panel ruled Friday that Ohio cannot enforce a 2017 law banning abortions when medical tests show the baby has Down syndrome.","11 hours ago"
"1570864630-4402","https://www.foxnews.com/politics","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","https://www.foxnews.com/politics/liz-cheney-others-in-gop-spearhead-bid-to-sanction-turkey-for-syria-invasion","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","","Fox News' Chad Pergram contributed to this report.","1 day ago"
"1570864843-4721","https://www.foxnews.com/politics","Top diplomats to testify before Congress despite opposition from State Dept., White House","https://www.foxnews.com/politics/top-diplomats-to-testify-to-congress-despite-opposition-from-state-dept-white-house","Top diplomats to testify before Congress despite opposition from State Dept., White House","Top diplomats to testify before Congress despite opposition from State Dept., White House","","“Notwithstanding the State Department’s current direction to not testify, Ambassador Sondland will honor the Committees’ subpoena, and he looks forward to testifying on Thursday,” the statement said. ""Ambassador Sondland has at all times acted with integrity and in the interests of the United States. He has no agenda apart from answering the Committees’ questions fully and truthfully.”","17 hours ago"
"1570865080-5052","https://www.foxnews.com/politics","Trump announces acting Homeland Security Secretary McAleenan to leave post","https://www.foxnews.com/politics/trump-announces-acting-homeland-security-secretary-mcaleenan-to-leave-post","Trump announces acting Homeland Security Secretary McAleenan to leave post","Trump announces acting Homeland Security Secretary McAleenan to leave post","","""With his [Trump's] support, over the last six months we have made tremendous progress mitigating the border security and humanitarian crisis we faced this year, by reducing unlawful crossings, partnering with governments in the region to counter human smugglers and [addressing] the causes of migration, and [deploying] additional border security resources,"" he said.","7 hours ago"
"1570864587-4370","https://www.foxnews.com/politics","Fox News Poll: Biden and Warren gain ground in Democratic race","https://www.foxnews.com/politics/fox-news-poll-biden-and-warren-gain-ground-in-democratic-race","Fox News Poll: Biden and Warren gain ground in Democratic race","Fox News Poll: Biden and Warren gain ground in Democratic race","","On the other side, each of the top three Democratic candidates receives positive ratings on this measure.  Sanders performs best with 59 percent saying he is honest and trustworthy (36 percent disagree).  Fifty percent think Warren is honest vs. 44 percent dishonest, and for Biden voters split 48-47 percent.","1 day ago"
