web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,content,date
"1570862991-130","https://www.breitbart.com/politics/page/10/","Watch– Feminist Speaks Against Transgender Ideology: ‘I Will Not Submit’","https://www.breitbart.com/politics/2019/10/08/watch-feminist-speaks-against-transgender-ideology-i-will-not-submit/","Watch– Feminist Speaks Against Transgender Ideology: ‘I Will Not Submit’","Feminists must escape from the sexual and political abuse inflicted by the men who dominate the transgender ideology, a feminist author declared Tuesday at a demonstration outside the Supreme Court.","","“A man can never be a woman,” Natasha Chart told the crowd and the cameras. “A lesbian can never be male … I will not be forced to lie, I will not submit,” she said.","8 Oct 2019"
"1570863228-1324","https://www.breitbart.com/politics/page/7/","Exclusive — Fake News Industry: How McClatchy Uses False Stories to Attract Investment amid Financial Woes","https://www.breitbart.com/the-media/2019/10/09/exclusive-fake-news-industry-how-mcclatchy-uses-false-stories-to-attract-investment-amid-financial-woes/","Exclusive — Fake News Industry: How McClatchy Uses False Stories to Attract Investment amid Financial Woes","It pays to lie.","","McClatchy noted:","9 Oct 2019"
"1570863355-2050","https://www.breitbart.com/politics/page/6/","Kristen Bell, Reese Witherspoon vs. Mark Ruffalo, Susan Sarandon over Ellen DeGeneres’ Call for Kindness","https://www.breitbart.com/entertainment/2019/10/10/kristen-bell-reese-witherspoon-vs-mark-ruffalo-susan-sarandon-over-ellen-degeneres-call-for-kindness/","Kristen Bell, Reese Witherspoon vs. Mark Ruffalo, Susan Sarandon over Ellen DeGeneres’ Call for Kindness","Hollywood celebrities are clashing over Ellen DeGeneres’ plea for bipartisan kindness — with actresses Reese Witherspoon and Kristen Bell praising the talk show host, while stars Mark Ruffalo and Susan Sarandon slammed her friendship with former President George W. Bush.","","Follow David Ng on Twitter @HeyItsDavidNg. Have a tip? Contact me at dng@breitbart.com","10 Oct 2019"
"1570863569-3258","https://www.breitbart.com/politics/page/3/","Schweizer: Biden Needs to Address Ukraine Accusations ‘Front and Center’","https://www.breitbart.com/clips/2019/10/11/schweizer-biden-needs-to-address-ukraine-accusations-front-and-center/","Schweizer: Biden Needs to Address Ukraine Accusations ‘Front and Center’","null","","Breitbart News senior contributor Peter Schweizer, author of “Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends,” on Friday stressed the importance of 2020 Democratic presidential candidate Joe Biden addressing the Ukraine issue involving him and his son, Hunter.","11 Oct 2019"
"1570863334-1957","https://www.breitbart.com/politics/page/6/","‘Patronising Snob!’: Farage Blasts MEP Who Said Leavers ‘Didn’t Know What They Voted For’","https://www.breitbart.com/europe/2019/10/10/you-patronising-stuck-up-snob-farage-blasts-lib-dem-mep/","‘Patronising Snob!’: Farage Blasts MEP Who Said Leavers ‘Didn’t Know What They Voted For’","Nigel Farage has branded a Liberal Democrat MEP a “patronising, stuck-up snob” after she said Leavers “didn’t know what they were voting on” in the 2016 referendum.","","","10 Oct 2019"
"1570863193-1138","https://www.breitbart.com/politics/page/8/","Jon Voight: Democrat Party ‘Doesn’t Represent America Anymore’","https://www.breitbart.com/entertainment/2019/10/09/jon-voight-democrat-party-doesnt-represent-america-anymore/","Jon Voight: Democrat Party ‘Doesn’t Represent America Anymore’","Legendary Hollywood actor Jon Voight ripped the Democrat Party in an interview published Wednesday, saying its lawmakers no longer represent the interests of the United States and the American people.","","Further, Voight condemned Hollywood leftists for attacking “anybody who is for Trump or who is for the Republican party.”","9 Oct 2019"
"1570863395-2223","https://www.breitbart.com/politics/page/5/","Watch – ICE Director to Sanctuary Cities: Your Elected Leaders Are Making You ‘Less Safe’","https://www.breitbart.com/politics/2019/10/10/watch-ice-director-to-sanctuary-cities-your-elected-leaders-are-making-you-less-safe/","Watch – ICE Director to Sanctuary Cities: Your Elected Leaders Are Making You ‘Less Safe’","null","","Watch the entire briefing below:","10 Oct 2019"
"1570863181-1068","https://www.breitbart.com/politics/page/8/","Exclusive: Trump Administration Not Confident Trade Talks Will Produce An Agreement","https://www.breitbart.com/economy/2019/10/09/exclusive-trump-administration-not-confident-trade-talks-will-produce-an-agreement/","Exclusive: Trump Administration Not Confident Trade Talks Will Produce An Agreement","Trump administration officials are not confident that trade talks this week will produce any agreement to lower trade tensions.","","Speaking to the press on Wednesday, President Donald Trump said he was not lowering his own expectations for the talks.","9 Oct 2019"
"1570863101-657","https://www.breitbart.com/politics/page/9/","Facebook Rejects Biden Campaign’s Request to Ban Trump Ad","https://www.breitbart.com/tech/2019/10/09/facebook-rejects-biden-campaigns-request-to-ban-trump-ad/","Facebook Rejects Biden Campaign’s Request to Ban Trump Ad","Facebook has rejected a request from former Vice President Joe Biden’s 2020 campaign to remove a video advertisement by President Donald Trump’s re-election campaign that highlights allegations of corruption against Biden and his son, according to a report.","","Last Monday, CNN announced it had rejected to run the ad, claiming the video “does not meet our advertising standards.”","9 Oct 2019"
"1570863301-1789","https://www.breitbart.com/politics/page/6/","‘They Suck’ — Trump Rips Fox News Poll Showing Record Impeachment Support","https://www.breitbart.com/politics/2019/10/10/they-suck-trump-rips-fox-news-poll-showing-record-impeachment-support/","‘They Suck’ — Trump Rips Fox News Poll Showing Record Impeachment Support","President Donald Trump on Thursday blasted Fox News and several of its on-air employees over its poll that found a record 51 percent of voters believe he should be impeached and removed from office.","","“Just watched Fox News heavily promoting the Democrats through their DNC Communications Director, spewing out whatever she wanted with zero pushback by anchor, Sandra Smith,” he added.","10 Oct 2019"
