web-scraper-order,web-scraper-start-url,article,article-href,title,subtitle,author,content,date
"1570855983-2454","https://www.nytimes.com/section/politics","ImageKevin McAleenan Resigns as Acting Homeland Security SecretaryMr. McAleenan oversaw a border security agency that grappled with the most crossings at the southwestern border in more than a decade, prompting the ire of the president.By Zolan Kanno-Youngs, Maggie Haberman and Michael D. Shear","https://www.nytimes.com/2019/10/11/us/politics/kevin-mcaleenan-homeland-security.html","Kevin McAleenan Resigns as Acting Homeland Security Secretary","null","Zolan Kanno-Youngs","While Mr. McAleenan commanded respect among law enforcement officials in the department and some Democrats, others blamed him for going along with the president’s efforts to separate families at the border, denying green cards to poor immigrants and turning a security agency created after the Sept. 11, 2001, attacks into the engine of Mr. Trump’s immigration agenda.","Oct. 11, 2019"
"1570855932-2288","https://www.nytimes.com/section/politics","Image2020 Presidential Debate Schedule Announced for General ElectionThe presidential debates will be held in Indiana, Michigan and Tennessee, and a vice-presidential debate will be held in Utah.By Shane Goldmacher","https://www.nytimes.com/2019/10/11/us/politics/when-are-the-2020-presidential-debates.html","2020 Presidential Debate Schedule Announced for General Election","The presidential debates will be held in Indiana, Michigan and Tennessee, and a vice-presidential debate will be held in Utah.","Shane Goldmacher","The debates will run for 90 minutes without commercial interruption, the commission said. The moderators and format will be announced later.","Oct. 11, 2019"
"1570855951-2340","https://www.nytimes.com/section/politics","ImageDemocrats’ Bolder Stand on Labor Reflects Nation’s Ideological ShiftAmbitious moves to shift power to workers are being embraced by several presidential candidates.By Noam Scheiber","https://www.nytimes.com/2019/10/11/business/economy/democratic-candidates-labor-unions.html","Democrats’ Bolder Stand on Labor Reflects Nation’s Ideological Shift","null","Noam Scheiber","With people increasingly open to more radical tools for accomplishing this, joining a union can seem downright middle of the road. According to recent polling by Pew Research Center, 42 percent of Americans view socialism favorably, up from 29 percent in 2010. During roughly that same time, support for unions has climbed significantly, from less than half to about two-thirds of Americans.","Oct. 11, 2019"
"1570855978-2430","https://www.nytimes.com/section/politics","ImageThose Foreign Business Ties? The Trump Sons Have Plenty TooThe Trumps have criticized Hunter Biden for doing business overseas while his father was vice president. Last month, the Trumps won approval in Scotland to build 500 homes.By Eric Lipton, Steve Eder and Ben Protess","https://www.nytimes.com/2019/10/11/us/politics/donald-trump-jr-eric-trump-business.html","Those Foreign Business Ties? The Trump Sons Have Plenty Too","null","Eric Lipton","But Mr. Martin, a council member who opposed the approval, said the Trumps benefited handsomely from the change. “It is a much, much more lucrative deal now,” he said.","Oct. 11, 2019"
"1570855825-1988","https://www.nytimes.com/section/politics","ImageGiuliani Pressed for Turkish Prisoner Swap in Oval Office MeetingThe lawyer had asked that President Trump and Rex Tillerson, then secretary of state, help a client who was accused in a more than $10 billion scheme to thwart sanctions on Iran.By Jo Becker, Maggie Haberman and Eric Lipton","https://www.nytimes.com/2019/10/10/us/politics/giuliani-trump-rex-tillerson.html","Giuliani Pressed for Turkish Prisoner Swap in Oval Office Meeting","null","Jo Becker","And Mr. Mukasey, in an April 2017 court filing, asserted that “senior U.S. officials have remained receptive to pursuing the possibility of an agreement.”","Oct. 10, 2019"
"1570855709-1620","https://www.nytimes.com/section/politics","ImageTrump Makes Few Promises to U.K. Over Diplomat’s Wife Who Fled CrashThe accident, which killed a teenage motorcyclist, Harry Dunn, has created a diplomatic quandary for Prime Minister Boris Johnson.By Iliana Magra","https://www.nytimes.com/2019/10/10/world/europe/trump-harry-dunn-boris-johnson.html","Trump Makes Few Promises to U.K. Over Diplomat’s Wife Who Fled Crash","The accident, which killed a teenage motorcyclist, Harry Dunn, has created a diplomatic quandary for Prime Minister Boris Johnson.","Iliana Magra","“I can’t really see the point as to why we were invited to go and see Dominic Raab,” Ms. Charles told Sky News after the meeting.","Oct. 10, 2019"
"1570855783-1838","https://www.nytimes.com/section/politics","ImageBrexit Gets Adrenaline Shot From Meeting of British and Irish LeadersPrime Minister Boris Johnson of Britain and his Ireland counterpart, Leo Varadkar, saw “a pathway to a possible deal” ahead of the Oct. 31 Brexit deadline.By Mark Landler and Stephen Castle","https://www.nytimes.com/2019/10/10/world/europe/brexit-johnson-varadkar.html","Brexit Gets Adrenaline Shot From Meeting of British and Irish Leaders","null","Mark Landler","The customs union is far harder: Britain argues it is necessary as a point of principle and to get a deal through Parliament. But it would require installing customs checks, although Britain insists such checks could be done away from the border between north and south.","Oct. 10, 2019"
"1570855303-188","https://www.nytimes.com/section/politics","Image‘I Gave the Other Guy a Shot’After taking a chance on Donald Trump in 2016, a swing county in western Pennsylvania is up for grabs again.By Trip Gabriel","https://www.nytimes.com/2019/10/07/us/politics/trump-democrats-pennsylvania-.html","‘I Gave the Other Guy a Shot’","After taking a chance on Donald Trump in 2016, a swing county in western Pennsylvania is up for grabs again.","Trip Gabriel","Ms. Johnson worries that a decline in attendance at her family’s church is related to the divisiveness of America under Mr. Trump, whom she has no interest in voting for in 2020. “I feel like there are a lot of people who aren’t putting their full trust and faith in God, and are sort of scared and angry about what’s going on in the world,” she said. A president with no self-restraint on how he speaks about others has spread coarseness, Ms. Johnson said. “Like, it’s just gotten to the point where nobody has any compassion for each other.”","Published Oct. 7, 2019"
"1570855470-790","https://www.nytimes.com/section/politics","ImageBy Taking Aim at Chinese Tech Firms, Trump Signals a Strategy ShiftIn blacklisting surveillance companies, the United States is the first major government to punish China for its crackdown on Muslims.By Paul Mozur and Edward Wong","https://www.nytimes.com/2019/10/08/business/china-human-rights-technology-xinjiang.html","By Taking Aim at Chinese Tech Firms, Trump Signals a Strategy Shift","In blacklisting surveillance companies, the United States is the first major government to punish China for its crackdown on Muslims.","Paul Mozur","Mr. Trump’s next step could be imposing sanctions on specific Chinese officials working in Xinjiang. Among the officials discussed is Chen Quanguo, a Politburo member who is the party chief in Xinjiang and an architect of the system of internment camps and surveillance.","Oct. 8, 2019"
"1570855699-1574","https://www.nytimes.com/section/politics","ImageThese State Birds May Be Forced Out of Their States as the World WarmsNew research shows that hundreds of North American birds are at  risk of major habitat disruption from climate change.By Brad Plumer","https://www.nytimes.com/2019/10/10/climate/state-birds-climate-change.html","These State Birds May Be Forced Out of Their States as the World Warms","null","Brad Plumer","Among other things, at the lower end of global warming, many state birds — including Minnesota’s loon and New Hampshire’s purple finch — would be more likely to maintain at least a fraction of their current range in their states.","Oct. 10, 2019"
