web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,content,date
"1570859387-5040","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-wife-diplomat-british-teen-car-accident_n_5d9e4565e4b087efdba76c3c","Trump Defends Wife Of U.S. Diplomat Suspected In Death Of British Teen","The president appeared to say he has also driven on the wrong side of the road in a foreign country.","","Trump ventured that “frankly a lot of Americans feel the same way” about the situation and want to help the Dunn family heal. He did not address the status of Sacoolas’ diplomatic immunity.","10/09/2019 06:38 pm ET"
"1570859512-5609","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/mississippi-attorney-general-governor-race-jim-crow-rule_n_5d9f98a4e4b087efdbaaeadd","Mississippi Is About To Have An Election Under Jim Crow","State lawmakers could choose the next governor because of a little-noticed 1890 provision designed to disenfranchise Black voters.","","“They focused on coming up with a particular means by which to achieve the goal of white supremacy without violating any federal constitutional safeguards. No other state had attempted that,” said John Winkle III, a professor emeritus of political science at the University of Mississippi. “That’s the way the law was set in 1890, and it was clearly the product of the white supremacy overtones of the entire constitution itself.”","10/10/2019 06:09 pm ET"
"1570859512-5610","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/mississippi-attorney-general-governor-race-jim-crow-rule_n_5d9f98a4e4b087efdbaaeadd","Mississippi Is About To Have An Election Under Jim Crow","State lawmakers could choose the next governor because of a little-noticed 1890 provision designed to disenfranchise Black voters.","","Over time, the federal courts and government got rid of poll taxes and literacy tests. But in Mississippi, the special conditions to win statewide office remained.","10/10/2019 06:09 pm ET"
"1570859133-3641","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/jim-jordan-trump-not-serious-about-china-investigation-into-joe-biden_n_5d9a1509e4b0fc935edbe746","Jim Jordan Doesn’t ‘Think’ Trump Did Something He Actually Did On Camera","The GOP congressman repeatedly claimed that the president wasn’t serious when he said China should investigate Joe Biden.","","“Because I don’t think that’s what he did,” Jordan said. “I don’t think that’s what he did.”","10/06/2019 02:07 pm ET"
"1570859498-5556","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/watergate-prosecutors-trump-impeachment-nixon_n_5d9fa4dae4b02c9da047328c","Former Watergate Prosecutors Say Trump Should Be Impeached","The group drew clear parallels between the current president and Richard Nixon in a Washington Post op-ed.","","The members of the Watergate team also pointed to text messages released by the chairs of three House committees last week that appear to show Trump administration officials pressuring a Ukrainian official for political favors in exchange for cooperation from the U.S. government.","10/10/2019 09:01 pm ET"
"1570859292-4451","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/warren-teachers-fired-pregnancy_n_5d9ca7b4e4b03b475fa08b78","Elizabeth Warren Is Right. In The 1970s, Pregnant Teachers Didn’t Keep Their Jobs.","Back then, teaching was the national model for discriminating against pregnant workers and getting away with it.","","The Washington Free Beacon, a conservative outlet, cast doubt by noting that Warren had once described her exit differently: “[I] said, ‘I don’t think this is going to work out for me.’ I was pregnant with my first baby, so I had a baby and stayed home for a couple of years,” she said in a 2007 interview. (Warren told CBS that she wasn’t comfortable opening up about the discrimination aspect until recently.)","10/08/2019 05:52 pm ET"
"1570859154-3760","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-allies-ukraine-gas-firm_n_5d9a7c11e4b0993898020e60","Trump Allies Pressed Ukraine Over Gas Firm","The affair shows how those with ties to Trump and his administration were pursuing business deals in Ukraine that went far beyond advancing the president’s personal political interests.","","“The ambassador to Ukraine was replaced,” he said. “I did play a role in that.”","10/06/2019 07:50 pm ET"
"1570859312-4575","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/white-house-accuses-democrats-impeachment-overturn-election_n_5d9cfd31e4b02c9da0406582","White House Refuses To Cooperate With Impeachment Inquiry; Constitutional Crisis Looms","An eight-page letter to House leaders, including Speaker Nancy Pelosi, said that the White House will not cooperate with the inquiry into President Trump’s actions.","","Republicans have thus far stood by Trump and moved to minimize the fallout from the call. GOP lawmakers who have fallen out of lockstep have been immediately castigated by their party.","10/08/2019 05:36 pm ET"
"1570859539-5751","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/betty-mccollum-minnesota-israeli-palestinian_n_5d926349e4b0e9e760514c1f","The Minnesota Congresswoman Who Can Criticize Israel","St. Paul’s Betty McCollum is radically progressive on U.S. policy toward Israel. Why don’t you ever hear about it?","","“It’s the obvious bill that still won’t get passed,” said Jaylani Hussein, head of the Minnesota chapter of the Council on American-Islamic Relations.","10/11/2019 05:45 am ET"
"1570859154-3771","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-allies-ukraine-gas-firm_n_5d9a7c11e4b0993898020e60","Trump Allies Pressed Ukraine Over Gas Firm","The affair shows how those with ties to Trump and his administration were pursuing business deals in Ukraine that went far beyond advancing the president’s personal political interests.","","Gordon D. Sondland, the U.S. ambassador to the European Union, and Kurt D. Volker, then the State Department’s special envoy to Ukraine, were also in the room, according to photographs reviewed by AP. The person, who spoke on condition of anonymity due to fear of retaliation, said he was floored by the American requests because the person had always viewed the U.S. government “as having a higher ethical standard.”","10/06/2019 07:50 pm ET"
"1570858924-2583","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-admits-he-halted-aid-to-ukraine-to-fight-corruption_n_5d8a2971e4b0c2a85cb1ac09","Trump Claims He Halted Aid To Ukraine To Fight ‘Corruption’","The president confirmed to reporters at the United Nations that he froze millions of dollars in aid and called for other European nations to “put up money.”","","Pelosi and her leadership team on the various oversight committees are considering bringing forward a resolution that will put the House on the record on this matter, according to a Democratic leadership aide unauthorized to discuss the private talks. The aide was granted anonymity.","09/24/2019 10:41 am ET"
"1570859480-5474","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/epa-drinking-water_n_5d9f8db8e4b087efdbaac243","Lead Pipes Are Safe From The EPA’s New Drinking Water Rule","The regulation that was too weak to stop the Flint water crisis is getting some mild improvements — but lead pipes can stay.","","But digging up lead pipes is expensive. Flint has only done so thanks partly to a $100 million infusion from the federal government in the wake of the crisis.","10/10/2019 06:04 pm ET"
