web-scraper-order,web-scraper-start-url,article,article-href,title,subtitle,author,content,date
"1570838851-2388","https://www.nytimes.com/section/politics","ImageTrump Reaches ‘Phase 1’ Deal With China and Delays Planned TariffsPresident Trump said he had reached an agreement with China to walk back tensions in the trade war as he met with a top Chinese envoy FridayBy Ana Swanson","https://www.nytimes.com/2019/10/11/business/economy/us-china-trade-deal.html","Trump Reaches ‘Phase 1’ Deal With China and Delays Planned Tariffs","null","Ana Swanson","If completed, the agreement would provide relief to American farmers and businesses that have been battered by the trade war. Mr. Trump said the “substantial” agreement would involve China buying $40 billion to $50 billion worth of American agricultural products annually, along with guidelines on how it manages its currency, the renminbi.","Oct. 11, 2019"
"1570838848-2357","https://www.nytimes.com/section/politics","ImageThe Democrats Worth Staying Up Past Bedtime ForFor the way-too-young-to-vote crowd, 2020 events are still a draw.By Reid J. Epstein","https://www.nytimes.com/2019/10/11/us/politics/2020-candidates-children.html","The Democrats Worth Staying Up Past Bedtime For","For the way-too-young-to-vote crowd, 2020 events are still a draw.","Reid J. Epstein","When the moment came, about a half-hour after Clara’s bedtime, Ms. Warren got down on one knee, looked her in the eye and made the promise. Clara jumped up with glee. Her mother beamed.","Oct. 11, 2019"
"1570838862-2506","https://www.nytimes.com/section/politics","Image2020 Presidential Debate Schedule Announced for General ElectionThe presidential debates will be held in Indiana, Michigan and Tennessee, and a vice-presidential debate will be held in Utah.By Shane Goldmacher","https://www.nytimes.com/2019/10/11/us/politics/when-are-the-2020-presidential-debates.html","2020 Presidential Debate Schedule Announced for General Election","The presidential debates will be held in Indiana, Michigan and Tennessee, and a vice-presidential debate will be held in Utah.","Shane Goldmacher","President Trump won Indiana, Michigan, Tennessee and Utah in 2016, three of them handily. In Michigan, which will most likely be a battleground state in 2020, he beat Hillary Clinton by fewer than 11,000 votes.","Oct. 11, 2019"
"1570838877-2615","https://www.nytimes.com/section/politics","ImageTrump Orders Troops and Weapons to Saudi Arabia in Message of Deterrence to IranThe announcement came five days after Mr. Trump said his desire to end America’s “endless wars” led him to pull back troops from the Syria-Turkey border.By Eric Schmitt and David E. Sanger","https://www.nytimes.com/2019/10/11/world/middleeast/trump-saudi-arabia-iran-troops.html","Trump Orders Troops and Weapons to Saudi Arabia in Message of Deterrence to Iran","null","Eric Schmitt","In the wake of the drone and missile strikes, which temporarily crippled about half of Saudi’s oil production, Mr. Trump initially weighed taking direct military action against Iran. The attacks, which Secretary of State Mike Pompeo recently called “an act of war,” rattled global energy markets. For the past two weeks, however, there has been no discussion of taking direct American military action against Iran for the strikes, apart from some consideration of proportionate cyber attacks.","Oct. 11, 2019"
"1570838862-2500","https://www.nytimes.com/section/politics","Image2020 Presidential Debate Schedule Announced for General ElectionThe presidential debates will be held in Indiana, Michigan and Tennessee, and a vice-presidential debate will be held in Utah.By Shane Goldmacher","https://www.nytimes.com/2019/10/11/us/politics/when-are-the-2020-presidential-debates.html","2020 Presidential Debate Schedule Announced for General Election","The presidential debates will be held in Indiana, Michigan and Tennessee, and a vice-presidential debate will be held in Utah.","Shane Goldmacher","The nonpartisan commission that governs presidential debates announced on Friday the dates and sites for the three presidential debates and one vice-presidential debate during the 2020 general election.","Oct. 11, 2019"
"1570838860-2491","https://www.nytimes.com/section/politics","ImageSupport for Impeachment Has Grown but Also SlowedMany of the voters who back an inquiry have not reached the same conclusion on removal.By Nate Cohn","https://www.nytimes.com/2019/10/11/upshot/impeachment-trump-polling.html","Support for Impeachment Has Grown but Also Slowed","Many of the voters who back an inquiry have not reached the same conclusion on removal.","Nate Cohn","On average, voters appear to support impeaching and removing the president by a narrow margin, 47 percent to 44 percent, in polls conducted over the last 10 days.","Oct. 11, 2019"
"1570838872-2573","https://www.nytimes.com/section/politics","ImageTrump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.By Neil Irwin","https://www.nytimes.com/2019/10/11/upshot/trade-deal-trump-china.html","Trump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.","A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.","Neil Irwin","There’s no question that this is good near-term news for the economy and the markets. But anybody who has followed the ups and downs of trade policy in the last two years — or who understands the actual ways that the trade wars are affecting the economy — won’t be nearly as optimistic as the president’s words suggest are warranted.","Oct. 11, 2019"
"1570838872-2572","https://www.nytimes.com/section/politics","ImageTrump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.By Neil Irwin","https://www.nytimes.com/2019/10/11/upshot/trade-deal-trump-china.html","Trump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.","A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.","Neil Irwin","President Trump boasted Friday afternoon of a “substantial phase one deal,” including Chinese purchases of American agricultural products and an accord on currency policy. The United States is also holding off on tariffs that were to go into effect next week. Over the last few days, the expectation of such a “mini-deal” between the two superpowers drove up stocks and helped ease recession fears.","Oct. 11, 2019"
"1570838853-2432","https://www.nytimes.com/section/politics","ImagePrince’s Estate to Trump Campaign: Don’t Play ‘Purple Rain’The estate said that despite an agreement last year not to use Prince’s music, the song was played at the president’s rally on Thursday night in Minneapolis, the singer’s hometown.By Christine Hauser","https://www.nytimes.com/2019/10/11/us/prince-trump-rally-purple-rain.html","Prince’s Estate to Trump Campaign: Don’t Play ‘Purple Rain’","The estate said that despite an agreement last year not to use Prince’s music, the song was played at the president’s rally on Thursday night in Minneapolis, the singer’s hometown.","Christine Hauser","Such requests are not unusual for politicians and the arenas where they drum up support. Usually, music rights agencies advise campaigns to buy blanket licenses so they can play music in the agencies’ catalogs wherever they are. Arenas where politicians appear often have a blanket license that allows the venue to play any song in an agency’s catalog.","Oct. 11, 2019, 10:51 a.m. ET"
"1570838868-2531","https://www.nytimes.com/section/politics","ImageBotched Medical Procedures May Have Led to Death of U.S. SoldierStaff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.By Thomas Gibbons-Neff","https://www.nytimes.com/2019/10/11/world/africa/soldier-death-somalia.html","Botched Medical Procedures May Have Led to Death of U.S. Soldier","Staff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.","Thomas Gibbons-Neff","Around 2:45 that afternoon, minutes after small-arms fire was directed at the American and Somali outpost, mortar fire landed within the position. The firefight was fast and intense. The blasts from the mortars immediately wounded Sergeant Conrad and the three other Americans.","Oct. 11, 2019, 2:26 p.m. ET"
