BIDEN BREITBART
former 108
foreign 34
political 33
younger 29
recent 23
first 22
last 18
legal 18
much 17
senior 16
black 15
american 15
strong 13
western 13
public 12
old 12
potential 12
many 11
private 11
big 11
top 11
general 10
able 10
red 10
prior 10
national 9
wrong 9
new 9
chinese 9
uncertain 9
several 8
early 8
particular 8
large 8
corrupt 8
official 8
middle 7
federal 7
clear 7
late 7
bad 7
lucrative 7
african 7
second 6
primary 6
fourth 6
similar 6
significant 6
tough 6
ukrainian 6

OBAMA BREITBART
former 58
last 13
many 11
close 11
national 9
political 7
first 7
better 6
american 6
black 6
public 6
private 6
important 6
foreign 5
different 5
federal 5
illegal 5
white 5
new 5
corrupt 5
clear 4
top 4
recent 4
legal 4
primary 4
progressive 4
anti 4
international 4
good 4
inaugural 4
decent 4
racial 3
next 3
least 3
key 3
other 3
silent 3
high 3
classified 3
best 3
economic 3
secret 3
stark 3
hopeful 3
radical 3
early 3
islamic 3
entire 3
controversial 3
central 3

SANDERS BREITBART
last 23
many 14
political 13
recent 13
illegal 13
public 12
old 12
primary 11
first 11
former 10
free 10
american 9
socialist 9
special 7
federal 7
major 7
medical 7
corrupt 6
massive 6
early 6
middle 6
best 6
criminal 6
executive 6
formal 5
progressive 5
national 5
significant 5
private 5
good 5
single 5
third 5
foreign 5
open 5
past 5
wealthy 4
economic 4
less 4
next 4
extreme 4
social 4
human 4
general 4
latest 4
new 4
civil 4
ready 3
largest 3
fundamental 3
necessary 3

TRUMP BREITBART
former 38
political 21
last 17
first 16
new 15
foreign 14
many 14
wrong 11
public 10
fake 10
next 10
american 9
good 9
partisan 8
anti 8
special 8
great 8
national 7
stupid 6
several 6
potential 6
important 6
possible 6
bad 6
economic 5
strong 5
second 5
corrupt 5
likely 5
whole 5
due 5
ukrainian 5
free 5
little 5
concerned 5
real 4
clear 4
private 4
federal 4
nuts 4
long 4
certain 4
closed 4
late 4
big 4
conservative 4
turkish 4
close 4
early 4
top 4

MCCONNELL BREITBART
american 9
great 9
universal 7
public 6
political 5
next 5
last 5
bipartisan 4
new 4
many 4
pro 4
former 4
clear 4
recent 4
first 3
special 3
enough 3
several 3
legislative 3
life 3
least 3
mass 2
bottom 2
controversial 2
ongoing 2
unpatriotic 2
un 2
treasonous 2
right 2
different 2
sociopathic 2
present 2
real 2
serial 2
happy 2
key 2
white 2
arbitrary 2
unfair 2
procedural 2
basic 2
progressive 2
socialist 2
leftwing 2
afraid 2
willing 2
suburban 2
incendiary 2
scared 2
old 2

CLINTON BREITBART
former 77
foreign 30
third 22
political 21
last 19
recent 17
many 14
private 14
first 13
new 10
social 10
gutsy 10
potential 10
classified 10
american 10
less 8
long 8
real 7
secret 7
national 6
public 6
past 6
current 6
wrong 6
powerful 5
primary 5
personal 5
great 5
gutsiest 5
high 5
anti 5
able 5
electoral 5
illegitimate 5
rare 5
strong 4
second 4
british 4
multiple 4
reckless 4
conservative 4
big 4
obvious 4
pleased 4
black 4
fair 4
major 4
good 4
possible 4
successful 4

DEVOS BREITBART
federal 69
public 59
many 44
sexual 40
new 34
former 34
common 26
national 22
local 20
pro 18
private 18
last 16
conservative 15
high 14
clear 13
controversial 13
financial 12
grassroots 11
current 11
senior 11
large 10
political 10
able 10
different 9
higher 9
first 9
due 9
good 8
american 8
educational 8
strong 8
excited 8
recent 8
important 7
top 7
great 7
least 7
better 7
best 7
fair 7
potential 7
close 7
prepared 6
traditional 6
vocal 6
dead 6
sure 6
past 6
consistent 6
executive 6

WARREN BREITBART
american 30
middle 29
native 25
former 22
public 22
last 19
private 16
second 16
illegal 14
first 14
wealthy 12
recent 11
new 11
big 10
federal 8
open 8
national 8
black 8
many 7
similar 7
next 7
universal 7
giant 7
white 7
old 7
sure 7
political 6
much 6
third 6
additional 6
full 6
top 6
current 6
single 6
competent 5
foreign 5
obvious 5
important 5
legal 5
consistent 5
several 5
likely 5
environmental 5
net 4
good 4
least 4
past 4
different 4
free 4
executive 4

CORTEZ BREITBART
many 21
last 16
socialist 16
first 15
free 12
social 11
racist 10
political 8
less 8
public 8
former 7
other 7
past 7
old 7
national 6
racial 6
realistic 6
basic 6
possible 6
due 5
violent 5
false 5
white 5
earlier 5
larger 5
happy 5
civil 5
big 5
different 5
natural 5
migrant 5
fellow 5
criminal 5
small 5
bigoted 5
profound 5
new 4
potential 4
secret 4
advanced 4
smaller 4
current 4
shallow 4
monstrous 4
festering 4
various 4
progressive 4
original 4
few 4
unsupervised 4

PALIN BREITBART
former 54
political 51
many 24
last 23
conservative 23
public 21
american 19
national 16
disabled 15
first 13
big 12
pro 12
great 10
electoral 10
stylized 10
congressional 10
free 10
actual 9
special 9
targeted 9
much 8
legal 8
permanent 8
federal 8
close 7
new 7
good 7
personal 7
nationalist 7
afraid 7
true 7
clear 7
important 6
fake 6
primary 6
economic 6
likely 6
false 6
long 6
whole 5
large 5
liberal 5
middle 5
familiar 5
non 5
particular 5
exclusive 5
upcoming 5
innocent 5
recent 5

BIDEN FOX
former 70
primary 24
last 24
new 18
first 17
top 13
early 13
latest 10
black 10
front 10
national 10
recent 8
personal 8
past 8
several 8
wrong 8
next 8
inappropriate 8
political 7
natural 7
second 7
younger 7
white 6
civil 6
american 6
progressive 6
senior 6
many 5
likely 5
segregationist 5
large 5
public 4
clear 4
racial 4
african 4
controversial 4
moderate 4
weak 4
able 4
false 4
possible 4
anti 4
big 4
good 4
hopeful 4
fellow 4
high 4
strong 4
poor 4
old 4

OBAMA FOX
former 50
new 15
first 10
political 5
