web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574634896-15017","https://www.breitbart.com/tag/bernie-sanders/page/4","Bernie Sanders Hypes His Age: ‘There Are Advantages to Being Old’","https://www.breitbart.com/politics/2019/10/26/bernie-sanders-hypes-age-advantages-being-old/","Bernie Sanders Hypes His Age: ‘There Are Advantages to Being Old’","Sen. Bernie Sanders (I-VT) addressed the mounting concerns regarding his age, 78, during campaign stops in Iowa this week, asserting that there are “advantages to being old.”","","26 Oct 2019","“Thousands and thousands of dollars in student debt. What is that?” he asked."
"1574634853-14775","https://www.breitbart.com/tag/bernie-sanders/page/5","Bernie Sanders Faces Backlash over ‘Pretty White’ Queens Rally: ‘That Rally Wasn’t for Us’","https://www.breitbart.com/politics/2019/10/23/bernie-sanders-faces-backlash-over-pretty-white-queens-rally-that-rally-wasnt-for-us/","Bernie Sanders Faces Backlash over ‘Pretty White’ Queens Rally: ‘That Rally Wasn’t for Us’","Sen. Bernie Sanders (I-VT) is facing backlash over his big rally in Queens over the weekend, with one community leader remarking that it seemed to be a “pretty white” event and others claiming that the Sanders campaign failed to properly reach out to the people of Queens.","","23 Oct 2019","“In the richest country in the history of the world, every American must have a safe, decent, accessible, and affordable home as a fundamental right,” Sanders’ proposal states. “We need a homes guarantee.”"
"1574634890-14978","https://www.breitbart.com/tag/bernie-sanders/page/4","Bernie Sanders and Alexandria Ocasio-Cortez Channel Ariana Grande to Promote Socialism","https://www.breitbart.com/politics/2019/10/25/bernie-sanders-and-alexandria-ocasio-cortez-channel-ariana-grande-to-promote-socialism/","Bernie Sanders and Alexandria Ocasio-Cortez Channel Ariana Grande to Promote Socialism","Far-left lawmakers Sen. Bernie Sanders (I-VT) and Rep. Alexandria Ocasio-Cortez (D-NY) on Friday channeled pop superstar Ariana Grande to promote socialist policies like Medicare for All and the Green New Deal.","","25 Oct 2019",""
"1574635000-15683","https://www.breitbart.com/tag/bernie-sanders/page/2","Blue State Blues: Michael Bloomberg Votes ‘No Confidence’ in 2020 Democrats","https://www.breitbart.com/2020-election/2019/11/08/blue-state-blues-mayor-michael-bloomberg-vote-of-no-confidence-in-2020-democrats/","Blue State Blues: Michael Bloomberg Votes ‘No Confidence’ in 2020 Democrats","Former New York City Mayor and Michael Bloomberg has already cast a vote in the 2020 Democratic presidential primary: None of the Above.","","8 Nov 2019","Biden, though nearing 80, was the heir apparent to Obama’s donors, if not his endorsement. The party establishment realized it had to stay united to win."
"1574634804-14439","https://www.breitbart.com/tag/bernie-sanders/page/5","Bernie Sanders Rally: ‘Lock Him Up’ Chant Erupts as San Juan Mayor Attacks Trump","https://www.breitbart.com/2020-election/2019/10/19/bernie-sanders-rally-lock-him-up-chants-erupt-as-san-juan-mayor-attacks-trump/","Bernie Sanders Rally: ‘Lock Him Up’ Chant Erupts as San Juan Mayor Attacks Trump","Chants of “lock him up” broke out as San Juan Mayor Carmen Yulín Cruz trashed President Donald Trump at 2020 White House contender Sen. Bernie Sanders’s (I-VT) Saturday rally in Queens, New York City.","","19 Oct 2019","“I am happy to report to you that I am more than ready — more ready than ever — to carry on with you on the epic struggle that we face today,” he added. “I am more than ready to assume the office of president of the United States.”"
"1574635046-16038","https://www.breitbart.com/tag/bernie-sanders/page/2","Katie Hill Exposed: The ‘Unfiltered’ #MeThree Democrat’s Embrace of the Radical Left","https://www.breitbart.com/politics/2019/11/14/katie-hill-exposed-the-unfiltered-methree-democrats-embrace-of-the-radical-left/","Katie Hill Exposed: The ‘Unfiltered’ #MeThree Democrat’s Embrace of the Radical Left","Former Democrat Rep. Katie Hill (D-CA), in recent days, has exposed herself as a radical feminist leftist hellbent on taking down the president and maiming those who support him.","","14 Nov 2019","What are we as a nation going to do?"
"1574634888-14962","https://www.breitbart.com/tag/bernie-sanders/page/4","Ilhan Omar Teases Legislation that Would ‘Hopefully Guarantee a Home for Everyone’","https://www.breitbart.com/politics/2019/10/25/ilhan-omar-teases-legislation-hopefully-guarantee-home-everyone/","Ilhan Omar Teases Legislation that Would ‘Hopefully Guarantee a Home for Everyone’","Rep. Ilhan Omar (D-MN) on Thursday teased upcoming legislation aimed to “guarantee” a home for everyone, calling homelessness in the United States a “moral stain.”","","25 Oct 2019","Omar told the crowd that she was shocked to see homeless people sleeping in the streets when she first came to the U.S., adding, “because I never imagined I would come – leave a refugee camp and come to the United States and the first thing I would see would be homeless people.”"
"1574634875-14865","https://www.breitbart.com/tag/bernie-sanders/page/4","Bernie Sanders: ‘I’d Like More Justices Like Ruth Bader Ginsburg and Sonia Sotomayor’","https://www.breitbart.com/politics/2019/10/24/bernie-sanders-id-like-more-justices-like-ruth-bader-ginsburg-and-sonia-sotomayor/","Bernie Sanders: ‘I’d Like More Justices Like Ruth Bader Ginsburg and Sonia Sotomayor’","Sen. Bernie Sanders (I-VT) on Thursday called for “more justices like Ruth Bader Ginsburg and Sonia Sotomayor” in response to Mayor Pete Buttigieg’s (D) interview with Cosmopolitan in which he called for Supreme Court additions along the lines of Justice Anthony Kennedy.","","24 Oct 2019","“My appointments will definitely be people who share my values. But when I’m talking about the structure of the Supreme Court, I’m talking about something deeper. I’m talking about depoliticizing the Supreme Court,” he said."
"1574635071-16204","https://www.breitbart.com/tag/bernie-sanders/page/1","Elizabeth Warren Signals She Would Consider a Universal Basic Income","https://www.breitbart.com/politics/2019/11/18/elizabeth-warren-signals-she-would-consider-a-universal-basic-income/","Elizabeth Warren Signals She Would Consider a Universal Basic Income","Sen. Elizabeth Warren (D-MA) signaled that she is open to a universal basic income – an idea that has been championed by fellow presidential contender Andrew Yang (D).","","18 Nov 2019","Despite that, the Post did not necessarily deem the experiment a failure, blaming the lack of fruitful results on the participants’ “lack of ‘experience’ in handling discretionary income,” as Breitbart News reported."
"1574634948-15335","https://www.breitbart.com/tag/bernie-sanders/page/3","Julián Castro: Democrats Ignore Diversity, Taking ‘Safe Route’ to Defeat Trump","https://www.breitbart.com/politics/2019/10/31/julian-castro-democrats-ignore-diversity-taking-safe-route-to-defeat-trump/","Julián Castro: Democrats Ignore Diversity, Taking ‘Safe Route’ to Defeat Trump","Democrat presidential hopeful and former Housing and Urban Development Secretary Julián Castro asserted Wednesday that Democrats should not take the “safe route” in order to win back the White House.","","31 Oct 2019",""
