web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574633523-6466","https://www.breitbart.com/tag/betsy-devos/page/2","‘Shame on You ACLU’: Moderate Liberals Slam ‘Civil Rights’ Org for Opposing Due Process on College Campuses","https://www.breitbart.com/politics/2018/11/18/aclu-believed-dead-slam-due-process-accused-sexual-misconduct/","‘Shame on You ACLU’: Moderate Liberals Slam ‘Civil Rights’ Org for Opposing Due Process on College Campuses","The response of the ACLU to the Trump education department’s proposal to handle allegations of sexual misconduct on college campuses has more people convinced the organization’s original mission to protect civil liberties no longer exists.","","18 Nov 2018","French continued the ACLU’s response to the new rule created “a disturbance in the legal Force, as if the voices of generations of ACLU civil libertarians cried out in anguish and were suddenly silenced by wokeness.”"
"1574633300-4740","https://www.breitbart.com/tag/betsy-devos/page/5","Education Chief Pick Betsy DeVos During Primary: ‘Interloper’ Trump Doesn’t ‘Represent the Republican Party’","https://www.breitbart.com/politics/2016/11/28/education-chief-pick-betsy-devos-primary-interloper-trump-doesnt-represent-republican-party/","Education Chief Pick Betsy DeVos During Primary: ‘Interloper’ Trump Doesn’t ‘Represent the Republican Party’","President-elect Donald Trump’s education secretary choice Betsy DeVos backed Marco Rubio during the GOP primary race, referring to Trump as an “interloper” who would never become the Republican Party’s nominee.","","28 Nov 2016","“I’ve been happily surprised to hear [school choice] mentioned as many times as it has been, because it hasn’t been part of the conversation nationally to date,” DeVos said, according to Russell. “It’s pretty understandable because on the other side, Hillary is clearly in the camp of the status quo and the teachers’ unions. But I’m very hopeful Mr. Trump will begin talking about this as part of his campaign rhetoric going into the fall.”"
"1574633376-5405","https://www.breitbart.com/tag/betsy-devos/page/4","Trump’s Education Sec. Nominee: ‘Potential Grizzlies’ Justify Guns in Schools","https://www.breitbart.com/politics/2017/01/18/trumps-education-sec-nominee-grizzly-bears-justify-guns-schools/","Trump’s Education Sec. Nominee: ‘Potential Grizzlies’ Justify Guns in Schools","While being questioned during confirmation hearings, Donald Trump’s Education Secretary nominee Betsy DeVos said the danger poised by “potential grizzlies” justifies keeping guns in schools.","","18 Jan 2017","Writing in the OC Register, John Lott explains, “Since at least 1950, all but two public mass shootings in America have taken place where general citizens are banned from carrying guns.”"
"1574633560-6712","https://www.breitbart.com/tag/betsy-devos/page/1","Melania Trump Revives Youth Program Working Group","https://www.breitbart.com/politics/2019/03/18/melania-trump-revives-youth-program-working-group/","Melania Trump Revives Youth Program Working Group","First lady Melania Trump and a host of Cabinet secretaries and top Trump administration officials reconvened the interagency working group on youth programs in the White House State Dining Room Monday morning, offering information on initiatives with which Be Best may choose to partner.","Michelle Moons","18 Mar 2019",""
"1574633518-6415","https://www.breitbart.com/tag/betsy-devos/page/2","Report: DeVos Campus Sex Assault Rules to Include Due Process for Accused","https://www.breitbart.com/politics/2018/11/15/report-devos-campus-sex-assault-rules-to-include-due-process-for-accused/","Report: DeVos Campus Sex Assault Rules to Include Due Process for Accused","The federal education department is poised to release new rules for campus sex assault allegations that do not automatically assume the accusations are truthful, a Washington Post report says.","","15 Nov 2018","U.S. colleges and universities create the ideas, atmosphere, and policies that affect the nation, plus the nation’s taxpayers underwrite the bulk of our elite’s credentials through these institutions, and this is why everyone should care and raise his or her voice about what happens there."
"1574633518-6414","https://www.breitbart.com/tag/betsy-devos/page/2","Report: DeVos Campus Sex Assault Rules to Include Due Process for Accused","https://www.breitbart.com/politics/2018/11/15/report-devos-campus-sex-assault-rules-to-include-due-process-for-accused/","Report: DeVos Campus Sex Assault Rules to Include Due Process for Accused","The federal education department is poised to release new rules for campus sex assault allegations that do not automatically assume the accusations are truthful, a Washington Post report says.","","15 Nov 2018","“It has always been true but is now becoming obvious to more Americans that what happens on campuses does not stay on campuses, or only affect the minority of Americans with college degrees,” she explained, adding:"
"1574633284-4566","https://www.breitbart.com/tag/betsy-devos/page/5","Scott Walker: School Vouchers A ‘Moral and Economic Imperative’","https://www.breitbart.com/politics/2015/05/19/scott-walker-school-vouchers-a-moral-and-economic-imperative/","Scott Walker: School Vouchers A ‘Moral and Economic Imperative’","null","","19 May 2015","William E. Oberndorf is chairman emeritus of Alliance for School Choice/AFC and is also a current board member of Bush’s education foundation."
"1574633329-5022","https://www.breitbart.com/tag/betsy-devos/page/5","Former Michigan Chamber of Commerce CEO Defends Betsy DeVos","https://www.breitbart.com/politics/2016/12/27/former-michigan-chamber-commerce-ceo-defends-betsy-devos/","Former Michigan Chamber of Commerce CEO Defends Betsy DeVos","The former CEO of the Michigan Chamber of Commerce is defending President-elect Donald Trump’s nominee for education secretary, Betsy DeVos.","","27 Dec 2016","He points out as well that DeVos and GLEP promoted Democrat Gov. Jennifer Granholm’s “Michigan Merit Curriculum.”"
"1574633427-5702","https://www.breitbart.com/tag/betsy-devos/page/3","Louisiana Rep. Ralph Abraham Co-Sponsors Bill to End U.S. Education Department","https://www.breitbart.com/politics/2017/03/09/louisiana-rep-ralph-abraham-co-sponsors-bill-end-u-s-education-department/","Louisiana Rep. Ralph Abraham Co-Sponsors Bill to End U.S. Education Department","Rep. Ralph Abraham (R-LA) is joining seven other House members as a co-sponsor of a bill that would terminate the federal education department.","","9 Mar 2017","Massie has considered the dismantling of the federal education department."
"1574633529-6518","https://www.breitbart.com/tag/betsy-devos/page/2","Betsy DeVos Signs Agreement with Swiss Government: ‘We Can All Learn a Great Deal’ from Swiss","https://www.breitbart.com/politics/2018/12/05/betsy-devos-signs-agreement-swiss-government-learn-great-deal-swiss/","Betsy DeVos Signs Agreement with Swiss Government: ‘We Can All Learn a Great Deal’ from Swiss","Education Secretary Betsy DeVos joined with the secretaries of the Departments of Labor and Commerce Monday to sign onto a memorandum of understanding with the Swiss government to promote collaboration between the two nations in the area of workforce development.","","5 Dec 2018","Some education policy analysts, however, assert federal promotion of a workforce development model of education encourages a view of children as prospective laborers who can fulfill the needs of big business for inexpensive, local workers. While some students may opt for apprenticeships on their own, these analysts are concerned about students being pigeon-holed in middle school for a particular industry favored by the government when they might develop other interests later in their education."
