web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571533513-16086","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=3","Stacey Abrams Meets with Hillary Clinton Ahead of Possible 2020 Run","https://www.breitbart.com/politics/2019/04/12/stacey-abrams-meets-hillary-clinton-ahead-possible-2020-presidential-run/","Stacey Abrams Meets with Hillary Clinton Ahead of Possible 2020 Presidential Run","Stacey Abrams, failed Democrat candidate for Georgia governor, met with Hillary Clinton, failed Democrat candidate for president, on Thursday.","","12 Apr 2019","She frequently reminds supporters that she won the popular vote and blames her defeat on the Russians, the FBI, sexism, and “fake” news."
"1571533561-16383","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=1","Hillary Clinton Ditches Event Featuring Tulsi Gabbard, Kirstjen Nielsen","https://www.breitbart.com/politics/2019/10/18/hillary-clinton-ditches-event-featuring-tulsi-gabbard-kirstjen-nielsen/","Hillary Clinton Ditches Event Featuring Tulsi Gabbard, Kirstjen Nielsen","Failed presidential candidate Hillary Clinton has reportedly backed out of Fortune’s Most Powerful Women Summit featuring 2020 presidential candidate Rep. Tulsi Gabbard (D-HI) and former Department of Homeland Security (DHS) Secretary Kirstjen Nielsen.","","18 Oct 2019","Slate reports:"
"1571533484-15935","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=5","Fact-Check: Yes, Hillary Clinton Did Laugh After Successfully ...","https://www.breitbart.com/live/second-presidential-debate-fact-check-livewire/fact-check-yes-hillary-clinton-laugh-successfully-defending-child-rapist/","Fact-Check: Yes, Hillary Clinton Did Laugh After Successfully Defending a Child Rapist","During the second presidential debate, Republican presidential nominee Donald Trump said, “Hillary Clinton attacked them viciously,” referring to former president Bill Clinton’s female victims and a child rape victim whose attacker Clinton defended.","","9 Oct 2016","“One of them is a wonderful woman, [who] at 12 years old was raped. At twelve. Her client — she represented — got him off, laughing on two separate occasions, laughing at the girl that was raped. Kathy Shelton, that young woman, is here with us tonight. So, don’t tell me about words,” Trump said."
"1571533473-15865","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=5","Hillary Clinton: Donald Trump 'Running Scared' from Nancy Pelosi","https://www.breitbart.com/politics/2019/05/26/hillary-clinton-donald-trump-running-scared-from-nancy-pelosi-by-sharing-sexist-trash/","Hillary Clinton: Donald Trump ‘Running Scared’ from Nancy Pelosi by Sharing ‘Sexist Trash’","Failed presidential candidate Hillary Clinton on Saturday falsely accused President Donald Trump of spreading a “doctored” video of Speaker Nancy Pelosi.","Charlie Spiering","26 May 2019",""
"1571533521-16144","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=3","Politics - Latest News","https://www.breitbart.com/politics/","Politics","null","Amy Furr","19 Oct 2019, 5:30 PM PDT",""
"1571533496-15997","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=4","Cyber Defense Summit Announces Hillary Clinton as Keynote ...","https://www.breitbart.com/tech/2019/05/31/cyber-defense-summit-announces-hillary-clinton-as-keynote-speaker/","Cyber Defense Summit Announces Hillary Clinton as Keynote Speaker","Failed presidential candidate Hillary Clinton is set to act as the keynote speaker at the upcoming Cyber Defense Summit 2019. Cybersecurity powerhouse FireEye claims that Clinton, despite claiming incompetence with technology, will hold an “intimate Q&A keynote discussion.”","","31 May 2019","Hillary Clinton, former Secretary of State and failed 2016 presidential candidate, is scheduled to act as the keynote speaker at the Cyber Defense Summit 2019 according to a report from Fox News. Clinton’s attendance was announced by cybersecurity firm FireEye which wrote in a tweet: “We are pleased to announce that Former U.S. Secretary of State Hillary Rodham Clinton will be a featured keynote at our #FireEyeSummit in October! Secretary Clinton will engage in an intimate Q&A keynote discussion.”"
"1571533518-16090","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=3","Hillary Clinton Email Articles - Breitbart","https://www.breitbart.com/tag/hillary-clinton-email/","Hillary Clinton Email","null","Sean Moran","18 Jun 2019, 7:33 AM PDT",""
"1571533549-16290","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=1","Breitbart News Network","https://www.breitbart.com/","Breitbart","null","Amanda House","null",""
"1571533531-16197","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=2","Hillary Clinton: It Is Challenging to Keep up with the 'High Crimes' of ...","https://www.breitbart.com/politics/2019/10/10/hillary-clinton-it-is-challenging-to-keep-up-with-the-high-crimes-and-misdemeanors-of-trump/","Hillary Clinton: It Is Challenging to ‘Keep up with the High Crimes and Misdemeanors’ of Trump","Hillary Clinton said on Thursday it is becoming a challenge to “keep up with the high crimes and misdemeanors” of President Trump.","","10 Oct 2019","The former secretary of state told PBS NewsHour this week that Trump is “obsessed” with her and floated a “rematch”"
"1571533494-15992","https://www.breitbart.com/search/?s=hillary+clinton#gsc.tab=0&gsc.q=hillary%20clinton&gsc.page=4","Mariah Carey Celebrates Meeting 'President' Hillary Clinton","https://www.breitbart.com/entertainment/2019/08/06/mariah-carey-celebrates-meeting-president-hillary-clinton/","Mariah Carey Celebrates Meeting ‘President’ Hillary Clinton","Pop icon Mariah Carey posted a celebratory tweet Monday in honor of meeting Hillary Clinton, whom she referred to as “President Clinton.”","","6 Aug 2019","Streisand also attempted to troll President Trump with a remixed rendition of “Send in the Clowns.” Trump supporters in the audience were visibly irritated."
