web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571532829-14239","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=2","Joe Biden Donors Gather for Emergency Closed-Door Meeting","https://www.breitbart.com/2020-election/2019/10/06/biden-donors-gather-for-emergency-closed-door-meeting-as-campaign-loses-steam/","Joe Biden Donors Gather for Emergency Closed-Door Meeting as Campaign Loses Steam","Joe Biden’s top political donors gathered for an emergency closed-door meeting this weekend in Philadelphia, Pennsylvania, as his campaign falls behind rivals in both funds and polling.","","6 Oct 2019","It is in the context of Burisma and Zlochevsky’s legal troubles that Joe Biden’s political influence has raised the most red flags. The former vice president has particularly drawn questions over his conduct in demanding the Ukrainian government fire its top prosecutor, Viktor Shokin, in 2016. Biden, who has publicly bragged about the firing, reportedly threatened to withhold more than one billion dollars in U.S. aid if the Ukrainian government did not remove Shokin. He has claimed the demand came from then-President Barack Obama, who had allegedly lost faith in the prosecutor’s ability to tackle corruption."
"1571532858-14473","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=1","Gaffe Check: Joe Biden Flubs Democrat Debate | Breitbart","https://www.breitbart.com/politics/2019/10/15/gaffe-check-joe-biden-flubs-democrat-debategaffe-check-joe-biden-flubs-democrat-debate/","Gaffe Check: Seven Joe Biden Gaffes During the Fourth Democrat Debate","Former Vice President Joe Biden frequently became tongue-tied during the Democrat debate on Tuesday night, continuing his gaffe-ridden campaign for president.","","15 Oct 2019","Twitter users also flagged a moment when Biden choked on his spit or coughed during a response."
"1571532843-14332","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=2","Watch: Trevor Noah Mocks Joe Biden's Debate Night Defense of ...","https://www.breitbart.com/entertainment/2019/10/16/watch-trevor-noah-mocks-joe-bidens-debate-night-defense-of-hunter-biden/","Watch: Trevor Noah Mocks Joe Biden’s Debate Night Defense of Hunter Biden","Daily Show host Trevor Noah mocked former Vice President and Democratic presidential candidate Joe Biden over his long-winded response to allegations about his son Hunter’s shady dealings in Ukraine.","","16 Oct 2019","Follow Ben Kew on Facebook, Twitter at @ben_kew, or email him at bkew@breitbart.com."
"1571532786-13951","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=5","Schweizer: Joe Biden 'Steered $1.8 Billion' to Ukraine, Son Got a Deal","https://www.breitbart.com/politics/2019/04/03/exclusive-peter-schweizer-joe-biden-steered-1-8-billion-to-ukraine-while-his-son-bagged-sweetheart-deal-from-their-government/","Exclusive — Peter Schweizer: Joe Biden ‘Steered $1.8 Billion’ to Ukraine While His Son Bagged ‘Sweetheart Deal’ from Their Government","Peter Schweizer, president of the Government Accountability Institute and senior editor-at-large at Breitbart News, recalled how Hunter Biden, Joe Biden’s second son, received millions of dollars from Ukrainian energy company Burisma Holdings while his father directed $1.8 billion in aid money to Ukraine as vice president during the Obama administration.","","3 Apr 2019","U.S. banking records show Hunter Biden’s American-based firm, Rosemont Seneca Partners LLC, received regular transfers into one of its accounts – usually more than $166,000 a month – from Burisma from spring 2014 through fall 2015, during a period when Vice President Biden was the main U.S. official dealing with Ukraine and its tense relations with Russia.”"
"1571532784-13940","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=5","Cooper White-Knights for Joe Biden, Says Trump 'Falsely' Accused ...","https://www.breitbart.com/politics/2019/10/15/anderson-cooper-white-knights-for-joe-biden-says-trump-falsely-accused-hunter-biden-of-corruption/","Anderson Cooper White-Knights for Joe Biden, Says Trump ‘Falsely’ Accused Hunter Biden of Corruption","CNN anchor Anderson Cooper said during the fourth Democrat debate on Tuesday that President Trump “falsely” accused former Vice President Joe Biden’s son Hunter Biden of corruption.","","15 Oct 2019","— Liz Wheeler (@Liz_Wheeler) October 16, 2019"
"1571532784-13931","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=5","Cooper White-Knights for Joe Biden, Says Trump 'Falsely' Accused ...","https://www.breitbart.com/politics/2019/10/15/anderson-cooper-white-knights-for-joe-biden-says-trump-falsely-accused-hunter-biden-of-corruption/","Anderson Cooper White-Knights for Joe Biden, Says Trump ‘Falsely’ Accused Hunter Biden of Corruption","CNN anchor Anderson Cooper said during the fourth Democrat debate on Tuesday that President Trump “falsely” accused former Vice President Joe Biden’s son Hunter Biden of corruption.","","15 Oct 2019",""
"1571532801-14080","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=4","Joe Biden","https://www.breitbart.com/politics/2019/10/10/watch-trump-joe-biden-was-only-a-good-vice-president-because-he-understood-how-to-kiss-obamas-ass/","Watch–Trump: Joe Biden ‘Was Only a Good Vice President Because He Understood How to Kiss Obama’s Ass’","President Trump said Democrat Joe Biden was “only a good Vice President because he understood how to kiss” former President Obama’s “ass” in Minneapolis, Minnesota on Thursday.","","10 Oct 2019","As Breitbart News’s Haris Alic has reported, questions about why Hunter Biden was appointed to serve on the board of Ukrainian oil company Burisma in April 2014 have plagued the former vice president’s 2020 Democrat presidential primary bid."
"1571532856-14413","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=1","Corn Pop's Revenge: Leftists Move for the End of Joe Biden | Breitbart","https://www.breitbart.com/politics/2019/10/16/corn-pops-revenge-leftists-move-for-the-end-of-joe-biden/","Corn Pop’s Revenge: Leftists Move for the End of Joe Biden","Many pundits joked that when former Vice President Joe Biden gave his final answer in the Democrat debate on Tuesday night in Westerville, Ohio, he missed an opportunity to tell the story of “Corn Pop” again.","","16 Oct 2019",""
"1571532858-14465","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=1","Gaffe Check: Joe Biden Flubs Democrat Debate | Breitbart","https://www.breitbart.com/politics/2019/10/15/gaffe-check-joe-biden-flubs-democrat-debategaffe-check-joe-biden-flubs-democrat-debate/","Gaffe Check: Seven Joe Biden Gaffes During the Fourth Democrat Debate","Former Vice President Joe Biden frequently became tongue-tied during the Democrat debate on Tuesday night, continuing his gaffe-ridden campaign for president.","","15 Oct 2019","At one point, Biden mistakenly pronounced exponentially as “expodentially.” At another point, Biden appeared confused when he talked about people “clipping coupons in the stock market” when talking about the capital gains tax."
"1571532784-13917","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=5","Cooper White-Knights for Joe Biden, Says Trump 'Falsely' Accused ...","https://www.breitbart.com/politics/2019/10/15/anderson-cooper-white-knights-for-joe-biden-says-trump-falsely-accused-hunter-biden-of-corruption/","Anderson Cooper White-Knights for Joe Biden, Says Trump ‘Falsely’ Accused Hunter Biden of Corruption","CNN anchor Anderson Cooper said during the fourth Democrat debate on Tuesday that President Trump “falsely” accused former Vice President Joe Biden’s son Hunter Biden of corruption.","","15 Oct 2019","Biden’s son said in an interview that he did nothing wrong but admitted it was “poor judgment” on his part, and that he was in the middle of “a swamp.”"
"1571532841-14315","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=2","All Eyes on Michael Bloomberg as Joe Biden Flops in Debate","https://www.breitbart.com/politics/2019/10/16/all-eyes-on-michael-bloomberg-as-joe-biden-flops-in-debate/","All Eyes on Michael Bloomberg as Joe Biden Flops in Debate","Billionaire Michael Bloomberg has signaled he would consider jumping into the presidential race if Joe Biden (D) – who lost his status as the solid frontrunner in recent weeks – falters in the primary.","","16 Oct 2019","Bloomberg has signaled he’s “still looking at” running for president, but people close him say that the only way he could even go down that path is if Biden’s fortunes suffer so much that he drops out before or during the early stages of the primary. Bloomberg could then enter the race as one of the rare moderates with enough name recognition and campaign funding to make a run. Forbes estimates his net worth at $51 billion, and he was planning to spend over $100 million on a campaign for president if he ran."
"1571532850-14370","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=1","Joe Biden Launches Campaign Based on Charlottesville 'Very Fine ...","https://www.breitbart.com/politics/2019/04/25/joe-biden-launches-campaign-based-on-charlottesville-very-fine-people-hoax/","Joe Biden Launches Campaign Based on Charlottesville ‘Very Fine People’ Hoax","Former Vice Preisdent Joe Biden launched his third presidential campaign on Thursday by referring to a debunked claim that President Donald Trump referred to neo-Nazis in Charlottesville, Virginia, in 2017 as “very fine people.”","","25 Apr 2019","Trump was referring to protesters against the removal of a statue of Confederate general Robert E. Lee, as well as to non-violent left-wing protesters against racism, and specifically excluded the neo-Nazis from “very fine people” (emphasis added):"
"1571532858-14467","https://www.breitbart.com/search/?s=joe+biden#gsc.tab=0&gsc.q=joe%20biden&gsc.page=1","Gaffe Check: Joe Biden Flubs Democrat Debate | Breitbart","https://www.breitbart.com/politics/2019/10/15/gaffe-check-joe-biden-flubs-democrat-debategaffe-check-joe-biden-flubs-democrat-debate/","Gaffe Check: Seven Joe Biden Gaffes During the Fourth Democrat Debate","Former Vice President Joe Biden frequently became tongue-tied during the Democrat debate on Tuesday night, continuing his gaffe-ridden campaign for president.","","15 Oct 2019","Biden also unexpectedly gestured at Bernie Sanders when referring to Vladimir Putin."
