web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574635754-20700","https://www.breitbart.com/tag/john-mccain/page/2","Nolte: Of Transsexuals, Obese Models, John McCain, and Thoughtcrime","https://www.breitbart.com/politics/2019/03/21/nolte-of-transsexuals-obese-models-john-mccain-and-thoughtcrime/","Nolte: Of Transsexuals, Obese Models, John McCain, and Thoughtcrime","One of the more enjoyable facets of getting older — I just turned 53 — is becoming less and less concerned about the future. Hopefully I got another 30 years in me, but the truth is that the future no longer belongs to me and as more time passes I feel less and less responsible for whatever happens next. I put in my time, fought the good fight for freedom and now it’s up to younger people to fight for theirs … or not.","","21 Mar 2019","It is sick and un-American, to say the least."
"1574635611-19727","https://www.breitbart.com/tag/john-mccain/page/4","Virgil: The McCain Funeral Marked the End of an Era for the Globalist War Party","https://www.breitbart.com/politics/2018/09/02/virgil-the-mccain-funeral-marked-the-end-of-an-era-for-the-globalist-war-party/","Virgil: The McCain Funeral Marked the End of an Era for the Globalist War Party","Perhaps the most revealing moment in the week-long media extravaganza over John McCain’s death came on September 1, when Meghan McCain, daughter of the late senator, chose to use her “eulogy” to rip into Donald Trump.","","2 Sep 2018","Tracey’s argument is that McCain-style “neoconservatism,” which can be summed up as invade the world, invite the world, is now a goner.  While the Establishment—including plenty of Democrats—loves it, most Americans don’t."
"1574635664-20129","https://www.breitbart.com/tag/john-mccain/page/3","Five Major Problems with James Comey’s Latest Russia Probe Testimony","https://www.breitbart.com/politics/2018/12/13/five-major-problems-with-james-comeys-latest-russia-probe-testimony/","Five Major Problems with James Comey’s Latest Russia Probe Testimony","In testimony before the House Judiciary and House Oversight Committees, former FBI Director James Comey made numerous assertions that are seemingly at odds with other statements he made during the course of the same testimony.","","13 Dec 2018","Later in the testimony, a skeptical Mark Meadows (R-NC) asked Comey to explain his claim that he didn’t know Steele was being paid via Perkins Coie considering testimony from Comey’s own former legal counsel, FBI official James Baker, that Baker was contacted by an attorney for Perkins Coie and was provided with documents related to the Russia probe."
"1574635766-20758","https://www.breitbart.com/tag/john-mccain/page/2","Bartiromo Challenges Trump on McCain — ‘Mr. President, He’s Dead. He Can’t Punch Back’","https://www.breitbart.com/clips/2019/03/21/bartiromo-challenges-trump-on-mccain-mr-president-hes-dead-he-cant-punch-back/","Bartiromo Challenges Trump on McCain — ‘Mr. President, He’s Dead. He Can’t Punch Back’","null","","21 Mar 2019","Bartiromo said, “Well you talked about it this week.”"
"1574635527-19130","https://www.breitbart.com/tag/john-mccain/page/5","Fitton: John McCain’s Subcommittee Staff Director Urged IRS to Target Conservative Groups","https://www.breitbart.com/politics/2018/06/25/mccains-subcommittee-staff-director-urged-irs-to-target-conservative-groups/","Fitton: John McCain’s Subcommittee Staff Director Urged IRS to Target Conservative Groups","Little is as unnerving as trouble with the IRS, especially if you haven’t done anything wrong. That happened repeatedly during President Barack Obama’s administration, as his IRS enthusiastically targeted conservative groups.","","25 Jun 2018","Tom Fitton is President of Judicial Watch."
"1574635683-20227","https://www.breitbart.com/tag/john-mccain/page/3","Claire McCaskill: ‘Lindsey Graham Has Lost His Mind’","https://www.breitbart.com/clips/2019/02/06/claire-mccaskill-lindsey-graham-has-lost-his-mind/","Claire McCaskill: ‘Lindsey Graham Has Lost His Mind’","null","","6 Feb 2019","“Lindsey Graham has lost his mind. I just don’t even understand what has happened with Lindsey,” McCaskill stated."
"1574635535-19183","https://www.breitbart.com/tag/john-mccain/page/5","Donald Trump Expresses ‘Deepest Sympathies’ After John McCain’s Death","https://www.breitbart.com/politics/2018/08/25/donald-trump-expresses-deepest-sympathies-after-john-mccains-death/","Donald Trump Expresses ‘Deepest Sympathies’ After John McCain’s Death","President Donald Trump sent a short statement in response to the news that Sen. John McCain had died.","","25 Aug 2018",""
"1574635600-19645","https://www.breitbart.com/tag/john-mccain/page/4","Mark Levin: John McCain Funeral Coverage ‘Seems a Little Over the Top’","https://www.breitbart.com/the-media/2018/08/31/mark-levin-john-mccain-funeral-coverage-seems-a-little-over-the-top/","Mark Levin: John McCain Funeral Coverage ‘Seems a Little Over the Top’","Conservative talker Mark Levin told listeners of his nationally syndicated radio show Thursday that media coverage of the late Sen. John McCain’s memorial services “has gone on a little too long,” and “seems a little over the top.”","","31 Aug 2018","Transcript is as follows:"
"1574635824-21121","https://www.breitbart.com/tag/john-mccain/page/1","West Virginia 2008: Joe Biden Attacked John McCain for Not Supporting Coal","https://www.breitbart.com/2020-election/2019/08/06/west-virginia-2008-joe-biden-attacked-john-mccain-for-not-supporting-coal/","West Virginia 2008: Joe Biden Attacked John McCain for Not Supporting Coal","Former Vice President Joe Biden attacked the late-Sen. John McCain for not supporting “coal” while campaigning in West Virginia during the 2008 presidential election.","","6 Aug 2019","The moment comes back into the spotlight after last week’s Democrat presidential debate at which Biden implied he was in favor of banning coal and fracking outright if elected in 2020."
"1574635585-19526","https://www.breitbart.com/tag/john-mccain/page/4","***Live Updates*** Arizona, Florida, Oklahoma Hold Key Primaries","https://www.breitbart.com/politics/2018/08/28/live-updates-arizona-florida-oklahoma-hold-key-primaries/","***Live Updates*** Arizona, Florida, Oklahoma Hold Key Primaries","Voters in Florida, Arizona, and Oklahoma head to the polls tonight, and Breitbart News will have live updates throughout the evening.","","28 Aug 2018","Governor Rick Scott officially wins the GOP Senate nomination. Scott, who leads by 6 points in the latest poll and has a slight lead in the RealClearPolitics average, will take on incumbent Sen. Bill Nelson (D-FL). Fox News has called the GOP gubernatorial primary for DeSantis–a huge win for Trump, whose endorsement propelled DeSantis into the lead."
"1574635609-19692","https://www.breitbart.com/tag/john-mccain/page/4","‘New York Post’ Cover Mocks Trump-Bashing Meghan McCain as ‘The Meg’","https://www.breitbart.com/politics/2018/09/02/new-york-post-mocks-trump-bashing-meghan-mccain-as-the-meg/","‘New York Post’ Cover Mocks Trump-Bashing Meghan McCain as ‘The Meg’","The New York Post mocked Meghan McCain as “The Meg” on its Sunday cover after she used the opportunity of her father’s funeral to attack  President Trump.","","2 Sep 2018",""
"1574635546-19284","https://www.breitbart.com/tag/john-mccain/page/5","Lawmakers and Party Leaders Bid Farewell to Sen. John McCain","https://www.breitbart.com/politics/2018/08/25/lawmakers-and-party-leaders-bid-farewell-to-sen-john-mccain/","Lawmakers and Party Leaders Bid Farewell to Sen. John McCain","Sen. John McCain’s colleagues on Capitol Hill and leaders of the Republican and Democratic Parties bid farewell and paid tribute to the Arizona Republican who passed away Saturday.","","25 Aug 2018","“@SenJohnMcCain was a leader & public servant of deep patriotism, outstanding bravery & undaunted spirit,” posted House Minority Leader Nancy Pelosi. “Throughout his career, we all saw his integrity, humility, courage & grace. May it be a comfort to his family to know that so many around the world mourn with them.”"
"1574635648-19967","https://www.breitbart.com/tag/john-mccain/page/3","McCain Aide: GOP ‘Despicable’ for Claiming Dems Attempting to Steal AZ Senate Race","https://www.breitbart.com/politics/2018/11/10/mccain-aide-gop-despicable-for-claiming-dems-attempting-to-steal-az-senate-race/","McCain Aide: GOP ‘Despicable’ for Claiming Dems Attempting to Steal AZ Senate Race","Mark Salter, former chief of staff to the late Sen. John McCain (R-AZ), blasted the National Republican Senatorial Committee (NRSC) for accusing vote-counters in Arizona of attempting to hand the state’s senate race to Democrat candidate Kyrsten Sinema.","","10 Nov 2018","“Stop doing this, NRSC.,” Salter tweeted Saturday in response to the group’s email blast criticizing Maricopa County election official Adrian Fontes’ recount efforts. “McSally is losing fair and square, and she’s underperforming in more than Maricopa. The race is almost certainly lost and nothing will change that.”"
"1574635807-21042","https://www.breitbart.com/tag/john-mccain/page/1","Meghan McCain: Trump Is ‘Putting People in the Military in Horrific Situations’","https://www.breitbart.com/clips/2019/05/30/meghan-mccain-trump-is-putting-people-in-the-military-in-horrific-situations/","Meghan McCain: Trump Is ‘Putting People in the Military in Horrific Situations’","null","Pam Key","30 May 2019",""
"1574635852-21394","https://www.breitbart.com/tag/john-mccain/page/1","Nolte: Trump Launches Campaign to Attract Black Voters","https://www.breitbart.com/2020-election/2019/11/05/nolte-trump-launches-campaign-to-attract-black-voters/","Nolte: Trump Launches Campaign to Attract Black Voters","President Trump’s re-election campaign will launch its ‘Black Voices for Trump’ coalition in Atlanta on Friday November 8, which again proves he’s really bad at being a racist.","","5 Nov 2019","When the Never Trump, establishment losers harrumph about the “Party of Lincoln,” it is always within the context of appeasing the media and Democrats, of condescending to black America with the “approved words,” or not speaking certain truths that create the tension that comes with challenging 50 years of establishment failures."
"1574635569-19444","https://www.breitbart.com/tag/john-mccain/page/5","Donald Trump Silent as White House Reporters Urge Praise for John McCain","https://www.breitbart.com/politics/2018/08/27/donald-trump-silent-as-white-house-reporters-urge-praise-for-john-mccain/","Donald Trump Silent as White House Reporters Urge Praise for John McCain","President Donald Trump did not respond on Monday to repeated questions from White House reporters concerning the legacy of Sen. John McCain.","","27 Aug 2018",""
"1574635679-20204","https://www.breitbart.com/tag/john-mccain/page/3","Trump Ally Kelli Ward Takes Over Arizona GOP as Chair in Surprise Upset Against Establishment","https://www.breitbart.com/politics/2019/01/26/trump-ally-kelli-ward-takes-over-arizona-gop-as-chair-in-surprise-upset-against-establishment/","Trump Ally Kelli Ward Takes Over Arizona GOP as Chair in Surprise Upset Against Establishment","In a stunning blow to the establishment wing of the Republican Party, President Donald Trump ally Kelli Ward–a two-time Senate candidate in Arizona–has pulled off a surprise victory by ousting the chairman of the state party and taking over.","","26 Jan 2019",""
"1574635556-19322","https://www.breitbart.com/tag/john-mccain/page/5","Donald Trump Angers Washington, After Flag No Longer at Half Staff for John McCain","https://www.breitbart.com/politics/2018/08/27/donald-trump-angers-washington-after-flag-no-longer-at-half-staff-for-john-mccain/","Donald Trump Angers Washington, After Flag No Longer at Half Staff for John McCain","The White House flag is no longer at half-staff to honor the death of Sen. John McCain, driving President Donald Trump’s critics crazy.","","27 Aug 2018","The flag was lowered to half-staff on the day of McCain’s death and the following day as established by the federal code."
"1574635766-20759","https://www.breitbart.com/tag/john-mccain/page/2","Bartiromo Challenges Trump on McCain — ‘Mr. President, He’s Dead. He Can’t Punch Back’","https://www.breitbart.com/clips/2019/03/21/bartiromo-challenges-trump-on-mccain-mr-president-hes-dead-he-cant-punch-back/","Bartiromo Challenges Trump on McCain — ‘Mr. President, He’s Dead. He Can’t Punch Back’","null","","21 Mar 2019","Follow Pam Key on Twitter @pamkeyNEN"
