web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575013733-59741","https://www.breitbart.com/tag/mitch-mcconnell/page/1","Democrat Sen. Jeanne Shaheen’s Amendment to Bipartisan Budget Agreement ‘Undermines’ Trump’s Pro-Life Policies","https://www.breitbart.com/politics/2019/10/29/democrat-sen-jeanne-shaheens-amendment-bipartisan-budget-agreement-undermines-trumps-pro-life-policies/","Democrat Sen. Jeanne Shaheen’s Amendment to Bipartisan Budget Agreement ‘Undermines’ Trump’s Pro-Life Policies","A coalition of 44 national pro-life leaders is vehemently objecting to Democrat Sen. Jeanne Shaheen’s (D-NH) amendment to a bipartisan spending bill. The bill provides $665 million for “family planning and reproductive health care” and includes funds for the U.N. Population Fund, which has backed China’s one-child, forced-abortion policy.","","29 Oct 2019","The pro-life leaders say Shaheen’s amendment would “undermine” President Donald Trump’s pro-life policies overseas that serve to block American taxpayer dollars from supporting abortion in other countries."
"1575013726-59708","https://www.breitbart.com/tag/mitch-mcconnell/page/1","McConnell Praises Trump, Troops, and Intel for Making the World Safer","https://www.breitbart.com/politics/2019/10/27/mcconnell-praises-trump-troops-intel-making-world-safer/","McConnell Praises Trump, Troops, and Intel for Making the World Safer","Senate Majority Leader Mitch McConnell (R-KY) praised President Donald Trump, U.S. troops, and intelligence for the raid on Saturday in Syria that led to the death of ISIS terrorist Abu Bakr al-Baghdadi.","","27 Oct 2019","A victory like this is only possible because of the expertise, skill, and courage of those who work to keep the United States safe. I am grateful for the intelligence professionals who laid the groundwork for this raid, for the brave American service members who risked everything to carry it out, and to President Trump and his team for their leadership."
"1575013653-59148","https://www.breitbart.com/tag/mitch-mcconnell/page/2","GOP Senate Plans Vote to Outsource College Graduate America","https://www.breitbart.com/politics/2019/09/18/gop-senate-plans-vote-to-outsource-college-graduate-america/","GOP Senate Plans Vote to Outsource College Graduate America","Investors are rushing a bill through the GOP-run Senate that would reward Indian college graduates for taking U.S. college-level jobs at low wages from young American graduates.","","18 Sep 2019","Shringla also praised the House for passing its green-card bill."
"1575013576-58844","https://www.breitbart.com/tag/mitch-mcconnell/page/4","NRA Warns Trump and McConnell Against Gun Control","https://www.breitbart.com/politics/2019/08/09/nra-warns-trump-mcconnell-gun-control/","NRA Warns Trump and McConnell Against Gun Control","On August 8, 2019, NRA executive vice president Wayne LaPierre issued a statement taking exception with the gun control push currently emanating from the White House and Senate Majority Leader Mitch McConnell (R-KY).","","9 Aug 2019","California has had universal background checks since the mid-1990s and an “assault weapons” ban since 1989. The state continues to witness high-profile public shooting after high-profile public shooting. The U.S. had an “assault weapons” ban at the federal level from 1994-2004. Breitbart News reported a Department of Justice, National Institute of Justice report showing that the ban could not be credited with any reduction in crime."
"1575013626-59046","https://www.breitbart.com/tag/mitch-mcconnell/page/3","Kobach: Gun Control Lies that Democrats Will Tell in the Days Ahead","https://www.breitbart.com/politics/2019/09/05/kobach-gun-control-lies-that-democrats-will-tell-in-the-days-ahead/","Kobach: Gun Control Lies that Democrats Will Tell in the Days Ahead","Before Congress took its August break, Senate Majority Leader Mitch McConnell declared that when the Senate returns, it will take up gun control in light of the El Paso and Dayton mass shootings. He said, “What we can’t do is fail to pass something.”","","5 Sep 2019","The Left loves to hate AR-style rifles, better described as “modern rifles.” Their collapsible stocks, detachable magazines and general cosmetic features cause gun control advocates to hyperventilate. These firearms look like military rifles, therefore they must be bad; or so the Left believes. Hence the Left’s constant demand to institute another “assault weapons ban.”"
"1575013590-58908","https://www.breitbart.com/tag/mitch-mcconnell/page/3","Democrats Push More Gun Control After McConnell Caves on Background Checks","https://www.breitbart.com/politics/2019/08/14/democrats-push-more-gun-control-after-mcconnell-caves-on-background-checks/","Democrats Push More Gun Control After McConnell Caves on Background Checks","Democrat lawmaker are already looking beyond universal background checks in hopes of pressuring Sen. Majority Leader Mitch McConnell (R-KY) into banning “assault weapons” too.","","14 Aug 2019","Almost 200 House Democrats have already signed on to “assault weapons” ban legislation that would not only prohibit millions of the most commonly-owned semiautomatic rifles in America but would also ban magazines holding 11 or more rounds of ammunition. The “assault weapons” ban legislation is sponsored by Rep. David N. Cicilline (D-RI)."
"1575013487-58401","https://www.breitbart.com/tag/mitch-mcconnell/page/5","Hilarie Gamm: Green Card Bill Is ‘Anti-Diversity, Anti-Women, Anti-Minority, and Against the Middle Class’","https://www.breitbart.com/radio/2019/07/12/hilarie-gamm-green-card-bill-is-anti-diversity-anti-women-anti-minority-and-against-the-middle-class/","Hilarie Gamm: Green Card Bill Is ‘Anti-Diversity, Anti-Women, Anti-Minority, and Against the Middle Class’","H.R.1044, titled the “Fairness to High-Skilled Immigrants Act,” will “displace Americans” in the labor market in favor of “cheap foreign labor,” said Hilarie Gamm, author of Billions Lost: The American Tech Crisis and The Road Map to Change and co-founder of the American Workers Coalition, during a Thursday interview on SiriusXM’s Breitbart News Tonight with hosts Rebecca Mansour and Joel Pollak.","","12 Jul 2019","“Americans need to understand that this is their future,” determined Gamm. “Their children will not have jobs. There will be no point to going to college because there are not going to be any jobs left for Americans. I tell people all the time, I’ve been working in tech for 25 years, I know that all the big tech moguls want people to believe that it’s artificial intelligence that’s going to be taking people’s jobs. It’s not AI. It’s foreign cheap labor, either outside the U.S. or here in the U.S. under OPT, H4 EAD, H-1B, or L1. That’s what’s taking the jobs.”"
"1575013743-59816","https://www.breitbart.com/tag/mitch-mcconnell/page/1","Poll: 18 Percent of Americans Have a Positive View of Mitt Romney","https://www.breitbart.com/politics/2019/11/03/poll-18-percent-americans-have-positive-view-mitt-romney/","Poll: 18 Percent of Americans Have a Positive View of Mitt Romney","Only 18 percent of Americans have a positive image of Sen. Mitt Romney (R-UT), according to a poll released Sunday.","","3 Nov 2019","Sen. Romney was also one of three Republican senators to not sign Senate Judiciary Committee Chairman Lindsey Graham (R-SC) and Senate Majority Leader Mitch McConnell’s (R-KY) resolution to condemn the House Democrats’ secrecy on their impeachment inquiry."
"1575013655-59201","https://www.breitbart.com/tag/mitch-mcconnell/page/2","Ocasio-Cortez Claims D.C. Statehood Debate Rooted in ‘History of Slavery’","https://www.breitbart.com/politics/2019/09/19/ocasio-cortez-claims-d-c-statehood-debate-rooted-in-history-of-slavery/","Ocasio-Cortez Claims D.C. Statehood Debate Rooted in ‘History of Slavery’","Rep. Alexandria Ocasio-Cortez (D-NY) suggested Thursday that the ongoing debate over D.C.’s statehood is intricately rooted in the “history of slavery.”","Hannah Bleau","19 Sep 2019",""
"1575013452-58055","https://www.breitbart.com/tag/mitch-mcconnell/page/5","8 Instances of Intolerant Trump Haters Harassing High-Profile Conservatives","https://www.breitbart.com/politics/2019/06/26/8-instances-of-intolerant-trump-haters-harassing-high-profile-conservatives/","8 Instances of Intolerant Trump Haters Harassing High-Profile Conservatives","Secret Service took a Chicago restaurant employee into custody Tuesday evening after she spit on President Trump’s son, Eric Trump. However, that is far from the first time a radical leftist has lashed out at a prominent Trump-associated figure.","","26 Jun 2019","In June 2018, Sanders revealed that the owners of the Red Hen restaurant in Lexington, Virginia, refused to serve her and her family."
