web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575014131-61930","https://www.breitbart.com/tag/barack-obama/page/2","Justice Department to SCOTUS: We Can’t Give Work Permits to DACA Migrants","https://www.breitbart.com/politics/2019/11/11/justice-dept-to-scotus-we-cant-give-work-permit-to-daca-migrants/","Justice Department to SCOTUS: We Can’t Give Work Permits to DACA Migrants","The Department of Justice (DOJ) has quietly told the Supreme Court that it does not have the legal authority to issue work permits to Deferred Action for Childhood Arrivals (DACA) migrants and has effectively invited the court to block the annual award of more than one million work permits to migrants.","","11 Nov 2019","“If the [judges] make a decision, it would have a huge impact,” said John Miano, a lawyer who is seeking to end two of the many work-permit programs. Prior presidents created the two programs, which allow U.S. companies and Indian managers in the United States to annually hire roughly 150,000 Indians for technology jobs sought by American graduates."
"1575014109-61702","https://www.breitbart.com/tag/barack-obama/page/2","Democrats Complete Historic Sweep into Majority in Both Chambers of Virginia Legislature","https://www.breitbart.com/politics/2019/11/05/democrats-complete-historic-sweep-into-majority-in-both-chambers-of-virginia-legislature/","Democrats Complete Historic Sweep into Majority in Both Chambers of Virginia Legislature","Democrats swept into the majority in the Virginia state legislature, in both the House of Delegates and the State Senate, taking majorities in both in Tuesday’s elections.","","5 Nov 2019",""
"1575014095-61596","https://www.breitbart.com/tag/barack-obama/page/2","150 Buttigieg Volunteers from California Fly to Iowa in Hopes of Creating ‘an Obama Moment’","https://www.breitbart.com/politics/2019/11/01/150-buttigieg-volunteers-from-california-fly-in-to-iowa-in-hopes-of-creating-an-obama-moment/","150 Buttigieg Volunteers from California Fly to Iowa in Hopes of Creating ‘an Obama Moment’","DES MOINES — A delegation of 60 volunteers who flew in from California for Democrat presidential candidate Pete Buttigieg gathered for a very public organizational meeting at the Scenic Route Bakery in downtown Des Moines, Iowa, on Friday morning.","","1 Nov 2019","“This is a big deal for the Democratic Party to be participating in this event. As we all know, this is the event tonight that turned around the polls and the momentum for Barack Obama. And we see the same thing happening for Pete,” she said."
"1575013974-60705","https://www.breitbart.com/tag/barack-obama/page/4","Flashback–‘Obama’s War on Whistleblowers’: More Prosecuted as Spies than Ever Before","https://www.breitbart.com/politics/2019/10/03/flashback-obamas-war-on-whistleblowers-more-prosecuted-as-spies-than-ever-before/","Flashback–‘Obama’s War on Whistleblowers’: More Prosecuted as Spies than Ever Before","The Obama administration waged war on whistleblowers during its tenure, reportedly prosecuting at least eight leakers under the Espionage Act – more than under all former presidents combined.","","3 Oct 2019","Under Obama, the U.S. Department of Justice (DOJ) targeted whistleblowers for leaking information to journalists and even attempted to prosecute the reporters who received and published the data."
"1575013892-60250","https://www.breitbart.com/tag/barack-obama/page/5","9/11/2012: Politicized Intel on Benghazi Previewed the Obama Admin’s Russia Hoax","https://www.breitbart.com/politics/2019/09/11/9-11-2012-politicized-intel-on-benghazi-previewed-the-obama-admins-russia-hoax/","9/11/2012: Politicized Intel on Benghazi Previewed the Obama Admin’s Russia Hoax","Seven years after the September 11, 2012 attacks on the U.S. Special Mission in Benghazi, it is instructive to recall the Obama administration’s altering of the now infamous talking points utilized to essentially mislead the American public about the coordinated assault that resulted in the deaths of Ambassador to Libya J. Christopher Stevens and three other US. Citizens.","","11 Sep 2019","Brennan’s CIA reportedly convened a “secret task force at CIA headquarters composed of several dozen analysts and officers from the CIA, the NSA and the FBI” that formed the early stages of the Russia probe, stages now under investigation by the Trump administration."
"1575014126-61912","https://www.breitbart.com/tag/barack-obama/page/2","Exclusive — Eddie Rispone on Leftist Democrat John Bel Edwards: ‘We Need Someone Who’s Not Beholden to Special Interests’","https://www.breitbart.com/politics/2019/11/09/exclusive-eddie-rispone-on-leftist-democrat-john-bel-edwards-we-need-someone-whos-not-beholden-to-special-interests/","Exclusive — Eddie Rispone on Leftist Democrat John Bel Edwards: ‘We Need Someone Who’s Not Beholden to Special Interests’","Businessman Eddie Rispone, the GOP candidate for governor in Louisiana in next Saturday’s runoff election, ripped leftist Democrat Gov. John Bel Edwards as “beholden” to “trial lawyers” in an exclusive interview with Breitbart News this weekend.","","9 Nov 2019","LISTEN TO BUSINESSMAN EDDIE RISPONE ON BREITBART NEWS SATURDAY:"
"1575014153-62151","https://www.breitbart.com/tag/barack-obama/page/1","Biden Campaign Tries to Spin Ukraine Narrative with Hastily Created Website","https://www.breitbart.com/politics/2019/11/14/biden-campaign-tries-to-spin-ukraine-narrative-with-hastily-created-website/","Biden Campaign Tries to Spin Ukraine Narrative with Hastily Created Website","null","","14 Nov 2019","The site reads when elaborating on why the former vice president is running:"
"1575014121-61821","https://www.breitbart.com/tag/barack-obama/page/2","Parents Seek to Bring Due Process to Title IX Sexual Misconduct Cases Following Son’s Plight","https://www.breitbart.com/politics/2019/11/08/parents-seek-to-bring-due-process-to-title-ix-sexual-misconduct-cases-following-sons-plight/","Parents Seek to Bring Due Process to Title IX Sexual Misconduct Cases Following Son’s Plight","In what seemed like a scene from Mr. Smith Goes to Washington, the iconic Jimmy Stewart film about a naive new senator taking on corruption, Audrey and Richard McIntosh were on a similar mission when they visited Washington, DC, recently.","","8 Nov 2019","The couple shared their story with Breitbart News, a harrowing tale about how their son became one of hundreds who have been accused of violating Title IX."
"1575013909-60337","https://www.breitbart.com/tag/barack-obama/page/5","Hudson: The Party of Slavery Is Now the Party of Reparations for Slavery","https://www.breitbart.com/politics/2019/09/14/party-of-slavery-is-now-the-party-of-reparations-for-slavery/","Hudson: The Party of Slavery Is Now the Party of Reparations for Slavery","The Democratic Party is the party of slavery. Thanks to the Democrats’ cartoonish clown car of presidential candidates, the party of slavery is now the party of reparations for slavery.","","14 Sep 2019","Robert Francis “Beto” O’Rourke — whose family (and his wife, Amy’s family) owned slaves — supports paying reparations. The former Texas Congressman said he “reached out” to Bryan Stevenson who directed him to the National Memorial For Peace And Justice in Montgomery, Alabama, which is dedicated to the enslaved black people and those terrorized by lynching and Jim Crow segregation in America. “[Stevenson] said stories like these need to be told in every single community,” O’Rourke explained."
"1575014068-61417","https://www.breitbart.com/tag/barack-obama/page/3","2020 Democrats Exclude Trump from Remarks on al-Baghdadi Raid","https://www.breitbart.com/politics/2019/10/28/2020-democrats-exclude-trump-from-remarks-on-al-baghdadi-raid/","2020 Democrats Exclude Trump from Remarks on al-Baghdadi Raid","Several 2020 Democrat candidates omitted President Trump from their remarks on the U.S. raid that led to the death of ISIS founder and leader Abu Bakr al-Baghdadi.","","28 Oct 2019","“I congratulate our special forces, our intelligence community, and all our brave military professionals on delivering justice to the terrorist Abu Bakr al-Baghdadi. The world is better and safer without him in it,” former Vice President Joe Biden (D) wrote, omitting any mention of Trump:"
"1575014163-62243","https://www.breitbart.com/tag/barack-obama/page/1","Emails: Open Society Kept Alleged ‘Whistleblower’ Eric Ciaramella Updated on George Soros’s Personal Ukraine Activities","https://www.breitbart.com/politics/2019/11/17/emails-open-society-kept-alleged-whistleblower-eric-ciaramella-updated-on-george-soross-personal-ukraine-activities/","Emails: Open Society Kept Alleged ‘Whistleblower’ Eric Ciaramella Updated on George Soros’s Personal Ukraine Activities","Eric Ciaramella, whom Real Clear Investigations suggests is the likely so-called whistleblower, received emails about Ukraine policy from a top director at George Soros’s Open Society Foundations.","","17 Nov 2019","Nuland has come under repeated fire for her various roles in the anti-Trump dossier controversy."
"1575014047-61227","https://www.breitbart.com/tag/barack-obama/page/3","Who is William Taylor? Impeachment Star Witness Has Long Relationship with Burisma-Backed Think Tank","https://www.breitbart.com/politics/2019/10/23/who-william-taylor-impeachment-star-witness-longtime-relationship-burisma-backed-think-tank/","Who is William Taylor? Impeachment Star Witness Has Long Relationship with Burisma-Backed Think Tank","Acting U.S. Ambassador to Ukraine Bill Taylor, who provided key testimony to the Democrats’ controversial impeachment inquiry yesterday, has evidenced a close relationship with the Atlantic Council think tank, even writing Ukraine policy pieces with the organization’s director and analysis articles published by the Council.","","23 Oct 2019","Gonzalez is also one of eleven members of the rapid response team for the Ukrainian Election Task Force, which says it is working to expose “foreign interference in Ukraine’s democracy.” Another member of the team is Kramer."
"1575014187-62442","https://www.breitbart.com/tag/barack-obama/page/1","Donald Trump Previews ‘Historic’ Inspector General Report Going to ‘Highest Levels’ of White House","https://www.breitbart.com/politics/2019/11/22/donald-trump-previews-historic-inspector-general-report-going-to-highest-levels-of-white-house/","Donald Trump Previews ‘Historic’ Inspector General Report Going to ‘Highest Levels’ of White House","President Donald Trump previewed Friday the release of the Department of Justice inspector general report set down for December, describing the information as “historic.”","Charlie Spiering","22 Nov 2019",""
"1575013942-60515","https://www.breitbart.com/tag/barack-obama/page/4","UK’s David Cameron Denounces Trump: ‘Protectionist, Xenophobic, Misogynistic’","https://www.breitbart.com/europe/2019/09/19/ex-uk-pm-denounces-trump-protectionist-xenophobic-misogynistic/","UK’s David Cameron Denounces Trump: ‘Protectionist, Xenophobic, Misogynistic’","David Cameron, the notionally conservative former prime minister who lost the EU referendum — and his office with it — has denounced President Donald Trump as “protectionist, xenophobic, misogynistic” in his memoirs, and expressed his bitterness that the Islamic State caliphate which sprung into being during his premiership was crushed on the U.S. leader’s watch.","","19 Sep 2019","Cameron’s signature foreign policy intervention prior to backing the Syrian rebel movement which later spawned the Islamic State was in Libya — a costly fiasco which transformed the North African country into a failed state where warlords, slavers, people-smugglers, and radical Islamic terrorists thrived, and which soured relations with the Obama administration he had worked so hard to ingratiate himself with."
"1575014124-61874","https://www.breitbart.com/tag/barack-obama/page/2","Koch-Funded U.S. Presidents ‘Common Ground’ Exhibit Praising Immigrants Excludes Donald Trump","https://www.breitbart.com/politics/2019/11/08/koch-funded-u-s-presidents-common-ground-exhibit-praising-immigrants-excludes-donald-trump/","Koch-Funded U.S. Presidents ‘Common Ground’ Exhibit Praising Immigrants Excludes Donald Trump","A public art installment that is traveling around the United States made a two-day stop in Washington, DC, this week to promote more immigration in the United States, ahead of the U.S. Supreme Court weighing in on the constitutionality of the Deferred Action for Childhood Arrivals or DACA.","","8 Nov 2019","“This I believe is one of the most important sources of America’s greatness,” Reagan says. “We lead the world because unique among nations we draw our people, our strength from every country and every corner of the world.”"
"1575014187-62450","https://www.breitbart.com/tag/barack-obama/page/1","Donald Trump Previews ‘Historic’ Inspector General Report Going to ‘Highest Levels’ of White House","https://www.breitbart.com/politics/2019/11/22/donald-trump-previews-historic-inspector-general-report-going-to-highest-levels-of-white-house/","Donald Trump Previews ‘Historic’ Inspector General Report Going to ‘Highest Levels’ of White House","President Donald Trump previewed Friday the release of the Department of Justice inspector general report set down for December, describing the information as “historic.”","","22 Nov 2019","Trump recalled his March 2017 claim that former President Barack Obama was spying on his campaign and repeated the scandal likely went all the way to the top of the West Wing in the White House."
"1575013880-60117","https://www.breitbart.com/tag/barack-obama/page/5","Iran Offers to Honor Nuclear Deal in Return for $15 Billion in Payments","https://www.breitbart.com/middle-east/2019/09/04/iran-offers-to-honor-nuclear-deal-in-return-for-15-billion-u-s-payment/","Iran Offers to Honor Nuclear Deal in Return for $15 Billion in Payments","Iran said Wednesday it will honor the 2015 Obama-negotiated JCPOA nuclear agreement if it can sell its oil on the open market or get “$15 billion over four months.”","","4 Sep 2019","“Iran… will return to full implementation of the JCPOA only if it is able to sell its oil and to fully benefit from the income from these sales,” said Araghchi."
