web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574633716-7490","https://www.breitbart.com/tag/sarah-palin/page/5","Scholla: Joyful, Gorgeous, Loyal Doug McMarlin – Aide for Palin, Bush Lived Life in Color","https://www.breitbart.com/politics/2016/12/31/scholla-joyful-gorgeous-loyal-doug-mcmarlin-aide-for-palin-bush-lived-life-in-color/","Scholla: Joyful, Gorgeous, Loyal Doug McMarlin – Aide for Palin, Bush Lived Life in Color","While many celebrity deaths grabbed the headlines in 2016, we’ve also lost others whose names may not be as well known, but who have had an incredible impact on so many. One of those people is Doug McMarlin. The world of politics will never be the same after McMarlin’s passing in December.","","31 Dec 2016","“Doug started with our team on the ’08 Vice Presidential trail, quickly becoming my and my family’s true friend,” said Palin. “My kids loved him.”"
"1574633943-9042","https://www.breitbart.com/tag/sarah-palin/page/2","‘Stolen Valor’: Street Artist Hits Sacha Baron Cohen Over Prank Interview With Sarah Palin","https://www.breitbart.com/politics/2018/07/16/street-artist-hits-sacha-baron-cohen-over-prank-sarah-palin-interview/","‘Stolen Valor’: Street Artist Hits Sacha Baron Cohen Over Prank Interview With Sarah Palin","Sacha Baron Cohen is the target of a new billboard criticizing the comedian after he duped Gov. Sarah Palin and other Republican figures into a series of prank interviews while disguised as a disabled military veteran.","","16 Jul 2018","Conservative street artist Sabo’s latest piece plasters over a billboard advertisement in Los Angeles for CBS’s Young Sheldon with a photoshopped image of a wheelchair-bound Cohen donning a U.S. Army T-shirt and “Make America Great Again” cap. To the left of Cohen, who is depicted with a prosthetic leg, reads the following text: “Sacha Baron Cohen Walks Away With A Hit … and a touch of stolen valor. Who is America? Sat, 9pm. CBS.”"
"1574633978-9277","https://www.breitbart.com/tag/sarah-palin/page/1","Political World Pays Tribute to George H.W. Bush","https://www.breitbart.com/politics/2018/12/01/political-world-pays-tribute-to-george-h-w-bush/","Political World Pays Tribute to George H.W. Bush","Political leaders paid tribute to former President George H.W. Bush, who passed away at the age of 94 in Houston, Texas, Friday evening.","","1 Dec 2018","House Minority Leader Nancy Pelosi (D-CA) tweeted: “George H.W. Bush’s life was defined by an inspiring commitment to public service. I am deeply grateful to his family for having shared such a wonderful man with us all. May it be a comfort to them to know that so many Americans mourn with them.”"
"1574633821-8304","https://www.breitbart.com/tag/sarah-palin/page/3","Confirmed: Sarah Palin, Sebastian Gorka to Rally for Judge Roy Moore Thursday Night in Montgomery at Historic Train Depot","https://www.breitbart.com/politics/2017/09/19/confirmed-sarah-palin-sebastian-gorka-to-rally-for-judge-roy-moore-thursday-night-in-montgomery-at-historic-train-depot/","Confirmed: Sarah Palin, Sebastian Gorka to Rally for Judge Roy Moore Thursday Night in Montgomery at Historic Train Depot","MONTGOMERY, Alabama — The Great America Alliance, MAGA Coalition, and Judge Roy Moore campaigns confirmed on Tuesday that late Thursday Dr. Sebastian Gorka and former Alaska Gov. Sarah Palin will rally here in Montgomery for Judge Roy Moore.","","19 Sep 2017","The Train Depot at 300 Water Street is in historic downtown Montgomery, just blocks away from the state Capitol building, the Hank Williams museum, and the Rosa Parks museum."
"1574634004-9518","https://www.breitbart.com/tag/sarah-palin/page/1","Joe Biden Reverses Course After Digging Coal During Early Obama Years","https://www.breitbart.com/2020-election/2019/08/01/jjoe-biden-reverses-course-after-digging-coal-during-early-obama-years/","Joe Biden Reverses Course After Digging Coal During Early Obama Years","Former Vice President Joe Biden appeared to reverse course on his support for coal at the second Democrat presidential debate, despite having championed a “clean” form of the energy source throughout the early Obama years","","1 Aug 2019","It is unclear if Biden understood the question as his answer was far from clear. But he did seem to express support for banning coal and fracking outright."
"1574633916-8855","https://www.breitbart.com/tag/sarah-palin/page/2","Exclusive– Sarah Palin on Syria: Why Should We ‘Sacrifice Even One of Our Sons or Daughters?’","https://www.breitbart.com/radio/2018/04/11/exclusive-sarah-palin-on-syria-why-should-we-sacrifice-even-one-of-our-sons-or-daughters/","Exclusive– Sarah Palin on Syria: Why Should We ‘Sacrifice Even One of Our Sons or Daughters?’","“Why in the world we would be willing to sacrifice even one of our sons or daughters who will be sent over [to Syria]?” asked Former Alaska Governor Sarah Palin during a Tuesday interview with SiriusXM host Rebecca Mansour for Breitbart News Tonight.","Robert Kraychik","11 Apr 2018",""
"1574633897-8743","https://www.breitbart.com/tag/sarah-palin/page/2","Sarah Palin: Andrew Breitbart Helped Me Defend Myself When Fox News Wouldn’t Let Me on Air After Giffords Shooting","https://www.breitbart.com/radio/2018/02/18/sarah-palin-andrew-breitbart-helped-me-defend-myself-when-fox-news-wouldnt-let-me-on-air-after-the-giffords-shooting/","Sarah Palin: Andrew Breitbart Helped Me Defend Myself When Fox News Wouldn’t Let Me on Air After Giffords Shooting","The late Andrew Breitbart helped Sarah Palin defend herself when Fox News Channel’s former Chairman Roger Ailes denied her the opportunity to respond on air to the media’s false accusations framing her for inciting the attempted assassination of former Congresswoman Gabrielle “Gabby” Giffords (D-AZ) in the days immediately following the 2011 Tucson mass shooting incident.","","18 Feb 2018","“That whole Gabby Giffords thing,” said Mansour. “It was one of the worst moments, and we felt like we were besieged by people accusing us falsely, and your heart was just broken, too, because you’re a mom, and you’re watching the people suffering. I know this hits you really hard at home, because you have a big heart. What was interesting, when you look back, is that you have had instances like this again and again with the media, with a vicious media that just targets you and your family and just goes after you for these things.”"
"1574633916-8864","https://www.breitbart.com/tag/sarah-palin/page/2","Exclusive– Sarah Palin on Syria: Why Should We ‘Sacrifice Even One of Our Sons or Daughters?’","https://www.breitbart.com/radio/2018/04/11/exclusive-sarah-palin-on-syria-why-should-we-sacrifice-even-one-of-our-sons-or-daughters/","Exclusive– Sarah Palin on Syria: Why Should We ‘Sacrifice Even One of Our Sons or Daughters?’","“Why in the world we would be willing to sacrifice even one of our sons or daughters who will be sent over [to Syria]?” asked Former Alaska Governor Sarah Palin during a Tuesday interview with SiriusXM host Rebecca Mansour for Breitbart News Tonight.","","11 Apr 2018","Also on Monday, Pat Buchanan dubbed Sens. Lindsey Graham (R-SC), John McCain (R-AZ), and Marco Rubio (R-FL) — advocates of toppling Assad — as members of “the war party.”"
"1574633689-7286","https://www.breitbart.com/tag/sarah-palin/page/5","Granite State Voters Reject Sen. Ayotte by 1,437 Votes; Recount Looms as Ayotte Does Not Concede","https://www.breitbart.com/politics/2016/11/09/granite-state-voters-reject-sen-ayotte-by-1437-votes-recount-looms-as-ayotte-does-not-concede/","Granite State Voters Reject Sen. Ayotte by 1,437 Votes; Recount Looms as Ayotte Does Not Concede","The Democratic governor of New Hampshire declared victory shortly before noon Wednesday in her challenge to unseat Sen. Kelly Ayotte in the closest Senate race in the 2016 election cycle.","","9 Nov 2016","Clinton beat Trump by 1.437 votes in the battle for the state’s four electoral votes."
"1574633791-8095","https://www.breitbart.com/tag/sarah-palin/page/4","Ainge For Change: Tough Like His Dad, Tanner Ainge Talks Congress, Tebow, And More","https://www.breitbart.com/sports/2017/08/06/ainge-for-change-tough-like-his-dad-tanner-ainge-talks-congress-tebow-and-more/","Ainge For Change: Tough Like His Dad, Tanner Ainge Talks Congress, Tebow, And More","Ainge for three! Yes!!! We heard that call belted out many times from Marv Albert over the years. The Marvelous One was talking about NBA great Danny Ainge hitting three-pointers from all over the court.","","6 Aug 2017","When Gordon Hayward left the Utah Jazz for the Celtics, Ainge was put in a tough spot. His hometown team lost their best player to his dad’s squad. Ainge is giving his possible future constituents a chance to take out their frustration. This month, The Ainge For Congress campaign team has set up an event where attendees will have a chance to dunk Danny Ainge into a dunking booth. A good natured, old school promotion to drum up support for Tanner’s run and also let Jazz fans take aim at the man who took their top player. Good stuff from good people, and the best part, it’s all resonating."
