web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574565570-8307","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=67","Mark Steyn: Ocasio-Cortez 'strangely unwoke' on recycling plastic bags","https://www.foxnews.com/politics/mark-steyn-ocasio-cortez-strangely-unwoke-on-recycling-plastic-bags","Mark Steyn: Ocasio-Cortez 'strangely unwoke' on recycling plastic bags","Mark Steyn: Ocasio-Cortez 'strangely unwoke' on recycling plastic bags","","March 7","Ocasio-Cortez's push for the Green New Deal, a much-debated resolution that addresses climate change and renewable energy among other issues, has opened up the congresswoman to scrutiny from the media and critics."
"1574565833-8692","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=39","Ocasio-Cortez claims climate change is driving migrant crisis","https://www.foxnews.com/politics/ocasio-cortez-claims-climate-change-is-driving-migrant-crisis","Ocasio-Cortez claims climate change is driving migrant crisis","Ocasio-Cortez claims climate change is driving migrant crisis","","April 10","“The far-right loves to drum up fear & resistance to immigrants,” the freshman congresswoman tweeted on Tuesday. “But have you ever noticed they never talk about what‘s causing people to flee their homes in the first place?"
"1574565604-8377","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=63","Greg Gutfeld: Ocasio-Cortez is being 'sneaky' with the truth after border visit","https://www.foxnews.com/politics/greg-gutfeld-ocasio-cortez-border-truth-sneaky","Greg Gutfeld: Ocasio-Cortez is being 'sneaky' with the truth after border visit","Greg Gutfeld: Ocasio-Cortez is being 'sneaky' with the truth after border visit","","July 2","CLICK HERE TO GET THE FOX NEWS APP"
"1574565815-8668","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=41","Ocasio-Cortez demands McConnell stop 'giving bogus excuses' and pass gun background check bill","https://www.foxnews.com/politics/ocasio-cortez-demands-mcconnell-stop-giving-bogus-excuses-and-pass-gun-background-check-bill","Ocasio-Cortez demands McConnell stop 'giving bogus excuses' and pass gun background check bill","Ocasio-Cortez demands McConnell stop 'giving bogus excuses' and pass gun background check bill","","August 4","CLICK HERE TO GET THE FOX NEWS APP"
"1574565721-8469","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=52","Ocasio-Cortez repeats 'concentration camp' comparison, despite criticism over the remark","https://www.foxnews.com/politics/ocasio-cortez-repeats-concentration-camps","Ocasio-Cortez repeats 'concentration camp' comparison, despite criticism over the remark","Ocasio-Cortez repeats 'concentration camp' comparison, despite criticism over the remark","","July 2","However, on Tuesday the New York congresswoman again made the shocking comparison."
"1574565509-8198","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=74","Ocasio-Cortez allegedly screamed at border agents during recent trip to southern border: report","https://www.foxnews.com/politics/alexandria-ocasio-cortez-border-agents-southern-border","Ocasio-Cortez allegedly screamed at border agents during recent trip to southern border: report","Ocasio-Cortez allegedly screamed at border agents during recent trip to southern border: report","","July 2","Rep. Alexandria Ocasio-Cortez, D-N.Y., allegedly screamed at Customs and Border Protection agents ""in a threatening manner"" during a recent visit to a southern border facility in Texas, according to a report — after she made the explosive claim that women being held at at least one facility are being forced to drink ""out of toilets."""
"1574566024-9021","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=19","‘Squad’ members Ocasio-Cortez, Pressley team up to push for Hyde Amendment repeal","https://www.foxnews.com/politics/squad-members-aoc-and-pressley-team-up-with-veteran-lawmaker-barbara-lee-to-push-for-hyde-amendment-repeal-on-43rd-anniversary","‘Squad’ members Ocasio-Cortez, Pressley team up to push for Hyde Amendment repeal","‘Squad’ members Ocasio-Cortez, Pressley team up to push for Hyde Amendment repeal","","September 30","Hyde, which bans any federal money from paying for abortion except in cases of rape and incest, was introduced in 1976 by Illinois Rep. Henry Hyde. Democrats and Republicans have voted to keep the amendment in effect through the years, notably this June when the House passed a spending bill to which a Hyde Amendment reauthorization was attached."
"1574565883-8802","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=33","PAC aligned with Alexandria Ocasio-Cortez paid boyfriend $6G for marketing work","https://www.foxnews.com/politics/pac-aligned-with-ocasio-cortez-paid-6g-her-boyfriend-for-marketing-work","PAC aligned with Alexandria Ocasio-Cortez paid boyfriend $6G for marketing work","PAC aligned with Alexandria Ocasio-Cortez paid boyfriend $6G for marketing work","","February 21","The Brand New Congress PAC (BNC), a political arm of Brand New Congress LLC, a company that was hired by Ocasio-Cortez to run and support her campaign, paid Riley Roberts for marketing services he provided to the PAC."
"1574565518-8222","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=73","Rep. Ocasio-Cortez tweets claim that 'powerful people are trying to bribe' Trump into war","https://www.foxnews.com/politics/ocasio-cortez-trump-bribe-war-iran-twitter","Rep. Ocasio-Cortez tweets claim that 'powerful people are trying to bribe' Trump into war","Rep. Ocasio-Cortez tweets claim that 'powerful people are trying to bribe' Trump into war","","June 7","He added, however, that ""the American effort to fundamentally reverse the malign activity of this Islamic Republic, this revolutionary force, is going to continue."""
"1574565527-8241","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=72","Alexandria Ocasio-Cortez eyes powerful House committee in charge of taxation laws","https://www.foxnews.com/politics/alexandria-ocasio-cortez-eyes-powerful-house-commitee-in-charge-of-taxation-laws","Alexandria Ocasio-Cortez eyes powerful House committee in charge of taxation laws","Alexandria Ocasio-Cortez eyes powerful House committee in charge of taxation laws","","December 6","OCASIO-CORTEZ: 'MEDICARE FOR ALL' WOULD SAVE 'VERY LARGE AMOUNT OF MONEY,' DESPITE STUDIES SHOWING $30T COST"
