web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574562918-4810","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=4","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","https://www.foxnews.com/politics/ocasio-cortez-omar-tlaib-reportedly-will-endorse-bernie-sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","","October 15","In addition, CNN reported that Rep. Rashida Tlaib, D-Mich., will endorse Sanders as well. It was not immediately clear if Omar and Tlaib will appear at Saturday's event."
"1574562863-4748","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=10","Bernie Sanders laughs at idea Bezos urged Bloomberg to run: ‘That’s real class solidarity’","https://www.foxnews.com/politics/bernie-sanders-laughs-hysterically-at-idea-that-jeff-bezos-urged-michael-bloomberg-to-run-for-president-thats-real-class-solidarity","Bernie Sanders laughs at idea Bezos urged Bloomberg to run: ‘That’s real class solidarity’","Bernie Sanders laughs at idea Bezos urged Bloomberg to run: ‘That’s real class solidarity’","","November 10","“You’re not going to get elected president by avoiding Iowa, New Hampshire, South Carolina, and Nevada,"" Sanders said. ""Yes, we don’t have a super PAC and I’m not worth $52 billion.”"
"1574562513-4123","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=49","Bernie Sanders touts working-class message at Pittsburgh rally","https://www.foxnews.com/politics/bernie-sanders-working-class-message-pittsburgh-rally","Bernie Sanders touts working-class message at Pittsburgh rally","Bernie Sanders touts working-class message at Pittsburgh rally","Samuel Chamberlain","April 14",""
"1574562626-4342","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=36","Bernie Sanders calls for doubling union membership, scrapping ‘right to work’ laws","https://www.foxnews.com/politics/sanders-aims-to-double-union-membership-scrap-right-to-work-laws","Bernie Sanders calls for doubling union membership, scrapping ‘right to work’ laws","Bernie Sanders calls for doubling union membership, scrapping ‘right to work’ laws","","August 21","Democratic presidential candidate Sen. Bernie Sanders says he wants to double union membership and give workers the right to strike without the fear of their jobs being filled by replacement workers, ahead of a speech Wednesday to organized labor."
"1574562817-4670","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=15","Michael Moore joining AOC at Bernie Sanders rally in NYC to announce endorsement","https://www.foxnews.com/politics/director-michael-moore-joining-aoc-at-bernie-sanders-rally-to-announce-endorsement","Michael Moore joining AOC at Bernie Sanders rally in NYC to announce endorsement","Michael Moore joining AOC at Bernie Sanders rally in NYC to announce endorsement","Brie Stimson","October 19",""
"1574562716-4509","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=26","Ilhan Omar, at Bernie Sanders rally, calls for 'mass movement of the working class' amid 'Lock him up' chants","https://www.foxnews.com/politics/ilhan-omar-bernie-sanders-minnesota-minneapolis","Ilhan Omar, at Bernie Sanders rally, calls for 'mass movement of the working class' amid 'Lock him up' chants","Ilhan Omar, at Bernie Sanders rally, calls for 'mass movement of the working class' amid 'Lock him up' chants","","November 3","He also said he and Omar both were working to eliminate ""all student debt in America,"" and make all public colleges ""tuition-free."""
"1574562781-4626","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=19","Chris Stirewalt: Bernie Sanders, Elizabeth Warren 'in a lunatic derby'","https://www.foxnews.com/politics/bernie-sanders-elizabeth-warren-free-college","Chris Stirewalt: Bernie Sanders, Elizabeth Warren 'in a lunatic derby'","Chris Stirewalt: Bernie Sanders, Elizabeth Warren 'in a lunatic derby'","","June 24","During a speech Saturday at Clinton College in Rock Hill, S.C., Sanders claimed graduates are put in an ""absurd position of having to pay that debt off for decades."""
"1574562555-4220","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=44","Bernie Sanders: Climate change poses a bigger threat to America than ISIS","https://www.foxnews.com/politics/bernie-sanders-climate-change-isis-2020","Bernie Sanders: Climate change poses a bigger threat to America than ISIS","Bernie Sanders: Climate change poses a bigger threat to America than ISIS","","August 12","2020 presidential hopeful Sen. Bernie Sanders, I-Vt., said climate change represents a bigger threat to national security than ISIS or Al Qaeda, during a campaign speech in Des Moines, Iowa, Sunday."
"1574562555-4221","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=44","Bernie Sanders: Climate change poses a bigger threat to America than ISIS","https://www.foxnews.com/politics/bernie-sanders-climate-change-isis-2020","Bernie Sanders: Climate change poses a bigger threat to America than ISIS","Bernie Sanders: Climate change poses a bigger threat to America than ISIS","","August 12","""Four years ago I came here to Iowa and I was asked what is the major national security issue we face? And people thought I’d say ISIS or Al Qaeda, and those are big issues. The answer that I gave, in terms of national security, is climate change,"" Sanders said as the crowd cheered."
"1574562580-4265","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=41","Bernie Sanders threatens to ‘leverage’ US aid to combat Israel ‘racism’","https://www.foxnews.com/politics/bernie-sanders-threatens-to-leverage-us-aid-to-combat-israel-racism","Bernie Sanders threatens to ‘leverage’ US aid to combat Israel ‘racism’","Bernie Sanders threatens to ‘leverage’ US aid to combat Israel ‘racism’","","August 14","Regarding the absence of a lasting peace accord between Israel and the Palestinians, Sanders did make clear that he is not blaming only one side."
"1574562835-4714","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=13","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","https://www.foxnews.com/politics/bernie-sanders-campaign-workers-complaining-fleeing-over-poverty-wages-report","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","Bernie Sanders’ campaign workers complaining, fleeing over ‘poverty wages’: report","","July 19","Fox News’ Ronn Blitzer and Fox Business’ Brittany De Lea contributed to this story."
"1574562482-3986","https://www.foxnews.com/search-results/search?q=bernie%20sanders&ss=fn&section.path=fnc/politics&type=story&start=50","Bernie Sanders says Dems will 'lose the election' if they 'become obsessed' with Trump","https://www.foxnews.com/politics/bernie-sanders-says-dems-will-lose-the-election-if-they-become-obsessed-with-trump","Bernie Sanders says Dems will 'lose the election' if they 'become obsessed' with Trump","Bernie Sanders says Dems will 'lose the election' if they 'become obsessed' with Trump","","July 29","CLICK HERE TO GET THE FOX NEWS APP"
