web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574566471-9607","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=49","Trump names Haley, DeVos to cabinet; Carson says he's 'thinking about' offer 'on the table'","https://www.foxnews.com/politics/trump-names-haley-devos-to-cabinet-carson-says-hes-thinking-about-offer-on-the-table","Trump names Haley, DeVos to cabinet; Carson says he's 'thinking about' offer 'on the table'","Trump names Haley, DeVos to cabinet; Carson says he's 'thinking about' offer 'on the table'","","November 23, 2016","“The status quo in education is not acceptable,"" DeVos said in a Wednesday statement."
"1574566367-9403","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=64","Who's in Trump's Cabinet? A full list of the president's top advisers","https://www.foxnews.com/politics/whos-in-trumps-cabinet-a-full-list-of-the-presidents-top-advisers","Who's in Trump's Cabinet? A full list of the president's top advisers","Who's in Trump's Cabinet? A full list of the president's top advisers","","July 12","Fun fact: Before going into politics, Pence was a radio talk show host in Indiana in the 1990s."
"1574566402-9508","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=59","Rep. Alexandria Ocasio-Cortez compares GOP to Dwight Schrute","https://www.foxnews.com/politics/aoc-compares-gop-to-dwight-schrute","Rep. Alexandria Ocasio-Cortez compares GOP to Dwight Schrute","Rep. Alexandria Ocasio-Cortez compares GOP to Dwight Schrute","","May 13","AOC HITS THE ECONOMIST FOR LINKING CELIBACY TO 'FEMALE EMPOWERMENT'"
"1574566728-10048","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=11","Harvard students protest Betsy DeVos speech, hold sign calling her 'white supremacist'","https://www.foxnews.com/politics/harvard-students-protest-betsy-devos-speech-hold-sign-calling-her-white-supremacist","Harvard students protest Betsy DeVos speech, hold sign calling her 'white supremacist'","Harvard students protest Betsy DeVos speech, hold sign calling her 'white supremacist'","","September 30, 2017","Devos responded: ""I have written lots of checks to support giving parents and kids options to choose a school of their choice. The balance on my income has gone very much the other way and will continue to do so."""
"1574566314-9333","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=72","Video of Candace Owens firing back at Ted Lieu nears CSPAN record","https://www.foxnews.com/politics/candace-owens-ted-lieu-cspan-twitter-record","Video of Candace Owens firing back at Ted Lieu nears CSPAN record","Video of Candace Owens firing back at Ted Lieu nears CSPAN record","","April 12","“I think it’s pretty apparent that Mr. Lieu believes that black people are stupid and will not pursue the full clip in its entirety,” Owens said."
"1574566768-10096","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=5","Betsy DeVos' family boat untied from dock, causing up to $10G in damage, police say","https://www.foxnews.com/politics/betsy-devos-family-boat-untied-from-dock-causing-up-to-10g-in-damage-police-say","Betsy DeVos' family boat untied from dock, causing up to $10G in damage, police say","Betsy DeVos' family boat untied from dock, causing up to $10G in damage, police say","","July 26, 2018","According to the Toledo Blade, which first reported on the incident, the yacht had ""several large scratches and scrapes"" from hitting a dock – resulting in what the captain estimated to be between $5,000 to $10,000 in damage."
"1574566471-9602","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=49","Trump names Haley, DeVos to cabinet; Carson says he's 'thinking about' offer 'on the table'","https://www.foxnews.com/politics/trump-names-haley-devos-to-cabinet-carson-says-hes-thinking-about-offer-on-the-table","Trump names Haley, DeVos to cabinet; Carson says he's 'thinking about' offer 'on the table'","Trump names Haley, DeVos to cabinet; Carson says he's 'thinking about' offer 'on the table'","","November 23, 2016","""This is no longer a choice for me on personalities because I’m not a fan of either one,"" Haley said in October. ""What it is about is policy."""
"1574566419-9530","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=57","Investigation underway after Education Department employee's 'figurines and pictures' damaged","https://www.foxnews.com/politics/devos-calls-for-probe-after-black-employees-office-reportedly-vandalized-at-education-dept","Investigation underway after Education Department employee's 'figurines and pictures' damaged","Investigation underway after Education Department employee's 'figurines and pictures' damaged","","August 23","Neither the Department of Education or Federal Protective Services would comment on the nature of the damage or give details about the affected employee. FPS said the incident was still under investigation."
"1574566602-9820","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=30","Texas prof resigns from law firm after tweeting he'd be 'ok' with DeVos sexual assault","https://www.foxnews.com/politics/texas-prof-resigns-from-law-firm-after-tweeting-hed-be-ok-with-devos-sexual-assault","Texas prof resigns from law firm after tweeting he'd be 'ok' with DeVos sexual assault","Texas prof resigns from law firm after tweeting he'd be 'ok' with DeVos sexual assault","","September 12, 2017","The tweet was one of several criticizing DeVos for moving to overhaul how Title IX rules are applied to campus sex assault cases. DeVos claims those rules have led to improper investigations, though Ranco alleged she was making the world more dangerous for girls."
"1574566497-9675","https://www.foxnews.com/search-results/search?q=betsy%20devos&ss=fn&section.path=fnc/politics&type=story&start=45","DeVos foes in furious push to defeat nomination, still one vote short","https://www.foxnews.com/politics/devos-foes-in-furious-push-to-defeat-nomination-still-one-vote-short","DeVos foes in furious push to defeat nomination, still one vote short","DeVos foes in furious push to defeat nomination, still one vote short","","February 6, 2017","Clark also said “an extremely high volume” of calls have come from out of state."
