web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574560972-1904","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=10","NBC News analysis declares Donald Trump the winner of first Democratic debate","https://www.foxnews.com/politics/donald-trump-winner-of-first-democratic-debate","NBC News analysis declares Donald Trump the winner of first Democratic debate","NBC News analysis declares Donald Trump the winner of first Democratic debate","","June 27","An NBC News analyst declared President Trump the winner of the first Democratic presidential debate of the 2020 election cycle."
"1574560640-1345","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=50","Donald Trump, Hillary Clinton loom over Virginia 2018 Senate race","https://www.foxnews.com/politics/donald-trump-hillary-clinton-loom-over-virginia-2018-senate-race","Donald Trump, Hillary Clinton loom over Virginia 2018 Senate race","Donald Trump, Hillary Clinton loom over Virginia 2018 Senate race","","March 26, 2018","The Washington Post reported last December on an “anybody-but-Stewart” sentiment among some state and national Republicans."
"1574560769-1559","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=34","Media use John McCain's death to denigrate Donald Trump","https://www.foxnews.com/politics/media-use-john-mccains-death-to-denigrate-donald-trump","Media use John McCain's death to denigrate Donald Trump","Media use John McCain's death to denigrate Donald Trump","","August 28, 2018","Post columnist David Ignatius, while acknowledging the late senator’s flaws, begins a piece this way:"
"1574561041-2052","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=2","Biden warns of ‘eight more years of Donald Trump’","https://www.foxnews.com/politics/biden-warns-of-eight-more-years-of-donald-trump","Biden warns of ‘eight more years of Donald Trump’","Biden warns of ‘eight more years of Donald Trump’","","August 1","Fox News' Danielle Wallace contributed to this story."
"1574560869-1736","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=22","Democrat 2020 candidates 'scare' Donald Trump, have bold, progressive ideas: DNC official","https://www.foxnews.com/politics/dnc-communications-director-trump-scared-of-our-candidates","Democrat 2020 candidates 'scare' Donald Trump, have bold, progressive ideas: DNC official","Democrat 2020 candidates 'scare' Donald Trump, have bold, progressive ideas: DNC official","","March 22","“We know that our immigration system is broken, I think Republicans can agree with us on that. But they believe our solution is a border wall and we believe it’s comprehensive immigration reform,” Hinojosa said."
"1574560794-1597","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=31","Donald Trump called Andrew McCabe's wife a 'loser', ex-FBI official claims in new book","https://www.foxnews.com/politics/donald-trump-calls-andrew-mccabes-wife-a-loser-ex-fbi-official-claims-in-new-book","Donald Trump called Andrew McCabe's wife a 'loser', ex-FBI official claims in new book","Donald Trump called Andrew McCabe's wife a 'loser', ex-FBI official claims in new book","","February 14","McCabe detailed the alleged discussion, which was included in an excerpt published by The Atlantic, saying it took place shortly after the firing of FBI Director James Comey. The subject of McCabe's wife Jill, a physician, came up when Trump asked about her failed 2015 bid for a Virginia state Senate seat, for which she received several hundred thousand dollars in campaign donations from a PAC linked to the Clintons."
"1574560827-1671","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=27","Donald Trump Jr. lashes out at media, 'Big Tech' for silencing conservative speech","https://www.foxnews.com/politics/donald-trump-jr-lashes-out-at-media-big-tech-silencing-conservative-speech","Donald Trump Jr. lashes out at media, 'Big Tech' for silencing conservative speech","Donald Trump Jr. lashes out at media, 'Big Tech' for silencing conservative speech","","February 26","“I think we have to start pushing back and I think we have to start pushing back hard,” Trump Jr. said. “If we don’t, we’ll never get the chance again.”"
"1574561024-2024","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=4","Court files shed light on Kamala’s awkward donation from Donald Trump","https://www.foxnews.com/politics/court-files-shed-light-on-kamalas-awkward-donation-from-donald-trump","Court files shed light on Kamala’s awkward donation from Donald Trump","Court files shed light on Kamala’s awkward donation from Donald Trump","","July 31","But Harris also led an investigation into several for-profit colleges, including Trump University, which was revealed in October 2013. No charges were filed in connection with the probe."
"1574560672-1390","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=46","McConnell chides Trump for calling impeachment inquiry a 'lynching'","https://www.foxnews.com/politics/mcconnell-chides-trump-for-calling-impeachment-inquiry-a-lynching","McConnell chides Trump for calling impeachment inquiry a 'lynching'","McConnell chides Trump for calling impeachment inquiry a 'lynching'","","October 22","In a tweet Tuesday, Trump compared the House impeachment inquiry into his dealings with Ukraine to ""a lynching,"" essentially likening the horrors of a deadly and racist chapter in U.S. history to a process laid out in the Constitution."
"1574560589-1306","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=50","Donald Trump's feud with McCain family escalates: 'I was never a fan'","https://www.foxnews.com/politics/donald-trumps-ongoing-feud-with-meghan-and-john-mccain-escalates-with-new-social-media-posts","Donald Trump's feud with McCain family escalates: 'I was never a fan'","Donald Trump's feud with McCain family escalates: 'I was never a fan'","","March 19","Trump has made of habit of attacking McCain, even after the former Arizona senator’s death in August last year."
