web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574567563-11217","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=4","Elizabeth Warren on impeachment hearings: ‘Let’s do it’","https://www.foxnews.com/politics/elizabeth-warren-donald-trump-impeachment-inquiry","Elizabeth Warren on impeachment hearings: ‘Let’s do it’","Elizabeth Warren on impeachment hearings: ‘Let’s do it’","","November 13","THE LATEST FROM FOX NEWS ON THE 2020 PRESIDENTIAL CAMPAIGN"
"1574567470-11055","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=14","Elizabeth Warren hauls in $24.6M, topping Joe Biden in latest fundraising quarter","https://www.foxnews.com/politics/warrens-24-6-million-biden-fundraising","Elizabeth Warren hauls in $24.6M, topping Joe Biden in latest fundraising quarter","Elizabeth Warren hauls in $24.6M, topping Joe Biden in latest fundraising quarter","","October 4","Warren and Biden are essentially tied for the lead position in most recent national and early-voting-state Democratic nomination polls."
"1574567190-10669","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=44","Elizabeth Warren in New Hampshire for early presidential pitch","https://www.foxnews.com/politics/elizabeth-warren-in-new-hampshire-for-early-presidential-pitch","Elizabeth Warren in New Hampshire for early presidential pitch","Elizabeth Warren in New Hampshire for early presidential pitch","","January 12","Asked later why she didn’t directly mention the president, Warren explained that “I think we need to talk about our affirmative version.”"
"1574567588-11248","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=1","Joe Biden accuses Elizabeth Warren of 'elitism'","https://www.foxnews.com/politics/joe-biden-accuses-elizabeth-warren-of-elitism-and-being-condescending-to-democrats-who-have-a-different-point-of-view","Joe Biden accuses Elizabeth Warren of 'elitism'","Joe Biden accuses Elizabeth Warren of 'elitism'","","November 6","“But it’s worse than that,"" he wrote. ""It’s condescending to the millions of Democrats who have a different view.”"
"1574567518-11142","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=9","Elizabeth Warren rally with Ayanna Pressley brought to brief halt by pro school-choice protesters","https://www.foxnews.com/politics/elizabeth-warren-rally-with-ayanna-pressley-in-atlanta-halted-by-protesters","Elizabeth Warren rally with Ayanna Pressley brought to brief halt by pro school-choice protesters","Elizabeth Warren rally with Ayanna Pressley brought to brief halt by pro school-choice protesters","Talia Kaplan","1 day ago",""
"1574567171-10630","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=46","GOP pollster says Pete Buttigieg's policies are in line with Bernie Sanders and Elizabeth Warren","https://www.foxnews.com/politics/gop-pollster-pete-buttigieg-policies-in-line-with-bernie-sanders-elizabeth-warren","GOP pollster says Pete Buttigieg's policies are in line with Bernie Sanders and Elizabeth Warren","GOP pollster says Pete Buttigieg's policies are in line with Bernie Sanders and Elizabeth Warren","","May 20","Given the fact that Joe Biden continues to lead the polls among Democratic voters, Earhardt asked Wilson whether it's possible Biden could choose Buttigieg as his running mate, should he get the nomination."
"1574567190-10647","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=44","Elizabeth Warren in New Hampshire for early presidential pitch","https://www.foxnews.com/politics/elizabeth-warren-in-new-hampshire-for-early-presidential-pitch","Elizabeth Warren in New Hampshire for early presidential pitch","Elizabeth Warren in New Hampshire for early presidential pitch","Paul Steinhauser","January 12",""
"1574566923-10217","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=73","Elizabeth Warren defends capitalism as 'force for good,' splitting with Ocasio-Cortez","https://www.foxnews.com/politics/elizabeth-warren-defends-capitalism-as-a-force-for-good-splitting-with-ocasio-cortez","Elizabeth Warren defends capitalism as 'force for good,' splitting with Ocasio-Cortez","Elizabeth Warren defends capitalism as 'force for good,' splitting with Ocasio-Cortez","","March 14","Trump’s remarks come shortly after Vice President Pence accused Democrats of openly advocating for socialism with policies such as ""Medicare-for-all"" and the Green New Deal -- a system he said had “impoverished millions of people around the world.”"
"1574567262-10768","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=36","Elizabeth Warren calls for ‘wealth tax’ on richest Americans","https://www.foxnews.com/politics/elizabeth-warren-to-call-for-wealth-tax-on-richest-americans-report","Elizabeth Warren calls for ‘wealth tax’ on richest Americans","Elizabeth Warren calls for ‘wealth tax’ on richest Americans","","January 24","The Post reported the plan also would include mechanisms to combat tax evasion, such as more funding for the IRS, a measure to require all those paying the wealth tax be subject to an audit and a one-time penalty for those with over $50 million who have tried to renounce citizenship."
"1574566923-10211","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=73","Elizabeth Warren defends capitalism as 'force for good,' splitting with Ocasio-Cortez","https://www.foxnews.com/politics/elizabeth-warren-defends-capitalism-as-a-force-for-good-splitting-with-ocasio-cortez","Elizabeth Warren defends capitalism as 'force for good,' splitting with Ocasio-Cortez","Elizabeth Warren defends capitalism as 'force for good,' splitting with Ocasio-Cortez","","March 14","TRUMP SLAMS DEMOCRATS FOR CAMPAIGNING ON 'SEDUCTIVE' SOCIALIST POLICIES"
"1574566995-10349","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=65","Warren edges Biden, Sanders crashes in latest New Hampshire poll","https://www.foxnews.com/politics/warren-edges-biden-sanders-crashes-in-latest-nh-poll","Warren edges Biden, Sanders crashes in latest New Hampshire poll","Warren edges Biden, Sanders crashes in latest New Hampshire poll","","September 24","The Monmouth poll in New Hampshire is one of the qualifying surveys the Democratic National Committee uses for their polling thresholds for candidates to make the cut for the primary debates. Gabbard’s 2 percent showing in the new poll means she’s reached 2 percent in four qualifying polls, allowing her to make the stage at next month’s fourth round of nomination debates."
"1574567041-10425","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=60","Kamala Harris, Bernie Sanders, Elizabeth Warren among Democrats to speak at NAN convention Friday","https://www.foxnews.com/politics/kamala-harris-bernie-sanders-elizabeth-warren-among-democrats-to-speak-at-nan-convention-friday","Kamala Harris, Bernie Sanders, Elizabeth Warren among Democrats to speak at NAN convention Friday","Kamala Harris, Bernie Sanders, Elizabeth Warren among Democrats to speak at NAN convention Friday","","April 5","On Wednesday, former Texas congressman and 2020 candidate Beto O’Rourke spoke about voter suppression and former Housing and Urban Development Secretary Julian Castro discussed his plan for decriminalizing illegal entry into the United States."
"1574567227-10721","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=40","Warren says she's open to halting deportation of illegal immigrants","https://www.foxnews.com/politics/warren-says-she-is-open-to-halting-deportation-of-illegal-immigrants","Warren says she's open to halting deportation of illegal immigrants","Warren says she's open to halting deportation of illegal immigrants","","November 8","Warren said she wants ICE to focus on things like fighting terrorism and tackling the import of drugs such as fentanyl. She also said she opposes the Trump administration’s view, which she summarized as ""anyone who has violated any law means they can’t even be considered to stay.”"
"1574567572-11239","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=3","Bernie Sanders slams Elizabeth Warren as ‘capitalist’","https://www.foxnews.com/politics/dividing-lines-bernie-sanders-slams-elizabeth-warren-as-capitalist","Bernie Sanders slams Elizabeth Warren as ‘capitalist’","Bernie Sanders slams Elizabeth Warren as ‘capitalist’","","October 14","CLICK HERE TO GET THE FOX NEWS APP"
"1574566969-10291","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=68","Elizabeth Warren struggles to answer whether Democratic Party should be more liberal or moderate","https://www.foxnews.com/politics/sen-elizabeth-warren-struggles-to-answer-whether-democratic-party-should-be-more-liberal-or-moderate","Elizabeth Warren struggles to answer whether Democratic Party should be more liberal or moderate","Elizabeth Warren struggles to answer whether Democratic Party should be more liberal or moderate","","March 22","ELIZABETH WARREN PITCHES POLICIES TOTALING $100 TRILLION AT TOWN HALL: ESTIMATES"
"1574567005-10360","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=64","Warren, at Iowa town hall, likes 'frame' of question on 'US-supported murder'","https://www.foxnews.com/politics/tough-question-for-warren-will-she-stop-us-supported-murder-as-president","Warren, at Iowa town hall, likes 'frame' of question on 'US-supported murder'","Warren, at Iowa town hall, likes 'frame' of question on 'US-supported murder'","","November 4","During the town hall, a man identified as Isaiah is heard saying, “The office of the president also has an amazing responsibility to people outside of the United States, given [its] power and position, and right now the United States is bombing at least seven countries.”"
"1574567181-10644","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=45","Top Warren campaign official fired for 'inappropriate behavior'","https://www.foxnews.com/politics/rich-mcdaniel-fired-elizabeth-warren-campaign","Top Warren campaign official fired for 'inappropriate behavior'","Top Warren campaign official fired for 'inappropriate behavior'","","October 4","McDaniel is a veteran of Democratic campaigns, having previously worked as the field and political director for Sen. Doug Jones' successful bid for the U.S. Senate in a 2017 special election. During the 2016 campaign, McDaniel worked as Hillary Clinton's primary-states regional director in the 2016 campaign and was political director for the Democratic Party of Georgia during the first half of 2015."
"1574567061-10452","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=58","Elizabeth Warren doubles down on Trump impeachment push, says it's ‘bigger than politics’","https://www.foxnews.com/politics/elizabeth-warren-trump-impeachment","Elizabeth Warren doubles down on Trump impeachment push, says it's ‘bigger than politics’","Elizabeth Warren doubles down on Trump impeachment push, says it's ‘bigger than politics’","","April 20","Warren first made her call for impeachment on Friday, when she noted that Mueller said in his report that “Congress has authority to prohibit a President’s corrupt use of his authority in order to protect the integrity of the administration of justice.”"
"1574567323-10844","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=30","Boston Globe Editorial Board: Elizabeth Warren should think carefully about run against Trump","https://www.foxnews.com/politics/boston-globe-editorial-board-elizabeth-warren-should-think-carefully-about-run-against-trump-in-2020","Boston Globe Editorial Board: Elizabeth Warren should think carefully about run against Trump","Boston Globe Editorial Board: Elizabeth Warren should think carefully about run against Trump","","December 6","“Running for president is hard. Deciding not to run? That can be even harder,” Thursday's piece began, before noting an announcement from former Democratic Massachusetts governor Deval Patrick that he would not be launching a 2020 run."
"1574567369-10915","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=25","Elizabeth Warren described as ‘diehard conservative’ in school","https://www.foxnews.com/politics/elizabeth-warren-described-as-diehard-conservative-in-school","Elizabeth Warren described as ‘diehard conservative’ in school","Elizabeth Warren described as ‘diehard conservative’ in school","","April 12","“Liz was sometimes surprisingly anti-consumer in her attitude,” law professor Calvin Johnson, a colleague of Warren’s at the University of Texas at Austin in the early 1980s, said of the future senator, who, decades later, would be credited as architect of the Consumer Financial Protection Bureau (CFPB.)"
"1574567190-10656","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=44","Elizabeth Warren in New Hampshire for early presidential pitch","https://www.foxnews.com/politics/elizabeth-warren-in-new-hampshire-for-early-presidential-pitch","Elizabeth Warren in New Hampshire for early presidential pitch","Elizabeth Warren in New Hampshire for early presidential pitch","","January 12","Another progressive firebrand, independent Sen. Bernie Sanders of Vermont, is seriously mulling a second straight White House bid. Sanders crushed Hillary Clinton in the 2016 Democratic primary in New Hampshire, launching him into a marathon fight with the eventual nominee."
"1574567198-10692","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=43","2020 Dem Elizabeth Warren proposes law saying a president can be indicted","https://www.foxnews.com/politics/warren-unveils-plan-to-make-sure-future-presidents-can-be-indicted","2020 Dem Elizabeth Warren proposes law saying a president can be indicted","2020 Dem Elizabeth Warren proposes law saying a president can be indicted","","May 31","And she charged that Barr “wrote a four-page ‘summary’ to mislead the public about the Mueller report” and gave a press conference to “repeat White House talking points about the Russia investigation.”"
"1574567097-10496","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=54","Elizabeth Warren says doctors, nurses don't treat black women same way as other women","https://www.foxnews.com/politics/elizabeth-warren-doctors-nurses-black-women","Elizabeth Warren says doctors, nurses don't treat black women same way as other women","Elizabeth Warren says doctors, nurses don't treat black women same way as other women","","April 26","Democratic presidential candidate Elizabeth Warren suggested that doctors and nurses don’t treat African American women the same way they do white women."
"1574567518-11162","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=9","Elizabeth Warren rally with Ayanna Pressley brought to brief halt by pro school-choice protesters","https://www.foxnews.com/politics/elizabeth-warren-rally-with-ayanna-pressley-in-atlanta-halted-by-protesters","Elizabeth Warren rally with Ayanna Pressley brought to brief halt by pro school-choice protesters","Elizabeth Warren rally with Ayanna Pressley brought to brief halt by pro school-choice protesters","","1 day ago","She was met by loud applause and a standing ovation."
"1574567314-10825","https://www.foxnews.com/search-results/search?q=elizabeth%20warren&ss=fn&section.path=fnc/politics&type=story&start=31","Donna Brazile: Elizabeth Warren a 'sleeper' pick in the 2020 primary race","https://www.foxnews.com/politics/donna-brazile-elizabeth-warren-2020-primary-race-sleeper-pick","Donna Brazile: Elizabeth Warren a 'sleeper' pick in the 2020 primary race","Donna Brazile: Elizabeth Warren a 'sleeper' pick in the 2020 primary race","Charles Creitz","July 8",""
