web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content,
"1575049467-64206","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=31","Trump unloads on Biden: ‘Joe is not playing with a full deck’","https://www.foxnews.com/politics/trump-says-hed-be-thrilled-if-biden-is-the-nominee-joe-is-not-playing-with-a-full-deck","Trump unloads on Biden: ‘Joe is not playing with a full deck’","Trump unloads on Biden: ‘Joe is not playing with a full deck’","","August 9","Fox News’ Brooke Singman and Edmund DeMarche contributed to this report.","null"
"1575049645-64488","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=11","Graham says he loves Joe Biden 'as a person,' but Hunter Biden's Burisma work 'doesn’t pass the smell test'","https://www.foxnews.com/politics/graham-says-he-loves-joe-biden-as-a-person-but-hunter-bidens-burisma-work-doesnt-pass-the-smell-test","Graham says he loves Joe Biden 'as a person,' but Hunter Biden's Burisma work 'doesn’t pass the smell test'","Graham says he loves Joe Biden 'as a person,' but Hunter Biden's Burisma work 'doesn’t pass the smell test'","","4 days ago","Specifically, Graham asked for documents and transcripts of conversations from 2016 between then-Vice President Biden and Poroshenko in relation to an investigation into Ukrainian natural gas company Burisma Holdings, where Hunter Biden had served as a board member. It is Trump's request for Ukraine to investigate the Bidens that has led to the ongoing impeachment inquiry against the president.","null"
"1575049701-64542","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=7","Jared Kushner slams Joe Biden, claims he's been cleaning up 'messes' ex-VP left behind","https://www.foxnews.com/politics/jared-kushner-joe-biden-mess-white-house-israel-impeachment","Jared Kushner slams Joe Biden, claims he's been cleaning up 'messes' ex-VP left behind","Jared Kushner slams Joe Biden, claims he's been cleaning up 'messes' ex-VP left behind","","October 30","“Benny was a great general in the IDF [Israeli Defense Forces] and he did a great job there and served Israel tremendously, and he seems to have a good intention to try and bring good to Israel, and hopefully he will be able to work with Prime Minister Netanyahu and find a way to move forward,"" Kushner told News Israel 13.","null"
"1575049712-64594","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=6","Joe Biden officially launches 2020 presidential bid","https://www.foxnews.com/politics/biden-officially-launches-2020-presidential-bid","Joe Biden officially launches 2020 presidential bid","Joe Biden officially launches 2020 presidential bid","","April 25","Fox News' Bradford Betz contributed to this report.","null"
"1575049692-64527","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=8","Joe Biden defends son Hunter's Ukraine work: 'My son did nothing wrong. I did nothing wrong'","https://www.foxnews.com/politics/biden-answers-question-on-hunter-biden-my-son-did-nothing-wrong-i-did-nothing-wrong","Joe Biden defends son Hunter's Ukraine work: 'My son did nothing wrong. I did nothing wrong'","Joe Biden defends son Hunter's Ukraine work: 'My son did nothing wrong. I did nothing wrong'","","October 15","CLICK HERE TO GET THE FOX NEWS APP","null"
"1575049701-64537","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=7","Jared Kushner slams Joe Biden, claims he's been cleaning up 'messes' ex-VP left behind","https://www.foxnews.com/politics/jared-kushner-joe-biden-mess-white-house-israel-impeachment","Jared Kushner slams Joe Biden, claims he's been cleaning up 'messes' ex-VP left behind","Jared Kushner slams Joe Biden, claims he's been cleaning up 'messes' ex-VP left behind","","October 30","The impeachment probe stems from a whistleblower’s complaint that President Trump, during a July phone call, asked Ukrainian President Volodymyr Zelensky to investigate the Biden family’s business dealings in the country. Trump made the request while the U.S. was withholding military aid but maintains there was no quid quo pro.","null"
"1575049503-64245","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=27","Why the media are convinced Joe Biden will implode","https://www.foxnews.com/politics/why-the-media-are-convinced-joe-biden-will-implode","Why the media are convinced Joe Biden will implode","Why the media are convinced Joe Biden will implode","","April 26","""Compromised"" suggests a history of scandal, yet what Slate means is political baggage, such as his backing of a Clinton-era crime bill unpopular with black voters today. Yet I think the rank and file isn't as concerned about a vote back in 1994, or even the Anita Hill hearings, as the chattering classes.","null"
"1575049575-64348","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=19","Joe Biden slammed by editor of democratic socialist magazine: 'A Biden victory is not preordained'","https://www.foxnews.com/politics/editor-at-socialist-magazine-attack-biden-in-order-to-beat-trump-in-2020","Joe Biden slammed by editor of democratic socialist magazine: 'A Biden victory is not preordained'","Joe Biden slammed by editor of democratic socialist magazine: 'A Biden victory is not preordained'","","June 6","But just as Biden pushed his climate plan, he faced even more friendly fire over his stance on abortion. His fellow 2020 Democratic candidates vehemently denounced the Hyde Amendment -- a decades-old law that blocks federal funding from going towards most abortions -- after Biden's campaign said he supported the measure.","null"
"1575049349-64014","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=43","Donna Brazile on Kamala Harris confronting Joe Biden: 'It's right to bring these issues up'","https://www.foxnews.com/politics/donna-brazile-joe-biden-debate-racial-justice","Donna Brazile on Kamala Harris confronting Joe Biden: 'It's right to bring these issues up'","Donna Brazile on Kamala Harris confronting Joe Biden: 'It's right to bring these issues up'","","June 28","""It is right to bring these issues up because we need to have a conversation, not just as Democrats but as Americans,"" Brazile said during an appearance on ""Fox and Friends"" on Friday morning.","null"
"1575049358-64023","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=42","Hunter Biden didn't invite father, Joe, to his recent wedding: report","https://www.foxnews.com/politics/hunter-joe-biden-wedding-no-invite","Hunter Biden didn't invite father, Joe, to his recent wedding: report","Hunter Biden didn't invite father, Joe, to his recent wedding: report","Joseph A. Wulfsohn","July 1","","null"
"1575049503-64239","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=27","Why the media are convinced Joe Biden will implode","https://www.foxnews.com/politics/why-the-media-are-convinced-joe-biden-will-implode","Why the media are convinced Joe Biden will implode","Why the media are convinced Joe Biden will implode","","April 26","Biden denounced the president's term as an ""aberrant moment"" in his launch video, saying four more years would damage the country's character and ""I cannot stand by and watch that happen.""","null"
"1575049388-64072","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=39","Karl Rove: Kamala Harris' hit on Joe Biden over busing wasn't as clean as we thought","https://www.foxnews.com/politics/karl-rove-kamala-harris-hit-joe-biden-over-busing","Karl Rove: Kamala Harris' hit on Joe Biden over busing wasn't as clean as we thought","Karl Rove: Kamala Harris' hit on Joe Biden over busing wasn't as clean as we thought","","July 10","""They're in favor of local busing. They're not in favor of the federal government dictating to local school districts whether they've got to bus or not.""","null"
"1575049617-64437","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=14","Joe Lieberman praises Trump's China strategy, says Biden flip-flops","https://www.foxnews.com/politics/lieberman-praises-trumps-china-biden","Joe Lieberman praises Trump's China strategy, says Biden flip-flops","Joe Lieberman praises Trump's China strategy, says Biden flip-flops","","June 12","""But the president is raising another kind of issue and it really is an important one to raise, which is the kind of structural differences between our two countries,"" Lieberman continued. ""It's time for China -- it's a great economy now. Stop, if they are still stealing our trade secrets -- stop forcing American companies when they do business in China to share their technology with Chinese companies and reassure us that if we buy Chinese products you're not going to use them in some day of conflict between our two countries to compromise America.""","null"
"1575049349-64011","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=43","Donna Brazile on Kamala Harris confronting Joe Biden: 'It's right to bring these issues up'","https://www.foxnews.com/politics/donna-brazile-joe-biden-debate-racial-justice","Donna Brazile on Kamala Harris confronting Joe Biden: 'It's right to bring these issues up'","Donna Brazile on Kamala Harris confronting Joe Biden: 'It's right to bring these issues up'","Anna Hopkins","June 28","","null"
