web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content,
"1575050145-65066","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=21","Mitch McConnell confronted by 'Abolish ICE' protesters, video shows","https://www.foxnews.com/politics/mitch-mcconnell-confronted-by-abolish-ice-protesters-video-shows","Mitch McConnell confronted by 'Abolish ICE' protesters, video shows","Mitch McConnell confronted by 'Abolish ICE' protesters, video shows","","July 8, 2018","McConnell, R-Ky., was with outgoing Kentucky House Majority Leader Jonathan Shell as the protesters shouted in unison, “Vote you out!” and “Abolish ICE!” video obtained by the Courier-Journal showed.","null"
"1575050051-64897","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=33","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","https://www.foxnews.com/politics/brett-kavanaugh-mitch-mcconnell-lindsey-graham-impeachment-calls","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","","September 16","While 2020 Democrats did not back down from their impeachment calls, despite the Times revision, top Democrats in Congress appeared less eager.","null"
"1575050275-65315","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=6","Mitch McConnell campaign criticized for photos of tombstones with Dem names","https://www.foxnews.com/politics/mitch-mcconnell-campaign-criticized-for-photos-of-tombstones-with-democratic-opponetts-name","Mitch McConnell campaign criticized for photos of tombstones with Dem names","Mitch McConnell campaign criticized for photos of tombstones with Dem names","","August 5","McGrath, a former Marine combat aviator, found the photo troubling, considering it came hours after a gunman killed at least 22 people at a Walmart in El Paso, Texas.","null"
"1575050291-65346","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=4","Reporter's Notebook: What Mitch McConnell said and did not say about guns","https://www.foxnews.com/politics/mcconnell-guns-what-he-didnt-say-reporters-notebook","Reporter's Notebook: What Mitch McConnell said and did not say about guns","Reporter's Notebook: What Mitch McConnell said and did not say about guns","","August 13","“I want to make a law,” McConnell said.","null"
"1575050026-64844","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=36","McConnell blasts 'Medicare for All' as 'far-left social experiment'","https://www.foxnews.com/politics/mcconnell-blasts-medicare-for-all-as-far-left-social-experiment","McConnell blasts 'Medicare for All' as 'far-left social experiment'","McConnell blasts 'Medicare for All' as 'far-left social experiment'","","April 9","Since then, however, the numbers have declined. According to polling by the Kaiser Family Foundation, support for the policy has dropped as concerns arise that it could lead to higher taxes and longer waits for health care.","null"
"1575050182-65131","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=17","Mitch McConnell cancels Senate's traditional August recess","https://www.foxnews.com/politics/mitch-mcconnell-cancels-senates-traditional-august-recess","Mitch McConnell cancels Senate's traditional August recess","Mitch McConnell cancels Senate's traditional August recess","","June 5, 2018","But the decision also keeps lawmakers in Washington during a critical period in the runup to November's midterm elections -- a controversial move.","null"
"1575050068-64925","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=31","Diners confront Mitch McConnell at restaurant, get told to ‘leave him alone’ by others","https://www.foxnews.com/politics/diners-confront-mitch-mcconnell-at-restaurant-get-told-to-leave-him-alone-by-others","Diners confront Mitch McConnell at restaurant, get told to ‘leave him alone’ by others","Diners confront Mitch McConnell at restaurant, get told to ‘leave him alone’ by others","","October 20, 2018","In July, McConnell was confronted by more protesters as he left a restaurant in Louisville, Kentucky. Protesters reportedly yelled “abolish ICE” and “no justice, no peace.”","null"
"1575050222-65213","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=12","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","https://www.foxnews.com/politics/from-cocaine-mitch-to-grim-reaper-mcconnell-nicknames-become-political-weapons","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","","May 17","So Democrats will hammer McConnell over his nickname(s) in an effort to craft a narrative about the Senate. The Senate has mostly focused this year on confirming nominees. Senators have voted on just a few bills all year long.","null"
"1575050267-65305","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=7","Mitch McConnell fractures shoulder after fall in Kentucky home, spokesman says","https://www.foxnews.com/politics/mitch-mcconnell-fractures-shoulder-after-fall-in-kentucky-home","Mitch McConnell fractures shoulder after fall in Kentucky home, spokesman says","Mitch McConnell fractures shoulder after fall in Kentucky home, spokesman says","","August 4","CLICK HERE TO GET THE FOX NEWS APP","null"
"1575050222-65218","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=12","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","https://www.foxnews.com/politics/from-cocaine-mitch-to-grim-reaper-mcconnell-nicknames-become-political-weapons","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","","May 17","Someone in the crowd hollered “the sun!”","null"
