web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content,
"1575051061-66268","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=40","The Edge: Cruz booms, but Palin gets Trump mega media","https://www.foxnews.com/politics/the-edge-cruz-booms-but-palin-gets-trump-mega-media","The Edge: Cruz booms, but Palin gets Trump mega media","The Edge: Cruz booms, but Palin gets Trump mega media","","January 22, 2016","#mediabuzz - The two leading GOP candidates, Donald Trump and Ted Cruz, both sat down with host Howard Kurtz to talk about 2016, with a little over a week until the Iowa caucuses. Watch “#mediabuzz” Sunday at 11 a.m. ET, with a second airing at 5 p.m.","null"
"1575051190-66486","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=20","Sarah Palin sues NY Times over editorial tying her to Giffords shooting","https://www.foxnews.com/politics/sarah-palin-sues-ny-times-over-editorial-tying-her-to-giffords-shooting","Sarah Palin sues NY Times over editorial tying her to Giffords shooting","Sarah Palin sues NY Times over editorial tying her to Giffords shooting","","June 28, 2017","The editorial, attributed to The Times' editorial board and titled ""America's Lethal Politics,"" initially linked Palin's rhetoric to the shooting that killed six people and wounded 13 others, including then-Rep. Gabrielle Giffords.","null"
"1575051300-66643","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=2","Sarah Palin says it was a 'gut punch' to be excluded from McCain funeral","https://www.foxnews.com/politics/sarah-palin-says-it-was-a-gut-punch-to-be-excluded-mccain-funeral","Sarah Palin says it was a 'gut punch' to be excluded from McCain funeral","Sarah Palin says it was a 'gut punch' to be excluded from McCain funeral","","April 2","Last month, Trump tore into McCain’s legacy and took credit for the late senator’s state funeral in Washington last year.","null"
"1575050993-66145","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=50","Palin calls on Republicans to unify behind Trump candidacy at GOP dinner","https://www.foxnews.com/politics/palin-calls-on-republicans-to-unify-behind-trump-candidacy-at-gop-dinner","Palin calls on Republicans to unify behind Trump candidacy at GOP dinner","Palin calls on Republicans to unify behind Trump candidacy at GOP dinner","","April 2, 2016","Trump didn’t attend the dinner.","null"
"1575051117-66380","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=32","Todd Palin hospitalized after snowmobile accident","https://www.foxnews.com/politics/todd-palin-hospitalized-after-snowmobile-accident","Todd Palin hospitalized after snowmobile accident","Todd Palin hospitalized after snowmobile accident","","March 14, 2016","Jim Palin told The Associated Press in a phone interview that his son also had injuries to his collarbone and lungs, but he doesn't know the extent of those injuries.","null"
"1575051083-66332","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=37","Martin Bashir apologizes for dirty, disgusting slam at Sarah Palin","https://www.foxnews.com/politics/martin-bashir-apologizes-for-dirty-disgusting-slam-at-sarah-palin","Martin Bashir apologizes for dirty, disgusting slam at Sarah Palin","Martin Bashir apologizes for dirty, disgusting slam at Sarah Palin","","November 18, 2013","Click for more from Media Buzz.","null"
"1575051164-66463","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=24","Sarah Palin says Jeb Bush, and immigrants, should 'speak American'","https://www.foxnews.com/politics/sarah-palin-says-jeb-bush-and-immigrants-should-speak-american","Sarah Palin says Jeb Bush, and immigrants, should 'speak American'","Sarah Palin says Jeb Bush, and immigrants, should 'speak American'","","September 7, 2015","Like us on Facebook","null"
"1575051104-66362","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=34","Palin suit against NY Times spotlights a flood of media mistakes","https://www.foxnews.com/politics/palin-suit-against-ny-times-spotlights-a-flood-of-media-mistakes","Palin suit against NY Times spotlights a flood of media mistakes","Palin suit against NY Times spotlights a flood of media mistakes","","June 29, 2017","Her answer prompted a lengthy interruption from Brian Karem, executive editor of Maryland’s Sentinel newspapers, who declared: “We’re here to ask you questions, you’re here to provide the answers, and what you just did is inflammatory to people all over the country who look at it and say, see, once again, the president is right and everybody else out here is fake media.”","null"
"1575051068-66287","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=39","Sarah Palin set to return as Fox News contributor","https://www.foxnews.com/politics/sarah-palin-set-to-return-as-fox-news-contributor","Sarah Palin set to return as Fox News contributor","Sarah Palin set to return as Fox News contributor","","June 13, 2013","Before becoming Sen. John McCain's 2008 running mate, Palin was the first woman to serve as governor of Alaska, taking the oath in 2006. Before that, she served two terms as mayor of Wasilla.","null"
"1575051053-66248","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=41","Palin says she'll work to unseat Ryan over Trump snub","https://www.foxnews.com/politics/palin-says-shell-work-to-unseat-ryan-over-trump-snub","Palin says she'll work to unseat Ryan over Trump snub","Palin says she'll work to unseat Ryan over Trump snub","","May 8, 2016","“His political career is over, but for a miracle, because he has so disrespected the will of the people,” said Palin, who was governor of Alaska from 2006 to 2009.","null"
"1575051170-66468","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=23","Sarah Palin has a bit of advice for Carly Fiorina","https://www.foxnews.com/politics/sarah-palin-has-a-bit-of-advice-for-carly-fiorina","Sarah Palin has a bit of advice for Carly Fiorina","Sarah Palin has a bit of advice for Carly Fiorina","","December 4, 2015","""We want candidates, and we need candidates, to tell us what [they] think,"" she added, noting that ""that's kind of lacking in [Fiorina's] campaign right now.""","null"
"1575051201-66501","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=18","Sarah Palin to subpoena two dozen New York Times staffers in lawsuit","https://www.foxnews.com/politics/sarah-palin-to-subpoena-two-dozen-new-york-times-staffers-in-lawsuit","Sarah Palin to subpoena two dozen New York Times staffers in lawsuit","Sarah Palin to subpoena two dozen New York Times staffers in lawsuit","","July 27, 2017","The New York Times has reportedly claimed that Palin has no case because she cannot claim malice, which is the legal standard for claiming defamation.","null"
"1575051300-66637","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=2","Sarah Palin says it was a 'gut punch' to be excluded from McCain funeral","https://www.foxnews.com/politics/sarah-palin-says-it-was-a-gut-punch-to-be-excluded-mccain-funeral","Sarah Palin says it was a 'gut punch' to be excluded from McCain funeral","Sarah Palin says it was a 'gut punch' to be excluded from McCain funeral","","April 2","But last May, McCain published a book titled “The Restless Wave,” in which he wrote that he regretted choosing Palin as his running mate instead of his close friend, former U.S. Sen. Joe Lieberman of Connecticut.","null"
