web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575014751-63214","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=48","Trump casts Louisiana vote as impeachment referendum","https://www.foxnews.com/politics/trump-casts-louisiana-vote-as-impeachment-referendum","Trump casts Louisiana vote as impeachment referendum","Trump casts Louisiana vote as impeachment referendum","Chris Stirewalt","November 15",""
"1575015135-63839","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=4","Court files shed light on Kamala’s awkward donation from Donald Trump","https://www.foxnews.com/politics/court-files-shed-light-on-kamalas-awkward-donation-from-donald-trump","Court files shed light on Kamala’s awkward donation from Donald Trump","Court files shed light on Kamala’s awkward donation from Donald Trump","","July 31","Trump donated to Sen. Kirsten Gillibrand twice -- $1,050 in December 2007 and $2,400 in September 2010. And Trump donated $1,000 to then-Sen. Joe Biden in December 2001."
"1575014817-63342","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=40","Donald Trump Jr. compares Buzzfeed coverage to Catholic HS confrontation, says Schiff leaking","https://www.foxnews.com/politics/donald-trump-jr-on-buzzfeed","Donald Trump Jr. compares Buzzfeed coverage to Catholic HS confrontation, says Schiff leaking","Donald Trump Jr. compares Buzzfeed coverage to Catholic HS confrontation, says Schiff leaking","","January 21","""It was remarkable what we saw happening for 24 hours in the media, on the basis of the report that appeared in BuzzFeed,"" Pence told ""Fox News Sunday"" anchor Chris Wallace. ""It's one of the reasons why people are so frustrated with many in the national media."""
"1575014457-62764","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=91","Klobuchar 'skeptical' about Trump deal with Mexico","https://www.foxnews.com/politics/amy-klobuchar-trump-mexico-deal-skeptical","Klobuchar 'skeptical' about Trump deal with Mexico","Klobuchar 'skeptical' about Trump deal with Mexico","","June 10","Trump on Monday called the Times report “nonsense.”"
"1575014851-63375","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=36","House subpoenas Lewandowski, ex-Trump aide in Trump probe","https://www.foxnews.com/politics/house-subpoenas-lewandowski-ex-trump-aide-in-trump-probe","House subpoenas Lewandowski, ex-Trump aide in Trump probe","House subpoenas Lewandowski, ex-Trump aide in Trump probe","","August 15","TRUMP BOOSTS POSSIBLE LEWANDOWSKI SENATE BID AHEAD OF NEW HAMPSHIRE RALLY"
"1575014766-63242","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=46","Trump campaign to launch 'Latinos for Trump' effort in Miami","https://www.foxnews.com/politics/latinos-trump-miami-campaign-pence","Trump campaign to launch 'Latinos for Trump' effort in Miami","Trump campaign to launch 'Latinos for Trump' effort in Miami","","June 20","FLORIDA COUNTIES SCRAMBLING AFTER ABRUPT ORDER MANDATING BILINGUAL BALLOTS BY 2020 PRIMARY"
"1575014551-62957","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=78","Donald Trump Jr. releases messages with WikiLeaks from before election","https://www.foxnews.com/politics/donald-trump-jr-releases-messages-with-wikileaks-from-before-election","Donald Trump Jr. releases messages with WikiLeaks from before election","Donald Trump Jr. releases messages with WikiLeaks from before election","","November 13, 2017","Assange also claimed that the “full text of alleged DMs with context provides a different reading, unsurprisingly.”"
"1575014537-62927","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=80","Donald Trump Jr. stumps for Montana Republican looking to flip US Senate seat","https://www.foxnews.com/politics/donald-trump-jr-stumps-for-montana-republican-looking-to-flip-us-senate-seat","Donald Trump Jr. stumps for Montana Republican looking to flip US Senate seat","Donald Trump Jr. stumps for Montana Republican looking to flip US Senate seat","","June 23, 2018","Donald Trump Jr. headlined Montana's Republican Party convention on Friday, stumping for state auditor Matt Rosendale, a former state lawmaker now running for a U.S. Senate seat."
"1575014688-63128","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=58","Donald Trump's feud with McCain family escalates: 'I was never a fan'","https://www.foxnews.com/politics/donald-trumps-ongoing-feud-with-meghan-and-john-mccain-escalates-with-new-social-media-posts","Donald Trump's feud with McCain family escalates: 'I was never a fan'","Donald Trump's feud with McCain family escalates: 'I was never a fan'","","March 19","COURT FILES REVEAL ROLE OF MCCAIN, ASSOCIATE IN SPREADING ANTI-TRUMP DOSSIER"
"1575014641-63051","https://www.foxnews.com/search-results/search?q=donald%20trump&ss=fn&section.path=fnc/politics&type=story&start=64","Former Infowars editor Jerome Corsi says he expects Mueller indictment soon: 'My only crime was that I support Donald Trump'","https://www.foxnews.com/politics/former-infowars-editor-jerome-corsi-says-he-expects-mueller-indictment-soon-my-only-crime-was-that-i-support-donald-trump","Former Infowars editor Jerome Corsi says he expects Mueller indictment soon: 'My only crime was that I support Donald Trump'","Former Infowars editor Jerome Corsi says he expects Mueller indictment soon: 'My only crime was that I support Donald Trump'","","November 12, 2018","Stone was unequivocal: ""I did not — and there is no evidence to the contrary,"" he wrote. ""In fact, Wikileaks publisher Julian Assange announced his release schedule on Oct. 2."""
