web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574564017-6327","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=42","Tulsi Gabbard blasts Hillary Clinton's 'failed legacy' in scorching op-ed","https://www.foxnews.com/politics/tulsi-gabbard-in-op-ed-says-she-is-running-for-president-to-undo-hillary-clintons-failed-legacy","Tulsi Gabbard blasts Hillary Clinton's 'failed legacy' in scorching op-ed","Tulsi Gabbard blasts Hillary Clinton's 'failed legacy' in scorching op-ed","","October 31","“Whether Mrs. Clinton’s name is on the ballot or not, her foreign policy will be,” Gabbard wrote in the op-ed, writing that many of the Democratic candidates “adhere to her doctrine of acting as the world’s police, using the tools of war to overthrow governments we don’t like, wasting taxpayer dollars, costing American lives, causing suffering and destruction abroad, and undermining America’s security.”"
"1574564293-6752","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=11","Hillary Clinton floats conspiracy that Tulsi Gabbard is being 'groomed' by Russians","https://www.foxnews.com/politics/hillary-clinton-tulsi-gabbard-groomed-russia","Hillary Clinton floats conspiracy that Tulsi Gabbard is being 'groomed' by Russians","Hillary Clinton floats conspiracy that Tulsi Gabbard is being 'groomed' by Russians","","October 18","TULSI GABBARD SLAMS CRITICS DURING DEBATE OVER 'DESPICABLE' 'SMEARS' OVER SYRIA, RUSSIA"
"1574563968-6240","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=48","Hillary Clinton slams Trump for friendly call with Putin, blasts Barr as 'president’s defense lawyer'","https://www.foxnews.com/politics/hillary-clinton-slams-trump-for-friendly-call-with-putin-blasts-barr-as-presidents-defense-lawyer","Hillary Clinton slams Trump for friendly call with Putin, blasts Barr as 'president’s defense lawyer'","Hillary Clinton slams Trump for friendly call with Putin, blasts Barr as 'president’s defense lawyer'","","May 5","“I really believe that we are in a crisis, a constitutional crisis,” Hillary Clinton said. “We are in a crisis of confidence and a crisis over the rule of law and the institutions that have weathered a lot of problems over so many years. And it is something that, regardless of where you stand in the political spectrum, should give real heartburn to everybody. Because this is a test for our country.”"
"1574564236-6667","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=18","Hillary Clinton hosting DNC fundraiser with tickets priced as high as $50G: report","https://www.foxnews.com/politics/hillary-clinton-fundraiser-50g-dnc","Hillary Clinton hosting DNC fundraiser with tickets priced as high as $50G: report","Hillary Clinton hosting DNC fundraiser with tickets priced as high as $50G: report","","August 20","Failed Democratic presidential nominee Hillary Clinton will host a pricey fundraiser at her Washington, D.C., mansion as her party struggles to match the size of Republicans' growing war chest before 2020."
"1574564360-6898","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=3","Hillary Clinton says 'many, many, many people' want her to join 2020 Democratic primary","https://www.foxnews.com/politics/hillary-clinton-many-people-2020-democratic-primary-candidate","Hillary Clinton says 'many, many, many people' want her to join 2020 Democratic primary","Hillary Clinton says 'many, many, many people' want her to join 2020 Democratic primary","","November 12","If Clinton were to join the race, she would quickly become the biggest figure in the Democratic field. She has twice run for president in the past, losing the Democratic nomination to then-Sen. Barack Obama in 2008 and losing the general election in a close race to Trump in 2016."
"1574564210-6624","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=21","Hillary Clinton to join DNC's Perez at party fundraiser","https://www.foxnews.com/politics/hillary-clinton-to-join-dncs-perez-at-fundraiser-as-2020-election-season-heats-up","Hillary Clinton to join DNC's Perez at party fundraiser","Hillary Clinton to join DNC's Perez at party fundraiser","Andrew O'Reilly","March 12",""
"1574564175-6573","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=25","Former top Clinton aide slams 'irresponsible' Bernie for Hillary snub","https://www.foxnews.com/politics/former-top-clinton-aide-slams-irresponsible-bernie-for-hillary-snub","Former top Clinton aide slams 'irresponsible' Bernie for Hillary snub","Former top Clinton aide slams 'irresponsible' Bernie for Hillary snub","","March 2","“I don’t know who our nominee is going to be but I am damn sure that beating Trump & getting America back on the right footing is going to require a unified Democratic Party, so crap like this 613 days before Election Day is irresponsible, counter-productive, & sets us all back,” former Clinton senior adviser Nick Merrill tweeted Friday."
"1574564084-6456","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=35","Hillary Clinton blasts Facebook for not pulling doctored Pelosi video she dubbed 'sexist trash'","https://www.foxnews.com/politics/hillary-clinton-blasts-facebook-for-not-pulling-doctored-pelosi-video-she-dubbed-sexist-trash","Hillary Clinton blasts Facebook for not pulling doctored Pelosi video she dubbed 'sexist trash'","Hillary Clinton blasts Facebook for not pulling doctored Pelosi video she dubbed 'sexist trash'","","May 29","The former presidential candidate then suggested that a message be sent to Facebook to show opposition to the tech giant's decision, and she warned that the site would be ""flooded"" with ""false and doctored videos"" if nothing happens."
"1574563968-6231","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=48","Hillary Clinton slams Trump for friendly call with Putin, blasts Barr as 'president’s defense lawyer'","https://www.foxnews.com/politics/hillary-clinton-slams-trump-for-friendly-call-with-putin-blasts-barr-as-presidents-defense-lawyer","Hillary Clinton slams Trump for friendly call with Putin, blasts Barr as 'president’s defense lawyer'","Hillary Clinton slams Trump for friendly call with Putin, blasts Barr as 'president’s defense lawyer'","","May 5","Former Secretary of State Hillary Clinton continued over the weekend to criticize Attorney General William Barr’s handling of Special Counsel Robert Mueller’s report on Russian interference in the 2016 presidential election – telling a crowd in Seattle that Barr “would rather be the president’s defense lawyer than the chief law enforcement officer of our country.”"
"1574564317-6822","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&section.path=fnc/politics&type=story&start=8","Trump reignites feud with Hillary Clinton, bashes her recent attacks on Tulsi Gabbard, Jill Stein","https://www.foxnews.com/politics/trump-hannity-hillary-clinton-tulsi-gabbard-jill-stein","Trump reignites feud with Hillary Clinton, bashes her recent attacks on Tulsi Gabbard, Jill Stein","Trump reignites feud with Hillary Clinton, bashes her recent attacks on Tulsi Gabbard, Jill Stein","","October 21","The call was the basis for an anonymous whistleblower complaint that sparked House Democrats to launch an impeachment inquiry that has included several closed-door interviews with officials related to U.S.-Ukraine relations."
