web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574561213-2190","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=50","Biden seeks to bar Giuliani from TV news, after Trump lawyer alleges possible Biden corruption","https://www.foxnews.com/politics/biden-giuliani-tv-news-possible-corruption","Biden seeks to bar Giuliani from TV news, after Trump lawyer alleges possible Biden corruption","Biden seeks to bar Giuliani from TV news, after Trump lawyer alleges possible Biden corruption","","September 29","Later, Giuliani added: ""I have another affidavit, this time from another Ukrainian prosecutor who says that the day after Biden strong-armed the president to remove Shokin, they show up in the prosecutor’s office -- lawyers for Hunter Biden show up in the prosecutor’s office and they give an apology for dissemination of false information."""
"1574561585-2799","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=12","Joe, Hunter Biden seen golfing with Ukraine gas company exec back in 2014, photo shows","https://www.foxnews.com/politics/joe-hunter-biden-seen-golfing-with-ukraine-gas-company-exec-back-in-2014-photo-shows","Joe, Hunter Biden seen golfing with Ukraine gas company exec back in 2014, photo shows","Joe, Hunter Biden seen golfing with Ukraine gas company exec back in 2014, photo shows","","September 30","Trump attorney Rudy Giuliani, on Sunday, suggested Shokin was the target of an international smear campaign to discredit his work."
"1574561191-2125","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=50","Marie Harf: Democratic voters 'ready for the next generation,' not Joe Biden","https://www.foxnews.com/politics/marie-harf-voters-want-next-generation-not-biden","Marie Harf: Democratic voters 'ready for the next generation,' not Joe Biden","Marie Harf: Democratic voters 'ready for the next generation,' not Joe Biden","","June 12","""Yeah. It's interesting. All of us who worked on those Obama-Biden campaigns, as all of us did, have a lot of affection and respect for him. We also have to remember the last campaign they ran together was 8 years ago,"" Harf said."
"1574561421-2554","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=29","Biden still riding high","https://www.foxnews.com/politics/biden-still-riding-high","Biden still riding high","Biden still riding high","","August 6","“It took you 20 paragraphs of regurgitation to get to the bottom line and tell America that our national illness can only be fixed from the bottom up. Indeed, Trump is a reflection of our problems, not the cause, yet you managed to regurgitate every negative you could to attribute white nationalism to him: YOU put fuel on a fire.” – Linda Harward, Crawford, Texas


[Ed. note: As I perused your note, Ms. Harward, I had just finished reading about the Democratic outrage over a headline in today’s NYT: “Trump urges unity vs. racism.” The freak out was pretty remarkable, even for these freaked out times. The headline was certainly accurate, even if one doubts the president’s sincerity. It may have been too simplistic for a complicated story, but that’s life in big-league journalism. Not every headline is a winner. But the response was just, well, wild. One presidential candidate even suggested the Times was complicit in murder and another let fly with a string of obscenities about media coverage. Really profoundly stupid stuff. There is a powerful temptation to conflate coverage with causality in these polarized times. There is an even stronger impulse to shut out points of view that challenge our own worldviews or make us feel uncomfortable about our political choices. All of us, not just politicians, are obliged to resist these temptations.]  

  
“When the NRA has the [Senate majority leader], Mitch McConnell, in their pocket from the $1.2 million USD they have spent on his elections AND the [Senate majority leader], Mitch McConnell, refuses to let 2 Bi-PARTISAN gun reform bills that passed in the House 5 months ago get a vote on the Senate floor - it's really, really hard to believe it's a ‘bottom-up’ problem! The ‘it's us, not them’ suggestion doesn't hold water in this particular instance!” – Jill Rackiewicz Henderson, St. Paul, Minn.


[Ed. note: It is true that the House did pass two bipartisan firearms bills. One would extend the waiting period from three days to 10 days for weapon sales when the federal background check system fails to deliver (as it sometimes does) another would require all firearm transfers to be subject to background checks, including private sales, family gifts, etc. A couple of thoughts here: Both bills have the same problem as many proposed in the wake of mass murders. Neither would have prevented the massacres to which they are offered as responses. That makes it harder to get lawmakers to back bills that come at a political cost. But also: How do you think McConnell’s constituents in Kentucky feel about gun control? Your suggestion here is that McConnell would back these bills or at least bring them out for a vote if it wasn’t for the donations of the National Rifle Association. I doubt it. The NRA is very powerful, or at least was until it its recent crack up, but that power isn’t from its contributions. McConnell will never want for money in any race, but he would face serious problems is the organization’s millions of members declared him an enemy. What makes the gun-rights activist community powerful isn’t its money but its members. I’m not suggesting that there is no federal part to play in addressing these killings. But I do believe that it is up to Americans to form a new consensus on these issues rather than partisan blame casting. That’s what we’ve been doing for 30 years and it has gotten us exactly nowhere.]   


“Are you able to explain how the President is able to willy nilly make up new tariffs and screw with the entire economy without the consent of the Congress, please? Why is the legislative branch so weak when it comes to this area? Thanks!” – Katie Hacker, Evington, Va.


[Ed. note: It’s pretty simple, Ms. Hacker: Congress gave away the power. In various pieces of legislation, particularly the Trade Expansion Act of 1962 and the Trade Act of 1974 and its successor legislation, Congress ceded its own authority to set tariffs to the executive branch. For example, when the president threatens new taxes on cars made by foreign manufacturers – including those assembled here – he is citing the 1962 legislation that grants him such power in order to protect “national security.” To Trump, winning the trade wars is a national security issue so, blammo, he’s got the power. This anguishes many Republicans, but they are deathly afraid of Trump, who has demonstrated his power repeatedly to punish dissent in his party. Many Democrats, meanwhile, secretly admire Trump’s protectionism and are unlikely to pipe up. The lesson for Congress, is that power is much more easily surrendered than reclaimed. Any decent custodian of Congress’ constitutional power should think first how a power ceded to the executive could be abused before considering how it might be used.]  

Share your color commentary: Email us at HALFTIMEREPORT@FOXNEWS.COM and please make sure to include your name and hometown.

WHEN YOUR GUILT KETCHES UP TO YOU
NY Post: “She wouldn’t cut the mustard as a hardened criminal. A thief who swiped a bottle of ketchup from a New Jersey restaurant was so wracked with guilt — and suffering from bad karma — that she secretly returned to drop off two containers of Heinz. ‘I hope returning two new bottles will restore some [luck] for me, and I can stop carrying around this guilt,’ wrote the contrite condiment klepto in a note left with the ketchup outside a door at Perkins Restaurant & Bakery on Route 9 in Forked River. The thief — who workers at the eatery insist is a young woman, judging from her penmanship — admitted in the note that she had no good reason to steal from the Lacey Township restaurant. ‘A few weeks ago, I had taken one of your ketchup bottles off the table because for some odd reason I thought it’d be ‘risky,’’ said the note… The culprit didn’t leave a name but signed off with, ‘From, an awful person.’”

AND NOW, A WORD FROM CHARLES…

“Growing up (as I did) in the province of Québec, you learn not just the joys but also the perils of bilingualism. … Canada, of course, had no choice about bilingualism. It is a country created of two nations at its birth, and has ever since been trying to cope with that inherently divisive fact.” – Charles Krauthammer (1950-2018) writing in Time magazine on June 4, 2006.

Chris Stirewalt is the politics editor for Fox News. Brianna McClelland contributed to this report. Want FOX News Halftime Report in your inbox every day? Sign up here."
"1574561538-2700","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=17","Joe Biden builds massive lead among black voters","https://www.foxnews.com/politics/joe-biden-massive-black-voters","Joe Biden builds massive lead among black voters","Joe Biden builds massive lead among black voters","","May 21","Joe Biden’s message was clear."
"1574561290-2353","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=42","Mo Elleithee: Joe Biden won first night of 2020 Democratic presidential debate, though absent","https://www.foxnews.com/politics/joe-biden-2020-democratic-debate-elleithee","Mo Elleithee: Joe Biden won first night of 2020 Democratic presidential debate, though absent","Mo Elleithee: Joe Biden won first night of 2020 Democratic presidential debate, though absent","","June 27","""Hasta la victoria siempre,"" the mayor said while holding a microphone."
"1574561431-2567","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=28","Joe Biden confuses Burlington, Iowa, with Burlington, Vt., in latest gaffe","https://www.foxnews.com/politics/joe-biden-confuses-burlington-iowa-for-burlington-vt-in-latest-gaffe","Joe Biden confuses Burlington, Iowa, with Burlington, Vt., in latest gaffe","Joe Biden confuses Burlington, Iowa, with Burlington, Vt., in latest gaffe","","August 17","Some Biden allies have suggested limiting his appearances due to the mistakes, the Examiner reported."
"1574561363-2447","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=35","Joe Biden takes indirect shot at Kamala Harris over her support for Medicare for All","https://www.foxnews.com/politics/joe-biden-shot-kamala-harris-medicare-for-all","Joe Biden takes indirect shot at Kamala Harris over her support for Medicare for All","Joe Biden takes indirect shot at Kamala Harris over her support for Medicare for All","","July 13","""Bernie's been very honest about it. He said you're going to have to raise taxes on the middle class. He said it's going to end all private insurance. I mean, he's been straightforward about it. And he's making his case,"" Biden said after an impromptu gaggle with reporters following a stop at an ice cream shop in New Hampshire, the state that holds the first primary in the White House race."
"1574561529-2680","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=18","Joe Biden slammed by editor of democratic socialist magazine: 'A Biden victory is not preordained'","https://www.foxnews.com/politics/editor-at-socialist-magazine-attack-biden-in-order-to-beat-trump-in-2020","Joe Biden slammed by editor of democratic socialist magazine: 'A Biden victory is not preordained'","Joe Biden slammed by editor of democratic socialist magazine: 'A Biden victory is not preordained'","","June 6","Democrats should continue attacking former Vice President Joe Biden in hopes that the party will adopt more progressive stances needed to beat President Trump in 2020, the founding editor of a democratic socialist magazine argued."
"1574561320-2386","https://www.foxnews.com/search-results/search?q=joe%20biden&ss=fn&section.path=fnc/politics&type=story&start=39","Juan Williams: Joe Biden in 'big trouble' after CNN interview revelation","https://www.foxnews.com/politics/juan-williams-joe-biden-in-big-trouble-after-cnn-interview-revelation","Juan Williams: Joe Biden in 'big trouble' after CNN interview revelation","Juan Williams: Joe Biden in 'big trouble' after CNN interview revelation","","July 5","Fox News's Juan Williams says former Vice President Joe Biden is in ""big trouble"" after the Democratic presidential frontrunner said he was wasn't ready for Sen. Kamala Harris' attacks during last week's debate."
